S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),t,Ground Elevation,Horizontal Angle,Latitude,Longitude,"Condition of Tower  (Missing  Parts, Broken, etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly / Forest/ Water Logged),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,7,D+3,T,29,6-7,206.63303957326033,0.5,"=IF(H16>15,0)",170.557921999999,59°58'10''RT,9.91337685587562,77.96969996383854,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96969996383854 9.91337685587562, 77.96937801493917 9.911295880819054)"
12,8,MB+6,T,32,7-8,233.07564212696755,0.2,"=IF(H17>15,0)",176.729446,6°17'22''RT,9.911295880819054,77.96937801493917,Good,Good,"LT,11KV",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96937801493917 9.911295880819054, 77.96864501751074 9.909790910174356)"
13,9,MD+3,T,29,8-9,185.02323815503735,0.3,"=IF(H18>15,0)",169.140517999999,44°23'59''RT,9.909790910174356,77.96864501751074,Good,Good,110KV,110KV THENI PASUMALAI & 230KV PASUMALAI PERIYAR ,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96864501751074 9.909790910174356, 77.96757800124307 9.908891867329542)"
14,10,B+3,T,29,9-10,153.70408320731025,0.41,"=IF(H19>15,0)",166.160995,3°11'14''RT,9.908891867329542,77.96757800124307,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96757800124307 9.908891867329542, 77.9658219925387 9.907925936950392)"
15,11,D+0,T,26,10-11,220.43239950482558,1.1,"=IF(H20>15,0)",165.03421,37°119'29''RT,9.907925936950392,77.9658219925387,Good,Good,11KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9658219925387 9.907925936950392, 77.96581402973018 9.905277926126127)"
16,12,B+0,T,26,11-12,293.1565956065778,3.4,"=IF(H21>15,0)",162.082732999999,3°0'3''LT,9.905277926126127,77.96581402973018,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96581402973018 9.905277926126127, 77.9658159575674 9.902931915268542)"
17,13,A+0,S,28,12-13,259.7216109775449,1.32,"=IF(H22>15,0)",160.663284,,9.902931915268542,77.9658159575674,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9658159575674 9.902931915268542, 77.96583699614374 9.900764858041144)"
18,14,B+0,T,26,13-14,239.92106561739948,2.2,"=IF(H23>15,0)",157.985046,5°5'21''RT,9.900764858041144,77.96583699614374,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96583699614374 9.900764858041144, 77.96603698835186 9.898842887646577)"
19,15,A+0,S,28,14-15,213.9065019207411,2.6,"=IF(H24>15,0)",158.356338999999,,9.898842887646577,77.96603698835186,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96603698835186 9.898842887646577, 77.96625701330848 9.896860902824264)"
20,16,A+0,S,28,15-16,220.74633860219097,3.11,"=IF(H25>15,0)",151.828262,,9.896860902824264,77.96625701330848,Good,Good,LT,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96625701330848 9.896860902824264, 77.96647402077991 9.894858885254084)"
21,17,D+0,T,26,16-17,222.91533060607753,1.31,"=IF(H26>15,0)",153.164429,32°26'18''RT,9.894858885254084,77.96647402077991,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.96647402077991 9.894858885254084, 77.9675619918048 9.893142858150947)"
22,18,A+3,S,31,17-18,224.4000260353916,0.41,"=IF(H27>15,0)",151.142715,,9.893142858150947,77.9675619918048,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9675619918048 9.893142858150947, 77.968781977804 9.891260869356731)"
23,19,A+0,S,28,18-19,247.68097298209,1.21,"=IF(H28>15,0)",149.939147999999,,9.891260869356731,77.968781977804,Good,Good,,POND,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.968781977804 9.891260869356731, 77.9701140298478 9.889211913044301)"
24,20,B+0,T,26,19-20,269.88325361552154,1.3,"=IF(H29>15,0)",150.066284,3°3'40''RT,9.889211913044301,77.9701140298478,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9701140298478 9.889211913044301, 77.97103101004917 9.887968876744972)"
25,21,A+0,S,28,20-21,170.50138401264715,2.11,"=IF(H30>15,0)",147.763901,,9.887968876744972,77.97103101004917,Good,Good,LT,BIG ROCK,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97103101004917 9.887968876744972, 77.97218201298561 9.886432892915527)"
26,22,D+0,T,26,21-22,211.85129351970446,2.6,"=IF(H31>15,0)",147.898284999999,31°7'10''RT,9.886432892915527,77.97218201298561,Good,Good,,KOTTAMPATTY ROAD,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97218201298561 9.886432892915527, 77.97233003739467 9.886164923462413)"
27,23,H POLE,T,12,22-23,33.82531873056333,7.61,"=IF(H32>15,0)",170.439101999999,,9.886164923462413,77.97233003739467,H-POLE,Not Available,LT,KOTTAMPATTY ROAD,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97233003739467 9.886164923462413, 77.97236800741568 9.885777930993754)"
28,24,H POLE,T,12,23-24,43.045553210350114,12.31,"=IF(H33>15,0)",147.498184,,9.885777930993754,77.97236800741568,H-POLE,Not Available,,230KV PASUMALAI KAYATAR 230 KV DC LINE,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97236800741568 9.885777930993754, 77.9723550154658 9.885514906875565)"
29,25,D+0,T,26,24-25,29.153849709809972,9.71,"=IF(H34>15,0)",147.700623,37°157'32''RT,9.885514906875565,77.9723550154658,Good,Good,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9723550154658 9.885514906875565, 77.97314702149137 9.883311891224789)"
30,26,A+3,S,31,25-26,258.92625689111117,3.11,"=IF(H35>15,0)",146.041946,,9.883311891224789,77.97314702149137,,,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97314702149137 9.883311891224789, 77.97388303640415 9.88125287667428)"
31,27,A+0,S,28,26-27,241.84652762925828,4.8,"=IF(H36>15,0)",145.445145,,9.88125287667428,77.97388303640415,Good,Good,,VILLAGE ROAD,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97388303640415 9.88125287667428, 77.97464402938812 9.879151868786993)"
32,28,D+0,T,26,27-28,247.14698503542127,2.8,"=IF(H37>15,0)",145.282287999999,31°17'31''RT,9.879151868786993,77.97464402938812,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97464402938812 9.879151868786993, 77.97473899635011 9.877021859565351)"
33,29,B+0,T,26,28-29,236.04036414709492,0.41,"=IF(H38>15,0)",146.219528,4°1'49''RT,9.877021859565351,77.97473899635011,Good,Good,,VILLAGE ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97473899635011 9.877021859565351, 77.97487595664667 9.874889922502778)"
34,30,B+3,T,29,29-30,236.5018720944865,0.9,"=IF(H39>15,0)",144.797165,3°1'22''RT,9.874889922502778,77.97487595664667,Good,Good,,POND,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97487595664667 9.874889922502778, 77.97496002713451 9.872757901625397)"
35,31,B+0,T,26,30-31,236.21309249175565,1.01,"=IF(H40>15,0)",143.505569,8°169'34''RT,9.872757901625397,77.97496002713451,Good,Good,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97496002713451 9.872757901625397, 77.97466196665903 9.87070291046737)"
36,32,A+0,S,28,31-32,229.84596957988296,1.21,"=IF(H41>15,0)",143.186768,,9.87070291046737,77.97466196665903,Good,Good,11KV,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97466196665903 9.87070291046737, 77.9743209908395 9.868109884952252)"
37,33,B+0,T,26,32-33,289.5000015726067,2.11,"=IF(H42>15,0)",142.363708,11°0'3''LT,9.868109884952252,77.9743209908395,Good,Good,2 NO'S LT,ROAD,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9743209908395 9.868109884952252, 77.97407498198245 9.86617291098529)"
38,34,A+0,S,28,33-34,216.13324944848603,3.71,"=IF(H43>15,0)",143.840850999999,,9.86617291098529,77.97407498198245,Good,Good,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97407498198245 9.86617291098529, 77.97383701975244 9.86425488011871)"
39,35,B+0,T,26,34-35,213.94297414009873,3.51,"=IF(H44>15,0)",141.687087999999,6°3'43''RT,9.86425488011871,77.97383701975244,Good,Good,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97383701975244 9.86425488011871, 77.9737210142128 9.862176922531127)"
40,36,A+3,S,31,35-36,230.3993593847752,2.61,"=IF(H45>15,0)",142.555679,,9.862176922531127,77.9737210142128,Good,Good,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9737210142128 9.862176922531127, 77.97360500867319 9.860251934675492)"
41,37,B+3,T,29,36-37,213.49225023657195,2.71,"=IF(H46>15,0)",142.983582,1°1'15''RT,9.860251934675492,77.97360500867319,Good,Good,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97360500867319 9.860251934675492, 77.97338900702924 9.857798886933168)"
42,38,B+0,T,26,37-38,272.60596424819295,2.01,"=IF(H47>15,0)",141.170486,4°4'51''RT,9.857798886933168,77.97338900702924,Good,Good,3 NO'S LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97338900702924 9.857798886933168, 77.97336000564395 9.855629901871511)"
43,39,B+0,T,26,38-39,240.14553275503104,1.11,"=IF(H48>15,0)",142.072600999999,3°0'25''LT,9.855629901871511,77.97336000564395,Good,Good,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97336000564395 9.855629901871511, 77.97332698094516 9.853233934875446)"
44,40,A+0,S,28,39-40,265.2779254325447,3.52,"=IF(H49>15,0)",140.96637,,9.853233934875446,77.97332698094516,Good,Good,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97332698094516 9.853233934875446, 77.9732969737315 9.851219931201781)"
45,41,A+0,S,28,40-41,222.99098827346307,1.42,"=IF(H50>15,0)",140.424194,,9.851219931201781,77.9732969737315,Good,Good,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9732969737315 9.851219931201781, 77.97326495486116 9.84920785536717)"
46,42,C+0,T,26,41-42,222.7809310512729,1.9,"=IF(H51>15,0)",139.855103,23°23'1''RT,9.84920785536717,77.97326495486116,Good,Good,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97326495486116 9.84920785536717, 77.97225200186838 9.847025878430404)"
47,43,A+0,S,28,42-43,265.93355671052615,2.21,"=IF(H52>15,0)",139.098052999999,,9.847025878430404,77.97225200186838,Good,Good,2 NO'S LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97225200186838 9.847025878430404, 77.97128900501835 9.844937862624164)"
48,44,A+0,S,28,43-44,254.19173757700526,7.01,"=IF(H53>15,0)",138.513947,,9.844937862624164,77.97128900501835,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97128900501835 9.844937862624164, 77.97044100787903 9.843104908119878)"
49,45,D+0,T,26,44-45,223.26149889577263,1.21,"=IF(H54>15,0)",138.121016999999,36°137'28''RT,9.843104908119878,77.97044100787903,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97044100787903 9.843104908119878, 77.97102103557475 9.841335907428135)"
50,46,A+0,S,28,45-46,205.93604322525718,7.41,"=IF(H55>15,0)",138.074432,,9.841335907428135,77.97102103557475,Good,Good,"LT,11KV",VAGAIKULAM PRIVU ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97102103557475 9.841335907428135, 77.97163995530093 9.839458864002918)"
51,47,A+0,S,28,46-47,218.6319117812204,1.31,"=IF(H56>15,0)",130.584946,,9.839458864002918,77.97163995530093,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97163995530093 9.839458864002918, 77.9721810071471 9.837758930195271)"
52,48,B+3,T,29,47-48,197.34901558212752,1.21,"=IF(H57>15,0)",129.989669999999,7°7'35''RT,9.837758930195271,77.9721810071471,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9721810071471 9.837758930195271, 77.97257202292725 9.835619868496417)"
53,49,B+3,T,29,48-49,240.67122978163786,1.11,"=IF(H58>15,0)",129.598923,7°7'58''RT,9.835619868496417,77.97257202292725,Good,Good,LT,VILLAGE ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97257202292725 9.835619868496417, 77.97301198902187 9.834240877765716)"
54,50,A+0,S,28,49-50,160.12547834866973,2.51,"=IF(H59>15,0)",129.976272999999,,9.834240877765716,77.97301198902187,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97301198902187 9.834240877765716, 77.97346201340022 9.832858869550046)"
55,51,B+0,T,26,50-51,160.78006463744842,1.41,"=IF(H60>15,0)",129.813674999999,2°0'36''LT,9.832858869550046,77.97346201340022,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97346201340022 9.832858869550046, 77.9740790052886 9.831030860257417)"
56,52,B+3,T,29,51-52,213.41261932751,1.71,"=IF(H61>15,0)",128.378142999999,12°9'30''RT,9.831030860257417,77.9740790052886,Good,Good,2 NO'S LT,THIRUMANGALAM - USILAMPATTY ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9740790052886 9.831030860257417, 77.9743140338519 9.829588921450409)"
57,53,B+3,T,29,52-53,161.70664038845447,1.71,"=IF(H62>15,0)",126.603554,2°2'5''RT,9.829588921450409,77.9743140338519,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9743140338519 9.829588921450409, 77.97479901076606 9.827309881962014)"
58,54,MD+9,T,64,53-54,257.86607815010836,0.81,"=IF(H63>15,0)",126.413628,97°97'47''RT,9.827309881962014,77.97479901076606,Good,Good,,PASUMALAI - ANUPANKULAM 110 KV & NH-4 ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97479901076606 9.827309881962014, 77.97578396820201 9.827644906554148)"
59,55,MD+6,T,61,54-55,114.32928303975511,0.71,"=IF(H64>15,0)",126.306252,48°48'52''RT,9.827644906554148,77.97578396820201,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97578396820201 9.827644906554148, 77.97734702549596 9.826758855458312)"
60,56,D+0,T,26,55-56,197.67581401548549,0.1,"=IF(H65>15,0)",127.679405,89°89'19''RT,9.826758855458312,77.97734702549596,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.97734702549596 9.826758855458312, 77.97741802021545 9.826881901790424)"
61,57,Thirumangalam Gantry,T,12,56-57,15.694878636600327,1,"=IF(H66>15,0)",128.773727,,9.826881901790424,77.97741802021545,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL LENGTH,,,,,,=SUM(G6:G66),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M/S STERLITE POWER TRANSMISSION LIMITED,,,,,,,,,,,,,,M/S TANTRANSCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
