S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
28,127,S,SA,22,"=B32& "" - ""&B33",229.84030698415498,1.78,"=IF(H33>15,0)",178.934981999999,,10.041,77.94480555555556,GOOD,Available,HT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94480555555556 10.041, 77.94394444444445 10.042972222222222)"
29,126,S,SA,22,"=B33& "" - ""&B34",237.4231976110212,3.1,"=IF(H34>15,0)",180.217727999999,,10.042972222222222,77.94394444444445,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94394444444445 10.042972222222222, 77.94311111111111 10.044805555555556)"
30,125,S,SA,22,"=B34& "" - ""&B35",220.88880080405892,2.91,"=IF(H35>15,0)",181.013992,,10.044805555555556,77.94311111111111,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94311111111111 10.044805555555556, 77.94225 10.04675)"
31,124,S,SA,22,"=B35& "" - ""&B36",235.7470828811386,2.3,"=IF(H36>15,0)",180.451447,,10.04675,77.94225,GOOD,Available,"LT, 400KV",,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94225 10.04675, 77.9413888888889 10.048666666666666)"
32,123,T,SB,21,"=B36& "" - ""&B37",233.0317827360067,4.2,"=IF(H37>15,0)",180.331635,"0°7'12""R",10.048666666666666,77.9413888888889,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9413888888889 10.048666666666666, 77.94058333333334 10.050444444444445)"
33,122,S,SA,22,"=B37& "" - ""&B38",216.170219273495,3.3,"=IF(H38>15,0)",181.704894999999,,10.050444444444445,77.94058333333334,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.94058333333334 10.050444444444445, 77.93966666666667 10.052472222222223)"
34,121,S,SA,22,"=B38& "" - ""&B39",245.2414210826826,1.66,"=IF(H39>15,0)",182.51004,,10.052472222222223,77.93966666666667,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93966666666667 10.052472222222223, 77.9388888888889 10.054277777777779)"
35,120,S,SA,22,"=B39& "" - ""&B40",217.66312699480636,2.29,"=IF(H40>15,0)",183.395523,,10.054277777777779,77.9388888888889,GOOD,Available,2-LT,Road,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9388888888889 10.054277777777779, 77.93797222222223 10.05625)"
36,119,S,SA,22,"=B40& "" - ""&B41",240.83687362135302,1.1,"=IF(H41>15,0)",186.303528,,10.05625,77.93797222222223,GOOD,Available,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93797222222223 10.05625, 77.93711111111112 10.058111111111112)"
37,118,S,SA,22,"=B41& "" - ""&B42",227.35315129326594,2.7,"=IF(H42>15,0)",185.310622999999,,10.058111111111112,77.93711111111112,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93711111111112 10.058111111111112, 77.93633333333334 10.059944444444445)"
38,117,T,SB,21,"=B42& "" - ""&B43",220.54446077044298,2.85,"=IF(H43>15,0)",187.436218,"0°40'12""R",10.059944444444445,77.93633333333334,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93633333333334 10.059944444444445, 77.93547222222223 10.061833333333334)"
39,116,S,SA,22,"=B43& "" - ""&B44",229.34670461733342,5.7,"=IF(H44>15,0)",187.215469,,10.061833333333334,77.93547222222223,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93547222222223 10.061833333333334, 77.9345 10.064)"
40,115,S,SA,22,"=B44& "" - ""&B45",260.5679992556462,1.48,"=IF(H45>15,0)",189.455811,,10.064,77.9345,GOOD,Available,LT,Road,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9345 10.064, 77.93372222222223 10.065694444444444)"
41,114,S,SA,22,"=B45& "" - ""&B46",206.58820721190312,1.02,"=IF(H46>15,0)",191.735733,,10.065694444444444,77.93372222222223,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93372222222223 10.065694444444444, 77.9328888888889 10.067527777777778)"
42,113,S,SA,22,"=B46& "" - ""&B47",223.09132414749135,1.7,"=IF(H47>15,0)",192.038208,,10.067527777777778,77.9328888888889,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9328888888889 10.067527777777778, 77.93205555555556 10.069416666666667)"
43,112,S,SA,22,"=B47& "" - ""&B48",226.3818003599475,1.11,"=IF(H48>15,0)",192.048126,,10.069416666666667,77.93205555555556,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93205555555556 10.069416666666667, 77.93116666666667 10.071416666666666)"
44,111,S,SA,22,"=B48& "" - ""&B49",244.4260366815904,1.3,"=IF(H49>15,0)",191.493789999999,,10.071416666666666,77.93116666666667,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93116666666667 10.071416666666666, 77.93030555555556 10.073333333333332)"
45,110,T,SB,21,"=B49& "" - ""&B50",230.5874780225283,2.02,"=IF(H50>15,0)",190.301009999999,"0°22'12""R",10.073333333333332,77.93030555555556,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93030555555556 10.073333333333332, 77.92947222222223 10.075138888888889)"
46,109,S,SA,22,"=B50& "" - ""&B51",219.9828680787668,1.7,"=IF(H51>15,0)",191.766388,,10.075138888888889,77.92947222222223,GOOD,Available,2-LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92947222222223 10.075138888888889, 77.92855555555556 10.077222222222222)"
47,108,S,SA,22,"=B51& "" - ""&B52",251.95247220922013,1.47,"=IF(H52>15,0)",193.531569999999,,10.077222222222222,77.92855555555556,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92855555555556 10.077222222222222, 77.92775 10.078972222222221)"
48,107,S,SA,22,"=B52& "" - ""&B53",213.17093121128693,1.07,"=IF(H53>15,0)",195.864182,,10.078972222222221,77.92775,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92775 10.078972222222221, 77.92708333333334 10.080499999999999)"
