S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
19,18,S,SA,21,17-18,242.4917952069689,1.12,"=IF(H24>15,0)",9.729141,,9.34613888888889,78.8966388888889,GOOD,Available,"2-LT,11KV",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8966388888889 9.34613888888889, 78.89450000000001 9.346694444444445)"
20,19,S,SA,21,18-19,241.4568207525736,2.79,"=IF(H25>15,0)",9.192186,,9.346694444444445,78.89450000000001,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89450000000001 9.346694444444445, 78.8923888888889 9.347194444444446)"
21,20,S,SA,21,19-20,240.32364233570624,1.17,"=IF(H26>15,0)",10.658457,,9.347194444444446,78.8923888888889,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8923888888889 9.347194444444446, 78.89022222222223 9.347694444444445)"
22,21,T,SB,21.6,20-21,244.44763239496618,0.96,"=IF(H27>15,0)",11.492197,"24°7'48""R",9.347694444444445,78.89022222222223,GOOD,Available,3LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.89022222222223 9.347694444444445, 78.88869444444445 9.347416666666668)"
23,22,S,SA,21,21-22,171.5588743728966,1.43,"=IF(H28>15,0)",10.710673,,9.347416666666668,78.88869444444445,GOOD,Available,3LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88869444444445 9.347416666666668, 78.88708333333334 9.347138888888889)"
24,23,S,SA,21,22-23,179.16758120387772,2.07,"=IF(H29>15,0)",10.1895799999999,,9.347138888888889,78.88708333333334,GOOD,Available,2LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88708333333334 9.347138888888889, 78.88522222222223 9.346805555555557)"
25,24,T,SB,21.6,23-24,208.53681899121213,2.72,"=IF(H30>15,0)",11.349593,"28°9'36""L",9.346805555555557,78.88522222222223,GOOD,Available,"2LT ,11KV",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88522222222223 9.346805555555557, 78.88313888888888 9.347444444444445)"
26,25,S,SA,21,24-25,239.10673934049373,3.01,"=IF(H31>15,0)",12.0984079999999,,9.347444444444445,78.88313888888888,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88313888888888 9.347444444444445, 78.88108333333332 9.348027777777778)"
27,26,S,SA,21,25-26,234.513877427231,2.94,"=IF(H32>15,0)",10.662405,,9.348027777777778,78.88108333333332,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88108333333332 9.348027777777778, 78.87897222222222 9.348638888888889)"
28,27,T,SB,21.6,26-27,242.54810819210297,1.74,"=IF(H33>15,0)",11.5323619999999,"4°3'36""R",9.348638888888889,78.87897222222222,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87897222222222 9.348638888888889, 78.87677777777778 9.349083333333335)"
29,28,S,SA,21,27-28,244.46581988888292,2.04,"=IF(H34>15,0)",12.789956,,9.349083333333335,78.87677777777778,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87677777777778 9.349083333333335, 78.87458333333333 9.349472222222223)"
30,29,S,SA,21,28-29,245.2027083201631,4.11,"=IF(H35>15,0)",12.641049,,9.349472222222223,78.87458333333333,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87458333333333 9.349472222222223, 78.87258333333332 9.349861111111112)"
31,30,T,SB,21.6,29-30,222.5461369086395,3.84,"=IF(H36>15,0)",14.6799769999999,"0°37'12""L",9.349861111111112,78.87258333333332,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87258333333332 9.349861111111112, 78.87177777777777 9.350027777777777)"
32,31,T,SB,21.6,30-31,90.5111404076647,2.63,"=IF(H37>15,0)",13.083017,"0°37'48""L",9.350027777777777,78.87177777777777,GOOD,Available,,NH ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87177777777777 9.350027777777777, 78.87047222222222 9.350305555555556)"
33,32,S,SA,21,31-32,148.21175346647968,3.86,"=IF(H38>15,0)",13.870444,,9.350305555555556,78.87047222222222,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87047222222222 9.350305555555556, 78.86919444444443 9.3505)"
34,33,T,SB,21.6,32-33,142.10701321349845,4.13,"=IF(H39>15,0)",13.76688,"4°45'0""L",9.3505,78.86919444444443,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86919444444443 9.3505, 78.86824999999999 9.350722222222222)"
35,34,T,SB,21.6,33-34,105.55290113666622,2.66,"=IF(H40>15,0)",15.092366,"8°1'48""L",9.350722222222222,78.86824999999999,GOOD,Available,,SCHOOL,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86824999999999 9.350722222222222, 78.86619444444445 9.351527777777777)"
36,35,S,SA,21,34-35,244.9030778533145,3.59,"=IF(H41>15,0)",13.8640329999999,,9.351527777777777,78.86619444444445,GOOD,Available,2LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86619444444445 9.351527777777777, 78.86408333333333 9.352333333333332)"
37,36,T,SB,21.6,35-36,248.3531128487725,2.26,"=IF(H42>15,0)",14.824322,"43°21'36""R",9.352333333333332,78.86408333333333,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86408333333333 9.352333333333332, 78.86274999999999 9.351777777777777)"
38,37,T,SB,21.6,36-37,157.29311750740237,3.09,"=IF(H43>15,0)",15.118496,"51°1'12""R",9.351777777777777,78.86274999999999,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86274999999999 9.351777777777777, 78.86252777777777 9.351055555555556)"
39,38,T,SB,21.6,37-38,85.914295491378,5.11,"=IF(H44>15,0)",15.758884,"9°58'48""L",9.351055555555556,78.86252777777777,GOOD,Available,,Railway,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86252777777777 9.351055555555556, 78.86149999999999 9.349)"
40,39,T,SB,21.6,38-39,252.4808397598489,3.06,"=IF(H45>15,0)",15.1398759999999,"18°5'60""L",9.349,78.86149999999999,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86149999999999 9.349, 78.86047222222221 9.348)"
41,40,T,SB,21.6,39-40,159.59306015579656,2.17,"=IF(H46>15,0)",14.150705,"17°48'0""L",9.348,78.86047222222221,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86047222222221 9.348, 78.85847222222222 9.346972222222222)"
42,41,T,SB,21.6,40-41,248.48147401027967,1.16,"=IF(H47>15,0)",13.140943,"34°40'12""L",9.346972222222222,78.85847222222222,GOOD,Available,"2LT,11KV",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85847222222222 9.346972222222222, 78.85666666666665 9.347194444444446)"
43,42,S,SA,21,41-42,200.2740169496816,4.19,"=IF(H48>15,0)",11.598667,,9.347194444444446,78.85666666666665,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85666666666665 9.347194444444446, 78.8548611111111 9.347416666666668)"
44,43,S,SA,21,42-43,196.91525814447172,2.1,"=IF(H49>15,0)",11.892516,,9.347416666666668,78.8548611111111,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8548611111111 9.347416666666668, 78.85269444444444 9.347694444444445)"
45,44,S,SA,21,43-44,241.75287657629215,1.96,"=IF(H50>15,0)",12.174193,,9.347694444444445,78.85269444444444,GOOD,Available,11KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85269444444444 9.347694444444445, 78.85052777777777 9.348)"
46,45,S,SA,21,44-45,239.90744764912822,1.04,"=IF(H51>15,0)",13.740294,,9.348,78.85052777777777,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85052777777777 9.348, 78.8483611111111 9.348305555555557)"
47,46,T,SB,21.6,45-46,240.14842067887787,4.11,"=IF(H52>15,0)",14.225444,"2°39'36""L",9.348305555555557,78.8483611111111,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8483611111111 9.348305555555557, 78.84627777777777 9.348694444444446)"
48,47,S,SA,21,46-47,232.26828204316743,3.48,"=IF(H53>15,0)",14.7229019999999,,9.348694444444446,78.84627777777777,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84627777777777 9.348694444444446, 78.84441666666666 9.349)"
49,48,S,SA,21,47-48,208.59054063015182,1.71,"=IF(H54>15,0)",13.9335869999999,,9.349,78.84441666666666,GOOD,Available,LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84441666666666 9.349, 78.84322222222222 9.349222222222222)"
50,49,T,SB,21.6,48-49,134.20011448651476,0.31,"=IF(H55>15,0)",15.2616289999999,"79°26'24""R",9.349222222222222,78.84322222222222,GOOD,Available,"2-11KV,LT",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84322222222222 9.349222222222222, 78.84355555555555 9.351305555555555)"
51,50,T,SB,21.6,49-50,233.02834821269846,1.39,"=IF(H56>15,0)",15.559294,"39°21'0""L",9.351305555555555,78.84355555555555,GOOD,Available,,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84355555555555 9.351305555555555, 78.84191666666666 9.353277777777777)"
52,51,T,SB,21.6,50-51,281.2718130436477,0.46,"=IF(H57>15,0)",15.1593009999999,"30°50'60""R",9.353277777777777,78.84191666666666,GOOD,Available,,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84191666666666 9.353277777777777, 78.84016666666666 9.353916666666667)"
53,52,S,SA,21,51-52,207.25461131190488,2.7,"=IF(H58>15,0)",15.481939,,9.353916666666667,78.84016666666666,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.84016666666666 9.353916666666667, 78.83825 9.354694444444444)"
54,53,T,SB,21.6,52-53,226.5619706891175,3.01,"=IF(H59>15,0)",15.850872,"2°26'60""R",9.354694444444444,78.83825,GOOD,Available,,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83825 9.354694444444444, 78.83588888888889 9.3555)"
55,54,S,SA,21,53-54,275.9571722908789,1.17,"=IF(H60>15,0)",13.9323789999999,,9.3555,78.83588888888889,GOOD,Available,,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83588888888889 9.3555, 78.8335 9.356333333333334)"
56,55,S,SA,21,54-55,275.68688055754177,2.01,"=IF(H61>15,0)",14.4435959999999,,9.356333333333334,78.8335,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8335 9.356333333333334, 78.83119444444444 9.357138888888889)"
57,56,S,SA,21,55-56,270.37071313490424,1.31,"=IF(H62>15,0)",15.30673,,9.357138888888889,78.83119444444444,GOOD,Available,LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.83119444444444 9.357138888888889, 78.82897222222222 9.357861111111111)"
58,57,S,SA,21,56-57,256.7880126724157,1.5,"=IF(H63>15,0)",15.217516,,9.357861111111111,78.82897222222222,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82897222222222 9.357861111111111, 78.82688888888889 9.358555555555554)"
59,58,S,SA,21,57-58,241.62691441101904,3.09,"=IF(H64>15,0)",15.720373,,9.358555555555554,78.82688888888889,GOOD,Available,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82688888888889 9.358555555555554, 78.82461111111111 9.359305555555554)"
60,59,S,SA,21,58-59,263.5001345524456,4.11,"=IF(H65>15,0)",19.641945,,9.359305555555554,78.82461111111111,GOOD,Available,"11KV,LT",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82461111111111 9.359305555555554, 78.82247222222222 9.360055555555554)"
61,60,T,SB,21.6,59-60,250.04192258231018,5.08,"=IF(H66>15,0)",18.192326,"11°18'0""R",9.360055555555554,78.82247222222222,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82247222222222 9.360055555555554, 78.82025 9.360388888888888)"
62,61,S,SA,21,60-61,246.45419492620925,3.74,"=IF(H67>15,0)",18.337008,,9.360388888888888,78.82025,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.82025 9.360388888888888, 78.81811111111111 9.360694444444444)"
63,62,S,SA,21,61-62,236.5680032809142,2.1,"=IF(H68>15,0)",18.6692299999999,,9.360694444444444,78.81811111111111,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81811111111111 9.360694444444444, 78.81594444444444 9.360972222222221)"
64,63,T,SB,21.6,62-63,239.08213389489794,3.19,"=IF(H69>15,0)",18.5696809999999,"25°37'12""R",9.360972222222221,78.81594444444444,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81594444444444 9.360972222222221, 78.81372222222222 9.360249999999999)"
65,64,S,SA,21,63-64,258.56017155202625,2.86,"=IF(H70>15,0)",18.860178,,9.360249999999999,78.81372222222222,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81372222222222 9.360249999999999, 78.81141666666666 9.359499999999999)"
66,65,T,SB,21.6,64-65,266.8406187185834,3.06,"=IF(H71>15,0)",18.4286479999999,"16°59'24""L",9.359499999999999,78.81141666666666,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81141666666666 9.359499999999999, 78.80894444444444 9.359416666666666)"
67,66,S,SA,21,65-66,271.08391266014826,2.89,"=IF(H72>15,0)",16.832466,,9.359416666666666,78.80894444444444,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80894444444444 9.359416666666666, 78.80661111111111 9.359333333333334)"
68,67,S,SA,21,66-67,257.7393900291713,2.32,"=IF(H73>15,0)",18.3290119999999,,9.359333333333334,78.80661111111111,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80661111111111 9.359333333333334, 78.80416666666666 9.35925)"
69,68,S,SA,21,67-68,268.5153756460497,2.03,"=IF(H74>15,0)",16.429955,,9.35925,78.80416666666666,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80416666666666 9.35925, 78.80177777777777 9.359194444444444)"
70,69,S,SA,21,68-69,262.5209148792296,3.22,"=IF(H75>15,0)",16.639849,,9.359194444444444,78.80177777777777,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80177777777777 9.359194444444444, 78.80052777777777 9.35913888888889)"
71,70,T,DB,25,69-70,135.91844510928033,3.94,"=IF(H76>15,0)",16.744181,"0°10'12""L",9.35913888888889,78.80052777777777,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80052777777777 9.35913888888889, 78.80066666666666 9.356972222222222)"
72,71,S,DA,25.6,70-71,238.75082828613174,4.91,"=IF(H77>15,0)",16.292877,,9.356972222222222,78.80066666666666,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80066666666666 9.356972222222222, 78.80083333333333 9.354861111111111)"
73,72,S,DA,26,71-72,234.20572927919872,3.61,"=IF(H78>15,0)",15.373969,,9.354861111111111,78.80083333333333,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80083333333333 9.354861111111111, 78.80091666666667 9.35313888888889)"
74,73,T,DB,25,72-73,192.58466032210382,2.79,"=IF(H79>15,0)",15.051767,"12°21'36""R",9.35313888888889,78.80091666666667,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80091666666667 9.35313888888889, 78.80161111111111 9.350666666666667)"
75,74,S,DA,26,73-74,283.2300392573272,1.82,"=IF(H80>15,0)",13.706502,,9.350666666666667,78.80161111111111,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80161111111111 9.350666666666667, 78.80233333333334 9.348222222222223)"
76,75,S,DA,26,74-75,282.5022193487047,1.25,"=IF(H81>15,0)",12.970196,,9.348222222222223,78.80233333333334,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80233333333334 9.348222222222223, 78.80302777777777 9.345722222222223)"
77,76,S,DA,26,75-76,286.4104125237256,0.63,"=IF(H82>15,0)",8.743078,,9.345722222222223,78.80302777777777,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80302777777777 9.345722222222223, 78.80369444444445 9.343250000000001)"
78,77,T,DB,25,76-77,282.61395212997024,1.05,"=IF(H83>15,0)",9.59182599999999,"30°29'24""L",9.343250000000001,78.80369444444445,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80369444444445 9.343250000000001, 78.80302777777777 9.34075)"
79,78,S,DA,26,77-78,287.2810472907189,3.01,"=IF(H84>15,0)",9.488242,,9.34075,78.80302777777777,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80302777777777 9.34075, 78.80233333333334 9.33825)"
80,79,T,DB,25,78-79,287.510376882758,1.58,"=IF(H85>15,0)",8.621048,"31°19'12""R",9.33825,78.80233333333334,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80233333333334 9.33825, 78.80302777777777 9.335916666666668)"
81,80,S,DA,26,79-80,269.51293236605267,0.16,"=IF(H86>15,0)",9.896107,,9.335916666666668,78.80302777777777,GOOD,Available,,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80302777777777 9.335916666666668, 78.80347222222223 9.334333333333333)"
82,81,T,DB,25,80-81,182.59941105041304,1.02,"=IF(H87>15,0)",9.002008,"56°19'48""R",9.334333333333333,78.80347222222223,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80347222222223 9.334333333333333, 78.80544444444445 9.333694444444445)"
83,82,S,DA,26,81-82,226.16828092192824,3.41,"=IF(H88>15,0)",9.232668,,9.333694444444445,78.80544444444445,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80544444444445 9.333694444444445, 78.80708333333332 9.333222222222222)"
84,83,S,DA,26,82-83,187.81507393479401,2.03,"=IF(H89>15,0)",8.55607599999999,,9.333222222222222,78.80708333333332,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80708333333332 9.333222222222222, 78.80847222222222 9.332694444444444)"
85,84,T,DB,25,83-84,165.27019636683283,4.09,"=IF(H90>15,0)",9.67625,"14°8'60""R",9.332694444444444,78.80847222222222,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.80847222222222 9.332694444444444, 78.81108333333333 9.332416666666667)"
86,85,S,DA,26,84-85,288.3155675474428,1.91,"=IF(H91>15,0)",9.51152199999999,,9.332416666666667,78.81108333333333,GOOD,Available,,Pond,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81108333333333 9.332416666666667, 78.81358333333333 9.332083333333333)"
87,86,S,DA,26,85-86,276.80239803336985,2.32,"=IF(H92>15,0)",10.8508049999999,,9.332083333333333,78.81358333333333,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.81358333333333 9.332083333333333, 78.81605555555555 9.331833333333334)"
