S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),t,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken, etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain / Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
18,16,,S,DA,28, 15- 16,304.8038943,2.33,FALSE,491.149689,,9.652944444,77.21127778,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.21127777777778 9.652944444444445, 77.21166666666667 9.655694444444444)"
19,17,,S,DA,26, 16- 17,304.5787206,2.08,FALSE,501.077026,,9.655694444,77.21166667,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.21166666666667 9.655694444444444, 77.21202777777778 9.658555555555555)"
20,18,,S,DA,26, 17- 18,320.7645107,1.04,FALSE,512.310059,,9.658555556,77.21202778,GOOD,Available,LT,Road Crossing,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.21202777777778 9.658555555555555, 77.2123888888889 9.661138888888889)"
21,19,,S,DA,26, 18- 19,289.2387592,0.56,FALSE,520.818542,,9.661138889,77.21238889,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2123888888889 9.661138888888889, 77.21272222222223 9.663583333333333)"
22,20,2W,T,DC,26, 19- 20,272.3263401,0.31,FALSE,524.264282,"26°18'36""L",9.663583333,77.21272222,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.21272222222223 9.663583333333333, 77.21425 9.665833333333333)"
23,21,,S,DA,26, 20- 21,301.4250612,3.31,FALSE,523.141907,,9.665833333,77.21425,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.21425 9.665833333333333, 77.21583333333334 9.668027777777777)"
24,22,,S,DA,26, 21- 22,295.7641964,7.6,FALSE,522.314514,,9.668027778,77.21583333,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.21583333333334 9.668027777777777, 77.21738888888889 9.67025)"
25,23,,S,DA,26, 22- 23,301.9665527,4.18,FALSE,521.563538,,9.67025,77.21738889,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.21738888888889 9.67025, 77.21900000000001 9.672555555555554)"
26,24,,S,DA,26, 23- 24,308.4133245,4.21,FALSE,525.047363,,9.672555556,77.219,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.21900000000001 9.672555555555554, 77.22083333333333 9.67511111111111)"
27,25,,S,DA,26, 24- 25,348.8820868,0.35,FALSE,526.063904,,9.675111111,77.22083333,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.22083333333333 9.67511111111111, 77.2226111111111 9.677694444444445)"
28,26,,S,DA,26, 25- 26,344.8384719,0.66,FALSE,523.302673,,9.677694444,77.22261111,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2226111111111 9.677694444444445, 77.22405555555555 9.679694444444443)"
29,27,,S,DA,26, 26- 27,272.8025367,0.44,FALSE,518.530151,,9.679694444,77.22405556,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.22405555555555 9.679694444444443, 77.22597222222223 9.682416666666667)"
30,28,,S,DA,28, 27- 28,366.8987961,0.35,FALSE,517.712219,,9.682416667,77.22597222,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.22597222222223 9.682416666666667, 77.22747222222222 9.684583333333334)"
31,29,,S,DA,26, 28- 29,291.7253994,0.66,FALSE,513.604858,,9.684583333,77.22747222,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.22747222222222 9.684583333333334, 77.22897222222223 9.686722222222222)"
32,30,,S,DA,26, 29- 30,287.889168,0.33,FALSE,511.049622,,9.686722222,77.22897222,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.22897222222223 9.686722222222222, 77.23066666666666 9.689083333333334)"
33,31,,S,DA,26, 30- 31,320.0704894,0.69,FALSE,508.872589,,9.689083333,77.23066667,GOOD,Available,"LT, HT",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.23066666666666 9.689083333333334, 77.23216666666667 9.69125)"
34,32,2W,T,DB,26, 31- 32,290.4038867,2.31,FALSE,508.407166,"3°27'36"" R",9.69125,77.23216667,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.23216666666667 9.69125, 77.23361111111112 9.693555555555555)"
35,33,,S,DA,26, 32- 33,300.1444665,2.17,FALSE,502.17514,,9.693555556,77.23361111,GOOD,Available,,Road Crossing,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.23361111111112 9.693555555555555, 77.23488888888889 9.695611111111111)"
36,34,,S,DA,26, 33- 34,270.1569476,2.34,FALSE,504.2724,,9.695611111,77.23488889,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.23488888888889 9.695611111111111, 77.23647222222222 9.69813888888889)"
37,35,,S,DA,26, 34- 35,326.5935153,2.33,FALSE,505.168823,,9.698138889,77.23647222,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.23647222222222 9.69813888888889, 77.23802777777777 9.70061111111111)"
38,36,,S,DA,26, 35- 36,321.7901707,1.67,FALSE,503.105988,,9.700611111,77.23802778,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.23802777777777 9.70061111111111, 77.23958333333333 9.703055555555554)"
39,37,,S,DA,26, 36- 37,320.2607607,1.88,FALSE,503.358307,,9.703055556,77.23958333,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.23958333333333 9.703055555555554, 77.24105555555556 9.705444444444444)"
40,38,,S,DA,26, 37- 38,310.1148148,2.63,FALSE,498.880493,,9.705444444,77.24105556,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24105555555556 9.705444444444444, 77.24261111111112 9.707888888888888)"
41,39,,S,DA,26, 38- 39,321.5391829,1.81,FALSE,496.826538,,9.707888889,77.24261111,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24261111111112 9.707888888888888, 77.24413888888888 9.710333333333333)"
42,40,,S,DA,26, 39- 40,317.9302027,1.86,FALSE,499.184143,,9.710333333,77.24413889,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24413888888888 9.710333333333333, 77.24566666666666 9.71275)"
43,41,2W,S,DA,26, 40- 41,316.7216162,1.35,FALSE,495.8685,,9.71275,77.24566667,GOOD,Available,LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24566666666666 9.71275, 77.24708333333334 9.714972222222222)"
44,42,,S,DA,26, 41- 42,289.6111484,2.34,FALSE,494.230347,,9.714972222,77.24708333,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24708333333334 9.714972222222222, 77.24861111111112 9.717444444444444)"
45,43,,S,DA,26, 42- 43,319.2622079,1.66,FALSE,493.279541,,9.717444444,77.24861111,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.24861111111112 9.717444444444444, 77.25016666666667 9.719888888888889)"
46,44,,S,DA,28, 43- 44,321.2354001,2.26,FALSE,487.419281,,9.719888889,77.25016667,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25016666666667 9.719888888888889, 77.25169444444444 9.722333333333333)"
47,45,,S,DA,26, 44- 45,319.4784531,2.39,FALSE,486.388611,,9.722333333,77.25169444,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25169444444444 9.722333333333333, 77.25319444444445 9.724666666666666)"
48,46,,S,DA,26, 45- 46,304.3663998,1.03,FALSE,485.642944,,9.724666667,77.25319444,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25319444444445 9.724666666666666, 77.25475 9.727166666666667)"
49,47,,S,DA,26, 46- 47,326.6257856,3.26,FALSE,484.375183,,9.727166667,77.25475,GOOD,Available,LT ,Road,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25475 9.727166666666667, 77.25619444444445 9.729527777777777)"
50,48,,T,DB,28, 47- 48,303.7919692,0.81,FALSE,478.982849,"0°16'12"" L",9.729527778,77.25619444,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25619444444445 9.729527777777777, 77.25777777777778 9.732)"
51,49,,S,DA,26, 48- 49,324.9984503,0.7,FALSE,479.517883,,9.732,77.25777778,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25777777777778 9.732, 77.25925 9.734333333333332)"
52,50,,S,DA,26, 49- 50,304.2697358,0.49,FALSE,477.934875,,9.734333333,77.25925,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25925 9.734333333333332, 77.26063888888889 9.736527777777777)"
53,51,,S,DA,26, 50- 51,287.6050363,8.11,FALSE,476.340302,,9.736527778,77.26063889,GOOD,Available,LT,Road,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26063888888889 9.736527777777777, 77.26155555555556 9.737805555555555)"
54,LILO : CB1,3W,T,DC,26, 51- CB1,171.2650713,0.8,FALSE,472.824707,"8°34'12"" R",9.737805556,77.26155556,GOOD,Available,,,Agri,LILO AT CUMBAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26155555555556 9.737805555555555, 77.26211111111111 9.738916666666666)"
55,52,,S,DA,26, CB1- 52,140.1533907,4.31,FALSE,474.659332,,9.738916667,77.26211111,GOOD,Available,,Road,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26211111111111 9.738916666666666, 77.26366666666667 9.741333333333332)"
56,53,,S,DA,26, 52- 53,314.9609837,7.44,FALSE,469.342285,,9.741333333,77.26366667,GOOD,Available,,Village Road,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26366666666667 9.741333333333332, 77.26519444444445 9.743805555555555)"
57,54,,S,DA,26, 53- 54,320.9002715,6.97,FALSE,461.616241,,9.743805556,77.26519444,GOOD,Available,LT,Village Road,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26519444444445 9.743805555555555, 77.26666666666667 9.746166666666666)"
58,55,,S,DA,26, 54- 55,306.5667304,3.36,FALSE,461.057373,,9.746166667,77.26666667,GOOD,Available,LT- 2NO'S,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26666666666667 9.746166666666666, 77.268 9.748249999999999)"
59,56,,S,DA,26, 55-56,275.4964666,1.09,FALSE,458.334167,,9.74825,77.268,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.268 9.748249999999999, 77.26980555555555 9.751111111111111)"
60,57,,S,DA,26,56- 57,370.8653867,5.78,FALSE,456.821686,,9.751111111,77.26980556,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26980555555555 9.751111111111111, 77.271 9.753027777777778)"
61,58,,S,DA,28, 57- 58,251.8377363,2.05,FALSE,461.067169,,9.753027778,77.271,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.271 9.753027777777778, 77.2726111111111 9.755583333333334)"
62,59,,S,DA,26, 58-59,332.9853878,2.03,FALSE,451.083862,,9.755583333,77.27261111,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2726111111111 9.755583333333334, 77.27430555555556 9.75825)"
63,60,,S,DA,26,59- 60,348.2777212,0.73,FALSE,443.697418,,9.75825,77.27430556,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27430555555556 9.75825, 77.27583333333334 9.760694444444445)"
64,61,,S,DA,26, 60- 61,317.4516305,3.31,FALSE,452.324066,,9.760694444,77.27583333,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27583333333334 9.760694444444445, 77.27694444444444 9.762444444444444)"
65,62,2W,T,DB,26, 61- 62,229.5006501,2.11,FALSE,455.468994,"0°28'12"" L",9.762444444,77.27694444,GOOD,Available,"11KV,LT",,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27694444444444 9.762444444444444, 77.27886111111111 9.765472222222222)"
66,63,,S,DA,26, 62- 63,395.412006,0.39,FALSE,443.700409,,9.765472222,77.27886111,GOOD,Available,,Road Crossing,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.27886111111111 9.765472222222222, 77.28013888888889 9.76752777777778)"
67,64,,S,DA,26, 63- 64,266.596688,3.33,FALSE,444.401581,,9.767527778,77.28013889,GOOD,Available,LT,Road Crossing,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28013888888889 9.76752777777778, 77.28166666666667 9.769916666666667)"
68,65,,S,DA,26, 64- 65,314.2560311,0.25,FALSE,444.370239,,9.769916667,77.28166667,GOOD,Available,2-LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28166666666667 9.769916666666667, 77.28313888888889 9.772361111111111)"
69,66,,S,DA,26, 65- 66,316.2915007,3.15,FALSE,442.14032,,9.772361111,77.28313889,GOOD,Available,LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28313888888889 9.772361111111111, 77.28447222222222 9.774416666666667)"
70,67,,S,DA,26, 66- 67,269.7756617,0.4,FALSE,446.64978,,9.774416667,77.28447222,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28447222222222 9.774416666666667, 77.28594444444444 9.77677777777778)"
71,68,,S,DA,26, 67- 68,305.1722262,9.36,FALSE,447.905914,,9.776777778,77.28594444,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28594444444444 9.77677777777778, 77.28736111111111 9.77902777777778)"
72,69,,S,DA,28, 68- 69,295.7240903,3.03,FALSE,449.506195,,9.779027778,77.28736111,GOOD,Available,LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28736111111111 9.77902777777778, 77.28869444444445 9.78113888888889)"
73,70,,S,DA,26, 69- 70,276.3165536,0.41,FALSE,446.868988,,9.781138889,77.28869444,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.28869444444445 9.78113888888889, 77.29002777777778 9.78325)"
74,71,,S,DA,26, 70- 71,274.211674,4.86,FALSE,447.069489,,9.78325,77.29002778,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29002777777778 9.78325, 77.29133333333333 9.785333333333334)"
75,72,,S,DA,26, 71- 72,271.6410767,9.15,FALSE,450.997742,,9.785333333,77.29133333,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29133333333333 9.785333333333334, 77.29266666666666 9.787444444444445)"
76,73,2W,T,DC,26, 72- 73,275.5702633,0.49,FALSE,454.352783,"10°19'12"" R",9.787444444,77.29266667,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29266666666666 9.787444444444445, 77.29375 9.790083333333333)"
77,74,,S,DA,26, 73- 74,314.9763983,1.19,FALSE,452.560028,,9.790083333,77.29375,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29375 9.790083333333333, 77.29469444444445 9.792444444444444)"
78,75,,S,DA,26, 74- 75,280.3555731,2.73,FALSE,457.874969,,9.792444444,77.29469444,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29469444444445 9.792444444444444, 77.29580555555556 9.795055555555555)"
79,76,,S,DA,26, 75- 76,314.8433128,2.18,FALSE,456.652313,,9.795055556,77.29580556,GOOD,Available,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29580555555556 9.795055555555555, 77.29691666666666 9.79775)"
80,77,,S,DA,26, 76- 77,320.9413717,0.51,FALSE,455.725342,,9.79775,77.29691667,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29691666666666 9.79775, 77.29794444444444 9.800194444444445)"
81,78,,S,DA,26, 77- 78,293.7375876,1.95,FALSE,454.659119,,9.800194444,77.29794444,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29794444444444 9.800194444444445, 77.29902777777778 9.802833333333334)"
82,79,,S,DA,26, 78- 79,315.8309271,1.89,FALSE,455.71875,,9.802833333,77.29902778,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.29902777777778 9.802833333333334, 77.30011111111111 9.805416666666668)"
83,80,,S,DA,26, 79- 80,308.2770538,1.29,FALSE,456.699799,,9.805416667,77.30011111,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30011111111111 9.805416666666668, 77.30119444444445 9.808055555555557)"
84,81,,S,DA,26, 80- 81,314.9887769,0.38,FALSE,454.969269,,9.808055556,77.30119444,GOOD,Available,11KV ,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30119444444445 9.808055555555557, 77.30219444444444 9.810444444444444)"
85,82,,S,DA,28, 81- 82,286.9045817,0.64,FALSE,454.207001,,9.810444444,77.30219444,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30219444444444 9.810444444444444, 77.30319444444444 9.812861111111111)"
86,83,,S,DA,26, 82- 83,290.2732589,1.21,FALSE,449.303101,,9.812861111,77.30319444,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30319444444444 9.812861111111111, 77.30430555555556 9.815527777777778)"
87,84,,S,DA,26, 83- 84,319.19339,1.01,FALSE,444.480804,,9.815527778,77.30430556,GOOD,Available,"11KV,LT",Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30430555555556 9.815527777777778, 77.30541666666666 9.818194444444444)"
88,85,,S,DA,26, 84- 85,317.7038648,0.34,FALSE,436.95166,,9.818194444,77.30541667,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30541666666666 9.818194444444444, 77.30544444444445 9.8185)"
89,LILO: PA01,3W,T,DC,28, 85- PA01,34.49525894,0.58,FALSE,437.956512,"20°26'24""L",9.8185,77.30544444,GOOD,Available,,,Agri,LILO AT UTHAMA PALAYAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30544444444445 9.8185, 77.30641666666666 9.820638888888888)"
90,86,,S,DA,28, PA01- 86,259.6487165,0.47,FALSE,426.593781,,9.820638889,77.30641667,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30641666666666 9.820638888888888, 77.30763888888889 9.823527777777777)"
91,87,,S,DA,26, 86- 87,347.6229589,1.8,FALSE,419.149963,,9.823527778,77.30763889,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30763888888889 9.823527777777777, 77.30872222222222 9.826222222222222)"
92,88,,S,DA,26, 87- 88,319.360223,5.95,FALSE,420.246552,,9.826222222,77.30872222,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30872222222222 9.826222222222222, 77.30980555555556 9.828722222222222)"
93,89,,T,DC,26, 88- 89,301.1253077,5.84,FALSE,419.124908,"45°21'36""L",9.828722222,77.30980556,GOOD,Available,,Road,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30980555555556 9.828722222222222, 77.31213888888888 9.829611111111111)"
94,90,,T,DB,26, 89- 90,273.3767937,1.1,FALSE,415.573151,"0°16'12"" L",9.829611111,77.31213889,GOOD,Available,,Road Crossing,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31213888888888 9.829611111111111, 77.31483333333333 9.830638888888888)"
95,91,,S,DA,28, 90- 91,318.2288634,2.34,FALSE,411.514404,,9.830638889,77.31483333,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.31483333333333 9.830638888888888, 77.31741666666666 9.83163888888889)"
