S.No,Tower No.,Joint Box,Tower Suspension / Tension,D,M,S,,,,,Deviation Angle,TOWER MODEL,Tower Type,Tower Height (m),,,Span Between Tower No.,Span Length (m),Footing Resistance of Tower ( Ohms),,Ground Elevation(m),Deviation Angle,Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,line_geom
42,TO.NO:42,,S,17,12,30.3767898,,,,,0°1'14''RT,GC,DA+0,24,T 39,T  40,T41-T42,236,4.2,FALSE,298.612915,,10.38056773,78.10939319,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1093931850045 10.3805677313357, 78.1117738969624 10.3796363342553)"
43,TO.NO:43,,S,,,,,,,,0°26'58''RT,GC,DA+0,24,T 40,T  41,T42-T43,289,7.16,FALSE,303.6599121,,10.37963633,78.1117739,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1117738969624 10.3796363342553, 78.1145473849028 10.3785984870046)"
44,TO.NO:44,,S,,,,,,,,0°11'58''RT,GC,DA+0,24,T 41,T  42,T43-T44,333,4.68,FALSE,315.9165039,,10.37859849,78.11454738,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1145473849028 10.3785984870046, 78.1164135318249 10.3778447024524)"
45,TO.NO:45,,T,,,,,,,,0°30'54''RT,KC,DD+0,24,T 42,T  43,T44-T45,229,4.95,FALSE,312.7922363,25°33'48''RT,10.3778447,78.11641353,Good,Good,LT,LT,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1164135318249 10.3778447024524, 78.1177263054996 10.3764134086668)"
46,TO.NO:46,,S,25,33,47.6113331,,,,,1°4'32''RT,GC,DA+0,24,T 43,T  44,T45-T46,223,1.84,FALSE,318.3198242,,10.37641341,78.11772631,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1177263054996 10.3764134086668, 78.1184024736285 10.3754449635744)"
47,TO.NO:47,,T,,,,12,28,31,LT,0°44'22''RT,KC,DC+0,22,T 44,T  45,T46-T47,139,1.14,FALSE,321.9248047,21°41'19''LT,10.37544496,78.11840247,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1184024736285 10.3754449635744, 78.1201399583369 10.374299576506)"
48,TO.NO:48,,S,21,41,18.82770871,,,,,0°31'38''RT,GC,DA+0,24,T 45,T  46,T47-T48,237,2.34,FALSE,321.6844482,,10.37429958,78.12013996,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1201399583369 10.374299576506, 78.1222397927194 10.3730460628867)"
49,TO.NO:49,,S,,,,,,,,0°18'22''RT,GC,DA+0,24,T 46,T  47,T48-T49,277,0.33,FALSE,320.963501,,10.37304606,78.12223979,Good,Good,"22KV-1,LT",THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1222397927194 10.3730460628867, 78.1242404691874 10.371865471825)"
50,TO.NO:50,,T,,,,,,,,0°13'31''RT,KC,DB+0,22,T 47,T  48,T49-T50,264,0.27,FALSE,328.6539307,8°4'33''LT,10.37186547,78.12424047,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1242404691874 10.371865471825, 78.126403838396 10.3709686081856)"
51,TO.NO:51,,S,8,4,32.54661333,,,,,0°1'6''RT,GC,DA+0,24,T 48,T  49,T50-T51,266,0.88,0,328.1732178,,10.37096861,78.12640384,Good,Good,22KV,,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.126403838396 10.3709686081856, 78.1286631803959 10.3701792005449)"
52,TO.NO:52,,T,,,,,,,,0°23'22''RT,KC,DD+0,24,T 49,T  50,T51-T52,271,2.45,FALSE,338.7476807,41°6'55''RT,10.3701792,78.12866318,Good,Good,"LT,22KV",THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1286631803959 10.3701792005449, 78.1296343915164 10.3684759140014)"
53,TO.NO:53,,S,41,6,54.64741195,18,48,45,LT,0°14'44''RT,GC,DA+0,24,T 50,T  51,T52-T53,225,0.42,FALSE,337.5460205,,10.36847591,78.12963439,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1296343915164 10.3684759140014, 78.1305788643658 10.3667936660349)"
54,TO.NO:54,,T,,,,,,,,0°5'4''RT,KC,DB+0,22,T 51,T  52,T53-T54,222,6.73,FALSE,349.0817871,,10.36679367,78.13057886,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1305788643658 10.3667936660349, 78.1306 10.366711)"
55,Senguruchi GANTRY,2W,T,,,,,,,,,,Bay,12,,,T 54-Senguruchi Gantry,25,NIL,,339,,10.366711,78.1306,Good,No E/W,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,TOTOL KM,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
