S.No,Tower No.,Joint Box,Tower Suspension/ Tension,Deviation Angle,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower (ohms),,Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,11,,A+0,,S,28,10-Nov,301,3.8,FALSE,93.294327,,9.932402884,78.54710204,Good,Available,2 LT LINES,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5471020376123 9.932402884181997, 78.54907999911734 9.931832914855146)"
12,12,,A+0,,S,28,11-Dec,228,5.63,FALSE,93.704193,,9.931832915,78.54908,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54907999911734 9.931832914855146, 78.55171099469656 9.93109396638937)"
13,13,,A+0,,S,28,Dec-13,303,0.51,FALSE,97.094238,,9.931093966,78.55171099,Good,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55171099469656 9.93109396638937, 78.55408500112533 9.930439926590267)"
14,14,2W,D+0,57°17'25''RT,S,26,13-14,273,0.17,FALSE,99.794571,57°17'25''RT,9.930439927,78.554085,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55408500112533 9.930439926590267, 78.55490701436715 9.9278039019152)"
15,15,,A+0,,S,28,14-15,308,0.63,FALSE,102.607742,,9.927803902,78.55490701,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55490701436715 9.9278039019152, 78.55575400568044 9.925163937745666)"
16,16,,A+0,,S,28,15-16,309,0.29,FALSE,106.526688,,9.925163938,78.55575401,Good,Available,3 LT LINES,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55575400568044 9.925163937745666, 78.55649102642428 9.922897890270084)"
17,17,,A+0,,S,28,16-17,266,1.59,FALSE,106.105644,,9.92289789,78.55649103,Good,Available,2 LT LINES,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55649102642428 9.922897890270084, 78.55742996721514 9.919945951670648)"
18,18,,A+0,,S,28,17-18,345,1.76,FALSE,107.701561,,9.919945952,78.55742997,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55742996721514 9.919945951670648, 78.55825399211375 9.917287966408605)"
19,19,,A+0,,S,28,18-19,310,0.11,FALSE,112.764877,,9.917287966,78.55825399,Good,Available,2 LT LINES,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55825399211375 9.917287966408605, 78.5590390411628 9.914651941730954)"
20,20,,A+0,,S,28,19-20,307,3.01,FALSE,114.848335,,9.914651942,78.55903904,Good,Available,2 LT LINES,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5590390411628 9.914651941730954, 78.55983699834263 9.912047935923413)"
21,21,,A+0,,S,28,20-21,304,2.29,FALSE,112.96434,,9.912047936,78.559837,Good,Available,2 LT LINES,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55983699834263 9.912047935923413, 78.5606210415633 9.90937989237604)"
22,22,,A+0,,T,28,21-22,310,1.18,FALSE,108.999268,,9.909379892,78.56062104,Good,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5606210415633 9.90937989237604, 78.56141899874312 9.906697934869323)"
23,23,,A+0,,S,28,22-23,312,0.58,FALSE,106.569,,9.906697935,78.561419,Good,Available,"11 KV, LT",Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56141899874312 9.906697934869323, 78.56214596120333 9.904090911574283)"
24,24,,A+0,,S,28,23-24,302,0.09,FALSE,104.509796,,9.904090912,78.56214596,Good,Available,LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56214596120333 9.904090911574283, 78.56288499360402 9.901417922701537)"
25,25,,A+0,,T,28,24-25,309,0.27,FALSE,105.265869,,9.901417923,78.56288499,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56288499360402 9.901417922701537, 78.56356602323496 9.898932939913884)"
26,26,,D+0,23°25'4''RT,T,26,25-26,287,2.67,FALSE,105.692703,23°25'4''RT,9.89893294,78.56356602,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56356602323496 9.898932939913884, 78.5651620214136 9.896951960998813)"
27,27,,A+0,,S,28,26-27,283,2.97,FALSE,104.440399,,9.896951961,78.56516202,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5651620214136 9.896951960998813, 78.5668089815633 9.894908956002103)"
28,28,,A+0,,S,28,27-28,292,2.28,FALSE,101.109749,,9.894908956,78.56680898,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5668089815633 9.894908956002103, 78.56836198057886 9.89300291129869)"
29,29,2W,D+0,15°43'18''RT,S,26,28-29,274,2.59,FALSE,86.274429,15°43'18''RT,9.893002911,78.56836198,Good,Available,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56836198057886 9.89300291129869, 78.56873698692577 9.89213588725574)"
30,30,,D+0,41°40'43''RT,T,26,29-30,107,1.26,FALSE,86.369858,41°40'43''RT,9.892135887,78.56873699,Good,Available,,Railway crossing,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56873698692577 9.89213588725574, 78.5713430044338 9.89092495382111)"
31,31,,A+0,,S,28,30-31,318,2.72,FALSE,84.822914,,9.890924954,78.571343,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5713430044338 9.89092495382111, 78.57397400001325 9.889682923526998)"
32,32,,A+0,,S,28,31-32,322,1.22,FALSE,85.017082,,9.889682924,78.573974,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.57397400001325 9.889682923526998, 78.57655302779328 9.888471906271118)"
33,33,,A+0,,S,28,32-33,316,6.25,FALSE,83.910019,,9.888471906,78.57655303,Good,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.57655302779328 9.888471906271118, 78.57910598785452 9.887274886792621)"
34,34,,B+0,3°33'28''RT,S,26,33-34,312,0.99,FALSE,83.273155,3°33'28''RT,9.887274887,78.57910599,Good,Available,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.57910598785452 9.887274886792621, 78.58155199483157 9.885937889526746)"
35,35,,A+0,,T,28,34-35,309,0.09,FALSE,82.666794,,9.88593789,78.58155199,Good,Available,2 LT LINES,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.58155199483157 9.885937889526746, 78.58413596793447 9.884580943337172)"
36,36,,A+0,,S,28,35-36,323,0.24,FALSE,82.822212,,9.884580943,78.58413597,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.58413596793447 9.884580943337172, 78.58665900460156 9.883218968002614)"
37,37,,A+0,,S,28,36-37,318,0.04,FALSE,82.593292,,9.883218968,78.586659,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.58665900460156 9.883218968002614, 78.58918698659147 9.881820950485467)"
38,38,,A+0,,S,28,37-38,320,0.51,FALSE,81.231758,,9.88182095,78.58918699,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.58918698659147 9.881820950485467, 78.59154003826275 9.880591912126807)"
39,39,2W,D+0,37°55'38''RT,S,26,38-39,294,0.29,FALSE,84.100433,37°55'38''RT,9.880591912,78.59154004,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59154003826275 9.880591912126807, 78.59268902954653 9.87806795350656)"
40,40,,A+0,,S,28,39-40,309,1.59,FALSE,82.424576,,9.878067954,78.59268903,Good,Available,"11KV, 3 LT LINES",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59268902954653 9.87806795350656, 78.59384900112349 9.87550493521862)"
41,41,,A+0,,S,28,40-41,313,1.76,FALSE,84.046455,,9.875504935,78.593849,Good,Available,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59384900112349 9.87550493521862, 78.59503101710581 9.87299991970051)"
42,42,,A+0,,S,28,41-42,309,0.11,FALSE,85.16127,,9.87299992,78.59503102,Good,Available,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59503101710581 9.87299991970051, 78.59628503363612 9.87026096527042)"
43,43,,A+0,,T,28,42-43,335,3.01,FALSE,82.848267,,9.870260965,78.59628503,Good,Available,11 KV,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59628503363612 9.87026096527042, 78.59742103297005 9.867821915327438)"
44,44,,A+0,,S,28,43-44,300,2.29,FALSE,84.670242,,9.867821915,78.59742103,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59742103297005 9.867821915327438, 78.59858502786052 9.865211958381845)"
45,45,,A+0,,S,28,44-45,318,1.18,FALSE,87.735214,,9.865211958,78.59858503,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59858502786052 9.865211958381845, 78.59924099560118 9.86379994300936)"
46,46,,A+0,,S,28,45-46,175,0.58,FALSE,87.82618,,9.863799943,78.599241,Good,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59924099560118 9.86379994300936, 78.59985396417854 9.862453893212198)"
47,47,2W,D+0,55°57'4''RT,S,26,46-47,166,0.09,FALSE,90.540039,55°57'4''RT,9.862453893,78.59985396,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.59985396417854 9.862453893212198, 78.6024370152723 9.86201392722064)"
48,48,,A+0,,T,28,47-48,290,0.27,FALSE,91.728271,,9.862013927,78.60243702,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6024370152723 9.86201392722064, 78.60492199809913 9.861590892670037)"
49,49,,A+0,,S,28,48-49,279,2.67,FALSE,92.784286,,9.861590893,78.604922,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60492199809913 9.861590892670037, 78.60747504197961 9.861154949990304)"
50,50,,A+0,,S,28,49-50,287,2.97,FALSE,93.385857,,9.86115495,78.60747504,Good,Available,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.60747504197961 9.861154949990304, 78.61008902229607 9.860728897957955)"
51,51,,A+0,,S,28,50-51,293,1.59,FALSE,95.2481,,9.860728898,78.61008902,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61008902229607 9.860728897957955, 78.61270199678415 9.860338888108778)"
52,52,2W,D+0,40°2'19''RT,T,26,51-52,292,0.98,FALSE,96.904671,40°2'19''RT,9.860338888,78.612702,Good,Available,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61270199678415 9.860338888108778, 78.61467300131004 9.858121958631171)"
53,53,,A+0,,T,28,52-53,330,0.58,FALSE,100.556946,,9.858121959,78.614673,Good,Available,11 KV,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61467300131004 9.858121958631171, 78.61657703442981 9.855946938665825)"
54,54,,A+0,,T,28,53-54,321,3.65,FALSE,100.397797,,9.855946939,78.61657703,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61657703442981 9.855946938665825, 78.61846396846703 9.853794968933745)"
55,55,,A+0,, ,28,54-55,318,4.58,FALSE,98.974068,,9.853794969,78.61846397,Good,Available,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.61846396846703 9.853794968933745, 78.62029197772522 9.851686920370588)"
56,56,,DD+0,38°22'2''RT, ,26,55-56,310,0.87,FALSE,101.127159,38°22'2''RT,9.85168692,78.62029198,Good,Available,LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.62029197772522 9.851686920370588, 78.62034503517222 9.850391916341309)"
57,57,,DC+0,72°42'10''RT, ,26,56-57,146,0.59,FALSE,99.682045,72°42'10''RT,9.850391916,78.62034504,Good,Available,2 LT LINES,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.62034503517222 9.850391916341309, 78.62054100406782 9.850339948550202)"
58,Kalayar koil SS,2W,GANTRY,, ,26,57-Gantry kalayarkoil,25,,,101.696014,,9.850339949,78.620541,Good,Missing,11 KV,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : ,No of Suspension Tower ( A)                    ,,,,,:,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"No of Tension Tower   ( B,C & D)       ",,,,,:,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,No of H-Pole  & Gantry                                           ,,,,,:,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Earthwire Missing Locations (6 span)  ,,,,,:,"3- 8, 57 - Kalayarkoil Gantry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For M/S STERLITE POWER TRANSMISSION LIMITED,,,,,,,,,,,,,,,,,For M/S TANTRANSCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
