S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
22,182,T,DB,25,183-182,193.96022629574853,0.48,"=IF(H27>15,0)",316.104247999999,"2°6'36""L",9.972916666666666,77.4415,GOOD,Available,"11KV,LT",Theni-Thevaram,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4415 9.972916666666666, 77.44044444444445 9.970972222222223)"
23,181B,T,DB,25,182-181B,245.83579437811505,0.88,"=IF(H28>15,0)",313.735930999999,"3°56'24""R",9.970972222222223,77.44044444444445,GOOD,Available,"2-LT,11KV",Kodentrapuram Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44044444444445 9.970972222222223, 77.43947222222222 9.968861111111112)"
24,LILO : 181A,T,DB,25,181B-181A,254.2159046386861,0.46,"=IF(H29>15,0)",311.860351999999,"0°43'12""R",9.968861111111112,77.43947222222222,GOOD,Available,,,Agri,LILO  at Rasingapuram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43947222222222 9.968861111111112, 77.4383888888889 9.966444444444443)"
25,181,A,SA,21,181A-181,295.0028683813295,3.5,"=IF(H30>15,0)",314.58078,,9.966444444444443,77.4383888888889,GOOD,Available,LT,Veerapandi Kovil Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4383888888889 9.966444444444443, 77.43736111111112 9.96411111111111)"
26,180,T,SB,21,181-180,279.60446586573966,0.54,"=IF(H31>15,0)",317.378693,"8°58'12""R",9.96411111111111,77.43736111111112,GOOD,Available,"LT,11KV",Veerapandi Kovil Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43736111111112 9.96411111111111, 77.43680555555557 9.962138888888887)"
27,179,S,SA,21,180-179,228.36502245139914,0.32,"=IF(H32>15,0)",320.692719,,9.962138888888887,77.43680555555557,GOOD,Available,11 KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43680555555557 9.962138888888887, 77.43625 9.960055555555554)"
28,178,T,SC,22,179-178,237.35375457661624,0.55,"=IF(H33>15,0)",324.322387999999,"49°55'48""R",9.960055555555554,77.43625,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43625 9.960055555555554, 77.43636111111111 9.959916666666667)"
29,177,T,H-Pole,12,178-177,19.226691166392882,NIL,"=IF(H34>15,0)",324.687865999999,,9.959916666666667,77.43636111111111,GOOD,NO E/W,110kV Theni-Periyar I & II,,Plain,Rail Pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43636111111111 9.959916666666667, 77.43644444444445 9.959777777777777)"
30,176,T,H-Pole,12,177-176,19.331902147905392,NIL,"=IF(H35>15,0)",322.415648999999,,9.959777777777777,77.43644444444445,GOOD,NO E/W,110kV Theni-Periyar I & II,,Plain,Rail Pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43644444444445 9.959777777777777, 77.43652777777778 9.959416666666666)"
31,175,T,SB,21,176-175,39.791947918002776,NIL,"=IF(H36>15,0)",322.529296999999,"21°0'36""L",9.959416666666666,77.43652777777778,GOOD,NO E/W,2 -LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43652777777778 9.959416666666666, 77.43641666666667 9.958638888888888)"
32,175A,S,SA,21,175-175A,86.04043307346454,0.18,"=IF(H37>15,0)",324.333556999999,,9.958638888888888,77.43641666666667,GOOD,Available,,Theni -Kambam NH,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43641666666667 9.958638888888888, 77.43622222222223 9.957416666666665)"
33,174,S,SA,21,175A-174,136.80312983895408,2.34,"=IF(H38>15,0)",328.87851,,9.957416666666665,77.43622222222223,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43622222222223 9.957416666666665, 77.43586111111111 9.954805555555556)"
34,173,S,SA,21,174-173,293.1516254038025,1.99,"=IF(H39>15,0)",334.639617999999,,9.954805555555556,77.43586111111111,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43586111111111 9.954805555555556, 77.4355 9.952333333333332)"
35,172,S,SA,21,173-172,274.7626605581165,1.34,"=IF(H40>15,0)",340.346588,,9.952333333333332,77.4355,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4355 9.952333333333332, 77.43513888888889 9.949833333333334)"
36,171,S,SA,21,172-171,279.8985377140302,1.18,"=IF(H41>15,0)",346.772185999999,,9.949833333333334,77.43513888888889,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43513888888889 9.949833333333334, 77.43475000000001 9.947166666666666)"
37,170,T,SB,21,171-170,299.54560592458097,0.14,"=IF(H42>15,0)",352.046936,"17°35'60""L",9.947166666666666,77.43475000000001,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43475000000001 9.947166666666666, 77.43402777777779 9.945638888888888)"
38,169,T,SB,21,170-169,187.22472045249557,0.23,"=IF(H43>15,0)",349.563873,"1°22'12""L",9.945638888888888,77.43402777777779,GOOD,Available,"2-LT,2-11KV",Thappukunndu Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43402777777779 9.945638888888888, 77.4336388888889 9.944888888888888)"
39,168,S,SA,21,169-168,92.24050319683428,0.37,"=IF(H44>15,0)",351.268799,,9.944888888888888,77.4336388888889,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4336388888889 9.944888888888888, 77.43247222222223 9.942555555555556)"
40,168A,S,SA,21,168-168A,288.7121243534099,0.44,"=IF(H45>15,0)",353.29834,,9.942555555555556,77.43247222222223,GOOD,Available,110KV,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43247222222223 9.942555555555556, 77.43125 9.940083333333334)"
41,167,S,SA,21,168A-167,303.3895681807186,1.21,"=IF(H46>15,0)",358.285827999999,,9.940083333333334,77.43125,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43125 9.940083333333334, 77.43005555555555 9.937666666666667)"
42,166,S,SA,21,167-166,298.76002522692295,3.4,"=IF(H47>15,0)",360.818329,,9.937666666666667,77.43005555555555,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43005555555555 9.937666666666667, 77.42886111111112 9.935194444444445)"
43,165,S,SA,21,166-165,302.8211302416299,3.72,"=IF(H48>15,0)",361.857085999999,,9.935194444444445,77.42886111111112,GOOD,Available,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42886111111112 9.935194444444445, 77.4276388888889 9.932722222222221)"
44,164,S,SA,21,165-164,305.14394784146225,0.41,"=IF(H49>15,0)",356.029449,,9.932722222222221,77.4276388888889,GOOD,Available,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4276388888889 9.932722222222221, 77.42641666666667 9.930277777777777)"
45,163,S,SA,21,164-163,301.6635003001701,2.51,"=IF(H50>15,0)",360.488433999999,,9.930277777777777,77.42641666666667,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42641666666667 9.930277777777777, 77.42522222222223 9.927805555555555)"
46,162,S,SA,21,163-162,303.7122891431667,4.75,"=IF(H51>15,0)",362.951477,,9.927805555555555,77.42522222222223,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42522222222223 9.927805555555555, 77.424 9.925333333333333)"
47,161,S,SA,21,162-161,302.9569280653166,3.79,"=IF(H52>15,0)",362.514800999999,,9.925333333333333,77.424,GOOD,Available,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.424 9.925333333333333, 77.42280555555556 9.922888888888888)"
48,160,S,SA,21,161-160,301.00587891916973,2.51,"=IF(H53>15,0)",362.657104,,9.922888888888888,77.42280555555556,GOOD,Available,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42280555555556 9.922888888888888, 77.42166666666667 9.920555555555556)"
49,159,S,SA,21,160-159,287.8778687631334,3.26,"=IF(H54>15,0)",358.369262999999,,9.920555555555556,77.42166666666667,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42166666666667 9.920555555555556, 77.42047222222223 9.918111111111111)"
50,158,S,SA,21,159-158,300.5500274017369,6.32,"=IF(H55>15,0)",355.113312,,9.918111111111111,77.42047222222223,GOOD,Available,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42047222222223 9.918111111111111, 77.41938888888889 9.915916666666668)"
51,157,S,SA,21,158-157,270.3864236676154,1.54,"=IF(H56>15,0)",355.812346999999,,9.915916666666668,77.41938888888889,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41938888888889 9.915916666666668, 77.41816666666666 9.913472222222223)"
52,156,T,SB,21,157-156,300.7935514542359,1.94,"=IF(H57>15,0)",355.494109999999,"0°49'48""R",9.913472222222223,77.41816666666666,GOOD,Available,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41816666666666 9.913472222222223, 77.41722222222222 9.9115)"
53,155,S,SA,21,156-155,242.3489394675927,1.43,"=IF(H58>15,0)",355.457214,,9.9115,77.41722222222222,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41722222222222 9.9115, 77.41616666666667 9.909333333333334)"
54,154,S,SA,21,155-154,267.18814822595533,1.42,"=IF(H59>15,0)",357.214141999999,,9.909333333333334,77.41616666666667,GOOD,Available,LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41616666666667 9.909333333333334, 77.41505555555555 9.90713888888889)"
55,153,S,SA,21,154-153,272.27485887337735,0.45,"=IF(H60>15,0)",362.053771999999,,9.90713888888889,77.41505555555555,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41505555555555 9.90713888888889, 77.414 9.904972222222222)"
56,152,S,SA,21,153-152,265.786291059474,0.5,"=IF(H61>15,0)",370.248535,,9.904972222222222,77.414,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.414 9.904972222222222, 77.41297222222222 9.902916666666666)"
57,151,S,SA,21,152-151,251.66880756015658,0.45,"=IF(H62>15,0)",367.762238,,9.902916666666666,77.41297222222222,GOOD,Available,LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41297222222222 9.902916666666666, 77.41202777777778 9.901083333333334)"
58,150,S,SA,21,151-150,229.47811294744162,0.27,"=IF(H63>15,0)",362.777404999999,,9.901083333333334,77.41202777777778,GOOD,Available,LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41202777777778 9.901083333333334, 77.41097222222223 9.89886111111111)"
59,149,S,SA,21,150-149,271.52679283712564,0.37,"=IF(H64>15,0)",357.964995999999,,9.89886111111111,77.41097222222223,GOOD,Available,2-LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41097222222223 9.89886111111111, 77.41027777777778 9.897361111111111)"
60,148,S,SA,21,149-148,182.12818699798396,1.26,"=IF(H65>15,0)",359.294189,,9.897361111111111,77.41027777777778,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41027777777778 9.897361111111111, 77.40908333333334 9.895)"
61,147,S,SA,21,148-147,292.3248029135627,2.63,"=IF(H66>15,0)",361.083037999999,,9.895,77.40908333333334,GOOD,Available,2-LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40908333333334 9.895, 77.40791666666668 9.892555555555555)"
62,146,S,SA,21,147-146,300.4551606225375,4.61,"=IF(H67>15,0)",361.901184,,9.892555555555555,77.40791666666668,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40791666666668 9.892555555555555, 77.40680555555556 9.890277777777778)"
63,145,T,SC,22,146-145,279.5165159333524,3.33,"=IF(H68>15,0)",360.994689999999,"64°4'12""L",9.890277777777778,77.40680555555556,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40680555555556 9.890277777777778, 77.40658333333334 9.890277777777778)"
64,144,T,H-Pole,12,145-144,25.791052008580373,2.42,"=IF(H69>15,0)",360.100586,,9.890277777777778,77.40658333333334,GOOD,NO E/W,110kV Periyar I & II ,,Plain,Rail Pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40658333333334 9.890277777777778, 77.40633333333334 9.890222222222222)"
65,143,T,H-Pole,12,144-143,28.010119743957794,6.42,"=IF(H70>15,0)",360.774932999999,,9.890222222222222,77.40633333333334,GOOD,NO E/W,110kV Periyar I & II ,,Plain,Rail Pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40633333333334 9.890222222222222, 77.40608333333334 9.890222222222222)"
66,142,T,SB,21,143-142,27.135803982566152,0.67,"=IF(H71>15,0)",358.986114999999,"10°49'48""R",9.890222222222222,77.40608333333334,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40608333333334 9.890222222222222, 77.40425 9.889666666666667)"
67,141,S,SA,21,142-141,209.5987934909223,2.52,"=IF(H72>15,0)",357.327453999999,,9.889666666666667,77.40425,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40425 9.889666666666667, 77.40152777777779 9.88886111111111)"
68,140,S,SA,21,141-140,310.2440304435475,1.11,"=IF(H73>15,0)",353.597015,,9.88886111111111,77.40152777777779,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40152777777779 9.88886111111111, 77.39922222222224 9.88825)"
69,139,S,SA,21,140-139,262.0942304749838,0.66,"=IF(H74>15,0)",352.06189,,9.88825,77.39922222222224,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39922222222224 9.88825, 77.39694444444446 9.887583333333334)"
70,138,T,SB,21,139-138,260.37574666359046,0.31,"=IF(H75>15,0)",347.331696,"15°54'36""L",9.887583333333334,77.39694444444446,GOOD,Available,"LT,11KV",Village Road,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39694444444446 9.887583333333334, 77.39452777777778 9.887583333333334)"
71,137,S,SA,21,138-137,267.2930443622288,0.96,"=IF(H76>15,0)",345.398834,,9.887583333333334,77.39452777777778,GOOD,Available,2LT,Theni-Kochi Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39452777777778 9.887583333333334, 77.39286111111112 9.887611111111111)"
72,136,S,SA,21,137-136,182.8372500804137,0.71,"=IF(H77>15,0)",343.282257,,9.887611111111111,77.39286111111112,GOOD,Available,"2-LT,11KV",,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39286111111112 9.887611111111111, 77.39027777777778 9.887638888888889)"
73,135,S,SA,21,136-135,282.2343985258962,0.52,"=IF(H78>15,0)",340.536285,,9.887638888888889,77.39027777777778,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39027777777778 9.887638888888889, 77.38805555555557 9.887638888888889)"
74,134,S,SA,21,135-134,243.6971687180159,0.37,"=IF(H79>15,0)",339.354828,,9.887638888888889,77.38805555555557,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38805555555557 9.887638888888889, 77.38563888888889 9.887611111111111)"
75,133,S,SA,21,134-133,264.89657542650644,0.46,"=IF(H80>15,0)",340.250916,,9.887611111111111,77.38563888888889,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38563888888889 9.887611111111111, 77.38330555555555 9.887666666666666)"
76,132,S,SA,21,133-132,256.749219175194,0.97,"=IF(H81>15,0)",340.725616,,9.887666666666666,77.38330555555555,GOOD,Available,,River,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38330555555555 9.887666666666666, 77.38138888888888 9.887722222222221)"
77,131,S,SA,21,132-131,210.50417282465529,1.12,"=IF(H82>15,0)",346.991179999999,,9.887722222222221,77.38138888888888,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38138888888888 9.887722222222221, 77.37913888888889 9.887749999999999)"
78,130,T,SB,21,131-130,248.46995300307012,0.78,"=IF(H83>15,0)",349.858398,"3°53'24""R",9.887749999999999,77.37913888888889,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37913888888889 9.887749999999999, 77.37730555555555 9.887666666666666)"
79,129,T,SB,21,130-129,200.8150522866015,0.56,"=IF(H84>15,0)",353.968719,"19°42'0""R",9.887666666666666,77.37730555555555,GOOD,Available,"2-LT ,11KV",Theni-Kuchanoor Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37730555555555 9.887666666666666, 77.37558333333332 9.886972222222221)"
80,128,S,SA,21,129-128,203.89810099181562,2.23,"=IF(H85>15,0)",355.576538,,9.886972222222221,77.37558333333332,GOOD,Available,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37558333333332 9.886972222222221, 77.37355555555555 9.886138888888889)"
81,127,S,SA,21,128-127,240.70023279399038,1.46,"=IF(H86>15,0)",360.604857999999,,9.886138888888889,77.37355555555555,GOOD,Available,2-11KV,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37355555555555 9.886138888888889, 77.37172222222222 9.885305555555554)"
82,126,T,SB,21,127-126,221.0548023409483,1.16,"=IF(H87>15,0)",362.288879,"21°40'48""R",9.885305555555554,77.37172222222222,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37172222222222 9.885305555555554, 77.36963888888889 9.883194444444445)"
83,125,S,SA,21,126-125,327.05715088454974,0.42,"=IF(H88>15,0)",367.627929999999,,9.883194444444445,77.36963888888889,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36963888888889 9.883194444444445, 77.36769444444444 9.881166666666667)"
84,124,S,SA,21,125-124,308.546681793917,3.16,"=IF(H89>15,0)",368.353973,,9.881166666666667,77.36769444444444,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36769444444444 9.881166666666667, 77.36572222222222 9.879055555555556)"
85,123,S,SA,21,124-123,318.7373631303064,3.02,"=IF(H90>15,0)",370.075623,,9.879055555555556,77.36572222222222,GOOD,Available,"2 -LT,11 KV",Kuchanoor-Sankarapuram Road   & kuchanoor-pulikuthi Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36572222222222 9.879055555555556, 77.36397222222222 9.87725)"
