S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
53,294,S,DA,26,295-294,227.25157863222879,1.84,88.262428,,8.271573018,77.59056604,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59056604 8.271573018, 77.59154404 8.273624992)"
54,293,T,DC,26,294-293,251.3738621785065,3.55,85.422249,"58°7'9"" R",8.273624992,77.59154404,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59154404 8.273624992, 77.59245398 8.273728006)"
55,292,T,DC,26,293-292,100.95352984586356,5.03,82.596466,"49°31'52"" L",8.273728006,77.59245398,GOOD,Available,110 KV ,,PLAIN,DOWN LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59245398 8.273728006, 77.59399901 8.276010985)"
56,291,S,DA,26,292-291,304.6925082006426,2.76,84.208855,,8.276010985,77.59399901,GOOD,Available,HT -4NO,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59399901 8.276010985, 77.595853 8.278675005)"
57,290,S,DA,26,291-290,358.72534896145766,3.35,79.827637,,8.278675005,77.595853,GOOD,Available,HT -2NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.595853 8.278675005, 77.59712202 8.280524975)"
58,289,S,DA,26,290-289,247.95616134727942,7.12,81.014954,,8.280524975,77.59712202,GOOD,Available,HT -2NO,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59712202 8.280524975, 77.59854896 8.282613996)"
59,288,S,DA,26,289-288,279.6202276838636,1.88,79.971611,,8.282613996,77.59854896,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59854896 8.282613996, 77.59957901 8.284059037)"
60,287,S,DA,26,288-287,196.1269943344604,3.26,80.369354,,8.284059037,77.59957901,GOOD,Available,HT,"ROAD,CANAL",Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59957901 8.284059037, 77.60045299 8.285436016)"
61,286,T,DC,26,287-286,180.2846823408525,1.02,80.194275,"46°42'7"" R",8.285436016,77.60045299,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60045299 8.285436016, 77.60274704 8.285880005)"
62,285,S,DA,26,286-285,257.6094004679916,4.15,78.124352,,8.285880005,77.60274704,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60274704 8.285880005, 77.60565104 8.286743023)"
63,284,S,DA,26,285-284,331.3054323048749,4.63,76.336227,,8.286743023,77.60565104,GOOD,Available,"HT,LT -3NO",SAND ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60565104 8.286743023, 77.60770996 8.286738982)"
64,283,S,DA,26,284-283,229.93904635431278,2.89,75.066582,,8.286738982,77.60770996,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60770996 8.286738982, 77.61081596 8.28735698)"
65,282,T,DC,26,283-282,349.1486829852944,1.05,76.72036,"7°34'9"" R",8.28735698,77.61081596,GOOD,Available,HT -2NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61081596 8.28735698, 77.61346699 8.287528977)"
66,281,S,DA,26,282-281,292.8516043882482,4.22,75.826103,,8.287528977,77.61346699,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61346699 8.287528977, 77.61649 8.287765011)"
67,280,S,DA,26,281-280,334.2597986996412,3.02,74.095978,,8.287765011,77.61649,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61649 8.287765011, 77.61906501 8.288004985)"
68,279,T,DC,26,280-279,285.09298851006383,1.64,73.840408,"47°0'23"" L",8.288004985,77.61906501,GOOD,Available,HT,SAND ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61906501 8.288004985, 77.61990303 8.289087005)"
69,LILO : 278,T,DC,26,279-278,151.23608507567675,5.02,74.238792,"87°32'25"" R",8.289087005,77.61990303,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61990303 8.289087005, 77.620487 8.288577972)"
