S.No,Tower No.,Joint Box,Tower Suspension/Tension,Deviation Angle,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken, etc)","Condition of Earth wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/ Forest/Water Logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
30,37,,A+0,,T,28,34 -33,242,0.54,FALSE,153.903549,,9.869163909,78.01919897,Good,Good,,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01919896544455 9.869163908769691, 78.0208620188426 9.870787902622162)"
31,36,,B+0,2°45'26''RT,T,26,33 -32,259,0.13,FALSE,154.091476,2°45'26''RT,9.870787903,78.02086202,Good,Good,,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0208620188426 9.870787902622162, 78.0223789756693 9.872308882873195)"
32,35,,A+0,,S,28,32 -31,239,1.27,FALSE,153.036713,,9.872308883,78.02237898,Good,Good,"LT , 11KV",ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0223789756693 9.872308882873195, 78.02382502159557 9.87373489615742)"
33,34,,A+0,,T,28,31 -30,226,1.51,FALSE,151.866226,,9.873734896,78.02382502,Good,Good,4 NO'S LT,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.02382502159557 9.87373489615742, 78.0250650403432 9.87494591361102)"
34,33,,C+0,0°35'3''RT,T,26,30 -29A,194,1.14,FALSE,151.442566,0°35'3''RT,9.874945914,78.02506504,Good,Good,2 NO'S LT,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0250650403432 9.87494591361102, 78.02687796216915 9.876752884418343)"
35,32,,C+0,0°34'11''RT,S,26,29A -29,285,0.34,FALSE,148.938141,0°34'11''RT,9.876752884,78.02687796,Good,Good,2 NO'S LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.02687796216915 9.876752884418343, 78.02849097560565 9.878328933780082)"
36,31,,A+0,,T,28,29 -28,251,2.2,FALSE,148.091064,,9.878328934,78.02849098,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.02849097560565 9.878328933780082, 78.02935900549288 9.879190928760098)"
37,30,,B+0,3°35'56''RT,T,26,28 -27,137,3.1,FALSE,147.247238,3°35'56''RT,9.879190929,78.02935901,Good,Good,LT,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.02935900549288 9.879190928760098, 78.03005101541449 9.879863911812544)"
38,29A,,B+0,2°19'47''RT,T,26,27 -26,109,0.25,FALSE,147.375885,2°19'47''RT,9.879863912,78.03005102,Good,Good,,NH-7 ,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.03005101541449 9.879863911812544, 78.03109799893335 9.880893880144223)"
39,29,,A+0,, ,28,26 -,164,0.18,FALSE,146.529556,,9.88089388,78.031098,Good,Good,LT,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.03109799893335 9.880893880144223, 78.03171700247881 9.881505926754542)"
40,28,,C+0,21°32'30''RT, ,26, -,98,1.35,FALSE,148.279266,21°32'30''RT,9.881505927,78.031717,Good,Good,,NEAR THIRUMANGALAM - MADURAI ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.03171700247881 9.881505926754542, 78.03397299170406 9.882472863267141)"
41,27,,B+0,1°24'39''RT, ,26, -,272,1.61,FALSE,148.855606,1°24'39''RT,9.882472863,78.03397299,Good,Good,,NEAR THIRUMANGALAM - MADURAI ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.03397299170406 9.882472863267141, 78.03614097094659 9.883339887486686)"
42,26,2W,B+0,2°23'29''RT, ,26, -,259,0.55,FALSE,148.491791,2°23'29''RT,9.883339887,78.03614097,Good,Good,4 NO'S LT,NEAR THIRUMANGALAM - MADURAI ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.03614097094659 9.883339887486686, 78.03833702956469 9.884200876738486)"
