S.No,Tower No.,Joint Box,Tower Suspension / Tension,Deviation Angle,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower (ohms),,Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of tower  (Missing  Parts, Broken, etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain /Hilly/Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,11,2W,DC+0,17°58'58''RT,S,26,10-Nov,309,0.7,FALSE,104.584061,17°58'58''RT,9.98752295,78.55482102,Good,Available,,VILLAGE ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55482101603839 9.987522949952366, 78.55359298340807 9.989892933005088)"
12,12,,DA+0,,S,26,11-Dec,299,0.25,FALSE,106.371017,,9.989892933,78.55359298,Good,Available,"3 LT LINES, 11 KV",ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55359298340807 9.989892933005088, 78.55237199157632 9.992307926878592)"
13,13,,DA+0,,T,26,Dec-13,303,3.54,FALSE,108.573868,,9.992307927,78.55237199,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55237199157632 9.992307926878592, 78.55103901751849 9.994859964862588)"
14,14,,DD+0,53°18'18''LT,S,26,13-14,323,0.04,FALSE,107.576889,53°18'18''LT,9.994859965,78.55103902,Good,Available,2 LT LINES,VILLAGE ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55103901751849 9.994859964862588, 78.54833300390605 9.995299930840778)"
15,15,,DA+0,,T,26,14-15,305,0.62,FALSE,108.891846,,9.995299931,78.548333,Good,Available,LT,VILLAGE ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54833300390605 9.995299930840778, 78.54590702967788 9.995691952344586)"
16,16,,DA+0,,T,26,15-16,274,0.25,FALSE,108.45388,,9.995691952,78.54590703,Good,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54590702967788 9.995691952344586, 78.54338801632468 9.996097887802998)"
17,17,,DC+0,6°29'29''RT, ,26,16-17,284,0.89,FALSE,107.286575,6°29'29''RT,9.996097888,78.54338802,Good,Available,11 KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54338801632468 9.996097887802998, 78.54110201987915 9.996735918168703)"
18,18,,DA+0,, ,26,17-18,265,1.65,FALSE,108.51181,,9.996735918,78.54110202,Good,Available,LT,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54110201987915 9.996735918168703, 78.53881904091863 9.997369925221209)"
19,19,,DC+0,19°55'55''RT, ,26,18-19,265,3.2,FALSE,110.424911,19°55'55''RT,9.997369925,78.53881904,Good,Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.53881904091863 9.997369925221209, 78.53856498543425 9.99738593464541)"
20,MADUGUPATTY SS,2W,GANTRY,, ,26,19-Madagupatty SS,32,,,111.8797,,9.997385935,78.53856499,Good,Missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Length,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : ,No of Suspension Tower ( A)                    ,,,,,:,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"No of Tension Tower      ( B,C & D)       ",,,,,:,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,No of H-Pole  & Gantry                                           ,,,,,:,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Earthwire Missing Locations  ,,,,,:,19 - Madagupatty Gantry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For M/S STERLITE POWER TRANSMISSION LIMITED,,,,,,,,,,,,,,,,,For M/S TANTRANSCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
