S.No,Tower No.,Tower Suspension / Tension,Tower Type (DC /SC ),Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
28,27,T,DC,25,26-27,305.12781921039675,3.44,"=IF(H33>15,0)",322,24°17'55''LT,10.6384545005857,77.7027530316263,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7027530316263 10.6384545005857, 77.7039132546633 10.6405586097389)"
29,28,S,DC,26,27-28,268.79243937130735,1.77,"=IF(H34>15,0)",320,,10.6405586097389,77.7039132546633,GOOD,AVAILABLE,LT - 3NO,MUD ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7039132546633 10.6405586097389, 77.7050995454192 10.6425179634243)"
30,29,S,DC,26,28-29,256.2977996533947,5.99,"=IF(H35>15,0)",316,,10.6425179634243,77.7050995454192,GOOD,AVAILABLE,LT,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7050995454192 10.6425179634243, 77.7066016662865 10.6450618710368)"
31,30,S,DC,26,29-30,329.59417822720343,2.6,"=IF(H36>15,0)",315,,10.6450618710368,77.7066016662865,GOOD,AVAILABLE,LT,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7066016662865 10.6450618710368, 77.7077242545783 10.6470398325473)"
32,31,S,DC,26,30-31,254.57948538878998,0.48,"=IF(H37>15,0)",311,,10.6470398325473,77.7077242545783,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7077242545783 10.6470398325473, 77.7086704876273 10.6486940011382)"
33,32,T,DC,25,31-32,213.8761007153661,3.56,"=IF(H38>15,0)",310,21°0'36''LT,10.6486940011382,77.7086704876273,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7086704876273 10.6486940011382, 77.7089490182697 10.6505390256643)"
34,33,S,DC,26,32-33,209.98685776219827,4.73,"=IF(H39>15,0)",296.33783,,10.6505390256643,77.7089490182697,GOOD,AVAILABLE,,MUD ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7089490182697 10.6505390256643, 77.7091889921575 10.6523230299353)"
35,34,T,DC,25,33-34,202.70860600439755,6.9,"=IF(H40>15,0)",297.191772,31°27'9''RT,10.6523230299353,77.7091889921575,GOOD,AVAILABLE,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7091889921575 10.6523230299353, 77.7104470320045 10.6538580078631)"
36,35,S,DC,26,34-35,222.22355463899387,2.7,"=IF(H41>15,0)",302.625824,,10.6538580078631,77.7104470320045,GOOD,AVAILABLE,,MUD ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7104470320045 10.6538580078631, 77.7119319699704 10.6558290123939)"
37,36,S,DC,26,35-36,275.5850219525416,1.8,"=IF(H42>15,0)",306.075042999999,,10.6558290123939,77.7119319699704,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7119319699704 10.6558290123939, 77.7130320109426 10.6572280358523)"
38,37,T,DC,25,36-37,199.67937337066812,5.2,"=IF(H43>15,0)",302.265686,20°33'33''RT,10.6572280358523,77.7130320109426,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7130320109426 10.6572280358523, 77.7154360245913 10.6586890015751)"
39,38,T,DC,25,37-38,312.4171502665381,2.99,"=IF(H44>15,0)",298.061615,21°23'5''RT,10.6586890015751,77.7154360245913,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7154360245913 10.6586890015751, 77.718278998509 10.6591940112411)"
40,39,S,DC,26,38-39,319.7485153517852,4.38,"=IF(H45>15,0)",294.950195,,10.6591940112411,77.718278998509,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.718278998509 10.6591940112411, 77.7213529776781 10.6596919801086)"
41,40,T,DC,25,39-40,344.5451192546787,3.28,"=IF(H46>15,0)",288.236145,45°42'36''LT,10.6596919801086,77.7213529776781,GOOD,AVAILABLE,,MUD ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7213529776781 10.6596919801086, 77.723022988066 10.6620519887655)"
42,41,T,DC,25,40-41,322.36067531760085,1.37,"=IF(H47>15,0)",285.174438,1°9'7''RT,10.6620519887655,77.723022988066,GOOD,AVAILABLE,,VILLAGE ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.723022988066 10.6620519887655, 77.7246400248259 10.6642420124262)"
43,42,S,DC,26,41-42,303.68047937691836,2.1,"=IF(H48>15,0)",283.419281,,10.6642420124262,77.7246400248259,GOOD,AVAILABLE,LT,MUD ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7246400248259 10.6642420124262, 77.7261240407824 10.6661850214004)"
44,43,S,DC,26,42-43,273.04566077697905,7.01,"=IF(H49>15,0)",282.962616,,10.6661850214004,77.7261240407824,GOOD,AVAILABLE,LT,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7261240407824 10.6661850214004, 77.7277770359069 10.6682730372995)"
45,44,S,DC,26,43-44,297.0483770736696,6.41,"=IF(H50>15,0)",282.029143999999,,10.6682730372995,77.7277770359069,GOOD,AVAILABLE,LT -3NO,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7277770359069 10.6682730372995, 77.7293870318681 10.6703700218349)"
46,45,T,DC,25,44-45,294.95924342342835,4.5,"=IF(H51>15,0)",280.568726,3°3'2''RT,10.6703700218349,77.7293870318681,GOOD,AVAILABLE,,VILLAGE ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7293870318681 10.6703700218349, 77.731043966487 10.6723049841821)"
