S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length (m),Footing Resistance of Tower ( Ohms),,Ground Elevation (m),Deviation Angle,Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,10,,S,DA+0,24,13-14,309.4790546,3.07,FALSE,289,,10.29836666,77.8884333,Good,Good,22 KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8884333003252 10.298366658558503, 77.8904734555461 10.300531117414533)"
12,11,,S,DA+0,24,14-15,331.7772223,16.09,FALSE,278.6657715,,10.30053112,77.89047346,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8904734555461 10.300531117414533, 77.8924362458012 10.302605889906673)"
13,12,,S,DA+0,24,15-16,318.7319872,4.05,FALSE,283.47229,,10.30260589,77.89243625,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8924362458012 10.302605889906673, 77.8944076694165 10.304726427589996)"
14,13,2W,S,DA+0,24,16-17,323.0879956,4.6,FALSE,279.1463623,,10.30472643,77.89440767,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8944076694165 10.304726427589996, 77.8963045779129 10.30676708573624)"
15,14,,S,DA+0,24,17-18,311.048964,8.48,FALSE,271.9366455,,10.30676709,77.89630458,Good,Good,LT-2,VILLAGE ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8963045779129 10.30676708573624, 77.8983058411033 10.30887647548836)"
16,15,,S,DA+0,24,18-19,324.4113003,4.07,FALSE,269.2930908,,10.30887648,77.89830584,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8983058411033 10.30887647548836, 77.9002729899481 10.310963317920994)"
17,16,,S,DA+0,24,19-20,320.0326046,8.19,FALSE,274.8205566,,10.31096332,77.90027299,Good,Good,22 KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9002729899481 10.310963317920994, 77.9022004085719 10.313064325770016)"
18,17,,S,DA+0,24,20-21,318.2352654,4.78,FALSE,267.8509521,,10.31306433,77.90220041,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9022004085719 10.313064325770016, 77.904112320675 10.315057961439457)"
19,18,,S,DA+0,24,21-22,308.3681921,3.78,FALSE,272.6575928,,10.31505796,77.90411232,Good,Good,,EASU PALAYAM  ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.904112320675 10.315057961439457, 77.9062080479136 10.317332474684086)"
20,19,,S,DA+0,24,22-23,344.8590301,5.2,FALSE,274.3398438,,10.31733247,77.90620805,Good,Good,"LT,22 KV",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9062080479136 10.317332474684086, 77.9080870191373 10.319335078989809)"
21,20,,S,DA+0,24,23-24,306.6186099,3.3,FALSE,275.0609131,,10.31933508,77.90808702,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9080870191373 10.319335078989809, 77.9099703489508 10.321362745186152)"
22,21,2W,T,DC+0,22,24-25,308.9798999,3.19,FALSE,274.3398438,22°39'28''RT,10.32136275,77.90997035,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9099703489508 10.321362745186152, 77.9126282504347 10.322575271298879)"
23,22,,S,DA+0,24,25-26,324.8026143,9.82,FALSE,270.7349854,,10.32257527,77.91262825,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9126282504347 10.322575271298879, 77.9150373770333 10.323744379153124)"
24,23,,S,DA+0,24,26-27,298.1060865,8.58,FALSE,268.8123779,,10.32374438,77.91503738,Good,Good,,ARIYANALLUR  ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9150373770333 10.323744379153124, 77.9173613434964 10.32484886253398)"
25,24,,S,DA+0,24,27-28,286.5839773,4.2,FALSE,278.1850586,,10.32484886,77.91736134,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9173613434964 10.32484886253398, 77.9199219310847 10.32607312331121)"
26,25,,S,DA+0,24,28-1 LILO GANDHIGRAM,315.7073435,6.92,FALSE,272.1768799,,10.32607312,77.91992193,Good,Good,"LT,22 KV",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9199219310847 10.32607312331121, 77.9223466480233 10.327242398803557)"
27,26,,S,DA+0,24,1 LILO GANDHIGRAM-29,299.6490857,3.9,FALSE,272.4172363,,10.3272424,77.92234665,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9223466480233 10.327242398803557, 77.9248605484113 10.3284391669383)"
28,27,,S,DA+0,24,29-30,309.7749742,2.36,FALSE,267.1300049,,10.32843917,77.92486055,Good,Good,22 KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9248605484113 10.3284391669383, 77.9266652559752 10.329278446902856)"
29,28,,S,DA+0,24,30-31,222.568956,0.92,FALSE,267.6105957,,10.32927845,77.92666526,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9266652559752 10.329278446902856, 77.927027588763 10.329510639126012)"
30,1 LILO GANDHIGRAM,3W,T,DB+0,22,31-32,56,2.87,FALSE,270,8°1'41''RT,10.32951064,77.92702759,Good,Good,,,Plain,Gandhigramam SS LILO Taping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.927027588763 10.329510639126012, 77.9294208904494 10.330609744583493)"
31,29,,S,DA+0,24,32-33,294,1.47,FALSE,272.8979492,,10.33060974,77.92942089,Good,NO E/W,22 KV,Gandhigramam SS LILO Taping,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9294208904494 10.330609744583493, 77.9319613614704 10.331795867701224)"
32,30,,S,DA+0,24,33-34,311.8974773,2.96,FALSE,274.3398438,,10.33179587,77.93196136,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9319613614704 10.331795867701224, 77.9340995849599 10.332831451838093)"
33,31,,S,DA+0,24,34-35,264.9322792,13.75,FALSE,271.6962891,,10.33283145,77.93409958,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9340995849599 10.332831451838093, 77.9365858250674 10.334071722050341)"
34,32,,S,DA+0,24,35-36,309.1800883,4.55,FALSE,273.6188965,,10.33407172,77.93658583,Good,Good,22 KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9365858250674 10.334071722050341, 77.9389459175329 10.33517687598338)"
35,33,,T,DD+0,24,36-37,290.1889078,4.62,FALSE,278.6657715,52°52'37''LT,10.33517688,77.93894592,Good,Good,400 KV,,Plain,OUR LINE UNDER CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9389459175329 10.33517687598338, 77.9393620790207 10.33714704232399)"
36,34,,S,DA+0,24,37-38,226.8323474,2.02,FALSE,275.7818604,,10.33714704,77.93936208,Good,Good,22 KV-2,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9393620790207 10.33714704232399, 77.939823754242 10.339416358788805)"
37,35,,S,DA+6,30,38-39,260.2775939,5.77,FALSE,270.7349854,,10.33941636,77.93982375,Good,Good,22KV,NURSERY FARM,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.939823754242 10.339416358788805, 77.9403503892122 10.341897569765742)"
38,36,,S,DA+6,30,39-40,284.6901062,11.6,FALSE,269.5333252,,10.34189757,77.94035039,Good,Good,,DINDIGUL-TRICHY-CHENNAI HIGHWAY,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9403503892122 10.341897569765742, 77.9410254676861 10.344978757371813)"
39,37,,S,DA+0,24,40-41,353.0463375,4.8,FALSE,268.8123779,,10.34497876,77.94102547,Good,Good,22 KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9410254676861 10.344978757371813, 77.9416271206889 10.34781670214777)"
40,38,,S,DA+0,24,41-42,325.0305228,0.3,FALSE,271.4559326,,10.3478167,77.94162712,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9416271206889 10.34781670214777, 77.9421524145546 10.350359352475005)"
41,39,,S,DA+0,24,42-43,291.3206795,1.9,FALSE,270.2542725,,10.35035935,77.94215241,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9421524145546 10.350359352475005, 77.9427787103526 10.353252198716769)"
42,40,2W,S,DA+0,24,43-44,331.5369963,1.81,FALSE,265.6879883,,10.3532522,77.94277871,Good,Good,11 KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9427787103526 10.353252198716769, 77.9433028307517 10.355815636163797)"
43,41,,S,DA+0,24,44-45,293.5502843,1.06,FALSE,259.1992188,,10.35581564,77.94330283,Good,Good,LT,Ponmanthurai Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9433028307517 10.355815636163797, 77.9439114407342 10.35860639082495)"
44,42,,S,DA+0,24,45-46,320.0798674,2.8,FALSE,262.5637207,,10.35860639,77.94391144,Good,Good,,,POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9439114407342 10.35860639082495, 77.9445245769443 10.361449783837994)"
45,43,,S,DA+0,24,46-47,325.8817578,3.48,FALSE,257.9975586,,10.36144978,77.94452458,Good,Good,,,POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9445245769443 10.361449783837994, 77.9450687300922 10.363925462758832)"
46,44,,S,DA+0,24,47-48,284.4934673,2.2,FALSE,259.4395752,,10.36392546,77.94506873,Good,Good,,,POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9450687300922 10.363925462758832, 77.945698211013 10.36692760901801)"
47,45,,S,DA+0,24,48-49,343.4493751,0.93,FALSE,257.9975586,,10.36692761,77.94569821,Good,Good,,,POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.945698211013 10.36692760901801, 77.9462261032688 10.369390212169936)"
48,46,,S,DA+0,24,49-50,282.7037978,2.6,FALSE,257.2766113,,10.36939021,77.9462261,Good,Good,LT,Puthupatti Road,POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9462261032688 10.369390212169936, 77.9467928037357 10.372067224404983)"
49,47,,S,DA+0,24,50-51,306.8076984,4.05,FALSE,263.5251465,,10.37206722,77.9467928,Good,Good,LT,Kurumbapatti Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9467928037357 10.372067224404983, 77.9473633598781 10.374778434805023)"
50,48,,T,DD+9,33,51-52 LILO ANGUNAGAR,310.6002085,3.06,FALSE,269.0527344,54°15'8''RT,10.37477843,77.94736336,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9473633598781 10.374778434805023, 77.9490770399739 10.375533057547488)"
51,49,,S,DA+6,30,52 LILO ANGUNAGAR-52/1,209.5753438,6.98,FALSE,258.7185059,,10.37553306,77.94907704,Good,Good,,DINDIGUL-PALANI HIGHWAY,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9490770399739 10.375533057547488, 77.9516341909822 10.37664994614501)"
52,50,,S,DA+0,24,52/1-53,310.3484065,4.91,FALSE,263.5251465,,10.37664995,77.95163419,Good,Good,LT,"POND,THAR ROAD",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9516341909822 10.37664994614501, 77.9541825409921 10.377786448395947)"
53,51,,S,DA+0,24,53-53/1,310.3512314,5.8,FALSE,262.5637207,,10.37778645,77.95418254,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9541825409921 10.377786448395947, 77.9567521810359 10.378974918446588)"
54,52 LILO ANGUNAGAR,3W,S,DB+0,24,53/1-54,314.8711605,4.51,FALSE,264.0057373,,10.37897492,77.95675218,Good,Good,,TRUCK WORK SHOP,Plain,LILO ANGUNAGAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9567521810359 10.378974918446588, 77.9576695803342 10.379258562049856)"
55,52/1,,T,DB+9,31,54-54/1,109.3437237,0.6,FALSE,269.0527344,3°5'38''RT,10.37925856,77.95766958,Good,NO E/W,"110 KV ANGU NAGAR SS,22 KV-3,LT",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9576695803342 10.379258562049856, 77.9588807653375 10.37956307659212)"
56,53,,T,DC+9,31,54/1-55,140.9695621,2.81,FALSE,271.2156982,27°52'24''LT,10.37956308,77.95888077,Good,Good,NH-7,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9588807653375 10.37956307659212, 77.9602524637844 10.380791109225726)"
57,53/1,,T,DB+9,31,55-55/1,206.7035968,3.54,FALSE,271.2156982,0°30'51''RT,10.38079111,77.96025246,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9602524637844 10.380791109225726, 77.9616814944488 10.382047556511127)"
58,54,,T,DD+9,24,55/1-56,213.4827764,3.85,FALSE,271.4559326,69°56'42''RT,10.38204756,77.96168149,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9616814944488 10.382047556511127, 77.9620409942747 10.381855610928499)"
59,54/1,,T,DD+9,24,56-57,48.76881685,2.6,FALSE,269.7736816,102°22'59''LT,10.38185561,77.96204099,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9620409942747 10.381855610928499, 77.9622607677739 10.382616687736533)"
60,55,,T,DD+9,24,57-58,91.63469078,2.07,FALSE,265.6879883,33°46'8''RT,10.38261669,77.96226077,Good,Good,"22 KV,LT",Railway Crossing Palani-Dindukal,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9622607677739 10.382616687736533, 77.9637358150865 10.383854108101735)"
61,55/1,,T,DB+9,31,58-59,215.9122248,1.98,FALSE,270.7349854,7°18'43''LT,10.38385411,77.96373582,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9637358150865 10.383854108101735, 77.9645463451187 10.384732531554151)"
62,56,2W,T,DC+9,31,59-60,135.7201161,6.81,FALSE,273.6188965,17°12'7''RT,10.38473253,77.96454635,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9645463451187 10.384732531554151, 77.9654119442552 10.385235026649235)"
63,57,,S,DA+3,27,60-61,113.9829489,4.85,FALSE,273.1383057,,10.38523503,77.96541194,Good,Good,,SALEM-DINDIGUL HIGHWAY,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9654119442552 10.385235026649235, 77.9677580389421 10.386547716504893)"
64,58,,S,DA+3,27,61-62,299.3733877,0.25,FALSE,270.0140381,,10.38654772,77.96775804,Good,Good,"22 KV,LT","THAR ROAD,DIN-TRY HIGHWAY",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9677580389421 10.386547716504893, 77.9703095740749 10.387892928144833)"
65,59,,S,DA+0,24,62-63,320.8477096,0.43,FALSE,269.2930908,,10.38789293,77.97030957,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9703095740749 10.387892928144833, 77.9728694911107 10.389307877219201)"
66,60,,S,DA+0,24,63-64,325.3506505,3.3,FALSE,265.2073975,,10.38930788,77.97286949,Good,Good,LT,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9728694911107 10.389307877219201, 77.9754339343742 10.390694244003743)"
67,61,,S,DA+0,24,64-65,324.2549848,3.98,FALSE,263.28479,,10.39069424,77.97543393,Good,Good,,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9754339343742 10.390694244003743, 77.9779735672045 10.392105421221608)"
68,62,,S,DA+0,24,65-66,323.2059597,2.74,FALSE,272.1768799,,10.39210542,77.97797357,Good,Good,LT,MUD ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9779735672045 10.392105421221608, 77.9804490784758 10.39340956153605)"
69,63,,S,DA+0,24,66-67,311.3541605,0.62,FALSE,271.4559326,,10.39340956,77.98044908,Good,Good,LT-2,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9804490784758 10.39340956153605, 77.9830109233493 10.394828617742904)"
70,64,,S,DA+0,24,67-68,325.7555332,2.49,FALSE,273.1383057,,10.39482862,77.98301092,Good,Good,LT,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9830109233493 10.394828617742904, 77.9849986078583 10.395919606259673)"
71,65,,S,DA+0,24,68-69,253.1031977,0.6,FALSE,270.9753418,,10.39591961,77.98499861,Good,Good,LT,MUD ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9849986078583 10.395919606259673, 77.9867087675546 10.396819487384136)"
72,66,,S,DA+0,24,69-70,216.2740363,1.8,FALSE,275.5415039,,10.39681949,77.98670877,Good,Good,,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9867087675546 10.396819487384136, 77.9884923527222 10.39779991859811)"
73,67,,S,DA+0,24,70-71,227.6032822,1.95,FALSE,260.8814697,,10.39779992,77.98849235,Good,Good,LT-2,"THAR ROAD,MUD ROAD",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9884923527222 10.39779991859811, 77.990940119894 10.399162899872772)"
74,68,,S,DA+0,24,71-72,311.8122496,4.18,FALSE,260.4008789,,10.3991629,77.99094012,Good,Good,LT,MUD ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.990940119894 10.399162899872772, 77.9933924971127 10.400517331606222)"
75,69,,S,DA+0,24,72-73,311.7901486,0.55,FALSE,267.8509521,,10.40051733,77.9933925,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9933924971127 10.400517331606222, 77.9958251768591 10.401828847995478)"
76,70,,S,DA+0,24,73-74,307.6054368,4.8,FALSE,264.967041,,10.40182885,77.99582518,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9958251768591 10.401828847995478, 77.9984029473485 10.40322921255824)"
77,71,,S,DA+0,24,74-75,326.2771454,3.9,FALSE,263.28479,,10.40322921,77.99840295,Good,Good,LT,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9984029473485 10.40322921255824, 78.00107168055283 10.404687579891208)"
78,72,2W,T,DB+3,25,75-76,338,0.25,FALSE,266.8896484,8°5'45''LT,10.40468758,78.00107168,Good,Good,,MUD ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00107168055283 10.404687579891208, 78.00283749608911 10.405641608110255)"
79,73,,T,DB+3,25,76-77,224.4852097,1.55,FALSE,270.0140381,1°53'7''LT,10.40564161,78.0028375,Good,Good,,"Railway Crossing,SALEM-DINDIGUL ROAD",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00283749608911 10.405641608110255, 78.00515651723322 10.406994363463376)"
80,74,,S,DA+0,24,77-78,299.0139177,5.5,FALSE,261.8427734,,10.40699436,78.00515652,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00515651723322 10.406994363463376, 78.0071740413211 10.408150647006057)"
81,75,,S,DA+0,24,78-79,259.507515,6.79,FALSE,259.4395752,,10.40815065,78.00717404,Good,Good,LT,CANAL,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0071740413211 10.408150647006057, 78.00982607547743 10.409717140889999)"
82,76,,S,DA+0,24,79-80,342.4747831,4.55,FALSE,255.1136475,,10.40971714,78.00982608,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.00982607547743 10.409717140889999, 78.01225380990537 10.411124127156617)"
83,77,,S,DA+0,24,80-81,312.3239471,5.8,FALSE,250.7877197,,10.41112413,78.01225381,Good,Good,,CANAL,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01225380990537 10.411124127156617, 78.01453452575217 10.412462717093327)"
84,78,,S,DA+0,24,81-82,294.595517,4.01,FALSE,259.920166,,10.41246272,78.01453453,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01453452575217 10.412462717093327, 78.01690241339146 10.413767947055447)"
85,79,,S,DA+0,24,82-83,301.0376737,0.99,FALSE,256.5556641,,10.41376795,78.01690241,Good,Good,22 KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01690241339146 10.413767947055447, 78.01931648531735 10.415168311618562)"
86,80,,S,DA+0,24,83-84,310.6564799,1.79,FALSE,254.6330566,,10.41516831,78.01931649,Good,Good,LT,CEMENT ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.01931648531735 10.415168311618562, 78.02186659553118 10.4166054727365)"
87,81,,S,DA+0,24,84-85,325.6031824,8.1,FALSE,255.8347168,,10.41660547,78.0218666,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.02186659553118 10.4166054727365, 78.02353157677265 10.417616581716254)"
88,82,,S,DA+0,24,85-86,218.0764335,3.3,FALSE,252.9506836,,10.41761658,78.02353158,Good,Good,22 KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.02353157677265 10.417616581716254, 78.02545899540166 10.418737409808518)"
89,83,,S,DA+0,24,86-1 LILO NALAMANAR KOTAI,248.988817,4.72,0,255.8347168,,10.41873741,78.025459,Good,Good,,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.02545899540166 10.418737409808518, 78.02811639397581 10.42026199417667)"
90,84,,S,DA+0,24,1 LILO NALAMANAR KOTAI-87,340.6155944,2.16,FALSE,258.4782715,,10.42026199,78.02811639,Good,Good,,MUD ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.02811639397581 10.42026199417667, 78.03053314811052 10.4216592574356)"
91,85,,S,DA+0,24,87-88,310.7290822,2.4,FALSE,262.8040771,,10.42165926,78.03053315,Good,Good,,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.03053314811052 10.4216592574356, 78.03318233241964 10.423211753541256)"
