S.NO,TOWER NO,Joint Box,TOWER S/T,DEVIATION OF  ANGLE,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTANCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
19,19,,S,,GR,34.07,T18-T19,274.1775899,33.99,37,8.263115095,77.7101317,AVAILABLE,,"ROAD, CART TRACK",PLAIN LAND,"DC Line, Road(A.k.pallivasal- Radhapuram, cart trackk, Good,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7101317048072 8.26311509546053, 77.7078115940094 8.26385035352104)"
20,20,,S,,GR,34.07,T19-T20,268.4217419,32.76,38,8.263850354,77.70781159,AVAILABLE,,"CART TRACK, NALA",PLAIN LAND,"DC Line,cart track, nala, Good ,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7078115940094 8.26385035352104, 77.7052722126245 8.26466026390498)"
21,21,,S,,GR,34.07,T20-T21,293.9619415,44.7,41,8.264660264,77.70527221,AVAILABLE,,,PLAIN LAND,"DC Line,Good, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7052722126245 8.26466026390498, 77.7024612575769 8.2655793326664)"
22,22,,T,"17°17'32""LT",LS,30.3,T21-T22,326.1677384,33.76,44,8.265579333,77.70246126,AVAILABLE,LT LINE,"CART TRACK,POND,BUND",WATER LOGGED AREA,"DC Line, Lt line, cart track, Pond,bund, water logged land , Good",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7024612575769 8.2655793326664, 77.701063491404 8.26559625412893)"
23,23,3W,T( LILO),"94°26'32""LT",LS,30.3,T22-T23,154.1122189,34.16,44,8.265596254,77.70106349,AVAILABLE,,POND,WATER LOGGED AREA,"DC Line, KOODANKULAM LILO, Pond, Good,Water logged area,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.701063491404 8.26559625412893, 77.7011667564511 8.2641864615553)"
24,24,,S,,GR,34.07,T23-T24 ,156.4416286,32.53,43,8.264186462,77.70116676,AVAILABLE,,POND,WATER LOGGED AREA,"DC Line, pond, Good, water logged land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7011667564511 8.2641864615553, 77.701309248805 8.26185725685584)"
25,25,,T,"63°52'38""RT",LS,30.3,T24-T25,258.2616717,36.43,43,8.261857257,77.70130925,AVAILABLE,LT LINE-2NOS,"ROAD, POND, BUND",PLAIN LAND,"DC Line, pond,bund, Road(radhapuram-. A.k.pallivasal),2nos LT line, Good ,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.701309248805 8.26185725685584, 77.6988761499524 8.26046337721098)"
26,26,,S,,GR,34.07,T25-T26,309.440786,34.88,43,8.260463377,77.69887615,AVAILABLE,,CART TRACK,PLAIN LAND,"DC Line, cart track, good , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6988761499524 8.26046337721098, 77.6967038959264 8.25914846076486)"
27,27,,S,,GR+3,37.07,T26-T27,280.2373048,37.39,43,8.259148461,77.6967039,AVAILABLE,"33KV LINE-2NOS, LT LINE",CART TRACK,AGRI LAND,"DC Line,2Nos 33KV line, LT line, cart track, Good, Agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6967038959264 8.25914846076486, 77.6943190768361 8.25785809313048)"
28,28,,T,"20°26'39""RT",KS+6,39.52,T27-T28,299.2050677,32.73,39,8.257858093,77.69431908,AVAILABLE,33KV LINE-2NOS,"CART TRACK, NALA",PLAIN LAND,"DC Line, cart track, 2nos 33kv line, nala, Good, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6943190768361 8.25785809313048, 77.693211659789 8.25767493955279)"
29,29,,T,"56°9'28""LT",LS,30.3,T28-T29,123.7628666,32.83,38,8.25767494,77.69321166,AVAILABLE,110KV LINE,,PLAIN LAND,"DC Line, 110kv over head crossing , Good, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.693211659789 8.25767493955279, 77.6923483237624 8.25558293478029)"
30,30,,S,,GR,34.07,T29-T30,250.3307239,45.87,31,8.255582935,77.69234832,AVAILABLE,33KV LINE,"ROAD, CART TRACK",PLAIN LAND,"DC Line, village road, 33kv line, temple , cart track , good plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6923483237624 8.25558293478029, 77.6913418248295 8.25340000474123)"
31,31,,S,,GR,34.07,T30-T31,265.8579353,33.91,37,8.253400005,77.69134182,AVAILABLE,LT LINE,ROAD,AGRI LAND,"DC Line , Road(radhapuram- kudankulam) , Lt Line, good , agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6913418248295 8.25340000474123, 77.6902639120817 8.25102129736724)"
32,32,,S,,GR,34.07,T31-T32,288.8396108,35.41,39,8.251021297,77.69026391,AVAILABLE,LT LINE,NALA,AGRI LAND,"DC Line, nala, LT, good, AGRI land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6902639120817 8.25102129736724, 77.6891772821545 8.24876932616444)"
33,33,,S,,GR,34.07,T32-T33,276.5304672,33.22,39,8.248769326,77.68917728,AVAILABLE,"LT LINE,BUND",,PLAIN LAND,"DC Line, LT LINE, BUND, GOOD, plainland,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6891772821545 8.24876932616444, 77.6881020516157 8.24646192995493)"
34,34,,T,"25°49'55""LT",KS+3,36.52,T33-T34,281.5413983,31.68,40,8.24646193,77.68810205,AVAILABLE,LT LINE,,AGRI LAND,"DC Line , LT LINE, good , agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6881020516157 8.24646192995493, 77.6881761476397 8.24362163082588)"
35,35,,S,,GR+3,37.07,T34-T35,314.450278,34.22,44,8.243621631,77.68817615,AVAILABLE,33KV LINE,"CANAL, CART TRACK",PLAIN LAND,"DC Line, 33kv , canal, cart track,good, plain land,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6881761476397 8.24362163082588, 77.6882462203502 8.24084236510937)"
36,36,,S,,GR,34.07,T35-T36,307.6859804,33.67,44,8.240842365,77.68824622,AVAILABLE,,,PLAIN LAND,"DC Line, good, plain land,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6882462203502 8.24084236510937, 77.6882247626781 8.23808630702181)"
38,37,,S,,GR,34.07,T36-T37,305.0301616,32.5,42,8.238086307,77.68822476,AVAILABLE,"11KV LINE, 33KV LINE",,AGRI LAND,"DC Line,33kv line,11kv line, Road, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6882247626781 8.23808630702181, 77.688385695219 8.23520214766613)"
39,38,,S,,GR,34.07,T37-T38,319.6914029,43.1,45,8.235202148,77.6883857,AVAILABLE,LT LINE,,AGRI LAND,"DC Line, LT line, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.688385695219 8.23520214766613, 77.6884497329592 8.23246363682866)"
40,39,2W,T,"12°49'36""RT",KS,33.52,T38-T39,303.1615481,31.68,44,8.232463637,77.68844973,AVAILABLE,,,AGRI LAND,"DC Line, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6884497329592 8.23246363682866, 77.6880561187863 8.22989135058613)"
41,40,,S,,GR+3,37.07,T39-T40,287.9706814,35.37,44,8.229891351,77.68805612,AVAILABLE,33KV LINE,,AGRI LAND,"DC Line,33kv line, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6880561187863 8.22989135058613, 77.6875696331262 8.22754701169532)"
42,41,,S,,GR+3,37.07,T40-T41,264.940748,31.05,41,8.227547012,77.68756963,AVAILABLE,33KV LINE,,AGRI LAND,"DC Line,33kv line, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6875696331262 8.22754701169532, 77.6871287450194 8.22506329145501)"
43,42,,S,,GR+3,37.07,T41-T42,279.1459512,33.32,38,8.225063291,77.68712875,AVAILABLE,33KV LINE,,AGRI LAND,"DC Line,33kv line, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6871287450194 8.22506329145501, 77.6864920556545 8.22279856304124)"
44,43,,T,"35°31'46""RT",LS+3,33.3,T42-T43,260.2886324,30.82,38,8.222798563,77.68649206,AVAILABLE,110KV DP,,AGRI LAND,"DC Line,110kv dp crossing, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6864920556545 8.22279856304124, 77.6849662140011 8.22114306327343)"
45,44,,S,,GR,34.07,T43-T44,248.7421912,32.6,34,8.221143063,77.68496621,AVAILABLE,33KV LINE,,AGRI LAND,"DC Line,33kv  line,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6849662140011 8.22114306327343, 77.683047093451 8.21946864216689)"
46,45,,S,,GR,34.07,T44-T45,281.2737749,35.9,34,8.219468642,77.68304709,AVAILABLE,11KV LINE,,AGRI LAND,"DC Line,11kv line,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.683047093451 8.21946864216689, 77.6810099557042 8.21769433210372)"
47,46,,T,"8°48'55""RT",KS+6,39.52,T45-T46,298.3458919,34.33,34,8.217694332,77.68100996,AVAILABLE,"33KV LINE, 11KV LINE, LT LINE-2NOS",ROAD,AGRI LAND,"DC Line, Lt line-2nos, Road,33kv line,11kv line, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6810099557042 8.21769433210372, 77.6788990572094 8.21628436881335)"
48,47,,S,,GR+3,37.07,T46-T47,280.2147645,32.88,30,8.216284369,77.67889906,AVAILABLE,"33KV LINE, 11KV LINE",,AGRI LAND,"DC Line,33kv line,11kv line, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6788990572094 8.21628436881335, 77.6769547909498 8.21490857961078)"
49,48,,S,,GR,34.07,T47-T48,262.9440486,46.52,30,8.21490858,77.67695479,AVAILABLE,,,AGRI LAND,"DC Line, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6769547909498 8.21490857961078, 77.6747278869152 8.2134879876364)"
50,49,,S,,GR,34.07,T48-T49,291.5585007,32.32,30,8.213487988,77.67472789,AVAILABLE,LT LINE,,AGRI LAND,"DC Line, LT line, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6747278869152 8.2134879876364, 77.6727745682001 8.21210820668207)"
51,50,,T,"17°50'45""LT",LS,30.3,T49-T50,264.0140153,31.78,33,8.212108207,77.67277457,AVAILABLE,33KV LINE,,AGRI LAND,"DC Line,33kv line,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6727745682001 8.21210820668207, 77.6716959849 8.21072808909303)"
52,51,,T,,LS,30.3,T50-T51,193.5775587,38.68,34,8.210728089,77.67169598,AVAILABLE,33KV LINE,,AGRI LAND,"DC Line, 33kv line, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GANTRY,Sanganeri,2W,,,,9,T51-Sanganeri,66.314085,,36,,,,,,,SANGANERI GANTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
