SL.NO,TOWER NO,Joint Box,Tower Suspension/ Tension,DEVIATION  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),EARTH FOOTING RESIDENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,11,,S,,GC,23.62,T10-T11,194.5787836,1.36,27,8.328235848,77.21322332,GOOD,AVAILABLE,"Ltline-3 nos,11Kv line",,Agri Land,"4 compound wall, lt line-3nos,11 kv line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.21322332 8.328235848, 77.21574828 8.327242256)"
12,12,,S,,GC,23.62,T11-T12,299.1537285,1.48,25,8.327242256,77.21574828,GOOD,AVAILABLE,Ltline-2Nos,,Agri Land,"DC,Lt line-2nos,2 fencing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.21574828 8.327242256, 77.21770328 8.326532302)"
13,13,,S,,GC+3,26.62,T12-T13,229.2947604,1.54,23,8.326532302,77.21770328,GOOD,AVAILABLE,Lt line-2nos,"Road,Odai(Nala)",Agri Land,"Road,ltline-2nos, Odai(Nala),2 fencing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.21770328 8.326532302, 77.2196633 8.325775571)"
14,14,,S,,GC+3,26.62,T13-T14,231.6347281,1.78,22,8.325775571,77.2196633,GOOD,AVAILABLE,"11kv line,Lt Line",Road,Agri Land,"11 kv,lt,2 fence,road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.2196633 8.325775571, 77.22209003 8.324962099)"
15,15,,S,,GC+3,26.62,T14-T15,282.1435711,1.82,39,8.324962099,77.22209003,GOOD,AVAILABLE,"11Kv line,Lt Line",Road,Agri Land,"2 fence,3 compound wall,Road,11 kvline,ltline,house",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.22209003 8.324962099, 77.22370841 8.324357313)"
16,16,,S,,GC+3,26.62,T15-T16,190.4703285,1.63,42,8.324357313,77.22370841,GOOD,AVAILABLE,"Lt line-2Nos,11KV Line-2nos",Road,Agri Land,"Road,2nos lt line,2nos 11 kvline,4 compound wall,3 fencing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.22370841 8.324357313, 77.22547833 8.323743898)"
17,17,,S,,GC+3,26.62,T16-T17,206.5009281,2.76,33,8.323743898,77.22547833,GOOD,AVAILABLE,Lt Line,Road,Agri Land,"DC,4 compound,2 fence,Road,ltline",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.22547833 8.323743898, 77.22726502 8.323052186)"
18,18,,T,"89°48'10""RT",KC+3,27,T17-T18,211.2297799,1.32,33,8.323052186,77.22726502,GOOD,AVAILABLE,"Lt Line , 11Kv line-2nos",Road,Agri Land,"LILO,road,3 compound,2 fence,lt line,2nos 11 kv line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.22726502 8.323052186, 77.22651836 8.321003993)"
19,19,,T,"06°43'23""LT",HC+3,24.94,T18-T19,241.0789499,2.92,18,8.321003993,77.22651836,GOOD,AVAILABLE,Lt Line-2nos,Road,Agri Land,"DC,Road,3 fencing,2nos  lt line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.22651836 8.321003993, 77.22622834 8.319775539)"
20,20,,T,"36°34'53""RT",KC+3,27,T19-T20,139.6181191,2.81,21,8.319775539,77.22622834,GOOD,AVAILABLE,,River,Agri Land,"DC,damiraparani river,brick manufacter,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.22622834 8.319775539, 77.22526342 8.318963766)"
21,21,,T,"13°51'51""RT",HC+3,24.94,T20-T21,139.1836304,2.9,17,8.318963766,77.22526342,GOOD,AVAILABLE,,Pond,Agri Land,"DC,2 foundation,pond ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.22526342 8.318963766, 77.22434174 8.318509622)"
22,22,,T,"36°16'33""LT",KC,27,T21-T22,113.3124075,2.77,16,8.318509622,77.22434174,GOOD,AVAILABLE,LtLine,,Agri Land,"DC,ltline",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.22434174 8.318509622, 77.2242541 8.318341241)"
GANTRY,MARTHANDAM,3W,,,,,T22-Gantry (Marthandam),20.98321217,,,8.318341241,77.2242541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
