S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken, etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain / Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
12, KM12,,S,DA,26, KM11- KM12,229.6522043,5.11,FALSE,378.896667,,9.877861111,77.4255,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4255 9.87786111111111, 77.42758333333333 9.877527777777779)"
13, KM13,,S,DA,26, KM12- KM13,231.4573241,3.11,FALSE,376.473022,,9.877527778,77.42758333,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42758333333333 9.877527777777779, 77.4295 9.877194444444445)"
14, KM14,2W,T,DC,28, KM13- KM14,214.9110448,1.7,FALSE,373.71875,"7°15'36""R",9.877194444,77.4295,GOOD,Available,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4295 9.877194444444445, 77.43166666666667 9.87711111111111)"
15, KM15,,T,DC,28, KM14- KM15,235.4302214,1.26,FALSE,371.215454,"20°49'12""L",9.877111111,77.43166667,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43166666666667 9.87711111111111, 77.43380555555557 9.876194444444446)"
16, KM16,,S,DA,26, KM15- KM16,257.5226029,1.54,FALSE,370.41272,,9.876194444,77.43380556,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43380555555557 9.876194444444446, 77.43597222222223 9.875305555555556)"
17, KM17,,T,DC,28, KM16- KM17,255.5817993,6.03,FALSE,367.44516,"22°45'0""R",9.875305556,77.43597222,GOOD,Available,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43597222222223 9.875305555555556, 77.43836111111112 9.875277777777779)"
18, KM18,,S,DA,26, KM17- KM18,262.5205424,4.99,FALSE,361.823669,,9.875277778,77.43836111,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43836111111112 9.875277777777779, 77.44066666666667 9.875333333333334)"
19, KM19,,S,DA,26, KM18- KM19,255.4171982,6.82,FALSE,360.887543,,9.875333333,77.44066667,GOOD,Available,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44066666666667 9.875333333333334, 77.44205555555556 9.875277777777779)"
20, KM20,,S,DA,26, KM19- KM20,151.309587,1.18,FALSE,359.476135,,9.875277778,77.44205556,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44205555555556 9.875277777777779, 77.44333333333334 9.875277777777779)"
21, KM21,,T,DC,28, KM20- KM21,139.2587661,2.78,FALSE,357.818359,"1°49'48""L",9.875277778,77.44333333,GOOD,Available,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44333333333334 9.875277777777779, 77.44561111111112 9.875222222222222)"
22, KM22,,T,DC,28, KM21- KM22,250.8190786,2.4,FALSE,357.243622,"18°1'48""R",9.875222222,77.44561111,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44561111111112 9.875222222222222, 77.44786111111111 9.875861111111112)"
23, KM23,,T,DC,28, KM22- KM23,257.1096269,2.64,FALSE,356.066986,"12°17'24""L",9.875861111,77.44786111,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44786111111111 9.875861111111112, 77.45013888888889 9.876027777777779)"
24, KM24,,S,DA,26, KM23- KM24,250.8089416,1.2,FALSE,358.064178,,9.876027778,77.45013889,GOOD,Available,LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45013888888889 9.876027777777779, 77.45261111111111 9.876222222222223)"
25, KM25,,T,DC,28, KM24- KM25,273.0697601,4.95,FALSE,356.978455,"2°20'60""L",9.876222222,77.45261111,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45261111111111 9.876222222222223, 77.45472222222223 9.876277777777778)"
26, KM26,,T,DC,28, KM25- KM26,231.305443,5.62,FALSE,354.596252,"27°0'0""L",9.876277778,77.45472222,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45472222222223 9.876277777777778, 77.45694444444445 9.875222222222222)"
27, KM27,,T,DC,28, KM26- KM27,268.4455073,2.9,FALSE,354.929352,"25°23'24""R",9.875222222,77.45694444,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45694444444445 9.875222222222222, 77.45872222222222 9.875222222222222)"
28, KM28,,T,DC,28, KM27- KM28,195.9897964,3.05,FALSE,355.590424,"8°27'36""L",9.875222222,77.45872222,GOOD,Available,2-LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45872222222222 9.875222222222222, 77.45916666666668 9.875166666666667)"
29,Kamachipuram SS,2W,H - POLE,H-POLE,12, KM28- Gantry,48.36965512,,,355.637299,,9.875166667,77.45916667,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOATL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note:  1 .  Shut down will be required in where earth wires are missing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"            2.  Earth wire is not available at T.No  28 - Gantry Kamachipuram SS), due to clearance issue and there is no provision for fixing the OPGW at H-POLE ( Rail Pole). So we are proposing ADSS cable.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For Sterlite Power Transmission Limited,,,,,,,,,,,,,,,,For TANTRANSCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
