S.No,Tower No.,Joint Box,Tower Suspension / Tension,D,M,S,,,,,Deviation Angle,Tower Type,Tower Height (m),,,Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,line_geom
29,28,,S,,,,,,,,0°20'6''RT,A+0,25,,,27-28,250,1.38,FALSE,217.697556,,10.00726189,77.80785799,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80785798731343 10.007261893333235, 77.80777400064441 10.00937891060539)"
30,29,,S,,,,,,,,,A+3,28,,,28-29,237,3.85,FALSE,217.662994,,10.00937891,77.807774,GOOD,AVAILABLE,"765KV CROSSING, LT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80777400064441 10.00937891060539, 77.80766101259054 10.012127923372553)"
31,30,,S,26,28,9.731361589,20,34,52,LT,2°49'33''RT,A+3,28,,,29-30,307,1.07,FALSE,220.445221,,10.01212792,77.80766101,GOOD,AVAILABLE,"11KV - 5NO, LT-2NO",Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80766101259054 10.012127923372553, 77.80755900482983 10.014977938072422)"
32,31,,T,,,,,,,,0°31'13''RT,B+0,28,,,30-31,318,0.4,FALSE,224.63028,20°14'35''LT,10.01497794,77.807559,GOOD,AVAILABLE,11KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80755900482983 10.014977938072422, 77.80663498382883 10.017213894603604)"
33,32,,S,18,14,50.12298885,,,,,0°33'6''RT,A+0,25,,,31-32,270,1.46,FALSE,224.375488,,10.01721389,77.80663498,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80663498382883 10.017213894603604, 77.80572596643435 10.019405929961493)"
34,33,,S,,,,17,1,7,LT,0°34'6''RT,A+0,25,,,32-33,265,5.4,FALSE,228.00177,,10.01940593,77.80572597,GOOD,AVAILABLE,LT - 2 NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80572596643435 10.019405929961493, 77.80476397541213 10.021749929226322)"
35,34,,T,7,38,58.61286314,,,,,0°15'53''RT,C+3,31,,,33-34,283,1.45,FALSE,231.455627,87°44'44''LT,10.02174993,77.80476398,GOOD,AVAILABLE,LT- 3 NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80476397541213 10.021749929226322, 77.80626400079709 10.023863928910483)"
36,35,,T,,,,,,,,0°14'35''RT,C+0,28,,,34-35,289,1.02,FALSE,233.872665,4°31'28''RT,10.02386393,77.806264,GOOD,AVAILABLE,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80626400079709 10.023863928910483, 77.80638101216485 10.024003906685007)"
37,MON GANTRY,2W,T,,,,59,29,46,LT,0°12'21''RT,GANTRY,12,,,35-MON GANTRY,23,,FALSE,234.148575,23°24'27''LT,10.02400391,77.80638101,GOOD,NO E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,
Total Length,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For M/S STERLITE POWER TRANSMISSION LIMITED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
