S. No ,Tower No,Joint Box,Supspension / Tenion,Tower type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),,Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain /Hilly / Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
39,37,,S,A+0,28,36-37,303,12.68,FALSE,74.549812,,10.01681192,78.67410103,GOOD,NO E/W,,,Plain,E/W Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67410102992616 10.016811922579237, 78.67339502222374 10.014213951681548)"
40,38,,S,A+0,28,37-38,300,2.63,FALSE,76.048805,,10.01421395,78.67339502,GOOD,NO E/W,,,Plain,E/W Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67339502222374 10.014213951681548, 78.67279303393936 10.011871964109442)"
41,39,,S,A+0,28,38-39,270,6.68,FALSE,75.488358,,10.01187196,78.67279303,GOOD,NO E/W,2 LT LINES,,Plain,E/W Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67279303393936 10.011871964109442, 78.6720919715598 10.009365942688385)"
42,40,,S,A+0,28,39-40,290,4.74,FALSE,73.383286,,10.00936594,78.67209197,GOOD,NO E/W,66KV,,Plain,E/W Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6720919715598 10.009365942688385, 78.67143097467725 10.006862938755459)"
43,41,,S,A+0,28,40-41,289,4.24,FALSE,73.660194,,10.00686294,78.67143097,GOOD,NO E/W,,,Plain,E/W Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67143097467725 10.006862938755459, 78.67071599833834 10.004192967308732)"
44,42,,S,A+0,28,41-42,308,5.27,FALSE,73.361656,,10.00419297,78.670716,GOOD,NO E/W,,,Plain,E/W Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67071599833834 10.004192967308732, 78.67006899923408 10.001738913690405)"
45,43,2W,T,B+0,26,42-43,283,12.37,FALSE,74.969963,3°10'18''RT,10.00173891,78.670069,GOOD,NO E/W,LT,,Plain,E/W Not Available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.67006899923408 10.001738913690405, 78.6693769893099 9.99914588811565)"
46,44,,T,D+0,26,43-44,299,7.16,FALSE,72.556725,58°54'51''RT,9.999145888,78.66937699,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6693769893099 9.99914588811565, 78.66706098564983 9.998475922513355)"
47,45,,S,A+0,28,44-45,267,2.38,FALSE,74.524429,,9.998475923,78.66706099,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66706098564983 9.998475922513355, 78.6646910025336 9.997800927766665)"
48,46,,S,A+0,28,45-46,273,0.76,FALSE,75.574448,,9.997800928,78.664691,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.6646910025336 9.997800927766665, 78.66259200634627 9.997212937185337)"
49,47,,S,A+0,28,46-47,242,1.58,FALSE,77.854568,,9.997212937,78.66259201,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66259200634627 9.997212937185337, 78.66005698355698 9.996466947712337)"
50,48,,T,D+0,26,47-48,293,0.38,FALSE,78.281471,32°12'31''RT,9.996466948,78.66005698,GOOD,GOOD,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.66005698355698 9.996466947712337, 78.65788900430661 9.997069941740966)"
