,Tower No,Joint Box,Type,Supspension/ Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts, broken, etc)","Condition of Earht wire (Missing, Broken etc)",GROUND EARTH AVAILABLE,Crossing Objects,,,Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,T.NO-11,,DA,S,29,10-Nov,274.5541841,1.49,113,,8.90605916,77.49134767,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49134767 8.90605916, 77.49077959 8.90402965)"
12,T.NO-12,,DA,S,26,11-Dec,233.1222855,2.36,120,,8.90402965,77.49077959,GOOD,GOOD,NO,"11KV,33KV",NALA,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49077959 8.90402965, 77.49010998 8.90176586)"
13,T.NO-13,,DB,T,24,Dec-13,261.1225766,2.94,121,"7°35'21.48""",8.90176586,77.49010998,GOOD,GOOD,NO,11KV,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49010998 8.90176586, 77.48983447 8.89999646)"
14,T.NO-14,,DA,S,26,13-14,198.1337932,2.81,120,,8.89999646,77.48983447,GOOD,GOOD,NO,11KV,"MUDROAD,CANAL",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48983447 8.89999646, 77.48948169 8.8975498)"
15,T.NO-15,,DA,S,26,14-15,273.5141678,3.12,127,,8.8975498,77.48948169,GOOD,GOOD,NO,33KV,MUDROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48948169 8.8975498, 77.48912948 8.89518447)"
16,T.NO-16,,DB,T,24,15-16,264.5996977,3.66,128,"2°44'45.83""",8.89518447,77.48912948,GOOD,GOOD,NO,11KV,MUDROAD,PLAINLAND,TWO EARTH WIRE ON THIS TOWER.IT SPLIT AND CONNECT TO  T.NO-17 DP TOWERS.WE FOLLOW RIGHT SIDE DP TOWER.THEN SPLITED EARTH WIRES CONNECT TO T.NO-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48912948 8.89518447, 77.48901659 8.8946159)"
17,T.NO-17,,DA,DP,26,16-17,64.13267498,DP TOWER,131,,8.8946159,77.48901659,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48901659 8.8946159, 77.48899524 8.89414612)"
18,T.NO-18,2W,DB,T,24,17-18,52.03844733,4.79,131,"6°32'36.83""",8.89414612,77.48899524,GOOD,GOOD,NO,400KV MC LINE CROSSING ABOVE OUR LINE,,CULTIVATION,2EARTH WIRE ON THIS TOWER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48899524 8.89414612, 77.48863486 8.8919164)"
19,T.NO-19,,DA,S,26,18-19,249.9059823,4.02,135,,8.8919164,77.48863486,GOOD,GOOD,NO,LT,MUDROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48863486 8.8919164, 77.48833889 8.88980373)"
20,T.NO-20,,DA,S,26,19-20,236.0444873,3.82,137,,8.88980373,77.48833889,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48833889 8.88980373, 77.48798774 8.88759201)"
21,T.NO-21,,DB,T,27,20-21,247.7781266,6.78,140,"0°36'7.76""",8.88759201,77.48798774,GOOD,GOOD,NO,2nos LT,2nos THAAR ROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48798774 8.88759201, 77.48761641 8.88508221)"
22,T.NO-22,,DA,S,26,21-22,280.7222827,5.19,140,,8.88508221,77.48761641,GOOD,GOOD,NO,,MUDROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48761641 8.88508221, 77.48723588 8.8825544)"
23,T.NO-23,,DA,S,29,22-23,282.8427125,5.41,140,,8.8825544,77.48723588,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48723588 8.8825544, 77.48687365 8.88004453)"
24,T.NO-24,,DA,S,29,23-24,280.585103,3.62,143,,8.88004453,77.48687365,GOOD,GOOD,NO,"11KV,LT",,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48687365 8.88004453, 77.48650272 8.87758895)"
25,T.NO-25,,DA,S,29,24-25,274.7817316,4.43,139,,8.87758895,77.48650272,GOOD,GOOD,NO,"11KV,LT",,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48650272 8.87758895, 77.48613076 8.87497974)"
26,T.NO-26,,DB,T,24,25-26,291.6196153,3.93,139,"3°59'17.46""",8.87497974,77.48613076,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48613076 8.87497974, 77.48566172 8.87279591)"
27,T.NO-27,,DA,S,26,26-27,247.111311,4.39,138,,8.87279591,77.48566172,GOOD,GOOD,NO,,2nos MUD ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48566172 8.87279591, 77.4853405 8.87097257)"
28,T.NO-28,2W,DD,T,28,27-28,204.8414021,2.01,137,"113°21'3.43""",8.87097257,77.4853405,GOOD,GOOD,YES,3nos 11KV,,INSIDE SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4853405 8.87097257, 77.4851867 8.87107301)"
29,GANTRY 110KV ALANKULAM,,GANTRY,GANTRY,26,28-GANTRY,20.24845673,,138,,8.87107301,77.4851867,GOOD,MISSING,NO,,,SUBSTATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TOTAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTES:(0˚-2˚ A-TYPE , 2˚-15˚ B-TYPE, 15˚-30˚C-TYPE,            30˚< D-TYPE)                                          ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
