SL.NO,TOWER NO,Tower Suspension/ Tension,DIVATION OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),EARTH FOOTING RESIDENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
29,29,T,"32°25'57""LT",PC,21.65,T28-T29,56.97981440817459,2.89,14,8.308112295,77.1898187,NORMAL,AVAILABLE,,,Agri Land,"sc line, brick making",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1898187 8.308112295, 77.18862243 8.310246168)"
30,30,S,,PA,20.9,T29-T30,270.385515560725,1.67,14,8.310246168,77.18862243,NORMAL,AVAILABLE,,River,Agri Land,sc LineRiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18862243 8.310246168, 77.18791131 8.311146555)"
31,31,S,,PA,20.9,T30-T31,126.73873760606718,1.73,11,8.311146555,77.18791131,NORMAL,AVAILABLE,,,Agri Land,sc line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18791131 8.311146555, 77.1871281 8.311914582)"
32,32,S,,PA,20.9,T31-T32,121.11127149856013,1.89,11,8.311914582,77.1871281,NORMAL,AVAILABLE,,,Agri Land,Sc line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1871281 8.311914582, 77.18557176 8.313679194)"
33,33,T,"42°42'56""RT",PC,21.65,T32-T33,259.8519776969774,2.66,20,8.313679194,77.18557176,NORMAL,AVAILABLE,,,Agri Land,"sc,agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18557176 8.313679194, 77.18563814 8.314755064)"
34,34,S,,PA,20.9,T33-T34,119.25100917399037,1.4,21,8.314755064,77.18563814,NORMAL,AVAILABLE,"Lt line,11Kv line","Pond, Road",Agri Land,"sc,road ,pond cross,11kv line,lt line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18563814 8.314755064, 77.1858906 8.316986085)"
35,35,T,"08°26'50""RT",PB+3,23.85,T34-T35,248.38694935930678,2.8,26,8.316986085,77.1858906,NORMAL,AVAILABLE,11KV Line,Road,Agri Land,"sc line,Road,11kv line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.1858906 8.316986085, 77.18621783 8.318266633)"
36,36,S,,PA+3,23.9,T35-T36,146.18773905144496,1.57,28,8.318266633,77.18621783,NORMAL,AVAILABLE,"Lt line,11KV line","Road,Pond",Agri Land,"sc,road,11kv,lt,pond cross",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18621783 8.318266633, 77.18660239 8.319843761)"
37,37,T,"45°10'50""RT",PC,21.65,T36-T37,179.55459536589333,2.62,36,8.319843761,77.18660239,NORMAL,AVAILABLE,Lt Line,cart track,Agri Land,"sc line,carT track,lt line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18660239 8.319843761, 77.18802463 8.320691025)"
38,38,T,"03°48'24""LT",PB+3,23.85,T37-T38,182.61172255089545,2.73,48,8.320691025,77.18802463,NORMAL,AVAILABLE,Lt line-2nos,Road,Agri Land,"sc line,Road,2nos lt line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18802463 8.320691025, 77.18919006 8.321494497)"
39,39,T,"57°06'18""LT",PC,21.65,T38-T39,156.1830490994028,2.58,57,8.321494497,77.18919006,NORMAL,AVAILABLE,,,Hills Area,hills area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18919006 8.321494497, 77.18915485 8.322612811)"
40,40,S,,PA,20.9,T39-T40,123.78316806822183,2.47,52,8.322612811,77.18915485,NORMAL,AVAILABLE,,Soil Road,Agri Land,soil Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.18915485 8.322612811, 77.18914848 8.323749369)"
