SL.NO,TOWER NO,Joint Box,TOWER S / T,DEVIATION OF  ANGLE ,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTANCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
15,13,,S,,PA,23.62,T12-T13,255,1.89,42,8.865830999,77.77690295,AVAILABLE,LT LINE-2NOS,,PLAIN LAND,"SC line , 2nos LT line , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7769029513001 8.86583099888829, 77.7775916084647 8.86379997548074)"
16,14,,T,"38°56'42""RT",PC,24,T13-T14,265,2.72,42,8.863799975,77.77759161,AVAILABLE,,WELL,PLAIN LAND,"SC line  , well , plain land ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7775916084647 8.86379997548074, 77.7767728641629 8.86134689766131)"
17,15,,T,"0°9'5""LT",PC,21.94,T14-T15,260,2.49,42,8.861346898,77.77677286,AVAILABLE,33KV LINE,"CART TRACK, RIVER",WATER LOGGED AREA,"SC line , 33 kv line , cart track , River , water logged area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7767728641629 8.86134689766131, 77.7760704606771 8.85946227347816)"
18,16,,S,,PA,23.62,T15-T16,260,1.53,42,8.859462273,77.77607046,AVAILABLE,,,WATER LOGGED AREA,"Sc line , water logged area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7760704606771 8.85946227347816, 77.7753801271319 8.85713670878649)"
19,17,,T,"1°7'48""LT",PB,21.94,T16-T17,300,2.82,42,8.857136709,77.77538013,AVAILABLE,,,WATER LOGGED AREA,"SC line, water logged area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7753801271319 8.85713670878649, 77.7745798230171 8.85487175365077)"
20,18,,S,,PA+3,26.62,T17-T18,270,1.71,43,8.854871754,77.77457982,AVAILABLE,11KV LINE-2NOS,"ROAD,ODAI(NALA), CANAL",WATER LOGGED AREA,"SC line , Road,2nos 11kv line , odai(nala) , water logged area, canal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7745798230171 8.85487175365077, 77.7738391980528 8.85286551583425)"
21,19,,S,,PA,26.62,T18-T19,240,1.38,43,8.852865516,77.7738392,AVAILABLE,"LT LINE, 11KV LINE",ROAD-3NOS,WATER LOGGED AREA,"SC line  , 3nos Road , LT line , 11kv line , Water logged area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7738391980528 8.85286551583425, 77.773120701313 8.85073437309125)"
22,20,,T,"18°10'37""RT",PB,24.94,T19-T20,290,2.76,45,8.850734373,77.7731207,AVAILABLE,"11KV LINE, LT LINE",,PLAIN LAND,"SC line , 11kv line , LT line , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.773120701313 8.85073437309125, 77.7717236056923 8.84889971863546)"
23,21,,S,,PA,26.62,T20-T21,220,1.54,46,8.848899719,77.77172361,AVAILABLE,LT LINE-4NOS,STREET ROAD-3NOS,PLAIN LAND,"SC line , 4 nos LT line , 3nos street road , plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7717236056923 8.84889971863546, 77.7708673104643 8.84781939507561)"
24,22,,S,,PA,26.62,T21-T22,240,1.84,47,8.847819395,77.77086731,AVAILABLE,LT LINE-2NOS,STREET ROAD-2NOS,PLAIN LAND,"Sc line  , 3 nos LT line ,2nos street road , plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7708673104643 8.84781939507561, 77.7696405351162 8.84622623504289)"
25,23 (LILO),3W,T,"39°11'39""RT",KC,24,T22-T23,320,2.58,48,8.846226235,77.76964054,AVAILABLE,11KV LINE,CART TRACK,PLAIN LAND,"MD tower ( LILO ON KANGAIKONDAN), 11kv line , cart track , plain   land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7696405351162 8.84622623504289, 77.77093638 8.845431143)"
26,24,,T ,"32°15'43""RT",KC,24,T23-T24,210,2.36,48,8.845431143,77.77093638,AVAILABLE,,,PLAIN LAND,"dc line, plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77093638 8.845431143, 77.76891936 8.845212161)"
27,25,2W,T,"27°26'27""RT",KC,24,T24-T25,132,2.84,47,8.845212161,77.76891936,AVAILABLE,11kv line,,PLAIN LAND,"dc line,11kv line ,plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76891936 8.845212161, 77.76752058 8.843494756)"
28,26,,S,,GC,23.62,T25-T26,270,1.9,48,8.843494756,77.76752058,AVAILABLE,,,PLAIN LAND,"dc line,plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76752058 8.843494756, 77.76602861 8.841563991)"
29,27,,T,"0°54'32""RT",HC,21.94,T26-T27,270,2.53,51,8.841563991,77.76602861,AVAILABLE,,,PLAIN LAND,"dc line,plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76602861 8.841563991, 77.76450042 8.839557681)"
30,28,,S,,GC+3,26.62,T27-T28,270,1.49,54,8.839557681,77.76450042,AVAILABLE,11KV LINE-2NOS,road,PLAIN LAND,"dc line ,11kv line 2nos, Road,plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76450042 8.839557681, 77.76295647 8.837557654)"
31,29,,T,"0°34'37""LT",HC,21.94,T28-T29,270,2.78,55,8.837557654,77.76295647,AVAILABLE,,,PLAIN LAND,"dc LINE,plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76295647 8.837557654, 77.76139308 8.835681522)"
32,30,,S,,GC,23.62,T29-T30,269.7092847,1.76,57,8.835681522,77.76139308,AVAILABLE,,,PLAIN LAND,"dc line,plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76139308 8.835681522, 77.76000068 8.833704665)"
33,31,,S,,GC,23.62,T30-T31,270,1.73,59,8.833704665,77.76000068,AVAILABLE,,,PLAIN LAND,"dc line,plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76000068 8.833704665, 77.75866628 8.832077983)"
34,32,2W,T,"0°10'16""RT",HC,21.94,T31-T32,270,2.37,57,8.832077983,77.75866628,AVAILABLE,,,PLAIN LAND,"dc line,  it park,plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75866628 8.832077983, 77.75717296 8.830206461)"
35,33,,S,,GC,23.62,T32-T33,240,1.9,56,8.830206461,77.75717296,AVAILABLE,,,PLAIN LAND,"dc line, it park,plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75717296 8.830206461, 77.75593042 8.82850025)"
36,34,,S,,GC,23.62,T33-T34,240,1.82,56,8.82850025,77.75593042,AVAILABLE,,,PLAIN LAND," dc line, it park,plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75593042 8.82850025, 77.75440492 8.826601211)"
37,35 (LILO),3W,T,"2°47'18""RT",HC+3,24.94,T34-T35,235,2.52,53,8.826601211,77.75440492,AVAILABLE,"LT LINE, 11KV LINE",ROAD,PLAIN LAND,"dc line,Road 1 crain shed lilo right  side atg tyre but our line on straight ,Lt line  11kv line,plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75440492 8.826601211, 77.75357109 8.825548652)"
38,36,,S,,GC,23.62,T35-T36,235,1.47,53,8.825548652,77.75357109,AVAILABLE,,,PLAIN LAND," sc line,plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75357109 8.825548652, 77.75205497 8.823580024)"
39,37,,S,,GC,23.62,T36-T37,235,1.86,53,8.823580024,77.75205497,AVAILABLE,,,PLAIN LAND," sc line,plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75205497 8.823580024, 77.75043357 8.821980133)"
40,38,2W,T,"3°43'42""LT",HC,21.94,T37-T38,235,2.58,53,8.821980133,77.75043357,AVAILABLE,11KV LINE,CART TRACK,PLAIN LAND,"sc line ,petrol pumb crossing, 11kv line, cart track,plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75043357 8.821980133, 77.74906196 8.819697071)"
41,39,,S,,GC,23.62,T38-T39,290,1.32,56,8.819697071,77.74906196,AVAILABLE,,,PLAIN LAND,"sc line,plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.74906196 8.819697071, 77.74754416 8.817849009)"
42,40,,S,,GC,23.62,T39-T40,245,1.63,54,8.817849009,77.74754416,AVAILABLE,,,PLAIN LAND,"sc line, compound wall,plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.74754416 8.817849009, 77.74612159 8.816319001)"
43,41,,S,,GC,23.62,T40-T41,300,1.57,56,8.816319001,77.74612159,AVAILABLE,,,PLAIN LAND," sc line,plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.74612159 8.816319001, 77.74422929 8.814351649)"
44,42,,S,,GC,23.62,T41-T42,240,1.93,53,8.814351649,77.74422929,AVAILABLE,,,PLAIN LAND,"sc line,plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.74422929 8.814351649, 77.74304677 8.812408803)"
45,43,,S,,GC,23.62,T42-T43,285,1.42,54,8.812408803,77.74304677,AVAILABLE,,,PLAIN LAND,"sc line,plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.74304677 8.812408803, 77.74152495 8.81013264)"
46,44,2W,T,"0°48'48""RT",HC,21.94,T43-T44,285,2.85,52,8.81013264,77.74152495,AVAILABLE,,,PLAIN LAND,"sc line,plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.74152495 8.81013264, 77.7399106 8.8080864)"
47,45,,S,,PA,23.62,T44-T45,285,1.7,52,8.8080864,77.7399106,AVAILABLE,,,PLAIN LAND,"sc line,plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7399106 8.8080864, 77.73828853 8.806031534)"
48,46,,S,,PA,23.62,T45-T46,285,1.82,54,8.806031534,77.73828853,AVAILABLE,,,PLAIN LAND,"sc line, sankar cement colony crossing,plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.73828853 8.806031534, 77.73696318 8.80439214)"
49,47,,S,,PA,23.62,T46-T47,285,1.73,54,8.80439214,77.73696318,AVAILABLE,,,PLAIN LAND,"sc line,plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.73696318 8.80439214, 77.73519728 8.8020818)"
50,48,,S,,GC,23.62,T47-T48,285,1.84,53,8.8020818,77.73519728,AVAILABLE,LT LINE,,PLAIN LAND,"sc line, lt line  ,plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.73519728 8.8020818, 77.73369491 8.79990696)"
51,49,,S,,GC+3,26.62,T48-T49,285,1.74,52,8.79990696,77.73369491,AVAILABLE,LT LINE-3NOS,ROAD,PLAIN LAND,"sc line, 3 nos lt line, Road, 4 nos house,plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.73369491 8.79990696, 77.73208056 8.797936207)"
52,50,,T,"45°11'55""RT",KC+3,27,T49-T50,285,2.81,50,8.797936207,77.73208056,AVAILABLE,LT LINE-2NOS,ROAD,PLAIN LAND,"sc line Road, 2nos lt line,plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.73208056 8.797936207, 77.72991668 8.79715062)"
53,51,,S,,GC,23.62,T50-T51,176,1.93,50,8.79715062,77.72991668,AVAILABLE,,CART TRACK,PLAIN LAND,"sc line ,cart track ,2nos compound crossing,plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72991668 8.79715062, 77.72881228 8.796751696)"
54,52,,S,,GC,23.62,T51-T52,230,1.72,50,8.796751696,77.72881228,AVAILABLE,,CART TRACK,PLAIN LAND,"sc line ,cart track   ,plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72881228 8.796751696, 77.72663634 8.796017463)"
55,53,,S,,GC,23.62,T52-T53,245,1.67,51,8.796017463,77.72663634,AVAILABLE,,RIVER,PLAIN LAND,"sc  line, river ,plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72663634 8.796017463, 77.7240118 8.796922663)"
56,54,,T,"21°53'33""RT",HC,21.94,T53-T54,296,2.59,52,8.796922663,77.7240118,AVAILABLE,,RIVER,PLAIN LAND," sc line, river,plain  land ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7240118 8.796922663, 77.7215321 8.798153892)"
57,55,,S,,GC,23.62,T54-T55,305,1.76,54,8.798153892,77.7215321,AVAILABLE,LT LINE-2NOS,,PLAIN LAND,"sc line,2nos lt line, 3nos house,plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7215321 8.798153892, 77.72061881 8.798485222)"
58,56,,S,,GC,23.62,T55-T56,270,1.84,54,8.798485222,77.72061881,AVAILABLE,11KV LINE,,PLAIN LAND,"sc line, Road, 4 house,  11kv LINE, 1 temple,plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72061881 8.798485222, 77.71832787 8.798405372)"
59,57,2W,T,"8°1'42""LT",HC,21.94,T56-T57,180,2.91,55,8.798405372,77.71832787,NOT AVAILABLE,"110KV DCLINE, LT LINE",,PLAIN LAND,"sc line River ,110 dc line crossing our tower over height,T56 TO T57 earth wire not Available, 1lt line,plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71832787 8.798405372, 77.71589376 8.798688328)"
60,58,,T,"9°0'46""LT",HC,21.94,T57-T58,290,2.75,56,8.798688328,77.71589376,AVAILABLE,,,WATER LOGGED AREA,"sc line, water logged area ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71589376 8.798688328, 77.71404136 8.798612785)"
61,59,,T,"101°11'5""LT",KC+3,27,T58-T59,180,2.47,57,8.798612785,77.71404136,AVAILABLE,"LT LINE-2NOS, 11KV LINE","ROAD, RIVER",PLAIN LAND,"sc line, 2 nos lt line, 11kv line,  road , river ,plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71404136 8.798612785, 77.71450169 8.796455816)"
62,60,,S,,GC,23.62,T59-T60,252,1.88,56,8.796455816,77.71450169,AVAILABLE,"LT LINE, 11KV LINE",,PLAIN LAND,"sc line, lt line, 11kv line ,plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71450169 8.796455816, 77.71508977 8.794279617)"
63,61,,T,"22°18'55""RT",HC,21.94,T60-T61,252,2.43,59,8.794279617,77.71508977,AVAILABLE,"LT LINE, 11KV LINE,33KV LINE",,PLAIN LAND," sc line, road , lt line, 11kv line  .33kv line , compound,  sankar poly,plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71508977 8.794279617, 77.71480344 8.792338655)"
64,62,,S,,GC+3,26.62,T61-T62,220,1.52,53,8.792338655,77.71480344,AVAILABLE,"LT LINE-2NOS, 11KV LINE",ROAD,PLAIN LAND,"sc line, 2 nos lt line, 11kv line,  Road,plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71480344 8.792338655, 77.71443699 8.790076615)"
65,63 (LILO),3W,T,"127°24'13""LT",KC+3,27,T62-T63,225,2.78,53,8.790076615,77.71443699,AVAILABLE,"11KV LINE, LT LINE-5NOS",ROAD,PLAIN LAND," DC TOWER, (LILO ON MELAKALLUR SPUR LINE ) 11kv line @ lt 5 crs tower on road,plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71443699 8.790076615, 77.71682415 8.791411244)"
66,64,,S,,GC+3,26.62,T63-T64,301.4886274,1.94,53,8.791411244,77.71682415,AVAILABLE,LT LINE-3NOS,ROAD-2NOS,PLAIN LAND,"sc line.3nos lt line, 6 house, 2nos Road,plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71682415 8.791411244, 77.71853272 8.792299888)"
67,65,,T,"13°11'35""LT",KC+3,27,T64-T65,212.2698003,2.48,56,8.792299888,77.71853272,AVAILABLE,"11KV LINE-2NOS,LT LINE-5NOS",ROAD-4NOS,PLAIN LAND,"DC TOWER, 4nos Road ,10 house, lt line  5nos .11 kv line 2nos,plain  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71853272 8.792299888, 77.71903764 8.79274918)"
68, Gantry (Thalaiyuthu),2W,,,,,T65-Gantry (Thalaiyuthu),74.58725991,,56,8.79274918,77.71903764,AVAILABLE,,,PLAIN LAND,Thalaiyuthu ss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,Km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
