S. No ,Tower No,SUSPENTION/TENTION,Circuit,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of Tower  (Missing  parts, broken,etc)","Condition of Earht wire (Missing,Broken etc)",EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
28,T.NO 27,S,SA,26,"=B33&""-""&B34",242.26019070412704,1.62,230,,9.10833333333333,77.3461388888888,GOOD,GOOD,NO,"LT,11KV",MUD ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3461388888888 9.10833333333333, 77.3478611111111 9.10952777777777)"
29,T.NO 28,T,SB,24,"=B34&""-""&B35",233.6578695443404,1.87,223,"1°26'5.98""",9.10952777777777,77.3478611111111,GOOD,GOOD,NO,LT,TAAR ROAD,PLAIN LAND,COPING DAMAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3478611111111 9.10952777777777, 77.3496666666666 9.11072222222222)"
30,T.NO 29,S,SA,26,"=B35&""-""&B36",236.86494041964082,2.12,219,,9.11072222222222,77.3496666666666,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3496666666666 9.11072222222222, 77.3513888888888 9.11191666666666)"
31,T.NO 30,S,SA,26,"=B36&""-""&B37",230.8679276123039,2.66,225,,9.11191666666666,77.3513888888888,GOOD,GOOD,NO,,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3513888888888 9.11191666666666, 77.3532777777777 9.11327777777777)"
32,T.NO 31,S,SA,26,"=B37&""-""&B38",257.8410362994999,1.5,226,,9.11327777777777,77.3532777777777,GOOD,GOOD,NO,,,PLAIN LAND,"HEAVY BUSHES, COPPING DAMAGE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3532777777777 9.11327777777777, 77.3551388888888 9.11455555555555)"
33,T.NO 32,S,SA,26,"=B38&""-""&B39",247.7357463104588,2.39,230,,9.11455555555555,77.3551388888888,GOOD,GOOD,NO,"11KV, LT",MUD ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3551388888888 9.11455555555555, 77.3570555555555 9.11588888888888)"
34,T.NO 33,T,SB,27,"=B39&""-""&B40",256.6748916431056,3.76,232,"0°29'41.63""",9.11588888888888,77.3570555555555,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3570555555555 9.11588888888888, 77.3583888888888 9.11683333333333)"
35,T.NO 34,T,SB,27,"=B40&""-""&B41",180.42172818150257,3.01,232,"1°50'13.53""",9.11683333333333,77.3583888888888,GOOD,GOOD,NO,"2nos LT, ",TAAR ROAD (TENKASI - MADURAI) SH,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3583888888888 9.11683333333333, 77.3599722222222 9.11788888888888)"
36,T.NO 35,S,SA,29,"=B41&""-""&B42",210.23796041628637,5.21,229,,9.11788888888888,77.3599722222222,GOOD,GOOD,NO,,"MUD ROAD , NALA",PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3599722222222 9.11788888888888, 77.3618888888888 9.11927777777777)"
37,T.NO 36,S,SA,26,"=B42&""-""&B43",258.80494585691366,4.14,227,,9.11927777777777,77.3618888888888,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3618888888888 9.11927777777777, 77.36375 9.12058333333333)"
38,T.NO 37,S,SA,26,"=B43&""-""&B44",250.8625121455974,3.32,227,,9.12058333333333,77.36375,GOOD,GOOD,NO,11KV,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36375 9.12058333333333, 77.3656111111111 9.12183333333333)"
39,T.NO 38,T,SB,24,"=B44&""-""&B45",247.98588669519077,2.47,230,"0°51'25.40""",9.12183333333333,77.3656111111111,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3656111111111 9.12183333333333, 77.3673055555555 9.12302777777777)"
40,T.NO 39,S,SA,26,"=B45&""-""&B46",227.26416347501865,2.81,224,,9.12302777777777,77.3673055555555,GOOD,GOOD,NO,"3nos LT, ",2nos TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3673055555555 9.12302777777777, 77.3691944444444 9.12438888888889)"
41,T.NO 40,S,SA,26,"=B46&""-""&B47",258.2111539031573,1.79,225,,9.12438888888889,77.3691944444444,GOOD,GOOD,NO,LT,"TAAR ROAD, NALA",PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3691944444444 9.12438888888889, 77.3710833333333 9.12572222222222)"
42,T.NO 41,S,SA,26,"=B47&""-""&B48",253.88580109962825,3.43,226,,9.12572222222222,77.3710833333333,GOOD,GOOD,NO,LT,MUD ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3710833333333 9.12572222222222, 77.3728888888888 9.12697222222222)"
43,T.NO 42,T,SB,24,"=B48&""-""&B49",241.6795398870165,5.21,224,"0°29'50.59""",9.12697222222222,77.3728888888888,GOOD,GOOD,NO,LT,2nos NALA,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3728888888888 9.12697222222222, 77.3748611111111 9.12830555555555)"
44,T.NO 43,S,SA,26,"=B49&""-""&B50",262.15453457836657,4.44,224,,9.12830555555555,77.3748611111111,GOOD,GOOD,NO,LT,MUD ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3748611111111 9.12830555555555, 77.3766666666666 9.12961111111111)"
