SL.NO,TOWER NO,Tower Suspension/ Tension,DEVIATION  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER NO(Mtrs),SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
14,23,S,,PA,20.9,T22-T23,195.45898485611622,1.73,84,8.260800455,77.5156055,GOOD,AVAILABLE,LT LINE,"Odai(Nala),POND",WATER LOGGED,"Odai(Nala), lt Line,cart track, Water logged Area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5156055 8.260800455, 77.51451251 8.259061197)"
15,24,T,"40°11'19""RT",PC,21.65,T23-T24,227.0668592574093,2.68,74,8.259061197,77.51451251,GOOD,AVAILABLE,,CART TRACK,AGRI Land,"cart track, agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51451251 8.259061197, 77.51224369 8.258281184)"
16,25,S,,PA,20.9,T24-T25,264.5765173347181,1.49,73,8.258281184,77.51224369,GOOD,AVAILABLE,,,AGRI Land,agri Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51224369 8.258281184, 77.51036615 8.25763123)"
17,26,S,,PA,20.9,T25-T26,219.10925708649134,1.57,73,8.25763123,77.51036615,GOOD,AVAILABLE,LT LINE-2Nos,,PLAIN Land,"Lt Line-2Nos, plain Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51036615 8.25763123, 77.50817612 8.256863489)"
18,27,S,,PA,20.9,T26-T27,255.9275313776185,1.69,73,8.256863489,77.50817612,GOOD,AVAILABLE,,Odai(Nala),PLAIN Land,"Odai(Nala),plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50817612 8.256863489, 77.50629656 8.25621751)"
19,28,T,"22°20'49""LT",PB+3,23.85,T27-T28,219.17542435217806,2.47,72,8.25621751,77.50629656,GOOD,AVAILABLE,11KV LINE,ROAD,PLAIN Land,"11kv Line,Road, plain Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50629656 8.25621751, 77.50476468 8.254916209)"
20,29,S,,PA+3,23.9,T28-T29,221.9270635502081,1.44,68,8.254916209,77.50476468,GOOD,AVAILABLE,,ROAD,AGRI Land,Road.agri Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50476468 8.254916209, 77.50343733 8.253716441)"
21,30,S,,PA,20.9,T29-T30,197.57575866742897,1.58,73,8.253716441,77.50343733,GOOD,AVAILABLE,,,PLAIN Land,"compound Wall, sengamal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50343733 8.253716441, 77.50210092 8.252518657)"
22,31,T,"31°33'59""RT",PC+3,24.65,T30-T31,198.16905992863883,2.78,72,8.252518657,77.50210092,GOOD,AVAILABLE,11KV LINE-2Nos,ROAD,PLAIN Land,"Road.11kv line-2Nos,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50210092 8.252518657, 77.49972381 8.252117888)"
23,32,S,,PA,20.9,T31-T32,265.7653477223884,1.71,69,8.252117888,77.49972381,GOOD,AVAILABLE,,,WATER LOGGED,WATER LOGGED area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49972381 8.252117888, 77.49760922 8.251723078)"
24,33,S,,PA+3,23.9,T32-T33,237.15787042396573,1.47,63,8.251723078,77.49760922,GOOD,AVAILABLE,11KV LINE,"ROAD, Odai(Nala)",AGRI Land,"Road,11kv Line,Odai(Nala), agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49760922 8.251723078, 77.49525559 8.251306706)"
25,34,S,,PA,20.9,T33-T34,263.5105907795679,1.53,63,8.251306706,77.49525559,GOOD,AVAILABLE,LT LINE-2Nos,"WELL,Odai(Nala)",PLAIN Land,"well, lt line-2Nos,Odai(Nala),plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49525559 8.251306706, 77.49296196 8.250845544)"
26,35,S,,PA,20.9,T34A-T35,257.93437798395337,1.61,60,8.250845544,77.49296196,GOOD,AVAILABLE,LT LINE,CART TRACK,AGRI Land,"dc  AGRI Land,cart track,lt Line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49296196 8.250845544, 77.49091812 8.250565875)"
27,36,T,"05°18'15""LT",PB,20.85,T35-T36,227.41580984615024,2.75,59,8.250565875,77.49091812,GOOD,AVAILABLE,LT LINE,,AGRI Land,"Dc line  ,AGRI Land,1no LT line, Brick factory ,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49091812 8.250565875, 77.4888166 8.249995213)"
28,37,T,"11°55'07""LT",PB+3,23.85,T36-T37,240.11115821018961,2.67,66,8.249995213,77.4888166,GOOD,AVAILABLE,"LT-2Nos,11KV-2Nos",ROAD -2NOS,AGRI Land,"Dc line  , 2nos LT , 2nos 11kv , Road(aralvaimozhi - Puthapandi) road (nager coil to Aralvoimozhi),1no house,normal soil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4888166 8.249995213, 77.48694878 8.249040302)"
29,38,T,"84°45'56""RT",PC,21.65,T37-T38,231.42974108784102,2.5,66,8.249040302,77.48694878,GOOD,AVAILABLE,LT LINE,,AGRI Land,"DC LINE :  1no LT Line, 2 nos halowblock shed ,AGRI Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48694878 8.249040302, 77.4866982 8.249433617)"
GANTRY,SR PUDUR,,,,,T38-SRPUDUR GANTRY,51.54760178714613,,69,8.249433617,77.4866982,,NOT AVAILABLE,,,AGRI Land,"T38-SRPUDUR GANTRY earth Wire not available , AGRI Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,=SUM(H6:H36)/1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
