S.No,Tower No.,Joint Box,Tower Model,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length (m),Footing Resistance of Tower ( Ohms),,Ground Elevation (m),Deviation Angle (Degrees),Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
24,253,,PA,S,A+0,24,256-257,278,7.46,FALSE,228.6776123,,10.65191751,77.86205412,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8620541188865 10.6519175134599, 77.861043177545 10.6500535458326)"
25,254,,PA,T,B+0,22,257-258,239,3.02,FALSE,219.3048096,2°53'48''LT,10.65005355,77.86104318,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.861043177545 10.6500535458326, 77.8599483333528 10.6479567289352)"
26,255,,PB,S,A+0,24,258-259,267,2.8,FALSE,220.2661133,,10.64795673,77.85994833,Good,Good,2-LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8599483333528 10.6479567289352, 77.8589267469942 10.646045571193)"
27,256,,PA,S,A+0,24,259-260,245,5.73,FALSE,216.6611328,,10.64604557,77.85892675,Good,Good,,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8589267469942 10.646045571193, 77.8578438051044 10.6439941842108)"
28,257,,PA+3M,S,A+3,27,260-261,261,4.95,FALSE,216.4207764,,10.64399418,77.85784381,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8578438051044 10.6439941842108, 77.8568885196 10.6421751435846)"
29,258,,PA,T,B+0,22,261-LILO CHINAKAMPATTY,232,3.33,FALSE,215.2192383,1°52'47''RT,10.64217514,77.85688852,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8568885196 10.6421751435846, 77.8558138757944 10.6402033846825)"
30,259,,PB,S,A+0,22,LILO CHINAKAMPATTY-262,253,3.72,FALSE,219.3048096,,10.64020338,77.85581388,Good,Good,,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8558138757944 10.6402033846825, 77.8547959774732 10.6382901314646)"
31,260,,PA,S,A+0,24,262-263,245,5.91,FALSE,224.1113281,,10.63829013,77.85479598,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8547959774732 10.6382901314646, 77.8537266980856 10.6362376548349)"
32,261,,PA,T,B+0,22,263-264,261,3.27,FALSE,226.274292,3°5'19''RT,10.63623765,77.8537267,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8537266980856 10.6362376548349, 77.8527377173304 10.6345669738948)"
33,LILO CHINAKAMPATTY,3W,,T,DC+0,22,264-265,219,0.19,FALSE,215.9401855,27°21'7''LT,10.63456697,77.85273772,Good,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8527377173304 10.6345669738948, 77.8527253121137 10.6343328673392)"
34,262,,PA,T,B+0,22,265-266,31,4.05,FALSE,224.1113281,5°9'12''RT,10.63433287,77.85272531,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8527253121137 10.6343328673392, 77.8524080570787 10.6321424245834)"
35,263,,PC,T,B+0,22,266-267,251,3.15,FALSE,230.6002197,2°0'12''LT,10.63214242,77.85240806,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8524080570787 10.6321424245834, 77.8520288597792 10.6295231636613)"
36,264,,EXI KCR,T,B+0,22,267-268,299,3.91,FALSE,222.6694336,1°53'54''RT,10.62952316,77.85202886,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8520288597792 10.6295231636613, 77.851690147072 10.6274190545082)"
37,265,,PC,S,A+0,30,268-269,241,4.8,FALSE,223.3903809,,10.62741905,77.85169015,Good,NO E/W,"400KV PGLR-MDU
 (T NO 294-295)",,Plain,NO CLEARENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.851690147072 10.6274190545082, 77.8512920066714 10.6249782443046)"
38,266,,PC,S,A+0,30,269-270,279,4.6,FALSE,230.1195068,,10.62497824,77.85129201,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8512920066714 10.6249782443046, 77.8509325906634 10.6228472292423)"
39,267,,PA,T,B+0,22,270-271,245,3.49,FALSE,216.9014893,1°55'11''RT,10.62284723,77.85093259,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8509325906634 10.6228472292423, 77.8504501283168 10.620478419587)"
40,268,,PA,T,B+0,22,271-272,273,2.35,FALSE,229.1582031,2°48'26''LT,10.62047842,77.85045013,Good,Good,22KV,,POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8504501283168 10.620478419587, 77.8501156903803 10.6182868033647)"
41,269,,PC+3,T,B+3,25,272-273,251,3.81,FALSE,227.4759521,3°10'33''RT,10.6182868,77.85011569,Good,Good,LT,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8501156903803 10.6182868033647, 77.8496162127703 10.6159132998436)"
42,270,,KCR,T,B+0,22,273-274,274,4.1,FALSE,228.1968994,2°21'7''LT,10.6159133,77.84961621,Good,Good,2-LT,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8496162127703 10.6159132998436, 77.8492760751396 10.6138824485242)"
43,271,,PC,S,A+0,24,274-275,233,5.89,FALSE,230.3598633,,10.61388245,77.84927608,Good,Good,,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8492760751396 10.6138824485242, 77.8488496039062 10.6113306619226)"
44,272,,PB,S,A+0,24,275-276,292,6.42,FALSE,226.7550049,,10.61133066,77.8488496,Good,Good,22KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8488496039062 10.6113306619226, 77.8485171776264 10.6092038378119)"
45,273,,PA+3M,S,A+3,27,276-277,244,5.5,FALSE,235.1663818,,10.60920384,77.84851718,Good,Good,,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8485171776264 10.6092038378119, 77.8480802290141 10.6067331880331)"
46,274,,PA,S,A+0,24,277-278,283,3.12,FALSE,226.274292,,10.60673319,77.84808023,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8480802290141 10.6067331880331, 77.8477109223604 10.6044977344572)"
47,275,,PA+3M,S,A+3,27,278-279,256,4.84,FALSE,234.4454346,,10.60449773,77.84771092,Good,Good,LT,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8477109223604 10.6044977344572, 77.8473732154816 10.6025351118296)"
48,276,,PA,S,A+0,24,279-280,226,4.33,FALSE,234.2050781,,10.60253511,77.84737322,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8473732154816 10.6025351118296, 77.8469738177955 10.6001419946551)"
49,277,,PB+3M,S,A+3,27,280-281,274,7.29,FALSE,237.5697021,,10.60014199,77.84697382,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8469738177955 10.6001419946551, 77.8466303274035 10.5980706587433)"
50,278,,PA,S,A+0,33,281-282,238,5.57,FALSE,232.5228271,,10.59807066,77.84663033,Good,Good,22KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8466303274035 10.5980706587433, 77.8462271578609 10.5956492945551)"
51,279,,PA,S,A+0,30,282-283,277,6.89,FALSE,230.6002197,,10.59564929,77.84622716,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8462271578609 10.5956492945551, 77.8458173666149 10.593294147402)"
52,280,2W,PA+3M,T,B+3,25,283-284,270,4.84,FALSE,233.4841309,1°20'33''LT,10.59329415,77.84581737,Good,Good,2-LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8458173666149 10.593294147402, 77.8454514965415 10.5911135114729)"
53,281,,PA,S,A+0,24,284-285,250,3.86,FALSE,239.9730225,,10.59111351,77.8454515,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8454514965415 10.5911135114729, 77.8450604807585 10.5887971725314)"
54,282,,PB+3M,T,C+3,25,285-286,266,5.28,FALSE,238.5311279,24°53'16''RT,10.58879717,77.84506048,Good,Good,2-LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8450604807585 10.5887971725314, 77.8455162048339 10.5869378149509)"
55,283,,PA,S,A+0,31,286-287,217,4.58,FALSE,240.4537354,,10.58693781,77.8455162,Good,Good,LT,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8455162048339 10.5869378149509, 77.8459975775331 10.5849129986017)"
56,284,,PC+3,S,A+3,27,287-288,236,3.62,FALSE,242.3763428,,10.584913,77.84599758,Good,Good,2-LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8459975775331 10.5849129986017, 77.8465063590556 10.5827918741852)"
57,285,,PA+3M,S,A+3,27,288-289,247,3.98,FALSE,245.0198975,,10.58279187,77.84650636,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8465063590556 10.5827918741852, 77.8468935191631 10.5811853986233)"
58,286,,PA,S,A+0,24,289-290,188,4.28,FALSE,249.1053467,,10.5811854,77.84689352,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8468935191631 10.5811853986233, 77.8472786676138 10.5796144623309)"
59,287,,PA,T,B+0,22,290-291,184,4.84,FALSE,248.6247559,1°26'19''RT,10.57961446,77.84727867,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8472786676138 10.5796144623309, 77.8478120919317 10.5773636698722)"
60,288,,PB,S,A+0,24,291-292,261,5.18,FALSE,252.9506836,,10.57736367,77.84781209,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8478120919317 10.5773636698722, 77.848328500986 10.575113967061)"
61,289,,PA,S,A+0,24,292-293,261,3.86,FALSE,258.237915,,10.57511397,77.8483285,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.848328500986 10.575113967061, 77.848888663575 10.5728461593389)"
62,290,,PA+3M,S,A+3,27,293-294,264,4.72,FALSE,258.4782715,,10.57284616,77.84888866,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.848888663575 10.5728461593389, 77.8494422882795 10.5705505236983)"
63,291,,PA+3M,T,B+3,25,294-295,267,5.28,FALSE,259.6799316,3°0'51''LT,10.57055052,77.84944229,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8494422882795 10.5705505236983, 77.8500167001038 10.568171236664)"
64,292,,PB+3M,S,A+3,27,295-296,276,2.43,FALSE,266.1687012,,10.56817124,77.8500167,Good,Good,2-LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8500167001038 10.568171236664, 77.8505440894514 10.5659442488104)"
65,293,,PA,S,A+0,24,296-297,259,3.63,FALSE,268.0914307,,10.56594425,77.85054409,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8505440894514 10.5659442488104, 77.8510868176817 10.5637185182422)"
66,294,,PA,T,B+0,22,297-298,259,2.98,FALSE,273.6188965,4°30'26''LT,10.56371852,77.85108682,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8510868176817 10.5637185182422, 77.8516567032784 10.56146889925)"
67,295,2W,PB+3M,T,B+3,25,298-299,262,3.25,FALSE,269.0527344,1°36'32''RT,10.5614689,77.8516567,Good,Good,LT,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8516567032784 10.56146889925, 77.8520991839468 10.5594879202544)"
68,296,,PC+3,S,A+3,27,299-300,230,4.31,FALSE,274.5802002,,10.55948792,77.85209918,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8520991839468 10.5594879202544, 77.8526400681585 10.5573702324181)"
69,297,,PA,S,A+0,24,300-301,247,3.8,FALSE,273.8592529,,10.55737023,77.85264007,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8526400681585 10.5573702324181, 77.8531324211508 10.5552398879081)"
70,298,,PA,S,A+0,24,301-302,247,3.52,FALSE,267.8509521,,10.55523989,77.85313242,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8531324211508 10.5552398879081, 77.853606250137 10.5531468428671)"
71,299,,PA,S,A+0,24,302-303,243,4.43,FALSE,273.6188965,,10.55314684,77.85360625,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.853606250137 10.5531468428671, 77.8541211504489 10.5510908458381)"
72,300,,PA,T,B+0,22,303-304,240,3.19,FALSE,271.9366455,1°43'42''RT,10.55109085,77.85412115,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8541211504489 10.5510908458381, 77.854631692171 10.5489352717995)"
73,301,,PB,S,A+0,24,304-305,251,4.2,FALSE,268.5720215,,10.54893527,77.85463169,Good,Good,,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.854631692171 10.5489352717995, 77.8551750071346 10.546700740233)"
74,302,,PA+3M,S,A+3,27,305-306,260,5.1,FALSE,272.8979492,,10.54670074,77.85517501,Good,Good,"22KV,LT",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8551750071346 10.546700740233, 77.8556821122765 10.5445978883653)"
75,303,,PA+3M,T,B+3,25,306-307,245,4.86,FALSE,271.9366455,2°18'22''LT,10.54459789,77.85568211,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8556821122765 10.5445978883653, 77.8561338130384 10.542768118903)"
76,304,,PB+3M,S,A+3,27,307-308,214,2.82,FALSE,272.8979492,,10.54276812,77.85613381,Good,Good,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8561338130384 10.542768118903, 77.8566894493997 10.540416073054)"
77,305,,PA,S,A+0,24,308-309,273,3.53,FALSE,290.4418945,,10.54041607,77.85668945,Good,Good,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8566894493997 10.540416073054, 77.8571601770818 10.5384651012718)"
78,306,,PA,T,B+0,22,309-310,227,5.86,FALSE,295.248291,5°3'6''RT,10.5384651,77.85716018,Good,Good,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8571601770818 10.5384651012718, 77.8574763424694 10.5363404564559)"
79,307,,PC,S,A+0,25,310-311,243,6.28,FALSE,288.5192871,,10.53634046,77.85747634,Good,Good,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8574763424694 10.5363404564559, 77.8578259516507 10.5340801086276)"
80,308,,PA,S,A+0,24,311-312,259,5.54,FALSE,286.3563232,,10.53408011,77.85782595,Good,Good,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8578259516507 10.5340801086276, 77.858146475628 10.5318616703152)"
81,309,,PA,S,A+0,24,312-313,254,3.19,FALSE,290.4418945,,10.53186167,77.85814648,Good,Good,,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.858146475628 10.5318616703152, 77.8584579471498 10.5299652647227)"
82,310,,PA,T,B+0,22,313-314,218,5.76,FALSE,289.9611816,1°42'32''RT,10.52996526,77.85845795,Good,Good,LT,MUD ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8584579471498 10.5299652647227, 77.8588042873889 10.5276782624423)"
83,311,,PC+3,S,A+3,27,314-315,262,3.85,FALSE,289.7208252,,10.52767826,77.85880429,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8588042873889 10.5276782624423, 77.8592103905975 10.5253594089299)"
84,312,,PA,S,A+0,24,315-316,266,2.79,FALSE,293.3256836,,10.52535941,77.85921039,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8592103905975 10.5253594089299, 77.8594897594302 10.5232256278395)"
85,313,,PA,S,A+0,24,316-317,244,3.1,FALSE,283.9528809,,10.52322563,77.85948976,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8594897594302 10.5232256278395, 77.8598362673074 10.5210304912179)"
86,314,2W,PA,T,B+0,22,317-318,252,8.75,FALSE,277.7044678,3°28'12''RT,10.52103049,77.85983627,Good,Good,,MUD ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8598362673074 10.5210304912179, 77.8601679392158 10.5188100412487)"
87,315,,PB,S,A+0,24,318-319,254,8.13,FALSE,272.8979492,,10.51881004,77.86016794,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8601679392158 10.5188100412487, 77.8605740424245 10.5163267347961)"
88,316,,PA,S,A+0,24,319-320,284,1.07,FALSE,267.3703613,,10.51632673,77.86057404,Good,Good,"22KV,LT",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8605740424245 10.5163267347961, 77.8609476238489 10.5140156764537)"
89,317,,PA,S,A+0,24,320-322,265,2.12,FALSE,268.331665,,10.51401568,77.86094762,Good,Good,"22KV,LT",THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8609476238489 10.5140156764537, 77.8612832352519 10.5117476172745)"
90,318,,PA+3M,S,A+3,27,322-323,259,3.21,FALSE,270.7349854,,10.51174762,77.86128324,Good,Good,2-LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8612832352519 10.5117476172745, 77.8616569843143 10.5093022808432)"
91,319,,PA,T,B+0,22,323-324,279,5,FALSE,263.5251465,2°15'22''LT,10.50930228,77.86165698,Good,Good,LT,MUD ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8616569843143 10.5093022808432, 77.8620969504117 10.5070321261882)"
92,320,,PB+3M,S,A+3,27,324-325,261,5.87,FALSE,275.0609131,,10.50703213,77.86209695,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8620969504117 10.5070321261882, 77.8622571285814 10.5048962496221)"
93,322,,PA,T,D+0,24,325-326,243,5.07,FALSE,278.425415,70°45'25''LT,10.50489625,77.86225713,Good,Good,"22KV,LT",THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8622571285814 10.5048962496221, 77.8649630583822 10.5041787587106)"
94,323,,KCR+3M,T,B+3,25,326-327,311,6.93,FALSE,273.37854,3°7'46''LT,10.50417876,77.86496306,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8649630583822 10.5041787587106, 77.867343686521 10.5036835558712)"
95,324,,PA,S,A+0,24,327-328,271,7.01,FALSE,264.0057373,,10.50368356,77.86734369,Good,Good,LT,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.867343686521 10.5036835558712, 77.8691550157964 10.5032599344849)"
