S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length (m),Footing Resistance of Tower ( Ohms),,Ground Elevation (m),Deviation Angle (Degrees),Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
23,23,,S,DA+0,24,26-27,268,3.23,FALSE,272,,10.63798503,78.10367798,Good,Good,,THAR ROAD,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.103677984327 10.6379850301891, 78.1046330183744 10.6404069811105)"
24,24,,S,DA+0,24,27-28,297,4.48,FALSE,270,,10.64040698,78.10463302,Good,Good,2-LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1046330183744 10.6404069811105, 78.105586040765 10.6427969969809)"
25,25,,T,DD+0,24,28-29,294,2.47,FALSE,271,35°22'11''RT,10.642797,78.10558604,Good,Good,LT,THAR ROAD,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.105586040765 10.6427969969809, 78.105474980548 10.6448229867964)"
26,26,,S,DA+0,24,29-30,234,2.03,FALSE,268,,10.64482299,78.10547498,Good,Good,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.105474980548 10.6448229867964, 78.1054240185767 10.6466230005025)"
27,27,,S,DA+0,24,30-31,209,1.58,FALSE,265,,10.646623,78.10542402,Good,Good,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1054240185767 10.6466230005025, 78.1053439714014 10.6483810208737)"
28,28,,S,DA+0,24,31-32,204,5.32,FALSE,262,,10.64838102,78.10534397,Good,Good,,THAR ROAD,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1053439714014 10.6483810208737, 78.1053129583597 10.6499520409852)"
29,29,,T,DC+0,24,32-33,183,4.48,FALSE,260,28°29'45''LT,10.64995204,78.10531296,Good,Good,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1053129583597 10.6499520409852, 78.1055309716612 10.6518790405243)"
30,30,,S,DA+0,24,33-34,224,6.47,FALSE,262,,10.65187904,78.10553097,Good,Good,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1055309716612 10.6518790405243, 78.1057939957827 10.6536430120468)"
31,31,,S,DA+0,24,34-35,207,2.8,FALSE,256,,10.65364301,78.105794,Good,Good,2-LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1057939957827 10.6536430120468, 78.1060759630054 10.6556929741054)"
32,32,,S,DA+0,24,35-36,239,3.07,FALSE,258,,10.65569297,78.10607596,Good,Good,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1060759630054 10.6556929741054, 78.1063880212605 10.6578170321881)"
33,33,,S,DA+0,24,36-37,247,4.27,FALSE,260,,10.65781703,78.10638802,Good,Good,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1063880212605 10.6578170321881, 78.1065000034868 10.6587719824165)"
34,34,,S,DA+0,24,37-38,115,1.84,FALSE,254,,10.65877198,78.1065,Good,Good,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1065000034868 10.6587719824165, 78.1068409793078 10.6611009780317)"
35,35,2W,T,DB+0,24,38-39,270,2.92,FALSE,252,8°6'11''RT,10.66110098,78.10684098,Good,Good,"LT,22KV",THAR ROAD,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1068409793078 10.6611009780317, 78.1074869725853 10.6632800213992)"
36,36,,S,DA+0,24,39-40,261,5.08,FALSE,260,,10.66328002,78.10748697,Good,Good,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1074869725853 10.6632800213992, 78.1082189641892 10.6656729709357)"
37,37,,S,DA+0,24,40-41,286,4.72,FALSE,261,,10.66567297,78.10821896,Good,Good,,THAR ROAD,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1082189641892 10.6656729709357, 78.108747024089 10.667285984382)"
38,38,,S,DA+0,24,41-42,197,3.89,FALSE,265,,10.66728598,78.10874702,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.108747024089 10.667285984382, 78.1094579771161 10.6695599947124)"
39,39,,T,DC+0,24,42-43,273,4.92,FALSE,246,32°45'7''RT,10.66955999,78.10945798,Good,Good,,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1094579771161 10.6695599947124, 78.1109389755874 10.6707919668406)"
40,40,,S,DA+0,24,43-44,221,5.02,FALSE,255,,10.67079197,78.11093898,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1109389755874 10.6707919668406, 78.1126209720969 10.6721199955791)"
41,41,,S,DA+0,24,44-45,244,2.76,FALSE,241,,10.67212,78.11262097,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1126209720969 10.6721199955791, 78.1147629674524 10.6738419737666)"
42,42,,T,DB+0,24,45-46,311,3.42,FALSE,246,10°30'47''LT,10.67384197,78.11476297,Good,Good,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1147629674524 10.6738419737666, 78.116789041087 10.6761979591101)"
43,43,,S,DA+0,24,46-47,351,5.22,FALSE,252,,10.67619796,78.11678904,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.116789041087 10.6761979591101, 78.1187440361827 10.6783920060843)"
44,44,,T,DC+0,24,47-48,333,4.85,FALSE,241,22°3'42''LT,10.67839201,78.11874404,Good,Good,22KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1187440361827 10.6783920060843, 78.119497988373 10.6805179920047)"
45,45,,S,DA+0,24,48-49,259,4.48,FALSE,243,,10.68051799,78.11949799,Good,Good,"3-LT,22KV",THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.119497988373 10.6805179920047, 78.1199169997125 10.68153899163)"
46,46,,T,DD+0,24,49-50,131,3.35,FALSE,233,66°24'11''RT,10.68153899,78.119917,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1199169997125 10.68153899163, 78.1203009746968 10.6815489660948)"
47,47,,T,DD+0,24,50-51,50,5.27,FALSE,234,87°9'11''RT,10.68154897,78.12030097,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1203009746968 10.6815489660948, 78.1202250346541 10.6825360190123)"
48,48,,T,DB+0,24,51-52,119,6.74,FALSE,232,3°32'47''LT,10.68253602,78.12022503,Good,Good,LT,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1202250346541 10.6825360190123, 78.1206990312784 10.6841600127518)"
49,49,,S,DA+0,24,52-53,196,4.85,FALSE,239,,10.68416001,78.12069903,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1206990312784 10.6841600127518, 78.1212840043008 10.6863610167056)"
50,50,,S,DA+0,24,53-54,261,2.47,FALSE,241,,10.68636102,78.121284,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1212840043008 10.6863610167056, 78.1217440031468 10.6880629621446)"
51,51,,T,DC+0,24,54-55,204,3.04,FALSE,231,21°58'5''RT,10.68806296,78.121744,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1217440031468 10.6880629621446, 78.1231349799782 10.689892983064)"
52,52,2W,T,DC+0,24,55-56,262,4.84,FALSE,232,22°39'7''LT,10.68989298,78.12313498,Good,Good,LT,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1231349799782 10.689892983064, 78.1236580107361 10.6919250078499)"
53,53,,S,DA+0,24,56-57,242,1.49,FALSE,237,,10.69192501,78.12365801,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1236580107361 10.6919250078499, 78.1242360267788 10.6942639779299)"
54,54,,T,DC+0,24,57-58,276,2.26,FALSE,226,8°50'50''RT,10.69426398,78.12423603,Good,Good,"22KV,LT",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1242360267788 10.6942639779299, 78.1251090019941 10.6963400077074)"
55,55,,S,DA+0,24,58-59,258,8.21,FALSE,231,,10.69634001,78.125109,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1251090019941 10.6963400077074, 78.1259890180081 10.6985010299831)"
56,56,,S,DA+0,24,59-60,267,7.62,FALSE,236,,10.69850103,78.12598902,Good,Good,,,Nala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1259890180081 10.6985010299831, 78.1269410345703 10.7009219750761)"
57,57,,T,DB+0,24,60-61,297,6.61,FALSE,220,17°27'27''RT,10.70092198,78.12694103,Good,Good,,POND,Nala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1269410345703 10.7009219750761, 78.1286119669675 10.7029840070754)"
58,58,,S,DA+0,24,61-62,302,4.42,FALSE,232,,10.70298401,78.12861197,Good,Good,LT,,Nala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1286119669675 10.7029840070754, 78.1303630303591 10.7052040379494)"
59,59,,T,DB+0,24,62-63,321,5.21,FALSE,219,16°20'33''LT,10.70520404,78.13036303,Good,Good,22KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1303630303591 10.7052040379494, 78.1313449703156 10.7076549902558)"
60,60,,T,DB+0,24,63-64,301,3.62,FALSE,222,12°40'1''LT,10.70765499,78.13134497,Good,Good,LT,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1313449703156 10.7076549902558, 78.1316329725086 10.7094639725983)"
61,61,,S,DA+0,24,64-65 (115/54/65),212,4.42,FALSE,219,,10.70946397,78.13163297,Good,Good,,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1316329725086 10.7094639725983, 78.1319789774715 10.7116460334509)"
62,62,,T,DD+0,24,65 (115/54/65)-Palayam GANTRY,254,7.21,0,216,31°13'16''RT,10.71164603,78.13197898,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1319789774715 10.7116460334509, 78.1311840377748 10.7136049680411)"
63,63,,S,DA+3,25,Palayam GANTRY-,243,9.2,FALSE,222,,10.71360497,78.13118404,Good,Good,,,Agri,INSIDE STONE FACTRORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1311840377748 10.7136049680411, 78.1304399762302 10.7153019681572)"
64,64,,T,DB+3,27,-,214,4.33,FALSE,212,21°33'37''RT,10.71530197,78.13043998,Good,Good,,DINDUKAL NH,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1304399762302 10.7153019681572, 78.1303659640252 10.7175290398299)"
65,65 (115/54/65),,T,DD+0,24,-,256,1.49,FALSE,210,65°59'32''LT,10.71752904,78.13036596,Good,Good,2-LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1303659640252 10.7175290398299, 78.13009 10.71764)"
66,Palayam GANTRY,2W,T,GANTRY,12,-,41,NIL,,216,,10.71764,78.13009,Good,NO E/W,,,Plain,PALAYAM SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TOTAL KM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
