,Tower No,Joint Box,Supspension/ Tenion,CIRCUIT,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts, broken, etc)","Condition of Earht wire (Missing, Broken etc)",GROUND EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/ Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
32,T.NO-9,,T,DB,24,10-Sep,234.0470038,3.08,135,"0°9'28.30""",8.96900494,77.50018292,GOOD,GOOD,NO,2nos 33KV,"POND, MUD ROAD",PLAIN LAND,HEAVY BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50018292 8.96900494, 77.50243297 8.96842038)"
33,T.NO-8,,S,DA,26,09-Aug,255.8769235,2.94,134,,8.96842038,77.50243297,GOOD,GOOD,NO,"2nos LT,11KV",2nos MUD ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50243297 8.96842038, 77.50441976 8.96788278)"
34,T.NO-7,,S,DA,26,08-Jul,226.5502152,4.93,138,,8.96788278,77.50441976,GOOD,GOOD,NO,LT,,PLAIN LAND,EARTH WIRE NOT IN PEAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50441976 8.96788278, 77.5065062 8.96729931)"
35,T.NO-6,,S,DA,29,07-Jun,238.4722206,4.1,137,,8.96729931,77.5065062,GOOD,GOOD,NO,2nos LT,,PLAIN LAND,HEAVY BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5065062 8.96729931, 77.50826551 8.96672709)"
36,T.NO-5,,T,DC,29,06-May,203.6663939,3.82,136,"23°42'29.48""",8.96672709,77.50826551,GOOD,GOOD,NO,11KV,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50826551 8.96672709, 77.51052105 8.96694673)"
37,T.NO-4,,T,DB,24,05-Apr,249.3591787,1.9,139,"11°50'2.17""",8.96694673,77.51052105,GOOD,GOOD,NO,,,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51052105 8.96694673, 77.51205126 8.96742431)"
38,T.NO-3,,T,DB,24,04-Mar,176.465294,4.48,138,"8°50'36.97""",8.96742431,77.51205126,GOOD,GOOD,NO,"11KV, 400KV DC LINE CROSSING ABOVE OUR LINE",,CULTIVATION,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51205126 8.96742431, 77.51419438 8.96847607)"
39,T.NO-2,,T,DB,27,03-Feb,262.9619744,3.69,129,"9°1'33.74""",8.96847607,77.51419438,GOOD,GOOD,NO,,MUD ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51419438 8.96847607, 77.5157701 8.96896237)"
40,T.NO- 1 LILO  SURANDAI 110KV,3W,LILO,DB,27,02-Jan,181.5323663,3.55,124,,8.96896237,77.5157701,GOOD,GOOD,NO,"66KV,11KV",,PLAIN LAND,2 EARTH WIRE ON THIS TOWER.ONE CONTINUE TO OUR T.NO-2 ANOTHER EARTH WIRE CONNECT TO KEELAVEERANAM -VEERASIGAMANI TOWER.NEED 3 WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TOTAL,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTES:(0˚-2˚ A-TYPE , 2˚-15˚ B-TYPE, 15˚-30˚C-TYPE,            30˚< D-TYPE)                                          ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
