SL.NO,TOWER NO,TOWER S / T,DEVIATION OF  ANGLE ,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
28,28,T,"28°36'57""LT",KCR,24,T27-T28,242.74119910925464,40.11,13,8.45521501805015,78.0201900377869,AVAILABLE,,,AGRI LAND,"DC Line,GOOD, AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0201900377869 8.45521501805015, 78.0225815623998 8.45597345978568)"
29,29,S,,GCR,23.62,T28-T29,276.64194090014644,40.370000000000005,12,8.45597345978568,78.0225815623998,AVAILABLE,,,AGRI LAND,"DC Line, GOOD, AGRILAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0225815623998 8.45597345978568, 78.0252983048558 8.45676506310096)"
30,30,T,"49°44'2""LT",KCR,24,T29-T30,311.99827820037393,43.13,12,8.45676506310096,78.0252983048558,AVAILABLE,,NALA,AGRI LAND,"DC Line,NALA, GOOD,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0252983048558 8.45676506310096, 78.0263450369238 8.45898830896002)"
31,31,S,,GCR,23.62,T30-T31,271.81363116115534,43.97,13,8.45898830896002,78.0263450369238,AVAILABLE,,,PLAIN LAND,"DC Line, FENCING,GOOD, PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0263450369238 8.45898830896002, 78.027201667428 8.46103677458317)"
32,32,S,,GCR+3,26.62,T31-T32,245.63729936023822,38.96,14,8.46103677458317,78.027201667428,AVAILABLE,LT LINE,ROAD,PLAIN LAND,"DC Line,LTLINE,ROAD CROSSING,GOOD, PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.027201667428 8.46103677458317, 78.0280515924096 8.46312502434195)"
33,33,T,"27°25'40""RT",HCR,21.94,T32-T33,249.42949766214272,38.28,10,8.46312502434195,78.0280515924096,AVAILABLE,11KV LINE,,PLAIN LAND,"DC Line,11 KV LINE,GOOD, PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0280515924096 8.46312502434195, 78.0298483371734 8.46449994010632)"
34,34,S,,GCR+3,26.62,T33-T34,249.76554944590654,41.47,12,8.46449994010632,78.0298483371734,AVAILABLE,LT LINE,ROAD,PLAIN LAND,"DC Line,LT LINE, ROAD CROSSING,GOOD, PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0298483371734 8.46449994010632, 78.0314633622765 8.46589342184072)"
35,35,S,,GCR,23.62,T34-T35,235.54376969255725,38.83,12,8.46589342184072,78.0314633622765,AVAILABLE,,,PLAIN LAND,"DC Line,GOOD, PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0314633622765 8.46589342184072, 78.0330683290958 8.4672066460834)"
36,36,T,"31°25'33""LT",KCR+3,27,T35-T36,228.9643911375881,41.33,12,8.4672066460834,78.0330683290958,AVAILABLE,LT LINE,,PLAIN LAND,"DC Line,LT LINE, FENCING,GOOD, PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0330683290958 8.4672066460834, 78.0338351055979 8.46921660006623)"
37,37,S,,GCR,23.62,T36-T37,238.01028745831687,40.61,12,8.46921660006623,78.0338351055979,AVAILABLE,11KV LINE,,PLAIN LAND,"DC Line,11 KV LINE,GOOD, PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0338351055979 8.46921660006623, 78.0345918238163 8.47153329031212)"
