SL.NO,TOWER NO,Tower Suspension/ Tension,DIVATIONN OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),FOOTING RESIDENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
10,10,S,,GC,23.62,T9-T10,292.06664161456507,1.66,90,9.506219279,78.13942965,AVAILABLE,,,PLAIN LAND," Sc line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13942965 9.506219279, 78.14205151 9.506595584)"
11,11,S,,GC+3,26.62,T10-T11,291.11379052355886,1.58,86,9.506595584,78.14205151,AVAILABLE,,ROAD ,PLAIN LAND,"Sc line, Road, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14205151 9.506595584, 78.14466633 9.506936837)"
12,12,S,,GC,23.62,T11-T12,289.8157346487811,1.63,85,9.506936837,78.14466633,AVAILABLE,LT LINE,,PLAIN LAND,"SC line,  LT line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14466633 9.506936837, 78.14744242 9.507369685)"
13,13,S,,GC,23.62,T12-T13,308.80371031613083,1.52,85,9.507369685,78.14744242,AVAILABLE,LT LINE,,PLAIN LAND,"SC line,  LT line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.14744242 9.507369685, 78.1498041 9.507685145)"
14,14,T,"9°28'40""RT",HC,21.94,T13-T14,261.86416995262084,2.81,85,9.507685145,78.1498041,AVAILABLE,LT LINE,,PLAIN LAND,"SC line,  LT line,11kv line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1498041 9.507685145, 78.15209772 9.507632238)"
15,15,S,,GC,23.62,T14-T15,252.11268379041059,1.43,85,9.507632238,78.15209772,AVAILABLE,"LT LINE , 11KV LINE",,PLAIN LAND," Sc line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15209772 9.507632238, 78.15402254 9.507617027)"
16,16,S,,GC,23.62,T15-T16,211.52366595018728,1.58,81,9.507617027,78.15402254,AVAILABLE,11KV LINE,,PLAIN LAND,"sc line,  11kv line , Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15402254 9.507617027, 78.15562751 9.507563128)"
17,17,T,"22°52'46""RT",HC,21.94,T16-T17,176.46981042657822,2.8,82,9.507563128,78.15562751,AVAILABLE,,,PLAIN LAND,Sc line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15562751 9.507563128, 78.15796975 9.506545322)"
18,18,S,,GC+3,26.62,T17-T18,280.9639713433566,1.49,78,9.506545322,78.15796975,AVAILABLE,11KV LINE-2NOS ,"ROAD , POND ",PLAIN LAND,"Sc line, road, 2nos 11 kv line ,  pond,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.15796975 9.506545322, 78.16040386 9.50545212)"
19,19,S,,GC,23.62,T18-T19,293.5824414453284,1.66,77,9.50545212,78.16040386,AVAILABLE,LT LINE-2NOS,,PLAIN LAND,"Sc line, 2nos LT line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.16040386 9.50545212, 78.16268977 9.504398595)"
20,20,S,,GC+3,26.62,T19-T20,276.94696903194426,1.84,78,9.504398595,78.16268977,AVAILABLE,LT LINE-2NOS,ROAD,PLAIN LAND,"Sc line,  2nos LT line ,  road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.16268977 9.504398595, 78.16527307 9.503267688)"
21,21,S,,GC+3,26.62,T20-T21,310.2539094677631,1.74,80,9.503267688,78.16527307,AVAILABLE,"11KV LINE-3NOS, LT LINE",ROAD,PLAIN LAND,"Sc line , 3nos 11kv line , LT line,  Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.16527307 9.503267688, 78.1676542 9.50212289)"
22,22,S,,GC,23.62,T21-T22,290.7311025758202,1.67,78,9.50212289,78.1676542,AVAILABLE,11KV LINE,,PLAIN LAND,"Sc line, 11kv line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1676542 9.50212289, 78.17012016 9.501105729)"
23,23,S,,GC,23.62,T22-T23,293.4433039379917,1.59,80,9.501105729,78.17012016,AVAILABLE,"11KV LINE-2NOS,LT LINE-2NOS",,PLAIN LAND,"Sc line, 2nos 11 kv line ,  2nos LT line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17012016 9.501105729, 78.17135062 9.500583921)"
24,24,T,,KC,24,T23-T24,147.0356586715681,2.83,80,9.500583921,78.17135062,AVAILABLE,11KV LINE-2NOS,"ROAD,CART TRACK",PLAIN LAND,"Sc line , 2nos 11 kv line ,road  ,  cart track",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.17135062 9.500583921, 78.17161370307628 9.500752230194697)"
25,Gantry (Tamilpadi),,,,16,T24-Gantry (Tamilpadi),35.84047339247431,,81,9.500752230194697,78.17161370307628,AVAILABLE,,,,GANTRY TAMILPADI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,=SUM(H7:H31)/1000,KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
