,Tower No,Joint Box,Type,Supspension/ Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts, broken, etc)","Condition of Earht wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/ Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
28,T.NO-27,,DA,S,26,26-27,292.2071183,6.4,189,,8.99610758,77.30030084,GOOD,GOOD,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30030084 8.99610758, 77.30040899 8.99883641)"
29,T.NO-28,,DA,S,26,27-28,302.1655176,5.74,182,,8.99883641,77.30040899,GOOD,GOOD,,MUDROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30040899 8.99883641, 77.3005996 9.00166415)"
30,T.NO-29,,DA,S,26,28-29,313.5761471,5.37,185,,9.00166415,77.3005996,GOOD,GOOD,LT,"TAAR ROAD (SH),MUDROAD",PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3005996 9.00166415, 77.30068878 9.00426657)"
31,T.NO-30,,DA,S,26,29-30,288.1110897,9.41,186,,9.00426657,77.30068878,GOOD,GOOD,LT,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30068878 9.00426657, 77.30084212 9.00694993)"
32,T.NO-31,2W,DB,T,24,30-31,297.3785466,6.96,183,"0°57'9.96""",9.00694993,77.30084212,GOOD,GOOD,,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30084212 9.00694993, 77.30096071 9.00988657)"
33,T.NO-32,,DA,S,26,31-32,325.1861006,2,187,,9.00988657,77.30096071,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30096071 9.00988657, 77.30105466 9.01180206)"
34,T.NO-33,,DA,S,26,32-33,212.1909517,2.65,180,,9.01180206,77.30105466,GOOD,GOOD,,"NALA,BOND",INSIDE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30105466 9.01180206, 77.30118177 9.01321121)"
35,T.NO-34,,DA,S,26,33-34,156.5407295,3.38,177,,9.01321121,77.30118177,GOOD,GOOD,11KV,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30118177 9.01321121, 77.30127241 9.01603957)"
36,T.NO-35,,DA,S,26,34-35,313.1022197,8.02,176,,9.01603957,77.30127241,GOOD,GOOD,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30127241 9.01603957, 77.30140801 9.0187863)"
37,T.NO-36,,DA,S,26,35-36,304.2778336,7.64,174,,9.0187863,77.30140801,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30140801 9.0187863, 77.30149477 9.02100009)"
38,T.NO-37,,DA,S,26,36-37,245.1305774,5.76,170,,9.02100009,77.30149477,GOOD,GOOD,2nos LT,"MUDROAD, NALA",CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30149477 9.02100009, 77.30166006 9.02412623)"
39,T.NO-38,,DA,S,26,37-38,346.3697446,3.26,172,,9.02412623,77.30166006,GOOD,GOOD,2nos LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30166006 9.02412623, 77.30179704 9.02708987)"
40,T.NO-39,,DC,T,26,38-39,328.2575209,3.79,173,"27°8'15.03""",9.02708987,77.30179704,GOOD,GOOD,2nos LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30179704 9.02708987, 77.30322198 9.02956641)"
41,T.NO-40,,DA,S,26,39-40,315.6738824,2.98,170,,9.02956641,77.30322198,GOOD,GOOD,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.30322198 9.02956641, 77.30482082 9.0322226)"
