SL.NO,TOWER NO,Joint Box,TOWER S/T,DEVIATION OF  ANGLE ,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
10,10,,S,,PA,20.9,T9-T10,247.5183893,1.52,94,8.559539665,77.65231099,AVAILABLE,,,PLAIN LAND,"SC line  , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65231099306877 8.559539665125921, 77.65090618204755 8.561324048145469)"
11,11,,T,"29°10'18""RT",PB,21.65,T10-T11,250.8895541,2.65,93,8.561324048,77.65090618,AVAILABLE,,CART TRACK,PLAIN LAND,"Sc line  , cart track , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65090618204755 8.561324048145469, 77.65046295091913 8.563891165686897)"
12,12,,S,,PA,20.9,T11-T12,288.2703345,1.89,91,8.563891166,77.65046295,AVAILABLE,,CART TRACK,PLAIN LAND,"Sc line :  cart track , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65046295091913 8.563891165686897, 77.65006027997116 8.566404548055589)"
13,13,,S,,PA,20.9,T12-T13,281.6730069,1.58,89,8.566404548,77.65006028,AVAILABLE,11KV LINE,"ODAI BUND,CANAL",AGRI LAND,"SC line , canal , Road , Odai bund , Agri land,11kv line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65006027997116 8.566404548055589, 77.64964185380225 8.568950081416023)"
14,14,,S,,PA,20.9,T13-T14,285.4622967,1.51,87,8.568950081,77.64964185,AVAILABLE,LT LINE,CART TRACK,AGRI LAND,"SC line  , LT line, cart track , Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64964185380225 8.568950081416023, 77.64921337271498 8.571603673972222)"
15,15,,S,,PA,23.9,T14-T15,297.4443105,1.73,87,8.571603674,77.64921337,AVAILABLE,,ROAD,PLAIN LAND,"Sc line , Road ( naduvakukam - panankulam) Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64921337271498 8.571603673972222, 77.64872185882504 8.574509868954808)"
16,16,,T,"48°16'20""LT",PC+3,23.85,T15-T16,326.1564227,2.48,86,8.574509869,77.64872186,AVAILABLE,,ROAD,PLAIN LAND,"SC line, Road (naduvakulam), Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64872185882504 8.574509868954808, 77.64767177387766 8.575172283805664)"
17,17,3W,T(LILO),"02°55'20""LT",PB+3,23.85,T16-T17,136.9453931,2.59,84,8.575172284,77.64767177,AVAILABLE,11KV LINE,ODAI BUND,PLAIN LAND,"Dc line   MPM LILO ,  11kv line, odai bund , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64767177387766 8.575172283805664, 77.64654591372489 8.575767403389964)"
18,18,,S,,PA,20.9,T17-T18,140.4214047,1.28,83,8.575767403,77.64654591,AVAILABLE,,,PLAIN LAND,"SC line , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64654591372489 8.575767403389964, 77.64448631576971 8.576953657210213)"
19,19,,S,,PA,20.9,T18-T19,262.1178027,1.34,83,8.576953657,77.64448632,AVAILABLE,,"CART TRACK, CANAL,ODAI(NALA)",WATER LOGGED AREA,"Sc line   , canal,cart track ,odai(nala) ,water logged area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64448631576971 8.576953657210213, 77.64221682809807 8.578248983916694)"
20,20,,S,,PA,20.9,T19-T20,288.1758249,1.49,81,8.578248984,77.64221683,AVAILABLE,,ODAI(NALA),AGRI LAND,"SC line  , odai(nala) , Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64221682809807 8.578248983916694, 77.63983435601227 8.579575466047347)"
21,21,,T,"15°28'33""RT",PB,20.85,T20-T21,300.7031604,2.53,79,8.579575466,77.63983436,AVAILABLE,,CART TRACK,PLAIN LAND,"Sc line ,cart track , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63983435601227 8.579575466047347, 77.63809159584643 8.581318987431674)"
22,22,,S,,PA,20.9,T21-T22,272.1813814,1.82,76,8.581318987,77.6380916,AVAILABLE,,ODAI(NALA),AGRI LAND,"SC line , odai(nala) , Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63809159584643 8.581318987431674, 77.6363176479404 8.583055210516868)"
23,23,,S,,PA,20.9,T22-T23,274.0472076,1.71,75,8.583055211,77.63631765,AVAILABLE,,ODAI(NALA)-2NOS,WATER LOGGED AREA,"SC line, 2nos odai(nala) , water logged  land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6363176479404 8.583055210516868, 77.63445552341798 8.584920717694654)"
24,24,,S,,PA,20.9,T23-T24,291.0230218,1.38,75,8.584920718,77.63445552,AVAILABLE,LT LINE-2NOS,ODAI BUND,AGRI LAND,"Sc line : odai  bund , 2nos Lt  line, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63445552341798 8.584920717694654, 77.63274964031395 8.586679129185733)"
25,25,,S,,PA,20.9,T24-T25,270.5119223,1.53,75,8.586679129,77.63274964,AVAILABLE,11KV LINE-2NOS,,AGRI LAND,"SC line  2nos 11kv line, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63274964031395 8.586679129185733, 77.63094115656388 8.58840140057515)"
26,26,,T,"11°23'17""RT",PB+3,23.85,T25-T26,275.6996837,2.76,75,8.588401401,77.63094116,AVAILABLE,LT LINE,"ROAD, RIVER",AGRI LAND,"SC line  , Road ( thevanallur - sengikulam) , pachi river , LT  line, agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63094115656388 8.58840140057515, 77.62975160074919 8.590180999697708)"
27,27,,S,,PA,20.9,T26-T27,236.5496646,1.84,74,8.590181,77.6297516,AVAILABLE,,,AGRI LAND,Sc line : Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62975160074919 8.590180999697708, 77.62860998879188 8.591886670636624)"
28,28,,S,,PA,20.9,T27-T28,236,1.36,75,8.591886671,77.62860999,AVAILABLE,LT LINE,,AGRI LAND,"SC line LT line ,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62860998879188 8.591886670636624, 77.62751128240987 8.593559173767872)"
29,29,,S,,PA+3,23.9,T28-T29,221.1450224,1.74,75,8.593559174,77.62751128,AVAILABLE,"LT LINE,11KV LINE","ROAD, ODAI BUND,POND",WATER LOGGED AREA,"Sc line , Road , LT line, 11kv line ,odai bund,pond , water logged area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62751128240987 8.593559173767872, 77.62621007903059 8.595497875818932)"
30,30,,S,,PA,20.9,T29-T30,244,1.67,73,8.595497876,77.62621008,AVAILABLE,,POND,WATER LOGGED AREA,"Sc line : Pond , water logged area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62621007903059 8.595497875818932, 77.62479789858115 8.597570836720445)"
31,31,2W,T,"08°43'53""LT",PB+3,23.85,T30-T31,276,2.87,77,8.597570837,77.6247979,AVAILABLE,,ROAD,PLAIN LAND,"SC line , Road ,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62479789858115 8.597570836720445, 77.62341320279077 8.599213487894744)"
32,32,,S,,PA,20.9,T31-T32,237.294479,1.38,78,8.599213488,77.6234132,AVAILABLE,,CART TRACK,PLAIN LAND,"SC line ,cart track , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62341320279077 8.599213487894744, 77.62175828358868 8.600886639318334)"
33,33,,S,,PA,20.9,T32-T33,259.8300491,1.81,77,8.600886639,77.62175828,AVAILABLE,,,PLAIN LAND,"SC line , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62175828358868 8.600886639318334, 77.6202267438107 8.60252131758844)"
34,34,,S,,PA,20.9,T33-T34,247.3521993,1.71,77,8.602521318,77.62022674,AVAILABLE,,CART TRACK,PLAIN LAND,"SC line , cart tark , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6202267438107 8.60252131758844, 77.61865161753524 8.604312797947491)"
35,35,,S,,PA,20.9,T34-T35,263.4483603,1.47,78,8.604312798,77.61865162,AVAILABLE,LT LINE,,AGRI LAND,"Sc line , LT line, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61865161753524 8.604312797947491, 77.61708989485244 8.605964042121402)"
36,36,,T,"12°04'55""RT",PB,20.85,T35-T36,250.961369,2.58,76,8.605964042,77.61708989,AVAILABLE,,CART TRACK-2NOS,PLAIN LAND,"SC line :2nos cart tark , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61708989485244 8.605964042121402, 77.61573604866379 8.608306452882584)"
37,37,,S,,PA+3,23.9,T36-T37,299.056613,1.75,76,8.608306453,77.61573605,AVAILABLE,LT LINE,ROAD,AGRI LAND,"SC line  , LT line , Road , agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61573604866379 8.608306452882584, 77.61443484447939 8.610640226883303)"
38,38,,S,,PA,20.9,T37-T38,295.3714478,1.94,78,8.610640227,77.61443484,AVAILABLE,,"ODAI BUND,POND",PLAIN LAND,"SC line   odai bund , pond , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61443484447939 8.610640226883303, 77.61325501027999 8.612839065901767)"
39,39,,S,,PA,20.9,T38-T39,275.8632032,1.67,81,8.612839066,77.61325501,AVAILABLE,,,PLAIN LAND,"SC line :sheet , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61325501027999 8.612839065901767, 77.61166949293184 8.615136014714611)"
40,40,,S,,PA,20.9,T39-T40,308.4005249,1.32,83,8.615136015,77.61166949,AVAILABLE,"400KV LINE, LT LINE",ODAI(NALA),WATER LOGGED AREA,"SC line  , canal , LT  line, water logged area , odai (nala) , 400 kV under crossing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61166949293184 8.615136014714611, 77.61026501668894 8.61753239998141)"
41,41,,S,,PA,20.9,T40-T41,307.0173705,1.86,83,8.6175324,77.61026502,AVAILABLE,,CART BTRACK,PLAIN LAND,"SC line ,cart tark , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61026501668894 8.61753239998141, 77.60890212334677 8.619871094118308)"
42,42,,S,,PA,20.9,T41-T42,299.1950786,1.57,80,8.619871094,77.60890212,AVAILABLE,,,PLAIN LAND,SC line  plain land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60890212334677 8.619871094118308, 77.60807398861952 8.621290543628584)"
43,43,,S,,PA,20.9,T42-T43,300,2.62,79,8.621290544,77.60807399,AVAILABLE,,,WATER LOGGED AREA,sc line  water  logged area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60807398861952 8.621290543628584, 77.60889 8.622256124)"
44,44,,S,,PA+3,23.9,T43-T44,300,1.42,78,8.622256124,77.60889,AVAILABLE,,,WATER LOGGED AREA,"Sc  line, water lagged area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60889 8.622256124, 77.60611296 8.624632215)"
45,45,2W,T,"21°22'04""RT",PB,20.85,T44-T45,302.27143,2.93,78,8.624632215,77.60611296,AVAILABLE,,,PLAIN LAND,"Sc  line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60611296 8.624632215, 77.60568514 8.627203534)"
46,46,,S,,PA,20.9,T45-T46,288.4369088,1.47,75,8.627203534,77.60568514,AVAILABLE,LT LINE,,PLAIN LAND,"Sc  line, Lt line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60568514 8.627203534, 77.60524392 8.629862678)"
47,47,,S,,PA,20.9,T46-T47,298.2657569,1.78,75,8.629862678,77.60524392,AVAILABLE,,ODAI(NALA),PLAIN LAND,"Sc  line,odai( Nala), plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60524392 8.629862678, 77.60493647 8.632090881)"
48,48,,S,,PA,20.9,T47-T48,260,1.48,74,8.632090881,77.60493647,AVAILABLE,,,PLAIN LAND,"Sc  line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60493647 8.632090881, 77.60453884 8.634619389)"
49,49,,S,,PA,20.9,T48-T49,283.229724,1.78,71,8.634619389,77.60453884,AVAILABLE,,,AGRI LAND, Sc  line Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60453884 8.634619389, 77.60408957 8.637246328)"
50,50,,S,,PA+3,23.9,T49-T50,280,1.82,69,8.637246328,77.60408957,AVAILABLE,"LT LINE,11KV LINE",ROAD,PLAIN LAND,"Sc  line: 11kv line,lt line,Road, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60408957 8.637246328, 77.60366779 8.639940205)"
51,51,,T,"15°56'46""LT",PB,20.85,T50-T51,280,2.72,69,8.639940205,77.60366779,AVAILABLE,,,AGRI LAND,"  Sc  line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60366779 8.639940205, 77.60269113 8.642072555)"
52,52,,S,,PA,20.9,T51-T52,259.3388427,1.96,69,8.642072555,77.60269113,AVAILABLE,,,AGRI LAND,"  Sc  line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60269113 8.642072555, 77.60164607 8.644215499)"
53,53,,S,,PA,20.9,T52-T53,263.6070786,1.63,68,8.644215499,77.60164607,AVAILABLE,,,AGRI LAND,"Sc  line,Agri land, neem tree",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60164607 8.644215499, 77.60071266 8.646416769)"
54,54,,S,,PA,20.9,T53-T54,264.4094733,1.47,66,8.646416769,77.60071266,AVAILABLE,,,AGRI LAND,"Sc  line, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60071266 8.646416769, 77.5996743138039 8.648522760842907)"
55,55,,S,,PA,20.9,T54-T55,261.1036676,1.82,64,8.648522761,77.59967431,AVAILABLE,,,AGRI LAND,"Sc  line, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5996743138039 8.648522760842907, 77.59867720327438 8.650731315983002)"
56,56,,S,,PA,20.9,T55-T56,267.9474859,1.54,63,8.650731316,77.5986772,AVAILABLE,,,AGRI LAND,"Sc  line, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59867720327438 8.650731315983002, 77.59773909705237 8.653012446715254)"
57,57,,S,,PA,20.9,T56-T57,272.7662633,1.47,62,8.653012447,77.5977391,AVAILABLE,,,WATER LOGGED AREA,"Sc  line,water logged area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59773909705237 8.653012446715254, 77.59681441287047 8.65456534954667)"
58,58,2W,T,"09°01'04""RT",PB,20.85,T57-T58,260,2.68,62,8.65456535,77.59681441,AVAILABLE,,"CART TRACK, CANAL",PLAIN LAND,"Sc  line,c canal, cart track, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59681441287047 8.65456534954667, 77.59603522915766 8.656756300250263)"
59,59,,S,,PA,20.9,T58-T59,257.2006018,1.54,61,8.6567563,77.59603523,AVAILABLE,,,WATER LOGGED AREA,"Sc  line, water lagged area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59603522915766 8.656756300250263, 77.59559802368807 8.658951870319836)"
60,60,,S,,PA,20.9,T59-T60,247.7007836,1.61,61,8.65895187,77.59559802,AVAILABLE,,,WATER LOGGED AREA,"Sc  line, water lagged area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59559802368807 8.658951870319836, 77.59482186386379 8.661435461617065)"
61,61,,S,,PA,20.9,T60-T61,287.8339719,1.32,61,8.661435462,77.59482186,AVAILABLE,,,PLAIN LAND,"Sc  line, near by house, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59482186386379 8.661435461617065, 77.59420562399212 8.663783142170582)"
62,62,,S,,PA,20.9,T61-T62,268.5261046,1.54,61,8.663783142,77.59420562,AVAILABLE,11KV LINE,,PLAIN LAND,"Sc  line, 11kv  line, PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59420562399212 8.663783142170582, 77.5936819261797 8.66567572879169)"
63,63,,S,,PA+3,23.9,T62-T63,217.2405538,1.72,61,8.665675729,77.59368193,AVAILABLE,LT LINE,ROAD,PLAIN LAND,"Sc  line, Road , lt  line,house -4nos, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5936819261797 8.66567572879169, 77.5930076796804 8.66781026877107)"
64,64,,T,"07°37'20""RT",PB,20.85,T63-T64,247.6158799,2.84,62,8.667810269,77.59300768,AVAILABLE,LT LINE-2NOS,,PLAIN LAND,"Sc  line,Lt line-2nos,house-3nos,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5930076796804 8.66781026877107, 77.59258423184927 8.670598054122728)"
65,65,,S,,PA,20.9,T64-T65,275,1.42,60,8.670598054,77.59258423,AVAILABLE,LT LINE-3NOS,,PLAIN LAND,"Sc  line, lt line-3Nos,Road ,house-6nos, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59258423184927 8.670598054122728, 77.59239915863178 8.67211474555849)"
66,66,,S,,PA+3,23.9,T65-T66,210,1.78,60,8.672114746,77.59239916,AVAILABLE,,"RIVER, ROAD",AGRI LAND,"Sc  line, River, Road , Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59239915863178 8.67211474555849, 77.59194452246764 8.674800092206675)"
67,67,,S,,PA,20.9,T66-T67,301.3654524,1.46,58,8.674800092,77.59194452,AVAILABLE,,,AGRI LAND,"Sc  line, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59194452246764 8.674800092206675, 77.59154755310641 8.677495031844488)"
68,68,,S,,PA+3,23.9,T67-T68,301.4261615,1.39,54,8.677495032,77.59154755,AVAILABLE,,,AGRI LAND,"Sc  line, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59154755310641 8.677495031844488, 77.59116902673533 8.680293032629882)"
69,69,,T,"08°48'55""RT",PB,23.85,T68-T69,290,2.63,52,8.680293033,77.59116903,AVAILABLE,LT LINE-2NOS,ROAD,AGRI LAND,"Sc  line, lt line-2nos,Road, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59116902673533 8.680293032629882, 77.59117104442616 8.682099013356215)"
70,70,,S,,PA,20.9,T69-T70,199.8622684,1.37,51,8.682099013,77.59117104,AVAILABLE,,,AGRI LAND,"Sc  line,Agri land,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59117104442616 8.682099013356215, 77.59107783445934 8.684252331902123)"
71,71,,S,,PA,20.9,T70-T71,238.5216348,1.92,51,8.684252332,77.59107783,AVAILABLE,,,AGRI LAND,"Sc  line,Agri land,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59107783445934 8.684252331902123, 77.59118076639149 8.686728120355284)"
72,72,,S,,PA,20.9,T71-T72,274.2222911,1.62,50,8.68672812,77.59118077,AVAILABLE,,,AGRI LAND,"Sc  line,Agri land,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59118076639149 8.686728120355284, 77.59120188570151 8.689134624745352)"
73,73,,S,,PA,20.9,T72-T73,266.3304788,1.72,50,8.689134625,77.59120189,AVAILABLE,,,AGRI LAND,"Sc  line,Agri land,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59120188570151 8.689134624745352, 77.59126290630259 8.691506970096839)"
74,74,2W,T,"08°26'56""RT",PB,20.85,T73-T74,262.6261643,2.46,51,8.69150697,77.59126291,AVAILABLE,LT LINE,,AGRI LAND,"Sc  line,Lt  lIne,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59126290630259 8.691506970096839, 77.591946 8.693958)"
75,75,,T,"23°20'35""RT",PB,20.85,T74-T75,280,3.86,50,8.693958,77.591946,AVAILABLE,,River,AGRI LAND,"River, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.591946 8.693958, 77.59231869211233 8.696444493775411)"
76,76,,T,"06°41'57""LT",PB,20.85,T75-T76,286,1.92,51,8.696444494,77.59231869,AVAILABLE,11KV LINE,ROAD,PLAIN LAND,"Sc  line,11kv Line, Road,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59231869211233 8.696444493775411, 77.59264591930963 8.699050439218643)"
77,77,,S,,PA,20.9,T76-T77,290.6353178,1.56,50,8.699050439,77.59264592,AVAILABLE,,,AGRI LAND,"Sc  line, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59264591930963 8.699050439218643, 77.59298789932345 8.70162521500163)"
78,78,,S,,PA,20.9,T77-T78,287.4212303,1.91,50,8.701625215,77.5929879,AVAILABLE,,,AGRI LAND,"Sc  line, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59298789932345 8.70162521500163, 77.59332116965682 8.70411943545083)"
79,79,,S,,PA,20.9,T78-T79,278.4577367,1.59,51,8.704119435,77.59332117,AVAILABLE,,,AGRI LAND,"Sc  line, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59332116965682 8.70411943545083, 77.59362827925631 8.7064903609432)"
80,80,,T,"04°00'36""LT",PB,20.85,T79-T80,264.554532,2.93,52,8.706490361,77.59362828,AVAILABLE,,,AGRI LAND,"Sc  line, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59362827925631 8.7064903609432, 77.59397697126549 8.709526072716088)"
81,81,,S,,PA+3,20.9,T80-T81,311,1.91,54,8.709526073,77.59397697,AVAILABLE,LT LINE-2NOS,RIVER,PLAIN LAND,"Sc  line, 2 lt  line,River, House,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59397697126549 8.709526072716088, 77.59412516170136 8.712236321678505)"
82,82,,T,"12°24'54""LT",PB+3,23.85,T81-T82,300.3796277,2.92,54,8.712236322,77.59412516,AVAILABLE,"11KV LINE-2NOS, LT LINE",ROAD-2NOS,PLAIN LAND,"Sc  line,2 nos 11kV Line, Road-2nos, lt line,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59412516170136 8.712236321678505, 77.59386163101806 8.714228745484776)"
