,TOWER NO,Joint Box,Tower Suspension/ Tension,DIVATIONN OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),FOOTING RESIDENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
28,27,,S,,A,22,T26-T27,308.6987284,above 200,65,8.906476598,77.71385361,GOOD,AVAILABLE,,,WATER LOGGED AREA,"SC Line,tankarea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7138536050915 8.90647659776763, 77.7113655209541 8.90667434410877)"
29,28,,S,,A,22,T27-T28,274.7190331,above 200,66,8.906674344,77.71136552,GOOD,AVAILABLE,,,WATER LOGGED AREA,"SC Line,tankarea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7113655209541 8.90667434410877, 77.7088278159499 8.90685850978422)"
30,29,,S,,A,25,T28-T29,280.0498453,above 200,66,8.90685851,77.70882782,GOOD,AVAILABLE,"230KV LINE,33KV LINE-2NOS, LT LINE",ODAI(NALA),PLAIN LAND,"SC Line,lt line,33kv line-2,230kv line BELOW,odai(Nala),plainland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7088278159499 8.90685850978422, 77.70590991 8.907038369)"
31,30,,S,,A,22,T29-T30,321.7692374,above 200,62,8.907038369,77.70590991,GOOD,AVAILABLE,,,PLAIN LAND,"SC Line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.70590991 8.907038369, 77.70338662 8.907206636)"
32,31,,S,,A,22,T30-T31,278.3429043,above 200,64,8.907206636,77.70338662,GOOD,AVAILABLE,,,PLAIN LAND,"SC Line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.70338662 8.907206636, 77.70047341 8.907388151)"
33,32,,S,,A,22,T31-T32,321.2625593,above 200,64,8.907388151,77.70047341,GOOD,AVAILABLE,,,PLAIN LAND,"SC Line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.70047341 8.907388151, 77.69771677 8.907566686)"
34,33,2W,T,"20°32'42""RT",C,25,T32-T33,304.0435862,above 200,64,8.907566686,77.69771677,GOOD,AVAILABLE,LT LINE,,PLAIN LAND,"SC Line,LT Line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.69771677 8.907566686, 77.69514486 8.908718379)"
35,34,,S,,A+3,22,T33-T34,310.4426861,above 200,64,8.908718379,77.69514486,GOOD,AVAILABLE,,,PLAIN LAND,"SC Line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.69514486 8.908718379, 77.69272484 8.909756788)"
36,35,,S,,A,25,T34-T35,290.0867296,above 200,66,8.909756788,77.69272484,GOOD,AVAILABLE,"400KV LINE, 33KV LINE",,PLAIN LAND,"SC Line, plain land,33kv line400kv line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.69272484 8.909756788, 77.69019317 8.910988301)"
37,36,,S,,A,22,T35-T36,310.1867171,above 200,68,8.910988301,77.69019317,GOOD,AVAILABLE,,,PLAIN LAND,"SC Line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.69019317 8.910988301, 77.68764675 8.912116798)"
38,37,,S,,A,25,T36-T37,306.8294259,above 200,70,8.912116798,77.68764675,GOOD,AVAILABLE,LT LINE,,PLAIN LAND,"SC Line, plain land,LT line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.68764675 8.912116798, 77.68517341 8.913296632)"
39,38,,S,,A,25,T37-T38,301.9114992,above 200,70,8.913296632,77.68517341,GOOD,AVAILABLE,LT LINE-2NOS,,PLAIN LAND,"SC Line, plain land,LT line-2nos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.68517341 8.913296632, 77.6826632 8.914426778)"
40,39,,S,,A,25,T38-T39,303.2664546,above 200,71,8.914426778,77.6826632,GOOD,AVAILABLE,"110KV LINE, 33KV LINE,",ROAD,PLAIN LAND,"SC Line, plain land,33kv line,Road,110Kv line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6826632 8.914426778, 77.67997161 8.915494981)"
41,40,,S,,A,22,T39-T40,318.9507761,above 200,69,8.915494981,77.67997161,GOOD,AVAILABLE,,,PLAIN LAND,"SC Line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67997161 8.915494981, 77.67741848 8.916768209)"
42,41,,S,,A,22,T40-T41,314.3450459,above 200,68,8.916768209,77.67741848,GOOD,AVAILABLE,,,PLAIN LAND,"SC Line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67741848 8.916768209, 77.67493173 8.917885095)"
43,42,,S,,A,25,T41-T42,300.3029715,above 200,69,8.917885095,77.67493173,GOOD,AVAILABLE,"33KV LINE, LT LINE",,PLAIN LAND,"SC Line, plain land, LT line,33kv line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67493173 8.917885095, 77.67241012 8.919051661)"
44,43,,S,,A,22,T42-T43,306.0827232,above 200,71,8.919051661,77.67241012,GOOD,AVAILABLE,,,PLAIN LAND,"SC Line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67241012 8.919051661, 77.6699435 8.920164897)"
45,44,,S,,A,25,T43-T44,298.1168565,above 200,69,8.920164897,77.6699435,GOOD,AVAILABLE,"400KV LINE, LT LINE",,PLAIN LAND,"SC Line, plain land,400kv tower line, LT line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6699435 8.920164897, 77.66750168 8.921254944)"
46,45,,S,,A,25,T44-T45,294.5710845,above 200,76,8.921254944,77.66750168,GOOD,AVAILABLE,LT LINE,,PLAIN LAND,"SC Line, plain land,LT line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66750168 8.921254944, 77.66488452 8.922476812)"
47,46,,S,,A,22,T45-T46,318.196256,above 200,76,8.922476812,77.66488452,GOOD,AVAILABLE,"LT LINE, 33KV LINE",,PLAIN LAND,"SC Line, plain land, lt line,33kv line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66488452 8.922476812, 77.66269349 8.92343834)"
48,47,,S,,A,22,T46-T47,263.5690808,above 200,76,8.92343834,77.66269349,GOOD,AVAILABLE,,,PLAIN LAND,"SC Line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66269349 8.92343834, 77.66020004 8.924578391)"
49,48,,S,,A,22,T47-T48,302.0307149,above 200,75,8.924578391,77.66020004,GOOD,AVAILABLE,,,PLAIN LAND,"SC Line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66020004 8.924578391, 77.65768345 8.925711814)"
50,49,2W,T,"21°36'21""LT",C,25,T48-T49,304.0398279,above 200,76,8.925711814,77.65768345,GOOD,AVAILABLE,HT LINE,ROAD,PLAIN LAND,"SC Line, plain land,HT line, Road ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65768345 8.925711814, 77.65464317 8.925410076)"
51,50,,S,,A,25,T49-T50,336.2534106,above 200,76,8.925410076,77.65464317,GOOD,AVAILABLE,"33KV LINE, LT LINE-2NOS",,PLAIN LAND,"SC Line, plain land,LT line-2nos,33kv line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65464317 8.925410076, 77.65158512 8.925126555)"
52,51,,S,,A+3,25,T50-T51,338.005915,above 200,77,8.925126555,77.65158512,GOOD,AVAILABLE,33KV LINE,,PLAIN LAND,"SC Line, plain land,33kv line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65158512 8.925126555, 77.64823336 8.924919876)"
53,52,,T,"09°31'21""LT",B,25,T51-T52,369.5762954,above 200,77,8.924919876,77.64823336,GOOD,AVAILABLE,HT LINE-2NOS,,PLAIN LAND,"SC Line, plain land,2HT Line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64823336 8.924919876, 77.64502175 8.924533345)"
54,53,,S,,A+3,25,T52-T53,356.0231328,above 200,77,8.924533345,77.64502175,GOOD,AVAILABLE,HT LINE-2NOS,ROAD,PLAIN LAND,"SC Line, plain land,HT line-2,LT line,Road ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64502175 8.924533345, 77.64189832 8.924200141)"
55,54,,S,,A+3,22,T53-T54,345.711399,above 200,81,8.924200141,77.64189832,GOOD,AVAILABLE,,,PLAIN LAND,"SC Line, plain land,LT line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64189832 8.924200141, 77.63883054 8.923907344)"
56,55,,S,,A,22,T54-T55,339.1660045,above 200,81,8.923907344,77.63883054,GOOD,AVAILABLE,,,PLAIN LAND,"SC Line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63883054 8.923907344, 77.63576344 8.923661581)"
57,56,,S,,A+6,25,T55-T56,338.63303,above 200,81,8.923661581,77.63576344,GOOD,AVAILABLE,"LT LINE, 33KV LINE",,PLAIN LAND,"SC Line, plain land,LT.line/33kvline",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63576344 8.923661581, 77.63196174 8.923256501)"
58,57,,S,,A,22,T56-T57,420.7765593,above 200,83,8.923256501,77.63196174,GOOD,AVAILABLE,,,PLAIN LAND,"SC Line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63196174 8.923256501, 77.62989677 8.923118383)"
59,58,,S,,A,25,T57-T58,227.7642235,above 200,83,8.923118383,77.62989677,GOOD,AVAILABLE,HT LINE,ROAD,PLAIN LAND,"SC Line, plain land,road,HT Line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62989677 8.923118383, 77.62714349 8.922976622)"
60,59,,S,,A,22,T58-T59,303.4082916,above 200,83,8.922976622,77.62714349,GOOD,AVAILABLE,,,PLAIN LAND,"SC Line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62714349 8.922976622, 77.62412835 8.922568229)"
61,60,,S,,A+3,22,T59-T60,334.8818706,above 200,84,8.922568229,77.62412835,GOOD,AVAILABLE,,,PLAIN LAND,"SC Line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62412835 8.922568229, 77.6212899014353 8.92229861664208)"
62,61,2W,T,"12°29'18""LT",C,22,T60-T61,313.7947524,above 200,86,8.922298617,77.6212899,GOOD,AVAILABLE,,,AGRI LAND,"SC Line,agriland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6212899014353 8.92229861664208, 77.6186318323016 8.9228597014423)"
