S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
31,32,,S,DA,26,31-32,255.8370619,0.73,FALSE,340.925385,,10.009,77.41316667,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41316666666667 10.009, 77.41097222222223 10.009277777777777)"
32,33,,S,DA,26,32-33,244,0.25,FALSE,342.27948,,10.00927778,77.41097222,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41097222222223 10.009277777777777, 77.40922222222223 10.0095)"
33,34,,S,DA,26,33-34,194.787109,4.24,FALSE,343.872406,,10.0095,77.40922222,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40922222222223 10.0095, 77.40702777777778 10.009777777777778)"
34,35,,S,DA,26,34-35,240.1900342,3.81,FALSE,344.335785,,10.00977778,77.40702778,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40702777777778 10.009777777777778, 77.40436111111111 10.010111111111112)"
35,36,,T,DB,25,35-36,297.2411823,2.18,FALSE,348.187927,"16°37'48""R",10.01011111,77.40436111,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40436111111111 10.010111111111112, 77.4026388888889 10.009833333333333)"
36,37,,S,DA,26,36-37,192,3.18,FALSE,349.130829,,10.00983333,77.40263889,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4026388888889 10.009833333333333, 77.40075 10.0095)"
37,38,2W,T,DB,25,37-38,213.1563316,1.48,FALSE,349.81369,"10°30'36""L",10.0095,77.40075,GOOD,Available,2-LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40075 10.0095, 77.39838888888889 10.0095)"
38,39,,S,DA,26,38-39,258.3148386,3.12,FALSE,352.325043,,10.0095,77.39838889,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39838888888889 10.0095, 77.39611111111111 10.009527777777778)"
39,40,,S,DA,26,39-40,250,2.18,FALSE,349.540283,,10.00952778,77.39611111,GOOD,Available,LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39611111111111 10.009527777777778, 77.39358333333334 10.0095)"
40,41,,S,DA,26,40-41,275.4231714,4.57,FALSE,346.615417,,10.0095,77.39358333,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39358333333334 10.0095, 77.391 10.009527777777778)"
