SL NO,TOWER NO,Joint Box,Tower Suspension/ Tension,DIVATIONN OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),FOOTING RESIDENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
19,19,,S,,GC,27,T18-T19,263.0294391,6.87,129,9.143137504,77.67272864,AVAILABLE,LT LINE-3NOS,ROAD,PLAIN LAND,"DC Line,lt line-3,road,plain land. ( e.r 6.87 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6727286353707 9.1431375035529, 77.6746460795402 9.14443177477512)"
20,20,,S,,GC,24,T19-T20,254.9431653,3.57,125,9.144431775,77.67464608,AVAILABLE,LT LINE,,PLAIN LAND,"DC Line,plain land. ( e.r 3.57 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6746460795402 9.14443177477512, 77.6763519644737 9.14558767747397)"
21,21,,S,,GC,24,T20-T21,227.0902536,4.35,125,9.145587677,77.67635196,AVAILABLE,,,AGRI LAND,"DC Line,agri land. ( e.r 4.35 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6763519644737 9.14558767747397, 77.6783921197056 9.14695840372969)"
22,22,,T,"03°34'19""RT",HCR,27,T21-T22,270.8622375,1.93,124,9.146958404,77.67839212,AVAILABLE,,,PLAIN LAND,"DC Line,plain land .( e.r 1.93 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6783921197056 9.14695840372969, 77.6789161562919 9.14725333592856)"
23,23,,DP,,DP,24,T22-T23,66.23882056,1.13,123,9.147253336,77.67891616,AVAILABLE,"LT LINE,400 KV",,PLAIN LAND,"DC Line,DP 400 KV DC LINE CROSSING, lt line,plain land. ( e.r 1.13 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6789161562919 9.14725333592856, 77.6790707185864 9.14743274462132)"
24,24,,DP,,DP,24,T23-T24,26.13943817,1.26,124,9.147432745,77.67907072,AVAILABLE,,,PLAIN LAND,"DC Line,DP, plain land. ( e.r 1.26 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6790707185864 9.14743274462132, 77.6794029772281 9.14773264160686)"
25,25,,T,"24°30'08""RT",HCR,27,T24-T25,49.3677221,2.53,123,9.147732642,77.67940298,AVAILABLE,LT LINE-2NOS,,PLAIN LAND,"DC Line,lt line-2, plain land. ( e.r 2.53 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6794029772281 9.14773264160686, 77.6803819835186 9.14972102504938)"
26,26,,S,,GC+3,24,T25-T26,244.9985921,3.37,124,9.149721025,77.68038198,AVAILABLE,,ROAD,PLAIN LAND,"DC Line,road. ( e.r  3.37 ), PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6803819835186 9.14972102504938, 77.6813009753823 9.15129861585834)"
27,27,,T,"32°35'30""LT",KC+3,24,T26-T27,201.7489151,6.36,125,9.151298616,77.68130098,AVAILABLE,,,PLAIN LAND,"DC Line,plain land. ( e.r   6.36 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6813009753823 9.15129861585834, 77.683424949646 9.15244920012626)"
28,28,,S,,GC+3,27,T27-T28,266.0621446,6.63,125,9.1524492,77.68342495,AVAILABLE,"11KV LINE, 66KV LINE, LT LINE",,AGRI LAND,"DC Line,11kv line,33kv line,lt line,agri land. ( e.r 6.63 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.683424949646 9.15244920012626, 77.6856330782175 9.15373747935972)"
29,29,,T,"28°04'06""LT",HCR+3,24,T28-T29,281.6240972,6.03,124,9.153737479,77.68563308,AVAILABLE,,,PLAIN LAND,"DC Line,plain land. ( e.r 6.03 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6856330782175 9.15373747935972, 77.6873024180531 9.15377984817609)"
30,30,,T,"22°14'42""LT",HCR,24,T29-T30,183.6640022,10.91,125,9.153779848,77.68730242,AVAILABLE,,,PLAIN LAND,"DC Line,plain land. ( 10.91 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6873024180531 9.15377984817609, 77.6898270472884 9.15282224549228)"
31,31,,S,,GC,24,T30-T31,297.213274,8.93,124,9.152822245,77.68982705,AVAILABLE,,,PLAIN LAND,"DC Line,plain land. ( e.r 8.93 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6898270472884 9.15282224549228, 77.6922634989023 9.1519086643098)"
32,32,,T,"24°28'31""LT",HCR,24,T31-T32,286.4180914,4.95,125,9.151908664,77.6922635,AVAILABLE,,,AGRI LAND,"DC Line,agri land. ( e.r 4.95 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6922634989023 9.1519086643098, 77.6942024007439 9.149964317416)"
33,33,,T,"50°56'56""RT",KCR,24,T32-T33,302.9647522,8.06,124,9.149964317,77.6942024,AVAILABLE,,,PLAIN LAND,"DC Line,plain land. ( e.r 8.06 )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6942024007439 9.149964317416, 77.6941710536984 9.149659602002071)"
,KALUGUMLAI,2W,,,,,T33-Gantry (Kalugumalai),31.88409956,,124,9.149659602,77.69417105,,,,,KALUGUMALAI GANTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,Km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
