S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
40,16,,S,DC,26,17-16,285.6256742,0.16,154.273438,,9.018058022,77.56486896,GOOD,Available,,SAND PATH,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5648689642548 9.01805802248418, 77.5624279864132 9.017040040344)"
41,15,,S,DC,26,16-15,291.2210799,1.38,151.717896,,9.01704004,77.56242799,GOOD,Available,HT -2NO,SAND PATH,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5624279864132 9.017040040344, 77.5599709991365 9.01604795828461)"
42,14,,S,DC,26,15-14,291.7555632,0.73,152.325867,,9.016047958,77.559971,GOOD,Available,"LT,HT","ROAD, SAND PATH",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5599709991365 9.01604795828461, 77.5575470365583 9.01502997614443)"
43,13,,S,DC,26,14-13,289.4960316,1.67,149.536652,,9.015029976,77.55754704,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5575470365583 9.01502997614443, 77.5552180409431 9.01410897262394)"
44,12,,T,DC,26,13-Dec,275.7567897,0.92,148.55336,"21°49'9"" L",9.014108973,77.55521804,GOOD,Available,LT - 2NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5552180409431 9.01410897262394, 77.5531529914587 9.01216001249849)"
45,11,,S,DC,26,12-Nov,313.2644921,0.74,148.84462,,9.012160012,77.55315299,GOOD,Available,HT -2NO,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5531529914587 9.01216001249849, 77.5513140019029 9.01032303459942)"
46,10,2W,T,DC,26,11-Oct,286.8109313,1.09,148.606827,"13°9'9"" L",9.010323035,77.551314,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5513140019029 9.01032303459942, 77.5500019825994 9.00821196846664)"
47,9,,S,DC,26,10-Sep,274.6170526,0.83,146.345291,,9.008211968,77.55000198,GOOD,Available,"HT -2NO,LT",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5500019825994 9.00821196846664, 77.5486550107598 9.00597400031983)"
48,8,,T,DC,26,09-Aug,288.6148238,2.01,146.705673,"26°29'45"" R",9.005974,77.54865501,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5486550107598 9.00597400031983, 77.5463909748941 9.00453398935496)"
49,7,,S,DC,26,08-Jul,295.7018102,0.42,145.97081,,9.004533989,77.54639097,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5463909748941 9.00453398935496, 77.5442550145089 9.00321098975837)"
