S.NO,TOWER NO,TOWER S/T,DEVIATION OF  ANGLE,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTANCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
15,13,T,"32°39'20""LT",KCR+3,24,T12-T13,244.70354155593583,35.98,13,8.246397,77.77319,AVAILABLE,"11KV LINE, LT LINE",ROAD,PLAIN LAND,"11 Kv Line-3Nos,LTLine,ROAD, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77319 8.246397, 77.77535 8.246385)"
16,14,S,,GCR,27,T13-T14,253.10579048693748,33.17,11,8.246385,77.77535,AVAILABLE,,,PLAIN LAND,plain land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77535 8.246385, 77.77758 8.246465)"
17,15,S,,GCR,27,T14-T15,218.7087575315134,33.04,12,8.246465,77.77758,AVAILABLE,11KV LINE,,PLAIN LAND,"11Kv line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77758 8.246465, 77.77983 8.246512)"
18,16,T,"09°58'14""LT",HCR,24,T15-T16,196.12013524867675,31.57,11,8.246512,77.77983,AVAILABLE,,,PLAIN LAND,plain land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77983 8.246512, 77.78152 8.246873)"
19,17,S,,GCR,27,T16-T17,196.49259887336643,32.74,11,8.246873,77.78152,AVAILABLE,,POND,WATER LOGGED AREA,"POND,water logged area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.78152 8.246873, 77.78429 8.247372)"
20,18,T,"07°29'33""RT",HCR+3,24,T17-T18,239.0898110794597,33.41,10,8.247372,77.78429,AVAILABLE,,POND,WATER LOGGED AREA,"POND, water logged area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.78429 8.247372, 77.78706 8.24754)"
21,19,T,"34°14'42""LT",KCR,24,T18-T19,222.95403582352571,31.02,10,8.24754,77.78706,AVAILABLE,,POND,WATER LOGGED AREA,"POND, water logged area",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.78706 8.24754, 77.78874 8.249042)"
22,20,S,,GCR,27,T19-T20,118.27151420776472,31.52,11,8.249042,77.78874,AVAILABLE,,,PLAIN LAND,plain land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.78874 8.249042, 77.79087 8.250482)"
23,21,T,"19°14'46""RT",HCR,24,T20-T21,345.64361840767884,31.57,12,8.250482,77.79087,AVAILABLE,,,PLAIN LAND,"FENCING, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79087 8.250482, 77.79345 8.251338)"
24,22,T,"10°04'22""RT",HCR,24,T21-T22,167.2442202080395,30.76,13,8.251338,77.79345,AVAILABLE,,,PLAIN LAND,"FENCING, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79345 8.251338, 77.79604 8.251697)"
25,23,S,,GCR,27,T22-T23,240.11673904375354,38.71,12,8.251697,77.79604,AVAILABLE,LT LINE,,PLAIN LAND,"Lt Line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79604 8.251697, 77.79854 8.252087)"
26,24,T,"26°35'20""LT",HCR+3,24,T23-T24,231.55250872541936,34.21,11,8.252087,77.79854,AVAILABLE,LT LINE,ROAD,PLAIN LAND,"ROAD,LT LINE, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79854 8.252087, 77.80026 8.253288)"
27,25,T,"13°14'30""LT",HCR,24,T24-T25,224.553927449519,32.26,9,8.253288,77.80026,AVAILABLE,LT LINE,,PLAIN LAND,"Lt Line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80026 8.253288, 77.80152 8.254693)"
28,26,T,"11°39'52""RT",HCR,24,T25-T26,330.39897897235545,33.91,3,8.254693,77.80152,AVAILABLE,11KV LINE,NALA (ODAI),PLAIN LAND,"11 KV LINE,ODAI (NALA), plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80152 8.254693, 77.80286 8.255683)"
29,27,T,"18°50'43""LT",HCR,24,T26-T27,184,32.1,5,8.255683,77.80286,AVAILABLE,,NALA (ODAI),PLAIN LAND,"ODAI (NALA), plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80286 8.255683, 77.80445 8.257985)"
30,28,T,"28°10'42""RT",HCR,24,T27-T28,309,30.94,5,8.257985,77.80445,AVAILABLE,LT LINE,,PLAIN LAND,"Lt Line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80445 8.257985, 77.80699 8.259285)"
31,29,T,"76°43'36""RT",KCR,24,T28-T29,315,31.24,5,8.259285,77.80699,AVAILABLE,,,PLAIN LAND,plain land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80699 8.259285, 77.80808 8.25801)"
32,30,T,"31°47'31""RT",KCR,24,T29-T30,185,31.04,4,8.25801,77.80808,AVAILABLE,,,PLAIN LAND,plain land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80808 8.25801, 77.80846 8.25554)"
33,31,T,,KCR,24,T30-T31,276,33.98,4,8.25554,77.80846,AVAILABLE,"LT LINE-3NOS, 11KV LINE",ROAD,PLAIN LAND,"LT LINE-3Nos,11 KV Line,ROAD, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80846 8.25554, 77.808409 8.255496)"
GANTRY,NAVALADY,,,,,T31- NAVALADY,30,33.24,8,8.255496,77.808409,AVAILABLE,,,,NAVALADY GANTRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,=SUM(H8:H40)/1000,KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
