S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
16,15,,S,SA+3,29,18 - 19,249.29701,1.06,FALSE,32.169258,,9.771805556,78.88119444,GOOD,Available,2-LT,Karunthanakottai Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88119444444443 9.771805555555556, 78.88069444444444 9.769472222222223)"
17,16,,S,SA,26,19 - 20,265.4505764,3.11,FALSE,32.788666,,9.769472222,78.88069444,GOOD,Available,,,Agri ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88069444444444 9.769472222222223, 78.88019444444444 9.766944444444444)"
18,17,2W,T,SB,25,20 - 21,283.9318271,3.01,FALSE,32.093239,"4°22'48""R",9.766944444,78.88019444,GOOD,Available,,,Agri ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.88019444444444 9.766944444444444, 78.87955555555556 9.764722222222222)"
19,18,,S,SA,26,21 - 22,256.956798,2.87,FALSE,32.980301,,9.764722222,78.87955556,GOOD,Available,,,Agri ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87955555555556 9.764722222222222, 78.87891666666665 9.762361111111112)"
20,19,,S,SA+3,29,22 - 23,268.3670614,1.26,FALSE,32.767563,,9.762361111,78.87891667,GOOD,Available,,POND,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87891666666665 9.762361111111112, 78.87827777777777 9.75988888888889)"
21,20,,S,SA,26,23 - 24,285.1106462,2.06,FALSE,31.293354,,9.759888889,78.87827778,GOOD,Available,2-LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87827777777777 9.75988888888889, 78.87763888888888 9.757416666666666)"
22,21,,S,SA,26,24 - 25,280.4346693,1.06,FALSE,29.991289,,9.757416667,78.87763889,GOOD,Available,LT,,Agri ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87763888888888 9.757416666666666, 78.877 9.755)"
23,22,,S,SA,26,25 - 26,277.4669674,2.61,FALSE,30.737658,,9.755,78.877,GOOD,Available,,,Agri ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.877 9.755, 78.87636111111111 9.752555555555556)"
24,23,,S,SA,26,26 - 27,278.5849465,1.51,FALSE,30.729963,,9.752555556,78.87636111,GOOD,Available,,Anandur Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87636111111111 9.752555555555556, 78.87572222222222 9.750111111111112)"
25,24,,T,SB,25,27 - 28,278.5562135,1.07,FALSE,31.235731,"12°55'12""R",9.750111111,78.87572222,GOOD,Available,LT,,Agri ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87572222222222 9.750111111111112, 78.87480555555555 9.748333333333333)"
26,25,,S,SA,26,28 - LILO : 29,222.845836,0.27,FALSE,28.898106,,9.748333333,78.87480556,GOOD,Available,,,Agri ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87480555555555 9.748333333333333, 78.87383333333332 9.74636111111111)"
27,26,,S,SA,26,LILO : 29 - 30,241.6152474,0.51,FALSE,28.073528,,9.746361111,78.87383333,GOOD,Available,,,Agri ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87383333333332 9.74636111111111, 78.87283333333333 9.744444444444444)"
28,27,,S,SA,26,30 - 31,238.944467,0.63,FALSE,29.433008,,9.744444444,78.87283333,GOOD,Available,,,Agri ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87283333333333 9.744444444444444, 78.87183333333333 9.7425)"
29,28,,S,SA,26,31 - 32,242.2013994,0.27,FALSE,28.844658,,9.7425,78.87183333,GOOD,Available,,,Agri ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87183333333333 9.7425, 78.87086111111111 9.740583333333333)"
30,LILO : 29,3W,T,SC,26,32 - 33,237.4103418,0.36,FALSE,27.324247,"41°22'48""L",9.740583333,78.87086111,GOOD,Available,,,Agri ,LILO AT ANANTHUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87086111111111 9.740583333333333, 78.8715 9.738138888888889)"
31,30,,T,SC+3,29,33 - 34,279.6485316,0.47,FALSE,27.896481,"25°13'48""R",9.738138889,78.8715,GOOD,Available,,,Agri ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8715 9.738138888888889, 78.87108333333333 9.73586111111111)"
32,31,,S,SA,26,34 - 35,257.1427997,1.16,FALSE,26.548992,,9.735861111,78.87108333,GOOD,Available,,,Agri ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87108333333333 9.73586111111111, 78.87066666666666 9.733666666666666)"
33,32,,S,SA,26,35 - 36,245.0163406,0.27,FALSE,27.519968,,9.733666667,78.87066667,GOOD,Available,,,Agri ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87066666666666 9.733666666666666, 78.87027777777777 9.731583333333333)"
34,33,,S,SA,26,36 - 37,234.0771835,0.56,FALSE,26.615835,,9.731583333,78.87027778,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87027777777777 9.731583333333333, 78.8698611111111 9.729333333333333)"
35,34,,S,SA+3,29,37 - 38,254.4437164,1.25,FALSE,23.79443,,9.729333333,78.86986111,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8698611111111 9.729333333333333, 78.86944444444444 9.727194444444445)"
36,35,,T,SB+3,28,38 - 39,240.7488364,2.27,FALSE,22.04113,"27°1'48""L",9.727194444,78.86944444,GOOD,Available,,Karkathakudi Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86944444444444 9.727194444444445, 78.87008333333333 9.725027777777777)"
37,36,,S,SA,26,39 - 40,249.6812464,1.23,FALSE,23.434006,,9.725027778,78.87008333,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87008333333333 9.725027777777777, 78.87080555555555 9.722611111111112)"
38,37,,S,SA,26,40 - 41,279.3202133,4.06,FALSE,22.471718,,9.722611111,78.87080556,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87080555555555 9.722611111111112, 78.87144444444444 9.720444444444444)"
39,38,,S,SA,26,41 - 42,249.4539699,2.11,FALSE,21.875341,,9.720444444,78.87144444,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87144444444444 9.720444444444444, 78.87208333333332 9.718305555555556)"
40,39,,T,SC,26,42 - 43,246.2174755,3.11,FALSE,22.950733,"30°40'48""L",9.718305556,78.87208333,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87208333333332 9.718305555555556, 78.87372222222221 9.716833333333334)"
41,40,,S,SA,26,43 - 44,243.1784215,4.06,FALSE,23.41366,,9.716833333,78.87372222,GOOD,Available,,POND,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87372222222221 9.716833333333334, 78.87541666666667 9.715305555555554)"
42,41,,T,SB+3,28,44 - 45,249.3334093,4.2,FALSE,24.014713,"5°50'60""L",9.715305556,78.87541667,GOOD,Available,,POND,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87541666666667 9.715305555555554, 78.87677777777778 9.714305555555555)"
43,42,,T,SB+3,28,45 - 46,185.9564439,5.09,FALSE,24.247065,"12°18'36""R",9.714305556,78.87677778,GOOD,Available,HT,Ramnad -Melur Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87677777777778 9.714305555555555, 78.87808333333332 9.712805555555555)"
44,43,2W,T,SC,26,46 - 47,221.0856601,2.69,FALSE,23.190672,"43°36'36""R",9.712805556,78.87808333,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87808333333332 9.712805555555555, 78.87797222222221 9.710416666666665)"
45,44,,S,SA,26,47 - 48,265.9255494,3.5,FALSE,22.926945,,9.710416667,78.87797222,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87797222222221 9.710416666666665, 78.8778611111111 9.707916666666666)"
46,45,,S,SA,26,48 - 49,275.7444313,4.63,FALSE,22.868322,,9.707916667,78.87786111,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8778611111111 9.707916666666666, 78.87777777777777 9.705499999999999)"
47,46,,T,SB,25,49 - 50,267.7482833,7.17,FALSE,23.20125,"0°7'48""R",9.7055,78.87777778,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87777777777777 9.705499999999999, 78.87766666666666 9.703166666666666)"
48,47,,S,SA,26,50 - 51,258.1402332,3.04,FALSE,23.262678,,9.703166667,78.87766667,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87766666666666 9.703166666666666, 78.87755555555555 9.700805555555554)"
49,48,,S,SA,26,51 - 52,260.6649583,0.62,FALSE,22.455177,,9.700805556,78.87755556,GOOD,Available,,POND,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87755555555555 9.700805555555554, 78.87744444444444 9.698444444444444)"
50,49,,S,SA,26,52 - 53,262.9479734,5.72,FALSE,24.068352,,9.698444444,78.87744444,GOOD,Available,,POND,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87744444444444 9.698444444444444, 78.8773611111111 9.696083333333334)"
51,50,,T,SB,25,53 - 54,261.0963224,1.12,FALSE,24.873833,"16°33'36""R",9.696083333,78.87736111,GOOD,Available,,POND,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8773611111111 9.696083333333334, 78.87658333333333 9.693833333333334)"
52,51,,S,SA+3,29,54 - 55,261.9832304,0.41,FALSE,22.775612,,9.693833333,78.87658333,GOOD,Available,HT,A.R.Mangalam Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87658333333333 9.693833333333334, 78.87583333333333 9.691611111111111)"
53,52,,S,SA,26,55 - 56,259.2930573,0.26,FALSE,23.075338,,9.691611111,78.87583333,GOOD,Available,LT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87583333333333 9.691611111111111, 78.87508333333332 9.689333333333334)"
54,53,,S,SA,26,56 - 57,266.9797145,0.26,FALSE,22.483742,,9.689333333,78.87508333,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87508333333332 9.689333333333334, 78.87433333333333 9.687222222222223)"
55,54,,S,SA,26,57 - 58,245.6781823,1.22,FALSE,21.335499,,9.687222222,78.87433333,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87433333333333 9.687222222222223, 78.8736111111111 9.685194444444445)"
56,55,2W,T,SB,25,58 - 59,238.3088342,2.6,FALSE,22.626377,"5°6'36""R",9.685194444,78.87361111,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8736111111111 9.685194444444445, 78.87255555555555 9.682916666666666)"
57,56,,S,SA,26,59 - 60,278.178828,2.17,FALSE,21.743305,,9.682916667,78.87255556,GOOD,Available,2-LT,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87255555555555 9.682916666666666, 78.87152777777777 9.68061111111111)"
58,57,,S,SA,26,60 - 61,278.5484139,0.49,FALSE,21.325712,,9.680611111,78.87152778,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87152777777777 9.68061111111111, 78.87038888888888 9.67825)"
59,58,,S,SA+3,29,61 - 62,289.339783,0.26,FALSE,19.322317,,9.67825,78.87038889,GOOD,Available,,Sanaveli Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.87038888888888 9.67825, 78.86922222222222 9.675777777777776)"
60,59,,S,SA,26,62 - 63,302.2536192,2.51,FALSE,19.534557,,9.675777778,78.86922222,GOOD,Available,HT,River,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86922222222222 9.675777777777776, 78.86813888888888 9.673472222222221)"
61,60,,T,SB,25,63 - 64,281.532169,2.1,FALSE,20.546097,"18°37'12""L",9.673472222,78.86813889,GOOD,Available,,River,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86813888888888 9.673472222222221, 78.86786111111111 9.670888888888888)"
62,61,,S,SA,26,64 - 65,287.9530911,0.52,FALSE,20.980648,,9.670888889,78.86786111,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86786111111111 9.670888888888888, 78.86755555555555 9.668277777777778)"
63,62,,S,SA,26,65 - LILO : 66,290.3211229,0.27,FALSE,18.919661,,9.668277778,78.86755556,GOOD,Available,LT,Saveriyaar pattinam Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86755555555555 9.668277777777778, 78.86727777777777 9.665694444444444)"
64,63,,S,SA,26,LILO : 66 - 66A,285.5673107,1.11,FALSE,19.725103,,9.665694444,78.86727778,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86727777777777 9.665694444444444, 78.86699999999999 9.663111111111112)"
65,64,,S,SA,26,66A - 67,288.5160797,0.51,FALSE,19.450161,,9.663111111,78.867,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86699999999999 9.663111111111112, 78.86672222222222 9.660527777777778)"
66,65,,T,SC,25,67 - 68,287.9148788,1.26,FALSE,19.221626,"5°0'36""L",9.660527778,78.86672222,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86672222222222 9.660527777777778, 78.86666666666666 9.65913888888889)"
67,LILO : 66,3W,T,DC,26,68 - 69,153.0545163,2.15,FALSE,17.37487,"23°25'12""R",9.659138889,78.86666667,GOOD,Available,,,Agri,LILO AT R.S MANGALAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86666666666666 9.65913888888889, 78.86627777777777 9.658305555555556)"
68,66A,,T,SC,25,69 - 70,104.3237025,0.25,FALSE,16.958435,"18°57'0""L",9.658305556,78.86627778,GOOD,NO E/W,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86627777777777 9.658305555555556, 78.866 9.655722222222222)"
69,67,,S,SA,26,70 - 71,285.8287843,0.25,FALSE,16.002773,,9.655722222,78.866,GOOD,NO E/W,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.866 9.655722222222222, 78.86577777777777 9.65313888888889)"
70,68,,S,SA,26,71 - 72,287.5376655,6.7,FALSE,17.363495,,9.653138889,78.86577778,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86577777777777 9.65313888888889, 78.8655 9.650583333333334)"
71,69,,S,SA,26,72 - 73,285.0263789,0.26,FALSE,16.541746,,9.650583333,78.8655,GOOD,NO E/W,HT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8655 9.650583333333334, 78.86524999999999 9.647638888888888)"
72,70,,S,SA,26,73 - 74,324.1117272,0.25,FALSE,17.641098,,9.647638889,78.86525,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86524999999999 9.647638888888888, 78.86502777777777 9.645416666666666)"
73,71,,T,SB,25,74 - LILO : 01,249.6827509,0.28,0,17.134083,"13°48'36""L",9.645416667,78.86502778,GOOD,NO E/W,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86502777777777 9.645416666666666, 78.86541666666666 9.642722222222222)"
74,72,,T,SB,26,LILO : 01 - 75,299.505822,0.92,FALSE,19.452196,"6°10'48""R",9.642722222,78.86541667,GOOD,Available,"2-HT,2-LT",Indira Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86541666666666 9.642722222222222, 78.86552777777777 9.640305555555555)"
75,73,,S,SA,26,75 - 76,267.4755071,5.01,FALSE,17.537212,,9.640305556,78.86552778,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86552777777777 9.640305555555555, 78.86563888888888 9.637972222222222)"
76,74,,S,SA,26,76 - 77,259.677221,3.51,FALSE,19.336861,,9.637972222,78.86563889,GOOD,Available,HT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86563888888888 9.637972222222222, 78.86558333333333 9.6375)"
77,LILO : 01,3W,T,DC,26,77 - 78,52.27761483,Nil,FALSE,24.151009,"13°35'24""L",9.6375,78.86558333,GOOD,Available,,,Plain,LILO at Uppur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86558333333333 9.6375, 78.86574999999999 9.635583333333333)"
78,75,,T,SB,25,78 - 79,211.5211052,1.17,FALSE,19.345388,"17°55'48""R",9.635583333,78.86575,GOOD,Available,110KV,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86574999999999 9.635583333333333, 78.86522222222222 9.633222222222223)"
79,76,,S,SA,26,79 - 80,268.0746763,2.27,FALSE,20.165573,,9.633222222,78.86522222,GOOD,Available,HT,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86522222222222 9.633222222222223, 78.86466666666666 9.63086111111111)"
80,77,,S,SA,26,80 - 81,270.57627,2.75,FALSE,19.789436,,9.630861111,78.86466667,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86466666666666 9.63086111111111, 78.8641111111111 9.628472222222223)"
81,78,,S,SA+3,29,81 - 82,269.9377771,4.62,FALSE,18.20097,,9.628472222,78.86411111,GOOD,Available,"2-LT,HT",Alagarthevankkottai Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8641111111111 9.628472222222223, 78.86352777777778 9.625805555555557)"
82,79,,T,SC+3,29,82 - 83,301.5218389,3.01,FALSE,18.20046,"21°49'12""R",9.625805556,78.86352778,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86352777777778 9.625805555555557, 78.86194444444443 9.623527777777777)"
83,80,,T,SC+3,29,83 - 84,305.987157,2.26,FALSE,19.678514,"12°30'0""L",9.623527778,78.86194444,GOOD,Available,,Ramnad NH Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86194444444443 9.623527777777777, 78.8611111111111 9.621416666666667)"
84,81,,S,SA,26,84 - 85,250.702433,2.22,FALSE,20.486708,,9.621416667,78.86111111,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.8611111111111 9.621416666666667, 78.86022222222222 9.619194444444444)"
85,82,,S,SA,26,85 - 86,265.1790325,1.96,FALSE,21.729635,,9.619194444,78.86022222,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.86022222222222 9.619194444444444, 78.85930555555555 9.616916666666667)"
86,83,,S,SA,26,86 - 87,270.9580015,1.06,FALSE,19.864164,,9.616916667,78.85930556,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85930555555555 9.616916666666667, 78.85844444444444 9.614833333333333)"
87,84,,S,SA,26,87 - 88,248.9453989,2.26,FALSE,21.419153,,9.614833333,78.85844444,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85844444444444 9.614833333333333, 78.85755555555555 9.61261111111111)"
88,85,,S,SA,26,88 - 89,263.5916502,1.46,FALSE,20.375629,,9.612611111,78.85755556,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85755555555555 9.61261111111111, 78.85672222222222 9.6105)"
89,86,,S,SA,26,89 - 90,251.3578492,1.03,FALSE,21.652096,,9.6105,78.85672222,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85672222222222 9.6105, 78.85588888888888 9.608416666666667)"
90,87,2W,T,SB,25,90 - 91,248.1191171,2.86,FALSE,22.697218,"21°35'24""L",9.608416667,78.85588889,GOOD,Available,,River,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85588888888888 9.608416666666667, 78.85591666666666 9.605805555555555)"
91,88,,S,SA,26,91 - 92,287.55449,3.01,FALSE,21.851728,,9.605805556,78.85591667,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85591666666666 9.605805555555555, 78.85594444444443 9.60325)"
92,89,,S,SA,26,92 - 93,283.6806699,2.06,FALSE,21.94759,,9.60325,78.85594444,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85594444444443 9.60325, 78.85597222222222 9.60061111111111)"
93,90,,T,SB,25,93 - 94,292.5445946,1.26,FALSE,21.196362,"0°38'24""L",9.600611111,78.85597222,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.85597222222222 9.60061111111111, 78.85602777777777 9.597916666666666)"
