S. No ,Tower No,Joint Box,Supspension/ Tension,Tower Type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
36,35,,T,DC,26,34-35,259.9461483,2.09,88,"18°16'11""",9.331842866,77.76006421,GOOD,Available,HT-1,RIVER,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7600642107427 9.33184286579489, 77.7613157127052 9.33020688593387)"
37,36,,S,DA,26,35-36,227.4225143,1.88,87,,9.330206886,77.76131571,GOOD,Available,HT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7613157127052 9.33020688593387, 77.7622786257416 9.32888933457434)"
38,37,,T,DC,26,36-37,180.2054383,1.61,85,"24°50'45""",9.328889335,77.76227863,GOOD,Available,LT-1,DRAIN,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7622786257416 9.32888933457434, 77.7642351295799 9.32783505879342)"
39,38,,T,DB,24,37-38,244.705946,1.46,84,"12°46'34""",9.327835059,77.76423513,GOOD,Available,"LT-1 , HT-2",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7642351295799 9.32783505879342, 77.7662319503724 9.32727749459445)"
40,39,,T,DB,24,38-39,228.035085,2.43,89,"14°54'51""",9.327277495,77.76623195,GOOD,Available,"LT-1 , HT-1","ROAD-1 , MUD ROAD-1",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7662319503724 9.32727749459445, 77.7677598875015 9.32725653983652)"
41,40,,T,DD,28,39-40,168.0029762,2.17,86,"63°41'32""",9.32725654,77.76775989,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7677598875015 9.32725653983652, 77.7684311103075 9.32585994713008)"
42,41,,T,DB,24,40-41,171.2921481,2.44,86,"3°53'56""",9.325859947,77.76843111,GOOD,Available,HT-1,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7684311103075 9.32585994713008, 77.7685648854821 9.32552458718419)"
43,GT 110KV VEMBAKOTTAI SS,2W,T,GT,15,41-GT,39.92492956,,86,,9.325524587,77.76856489,GOOD,No E/W,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
