SL.NO,TOWER NO,TOWER S / T,DEVIATION OF  ANGLE ,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESIDENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA  (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
15,13,S,,GC,23.62,T12-T13,282,ABOVE 200,72,8.883885703859931,77.74783652018267,AVAILABLE,LT LINE-3NOS,,AGRI LAND,"DC LINE,3 NOS LT LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.74783652018267 8.883885703859931, 77.74548322045428 8.883380939842846)"
16,14,T,"51°13'19.4""LT",KC,24,T13-T14,264.99289017816676,ABOVE 200,71,8.883380939842846,77.74548322045428,AVAILABLE,LT LINE ,,AGRI LAND,"DC LINE,LT LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.74548322045428 8.883380939842846, 77.74420682369625 8.880912465206453)"
17,15,S,,GCR,23.62,T14-T15,317,ABOVE 200,70,8.880912465206453,77.74420682369625,AVAILABLE,"33KV LINE,LT LINE",ODAI (NALA),AGRI LAND,"DC LINE,33 KV LINE,LT LINE , ODAI(NALA),AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.74420682369625 8.880912465206453, 77.74292171301494 8.878440991239914)"
18,16,S,,GCR,26.62,T15-T16,307.9607829269853,ABOVE 200,70,8.878440991239914,77.74292171301494,AVAILABLE,11KV LINE,ROAD,AGRI LAND,"DC LINE,11 KV LINE, ROAD CROSSING,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.74292171301494 8.878440991239914, 77.74167012101577 8.876039400471017)"
19,17,S,,GCR,23.62,T16-T17,309,ABOVE 200,70,8.876039400471017,77.74167012101577,AVAILABLE,11KV LINE,,AGRI LAND,"DC LINE,11 KV LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.74167012101577 8.876039400471017, 77.74043497003413 8.87371430684067)"
20,18,S,,GCR,23.62,T17-T18,286,ABOVE 200,69,8.87371430684067,77.74043497003413,AVAILABLE,LT LINE,,AGRI LAND,"DC LINE,LT LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.74043497003413 8.87371430684067, 77.73919008614266 8.871285849687704)"
21,19,T,"25°48'38.9""RT",HCR,21.94,T18-T19,310,ABOVE 200,69,8.871285849687704,77.73919008614266,AVAILABLE,"LT LINE,11KV LINE-2NOS",,AGRI LAND,"DC LINE,LT LINE,2 NOS 11 KV LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.73919008614266 8.871285849687704, 77.73712679461457 8.869762756126123)"
22,20,S,,GCR,23.62,T19-T20,287,ABOVE 200,68,8.869762756126123,77.73712679461457,AVAILABLE,,FENCING-2NOS,AGRI LAND,"DC LINE,2 FENCEING,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.73712679461457 8.869762756126123, 77.73518822705243 8.86821280666985)"
23,21,S,,GCR,23.62,T20-T21,277,ABOVE 200,70,8.86821280666985,77.73518822705243,AVAILABLE,LT LINE,FENCING-2NOS,AGRI LAND,"DC LINE,LT LINE,2NOS  FENCING,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.73518822705243 8.86821280666985, 77.7330300613424 8.866612845730671)"
24,22,S,,GCR,23.62,T21-T22,300,ABOVE 200,71,8.866612845730671,77.7330300613424,AVAILABLE,LT LINE,FENCING-2NOS,AGRI LAND,"DC LINE,LT,2 FENCE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7330300613424 8.866612845730671, 77.73083836027914 8.865067866429062)"
25,23,S,,GCR,23.62,T22-T23,295.71499909364263,ABOVE 200,71,8.865067866429062,77.73083836027914,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.73083836027914 8.865067866429062, 77.72872846883298 8.863472854706727)"
26,24,S,,GCR,23.62,T23-T24,295,ABOVE 200,72,8.863472854706727,77.72872846883298,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72872846883298 8.863472854706727, 77.72662662160992 8.861927858292116)"
27,25,T,"0°47'42.2""RT",HCR,21.94,T24-T25,287.70401635183225,ABOVE 200,74,8.861927858292116,77.72662662160992,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72662662160992 8.861927858292116, 77.72461496667289 8.860429891165548)"
28,26,S,,GCR,23.62,T25-T26,276.63149402958715,ABOVE 200,73,8.860429891165548,77.72461496667289,AVAILABLE,,,HILLS AREA,"DC LINE,HILL AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72461496667289 8.860429891165548, 77.72251848364935 8.85895643585045)"
29,27,S,,GCR,26.62,T26-T27,282.5873508350868,ABOVE 200,72,8.85895643585045,77.72251848364935,AVAILABLE,,ROAD,HILLS AREA,"DC LINE,ROAD CROSSING,HILLS AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72251848364935 8.85895643585045, 77.72055174856322 8.857531665207759)"
30,28,S,,GCR,23.62,T27-T28,271,ABOVE 200,71,8.857531665207759,77.72055174856322,AVAILABLE,,,HILLS AREA,"DC LINE,HILLS AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72055174856322 8.857531665207759, 77.718478399954 8.856049921464805)"
31,29,S,,GCR,23.62,T28-T29,281.04629909852474,ABOVE 200,70,8.856049921464805,77.718478399954,AVAILABLE,,,HILLS AREA,"DC LINE,HILLS AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.718478399954 8.856049921464805, 77.71644997963767 8.854533381530922)"
32,30,S,,GCR,23.62,T29-T30,281,ABOVE 200,75,8.854533381530922,77.71644997963767,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71644997963767 8.854533381530922, 77.71440178318676 8.853081762420361)"
33,31,T,"0°11'39.6""RT",HCR,21.94,T30-T31,281,ABOVE 200,73,8.853081762420361,77.71440178318676,AVAILABLE,LT LINE,"POND,",AGRI LAND,"DC LINE,LT LINE,POND ,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71440178318676 8.853081762420361, 77.71230496870086 8.851643392543266)"
34,32,S,,GCR,23.62,T31-T32,285,ABOVE 200,72,8.851643392543266,77.71230496870086,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71230496870086 8.851643392543266, 77.71026346621619 8.850180171864453)"
35,33,S,,GCR,23.62,T32-T33,270,ABOVE 200,69,8.850180171864453,77.71026346621619,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71026346621619 8.850180171864453, 77.70810998854405 8.848548658844898)"
36,34,S,,GCR,26.62,T33-T34,304,ABOVE 200,68,8.848548658844898,77.70810998854405,AVAILABLE,LT LINE-2NOS,ROAD,AGRI LAND,"DC LINE,2 NOS LT LINE,ROAD ,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.70810998854405 8.848548658844898, 77.70603999955767 8.847138758228937)"
37,35,S,,GCR,23.62,T34-T35,283,ABOVE 200,67,8.847138758228937,77.70603999955767,AVAILABLE,,ODAI (NALA),AGRI LAND,"DC LINE,ODAI(NALA),AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.70603999955767 8.847138758228937, 77.70394653524028 8.84560362599203)"
38,36,S,,GCR,23.62,T35-T36,286.315918596952,ABOVE 200,66,8.84560362599203,77.70394653524028,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.70394653524028 8.84560362599203, 77.70192816481389 8.84411884782662)"
39,37,T,"10°25'48.0""RT",KCR,21.94,T36-T37,282,ABOVE 200,65,8.84411884782662,77.70192816481389,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.70192816481389 8.84411884782662, 77.70002983671496 8.843245287204358)"
40,38,S,,GCR,23.62,T37-T38,234,ABOVE 200,64,8.843245287204358,77.70002983671496,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.70002983671496 8.843245287204358, 77.69806846804741 8.842310439280995)"
41,39,S,,GCR,23.62,T38-T39,239.42302494118744,ABOVE 200,63,8.842310439280995,77.69806846804741,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.69806846804741 8.842310439280995, 77.69611984247332 8.841400433064985)"
42,40,S,,GCR,23.62,T39-T40,247,ABOVE 200,61,8.841400433064985,77.69611984247332,AVAILABLE,33KV LINE,,AGRI LAND,"DC LINE,33 KV LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.69611984247332 8.841400433064985, 77.69420340881604 8.840453984854236)"
43,41,S,,GCR,23.62,T40-T41,233,ABOVE 200,60,8.840453984854236,77.69420340881604,AVAILABLE,LT LINE,,AGRI LAND,"DC LINE,LT LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.69420340881604 8.840453984854236, 77.69232317965681 8.839590679048325)"
44,42,S,,GCR,23.62,T41-T42,240,ABOVE 200,60,8.839590679048325,77.69232317965681,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.69232317965681 8.839590679048325, 77.69039835639616 8.838669077673742)"
45,43,T,"22°9'22.6""LT",HCR,21.94,T42-T43,255,ABOVE 200,59,8.838669077673742,77.69039835639616,AVAILABLE,,POND,WATER LOGGED AREA,"DC LINE,POND AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.69039835639616 8.838669077673742, 77.68865157005835 8.836807246626632)"
46,44,S,,GCR,23.62,T43-T44,278,ABOVE 200,58,8.836807246626632,77.68865157005835,AVAILABLE,LT LINE,,PLAIN LAND,"DC LINE  LT LINE, PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.68865157005835 8.836807246626632, 77.6871941264513 8.834863562620809)"
47,45,S,,GCR,26.62,T44-T45,291,ABOVE 200,57,8.834863562620809,77.6871941264513,AVAILABLE,"LT LINE,33KV LINE",ROAD,AGRI LAND,"DC LINE  LT LINE, 33KV LINE, ROAD AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6871941264513 8.834863562620809, 77.68517442350718 8.832983500822285)"
48,46 ( LILO ),T,"32°38'16.7""RT",KCR,24,T45-T46,288,ABOVE 200,56,8.832983500822285,77.68517442350718,AVAILABLE,,POND,WATER LOGGED AREA,"DC LINE  (LILO ON MANUR SC LINE) WATER LOGGED AREA,   POND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.68517442350718 8.832983500822285, 77.68260714758225 8.832317796643428)"
49,47,S,,GCR,23.62,T46-T47,288,ABOVE 200,59,8.832317796643428,77.68260714758225,AVAILABLE,,,WATER LOGGED AREA,WATER LOGGED AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.68260714758225 8.832317796643428, 77.68031351120062 8.831710801189654)"
50,48,S,,GCR,23.62,T47-T48,270,ABOVE 200,58,8.831710801189654,77.68031351120062,AVAILABLE,,,WATER LOGGED AREA,WATER LOGGED AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.68031351120062 8.831710801189654, 77.67797406778502 8.831049903576691)"
51,49,S,,GCR,23.62,T48-T49,268,ABOVE 200,57,8.831049903576691,77.67797406778502,AVAILABLE,,,WATER LOGGED AREA,WATER LOGGED AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67797406778502 8.831049903576691, 77.67565659833272 8.830443668984788)"
52,50,S,"2°56'17.6""RT",HCR,23.62,T49-T50,284,ABOVE 200,53,8.830443668984788,77.67565659833272,AVAILABLE,,,PLAIN LAND,DC LINE:plain land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.67565659833272 8.830443668984788, 77.6730679348953 8.829717185975188)"
53,51,S,,GCR,23.62,T50-T51,299,ABOVE 200,52,8.829717185975188,77.6730679348953,AVAILABLE,,,PLAIN LAND,DC LINE:plain land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6730679348953 8.829717185975188, 77.6706801018099 8.829136809140431)"
54,52,S,,GCR,23.62,T51-T52,273,ABOVE 200,54,8.829136809140431,77.6706801018099,AVAILABLE,,,PLAIN LAND,DC LINE:plain land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6706801018099 8.829136809140431, 77.66787853081755 8.828569687457462)"
55,53,T,"2°56'17.6""RT",HCR,21.94,T52-T53,273,ABOVE 200,55,8.828569687457462,77.66787853081755,AVAILABLE,,,WATER LOGGED AREA,DC LINE:water logged area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66787853081755 8.828569687457462, 77.66573309715969 8.828149320047501)"
56,54,S,,GCR,23.62,T53-T54,282,ABOVE 200,56,8.828149320047501,77.66573309715969,AVAILABLE,,,AGRI LAND,DC LINE: agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66573309715969 8.828149320047501, 77.66313235901833 8.827527857132367)"
57,55,S,,GCR,23.62,T54-T55,294,ABOVE 200,58,8.827527857132367,77.66313235901833,AVAILABLE,11KV LINE,,AGRI LAND,"DC LINE:agri land,11kv line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66313235901833 8.827527857132367, 77.66048066265878 8.827076356236548)"
58,56,S,,GCR,23.62,T55-T56,296,ABOVE 200,54,8.827076356236548,77.66048066265878,AVAILABLE,,,PLAIN LAND,SDC LINE: plain land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.66048066265878 8.827076356236548, 77.65779845850918 8.826412492637314)"
59,57,S,,GCR,26.62,T56-T57,297,ABOVE 200,52,8.826412492637314,77.65779845850918,AVAILABLE,11KV LINE,ROAD,PLAIN LAND,"DC LINE: lt line, 11kv  line, Road (sankarankoil), plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65779845850918 8.826412492637314, 77.65541397267175 8.826148831061309)"
60,58,T,"56°50'2.8""LT",KCR+3,21.94,T57-T58,298,ABOVE 200,50,8.826148831061309,77.65541397267175,AVAILABLE,,,AGRI LAND,DC LINE:agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65541397267175 8.826148831061309, 77.653862981309 8.823184339010696)"
61,59,T,,GCR+3,24,T58-T59,370,ABOVE 200,51,8.823184339010696,77.653862981309,AVAILABLE,,,AGRI LAND,DC LINE:agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.653862981309 8.823184339010696, 77.6528333498095 8.82100634000268)"
62,60,S,,GCR,23.62,T59-T60,271,ABOVE 200,56,8.82100634000268,77.6528333498095,AVAILABLE,,,PLAIN LAND,DC LINE:plain land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6528333498095 8.82100634000268, 77.6518664160056 8.8191695814155)"
63,61,S,,GCR,23.62,T60-T61,248,ABOVE 200,58,8.8191695814155,77.6518664160056,AVAILABLE,,,PLAIN LAND,DC LINE:plain land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6518664160056 8.8191695814155, 77.651295 8.818135)"
64,61A (LILO ),T ,,KC,24,T61-T61A,167,ABOVE 200,,8.818135,77.651295,,,,,LILO ( ON RASTHA DC LINE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.651295 8.818135, 77.65088539369592 8.817028326842555)"
65,62,T,"3°19'16.3""RT",HCR+3,24.94,T61-T62,110,ABOVE 200,59,8.817028326842555,77.65088539369592,AVAILABLE,11KV LINE,ROAD,PLAIN LAND,DC LINE: 11kv line1 road 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65088539369592 8.817028326842555, 77.64933306731555 8.814829765916139)"
66,63,S,,GCR,26.62,T62-T63,285,ABOVE 200,60,8.814829765916139,77.64933306731555,AVAILABLE,,ROAD,PLAIN LAND,"DC LINE: Road, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64933306731555 8.814829765916139, 77.6478508090358 8.812751127885495)"
67,64,T,"4°32'51.9""RT",HCR,21.94,T63-T64,287,ABOVE 200,61,8.812751127885495,77.6478508090358,AVAILABLE,,,PLAIN LAND,DC LINE:plain land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6478508090358 8.812751127885495, 77.64654289654098 8.810819905574945)"
68,65,S,,GCR,23.62,T64-T65,277,ABOVE 200,62,8.810819905574945,77.64654289654098,AVAILABLE,,,PLAIN LAND,DC LINE:plain land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64654289654098 8.810819905574945, 77.64508947659584 8.808663045184572)"
69,66,T,"41°18'36.6""RT",KCR,21.94,T65-T66,292,ABOVE 200,62,8.808663045184572,77.64508947659584,NOT AVAILABLE,400KV LINE,,PLAIN LAND,"DC LINE: 400kv dc line,earth wire no, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64508947659584 8.808663045184572, 77.64308754249693 8.80820156224648)"
70,67,S,,GCR,24,T66-T67,244,ABOVE 200,61,8.80820156224648,77.64308754249693,AVAILABLE,,,PLAIN LAND,DC LINE: plain land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64308754249693 8.80820156224648, 77.64062058372636 8.807543289495856)"
71,68,S,,GCR,26.62,T67-T68,291,ABOVE 200,60,8.807543289495856,77.64062058372636,AVAILABLE,LT LINE,ROAD,PLAIN LAND,"DC LINE:Lt  line,Road, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64062058372636 8.807543289495856, 77.63974015038491 8.807299786111798)"
72,69,S,,GCR,23.62,T68-T69,100.60109137582008,ABOVE 200,60,8.807299786111798,77.63974015038491,AVAILABLE,,,PLAIN LAND,DC LINE:plain  land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63974015038491 8.807299786111798, 77.63838596405299 8.806894286057188)"
73,70,S,,HCR,23.62,T69-T70,155.6868448938373,ABOVE 200,59,8.806894286057188,77.63838596405299,NOT AVAILABLE,110KV LINE,,PLAIN LAND,"DC LINE: 110kv line  dc on top  on our tower earth wire not available, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63838596405299 8.806894286057188, 77.63598069392096 8.806302599114966)"
74,71,T,"0°38'55.1""RT",HCR,21.94,T70-T71,282,ABOVE 200,59,8.806302599114966,77.63598069392096,AVAILABLE,400KV LINE,,PLAIN LAND,DC LINE 400KV dc line CROSSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63598069392096 8.806302599114966, 77.63360795023887 8.805751002440635)"
75,72,S,,GCR,26.62,T71-T72,281,ABOVE 200,58,8.805751002440635,77.63360795023887,AVAILABLE,"400KV LINE,LT LINE",ROAD,PLAIN LAND,"t16s sc 400kv  line ,sc line crossing, road, lt line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63360795023887 8.805751002440635, 77.63119429077335 8.80510630667647)"
76,73,S,,GCR,23.62,T72-T73,277,ABOVE 200,58,8.80510630667647,77.63119429077335,AVAILABLE,,,PLAIN LAND,DC LINE:plain area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63119429077335 8.80510630667647, 77.62882691027123 8.804497719501796)"
