S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
23,15,S,SA,21,14-15,280.2343135000259,0.96,"=IF(H28>15,0)",338.913361,,9.948527777777779,77.39480555555556,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39480555555556 9.948527777777779, 77.39244444444445 9.948444444444444)"
24,16,S,SA,21,15-16,258.9975265336902,1.16,"=IF(H29>15,0)",339.623321999999,,9.948444444444444,77.39244444444445,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39244444444445 9.948444444444444, 77.39016666666667 9.948361111111112)"
25,17,T,SB,21,16-17,248.68364958663201,2.34,"=IF(H30>15,0)",343.464751999999,"0°14'24""L",9.948361111111112,77.39016666666667,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39016666666667 9.948361111111112, 77.3878888888889 9.948277777777777)"
26,18,S,SA,21,17-18,250.5183545723938,1.22,"=IF(H31>15,0)",347.349396,,9.948277777777777,77.3878888888889,GOOD,Available,"11KV , LT",,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3878888888889 9.948277777777777, 77.38558333333334 9.948194444444445)"
27,19,S,SA,21,18-19,252.47768117153672,0.96,"=IF(H32>15,0)",350.381256,,9.948194444444445,77.38558333333334,GOOD,Available,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38558333333334 9.948194444444445, 77.38302777777777 9.948083333333333)"
28,20,S,SA,21,19-20,281.2555747748414,0.28,"=IF(H33>15,0)",358.519745,,9.948083333333333,77.38302777777777,GOOD,Available,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38302777777777 9.948083333333333, 77.38047222222221 9.947972222222223)"
29,21,S,SA,21,20-21,280.628122596161,0.56,"=IF(H34>15,0)",361.855835,,9.947972222222223,77.38047222222221,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.38047222222221 9.947972222222223, 77.37791666666666 9.947888888888889)"
30,22,S,SA,21,21-22,282.21441361212237,1.47,"=IF(H35>15,0)",367.697968,,9.947888888888889,77.37791666666666,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37791666666666 9.947888888888889, 77.37544444444444 9.947777777777778)"
31,23,S,SA,21,22-23,269.440287004313,0.31,"=IF(H36>15,0)",367.761687999999,,9.947777777777778,77.37544444444444,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37544444444444 9.947777777777778, 77.37291666666665 9.947694444444444)"
32,24,S,SA,21,23-24,279.22468266722564,1.42,"=IF(H37>15,0)",372.157349,,9.947694444444444,77.37291666666665,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37291666666665 9.947694444444444, 77.37063888888888 9.947611111111112)"
33,25,T,SB,21,24-25,248.61718069366725,0.67,"=IF(H38>15,0)",370.844177,"25°17'60""R",9.947611111111112,77.37063888888888,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37063888888888 9.947611111111112, 77.36852777777777 9.946555555555555)"
34,26,S,SA,21,25-26,258.9664304999427,1.25,"=IF(H39>15,0)",368.957123,,9.946555555555555,77.36852777777777,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36852777777777 9.946555555555555, 77.36613888888888 9.945388888888889)"
35,27,S,SA,21,26-27,291.92643174479446,0.57,"=IF(H40>15,0)",368.047240999999,,9.945388888888889,77.36613888888888,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36613888888888 9.945388888888889, 77.36377777777777 9.944222222222223)"
36,28,S,SA,21,27-28,290.3537791421555,0.31,"=IF(H41>15,0)",368.405548,,9.944222222222223,77.36377777777777,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36377777777777 9.944222222222223, 77.36141666666666 9.943027777777777)"
37,29,S,SA,21,28-29,289.646512252697,0.47,"=IF(H42>15,0)",370.620147999999,,9.943027777777777,77.36141666666666,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.36141666666666 9.943027777777777, 77.35908333333333 9.94186111111111)"
38,30,S,SA,21,29-30,287.6037745757476,0.36,"=IF(H43>15,0)",369.853271,,9.94186111111111,77.35908333333333,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35908333333333 9.94186111111111, 77.35677777777778 9.940694444444444)"
39,31,T,SB,21,30-31,283.7824854896718,0.28,"=IF(H44>15,0)",373.135253999999,"17°18'36""L",9.940694444444444,77.35677777777778,GOOD,Available,11 KV,Devaram Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35677777777778 9.940694444444444, 77.35422222222222 9.94025)"
40,32,S,SA,21,31-32,286.04003243069684,0.32,"=IF(H45>15,0)",368.491607999999,,9.94025,77.35422222222222,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.35422222222222 9.94025, 77.3518611111111 9.939833333333334)"
41,33,S,SA,21,32-33,261.4882114515196,0.3,"=IF(H46>15,0)",366.968932999999,,9.939833333333334,77.3518611111111,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3518611111111 9.939833333333334, 77.34966666666666 9.939444444444444)"
42,34,S,SA,21,33-34,244.81266307237163,0.89,"=IF(H47>15,0)",367.229218,,9.939444444444444,77.34966666666666,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34966666666666 9.939444444444444, 77.34724999999999 9.939)"
43,35,S,SA,21,34-35,270.9355769593518,0.38,"=IF(H48>15,0)",368.421417,,9.939,77.34724999999999,GOOD,Available,11 KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34724999999999 9.939, 77.3448611111111 9.938611111111111)"
44,36,S,SA,21,35-36,263.2884426612095,0.45,"=IF(H49>15,0)",372.055236999999,,9.938611111111111,77.3448611111111,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3448611111111 9.938611111111111, 77.34255555555555 9.938222222222223)"
45,37,S,SA,21,36-37,258.14146116538956,0.3,"=IF(H50>15,0)",375.060577,,9.938222222222223,77.34255555555555,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34255555555555 9.938222222222223, 77.34019444444444 9.937805555555556)"
46,38,S,SA,21,37-38,263.3808652189609,1.03,"=IF(H51>15,0)",376.010497999999,,9.937805555555556,77.34019444444444,GOOD,Available,"33 KV,11KV",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.34019444444444 9.937805555555556, 77.33816666666667 9.937444444444445)"
47,39,S,SA,21,38-39,226.55659487368933,0.22,"=IF(H52>15,0)",377.38443,,9.937444444444445,77.33816666666667,GOOD,Available,2-33KV,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33816666666667 9.937444444444445, 77.336 9.937111111111111)"
48,40,T,SB,21,39-40,238.7395098366064,2.26,"=IF(H53>15,0)",378.356841999999,"13°25'12""R",9.937111111111111,77.336,GOOD,Available,3-22KV,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.336 9.937111111111111, 77.33452777777778 9.936472222222223)"
49,41,T,SB,21,40-41,176.05975814121106,0.22,"=IF(H54>15,0)",379.601775999999,"29°13'48""L",9.936472222222223,77.33452777777778,GOOD,NO E/W,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33452777777778 9.936472222222223, 77.33352777777777 9.936583333333333)"
50,42,T,SB,21,41-42,111.9982013254667,NIL,"=IF(H55>15,0)",383.582274999999,"1°27'36""L",9.936583333333333,77.33352777777777,GOOD,Available,2-LT,Bodi Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.33352777777777 9.936583333333333, 77.33330555555555 9.93661111111111)"
51,Gantry,Gantry,H-Pole,12,42-Gantry,22.79998666153631,NIL,"=IF(H56>15,0)",382.430695,,9.93661111111111,77.33330555555555,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G6:G56),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note :,1.  Shut down will be required in where earth wires are missing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
