S. No ,Tower No,Supspension/Tenion,Tower type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,10,T,DD+0,25,9-10,169,0.68,305.474700999999,60°11'49''RT,9.99911,77.5435,GOOD,Available,,Railway Crossing,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5435 9.99911, 77.5448 9.99946)"
12,11,T,DC+0,25,10-11,156,0.79,307.021545,16°53'30''RT,9.99946,77.5448,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5448 9.99946, 77.5472 9.99935)"
13,12,T,DC+0,25,11-12,257,2.33,308.344390999999,35°41'60''LT,9.99935,77.5472,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5472 9.99935, 77.5493 10.0007)"
14,13,S,DA+0,28,12-13,281,0.18,310.690338,0°0'6''LT,10.0007,77.5493,GOOD,Available,,Near Highway,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5493 10.0007, 77.5514 10.0021)"
15,14,T,DC+0,25,13-14,273,0.16,309.899109,15°17'36''RT,10.0021,77.5514,GOOD,Available,,Near Highway,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5514 10.0021, 77.5528 10.0025)"
16,15,T,DC+0,25,14-15,166,5.65,309.282166,22°8'30''LT,10.0025,77.5528,GOOD,Available,,Near Highway,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5528 10.0025, 77.5545 10.004)"
17,16,T,DC+0,25,15-16,255,1.22,308.507659999999,18°18'18''LT,10.004,77.5545,GOOD,Available,LT,SH highway crossing,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5545 10.004, 77.5552 10.0051)"
18,17,T,DC+0,25,16-17,144,0.2,308.071136,74°7'17''RT,10.0051,77.5552,GOOD,Available,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5552 10.0051, 77.5554 10.005)"
19,Kanavilakku SS,T,Gantry,12,17 - GANTRY,26,,309.565552,,10.005,77.5554,GOOD,No E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Length,,,,,,=SUM(G7:G25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
