SL.NO,TOWER NO,Joint Box,TOWER    T/ S,DEVIATION OF  ANGLE   ,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESIDENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA                          (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
217,217,,S,,GC+3,26.62,T216-T217,231.5145857,35.32,32,8.427048182,77.88168277,AVAILABLE,,CART TRACK,PLAIN LAND,"Dc line    , cart tark , Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.88168277218517 8.427048181989408, 77.8835683655495 8.428215883381652)"
218,218,,S,,GC,23.62,T217-T218,244.7466377,33.48,31,8.428215883,77.88356837,AVAILABLE,LT LINE-3NOS,VILLAGE ROAD-2NOS,PLAIN LAND,"Dc line : 3 NOS LT Line, Chidamparapuram village Road -2nos ,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8835683655495 8.428215883381652, 77.885700387127 8.429576918766054)"
219,219,,S,,GC,23.62,T218-T219,279.1396518,35.61,32,8.429576919,77.88570039,AVAILABLE,,ODAI(NALA),PLAIN LAND,"Dc line , Odai( nala) , Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.885700387127 8.429576918766054, 77.88775395208157 8.430856703216037)"
220,220,,S,,GC,23.62,T219-T220,267.0211626,32.38,31,8.430856703,77.88775395,AVAILABLE,LT LINE,,PLAIN LAND,"Dc line   , LT Line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.88775395208157 8.430856703216037, 77.8896348521438 8.432071158662893)"
221,221,,S,,GC,23.62,T220-T221,247.0843996,48.82,30,8.432071159,77.88963485,AVAILABLE,,"CART TRACK,ODAI(NALA)",PLAIN LAND,"Dc line ,Odai( Nala) , cart tark ,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8896348521438 8.432071158662893, 77.89168809042238 8.4333821020029)"
222,222,,T,"00°00'00""",HC,21.94,T221-T222,268.8363766,37.36,31,8.433382102,77.89168809,AVAILABLE,,,PLAIN LAND,"Dc line    , Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89168809042238 8.4333821020029, 77.8937450052312 8.434699019286013)"
223,223,,S,,GC,23.62,T222-T223,269.5345131,39.97,27,8.434699019,77.89374501,AVAILABLE,LT LINE,,PLAIN LAND,"Dc line    ,11kv Line,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8937450052312 8.434699019286013, 77.89578683460395 8.435953913629973)"
224,224,,S,,GC+3,26.62,T223-T224,264.4674831,37.31,29,8.435953914,77.89578683,AVAILABLE,,,PLAIN LAND,Dc line : Plain land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89578683460395 8.435953913629973, 77.89765868241062 8.437155741532406)"
225,225,,S,,GC+3,26.62,T224-T225,245.4870389,33.73,29,8.437155742,77.89765868,AVAILABLE,11KV LINE,VILLAGE ROAD,PLAIN LAND,"Dc line   ,  11 kv Line , village road , Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89765868241062 8.437155741532406, 77.89959591046131 8.438382772753346)"
226,226,,S,,GC,23.62,T225-T226,253.0598396,38.39,25,8.438382773,77.89959591,AVAILABLE,"11KV LINE-2NOS,LT LINE","VILLAGE ROAD,ODAI(NALA)",PLAIN LAND,"Dc line  , 2nos 11kv Line, LT Line, village road ,Odai(nala) ,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89959591046131 8.438382772753346, 77.90137253547199 8.439486105469785)"
227,227,,T,"01°14'10""LT",HC,21.94,T226-T227,230.7837409,44.69,25,8.439486105,77.90137254,AVAILABLE,,CART TRACK,AGRI LAND,"Dc line : cart tark , Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.90137253547199 8.439486105469785, 77.9030640024284 8.44059970892599)"
228,228,,T,,KC,24,T227-T228,223.5002065,32.92,24,8.440599709,77.903064,AVAILABLE,11KV LINE,,PLAIN LAND,"Dc line   ,  11 kv Line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9030640024284 8.44059970892599, 77.90342073725957 8.440836494535194)"
SATHANKULAM,,2W,,,,,T228-SATHANKULAM,47.25455428,,,8.440836495,77.90342074,AVAILABLE,,,,"Dc line , gantry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
