S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
57, H POLE 4,H POLE,H POLE,15,"=CONCATENATE(B61, "" : "", B62)",68.40838549721228,9.82,26.3296965,2°39'23''RT,8.77429895102977,77.8274967893958,GOOD,NO E/W,230KV DC UP XING,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8274967893958 8.77429895102977, 77.8281575348228 8.77312271855771)"
58,TN - 51,T,SC on DC,25,"=CONCATENATE(B62, "" : "", B63)",151.1454611720694,4.63,25.7734521,1°43'41''LT,8.77312271855771,77.8281575348228,GOOD,OPGW IS NOT AT PEAK,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8281575348228 8.77312271855771, 77.8295083623379 8.77053849399089)"
59,TN - 52,T,SC on DC,25,"=CONCATENATE(B63, "" : "", B64)",324.4068065551898,4.75,25.2172077,0°45'4''RT,8.77053849399089,77.8295083623379,GOOD,OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8295083623379 8.77053849399089, 77.8308985847979 8.7679617293179)"
60,TN - 53,S,SC on DC,26,"=CONCATENATE(B64, "" : "", B65)",325.70403265517035,5.66,28.109476,,8.7679617293179,77.8308985847979,GOOD,OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8308985847979 8.7679617293179, 77.8321336582303 8.76563541591167)"
61,TN - 54,S,SC on DC,26,"=CONCATENATE(B65, "" : "", B66)",293.20569196425004,3.83,27.246119,,8.76563541591167,77.8321336582303,GOOD,OPGW IS NOT AT PEAK,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8321336582303 8.76563541591167, 77.8334631957113 8.76313903369009)"
62,TN - 55,S,SC on DC,26,"=CONCATENATE(B66, "" : "", B67)",314.7103201447062,4.98,30.272999,,8.76313903369009,77.8334631957113,GOOD,OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8334631957113 8.76313903369009, 77.8349472116678 8.76036630012095)"
63,TN - 56,T,SC on DC,25,"=CONCATENATE(B67, "" : "", B68)",349.7054583458478,5.32,26.818712,0°8'7''LT,8.76036630012095,77.8349472116678,GOOD,OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8349472116678 8.76036630012095, 77.8362381923943 8.75794049352407)"
64,TN - 57,S,SC on DC,26,"=CONCATENATE(B68, "" : "", B69)",305.82128177408015,4.93,26.5434,,8.75794049352407,77.8362381923943,GOOD,OPGW,11KV - 2NO,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8362381923943 8.75794049352407, 77.8375209588557 8.75551376491785)"
65,TN - 58,S,SC on DC,26,"=CONCATENATE(B69, "" : "", B70)",305.49014924383096,6.84,26.3296965,,8.75551376491785,77.8375209588557,GOOD,OPGW,11KV - 2NO,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8375209588557 8.75551376491785, 77.8385936748236 8.7535476218909)"
66,TN - 59,S,SC on DC,26,"=CONCATENATE(B70, "" : "", B71)",249.62327078530618,2.65,25.7734521,,8.7535476218909,77.8385936748236,GOOD,OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8385936748236 8.7535476218909, 77.8393839206546 8.75202907249331)"
67,TN - 60,T,SC on DC,25,"=CONCATENATE(B71, "" : "", B72)",191.27806659504523,3.56,25.2172077,4°22'19''RT,8.75202907249331,77.8393839206546,GOOD,OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8393839206546 8.75202907249331, 77.8409137856215 8.74956781044602)"
68,TN - 61,S,SC on DC,26,"=CONCATENATE(B72, "" : "", B73)",322.31786169093635,3.87,28.109476,,8.74956781044602,77.8409137856215,GOOD,OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8409137856215 8.74956781044602, 77.8422237932682 8.74741164967417)"
69,TN - 62,S,SC on DC,26,"=CONCATENATE(B73, "" : "", B74)",280.87608104138695,4.68,27.246119,,8.74741164967417,77.8422237932682,GOOD,OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8422237932682 8.74741164967417, 77.8437787201255 8.74492733739316)"
70,TN - 63,S,SC on DC,26,"=CONCATENATE(B74, "" : "", B75)",325.94283779858245,4.75,30.272999,,8.74492733739316,77.8437787201255,GOOD,OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8437787201255 8.74492733739316, 77.8453636541962 8.74234621413052)"
71,TN - 64,T,SC on DC,25,"=CONCATENATE(B75, "" : "", B76)",336.7993464976696,5.66,26.818712,0°12'15''RT,8.74234621413052,77.8453636541962,GOOD,OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8453636541962 8.74234621413052, 77.8466854803264 8.74021067284047)"
72,TN - 65,S,SC on DC,26,"=CONCATENATE(B76, "" : "", B77)",279.6080027253458,3.82,26.5434,,8.74021067284047,77.8466854803264,GOOD,OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8466854803264 8.74021067284047, 77.8482285887002 8.73770096339285)"
73,TN - 66,S,SC on DC,26,"=CONCATENATE(B77, "" : "", B78)",327.654428032281,4.94,26.3296965,,8.73770096339285,77.8482285887002,GOOD,OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8482285887002 8.73770096339285, 77.849644543603 8.73537582345306)"
74,TN - 67,S,SC on DC,26,"=CONCATENATE(B78, "" : "", B79)",302.92314759485777,5.25,25.7734521,,8.73537582345306,77.849644543603,GOOD,OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.849644543603 8.73537582345306, 77.8511098679155 8.73302360996604)"
75,TN - 68,S,SC on DC,26,"=CONCATENATE(B79, "" : "", B80)",308.32003831300204,4.56,25.2172077,,8.73302360996604,77.8511098679155,GOOD,OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8511098679155 8.73302360996604, 77.851948980242 8.73166096396744)"
76,TN - 69,S,SC on DC,26,"=CONCATENATE(B80, "" : "", B81)",178.88912216055496,2.92,22.175163,,8.73166096396744,77.851948980242,GOOD,OPGW,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.851948980242 8.73166096396744, 77.8533187508583 8.72948292642831)"
