S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length (m),Footing Resistance of Tower ( Ohms),,Ground Elevation (m),Deviation Angle (Degrees),Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,11,,S,DA+0,24,10-Nov,280.598291,0.31,FALSE,291.1628418,,10.48115602,78.07087432,Good,Good,LT,THAR ROAD,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0708743166178 10.4811560176312, 78.0685717239975 10.4823812004178)"
12,12,,T,DB+0,22,11-Dec,290.2601826,6.14,FALSE,282.2706299,28°51'45''LT,10.4823812,78.06857172,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0685717239975 10.4823812004178, 78.0672609619796 10.4843884147703)"
13,13,,S,DA+0,24,Dec-13,269.2442415,6.81,FALSE,281.0689697,,10.48438841,78.06726096,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0672609619796 10.4843884147703, 78.0657782871276 10.4866478405892)"
14,14,2W,T,DB+0,22,13-14,302.9990607,0.14,FALSE,278.1850586,14°57'28''RT,10.48664784,78.06577829,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0657782871276 10.4866478405892, 78.063976932317 10.4882553219795)"
15,15,,S,DA+0,24,14-15,269.9713929,8.66,FALSE,277.9447021,,10.48825532,78.06397693,Good,Good,LT,THAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.063976932317 10.4882553219795, 78.062161328271 10.4898923914879)"
16,16,,S,DA+0,24,15-16,273.338959,0.28,FALSE,279.8673096,,10.48989239,78.06216133,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.062161328271 10.4898923914879, 78.0603674333542 10.491528455168)"
17,17,,T,DD+0,22,16-17,271.5175046,1.06,FALSE,282.2706299,34°28'50''LT,10.49152846,78.06036743,Good,Good,,SOLAR PLANT,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0603674333542 10.491528455168, 78.0597945302724 10.4940122645348)"
18,18,,S,DA+0,24,17-18,287.2010945,7.28,FALSE,279.6270752,,10.49401226,78.05979453,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0597945302724 10.4940122645348, 78.0592378880828 10.4965240694582)"
19,19,,S,DA+0,24,18-19,289.8538827,2.91,FALSE,274.5802002,,10.49652407,78.05923789,Good,Good,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0592378880828 10.4965240694582, 78.058752072975 10.4987597744911)"
20,20,,S,DA+0,24,19-20,258.2101522,3.13,FALSE,269.2930908,,10.49875977,78.05875207,Good,Good,"22KV,2-LT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.058752072975 10.4987597744911, 78.0582178942859 10.5011756904423)"
21,21,,S,DA+0,24,20-21,278.9129114,9.9,0,273.37854,,10.50117569,78.05821789,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0582178942859 10.5011756904423, 78.057668628171 10.503669725731)"
22,22,,T,DC+0,22,21-22,287.7515344,0.15,FALSE,273.37854,24°12'34''RT,10.50366973,78.05766863,Good,Good,"22KV,LT",,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.057668628171 10.503669725731, 78.0568045377731 10.5048251710832)"
23,23,,S,DA+0,22,22-23,163.474234,2.3,FALSE,272.6575928,,10.50482517,78.05680454,Good,Good,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0568045377731 10.5048251710832, 78.0559402797371 10.5059444904327)"
24,24 (110/24),,T,DC+0,22,23-24,160.2669273,4.71,FALSE,266.4089355,19°5'57''RT,10.50594449,78.05594028,Good,Good,3-22KV,THAR ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0559402797371 10.5059444904327, 78.0557536985725 10.5060667824)"
25,ERIYODU GANTRY,2W,T,GANTRY,12,24- GANTRY,28.51600553,NIL,,268.0914307,,10.50606678,78.0557537,NO E/W,Good,,,PLAIN,ERIYODU SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTAL KM,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
