S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
28,26,S,DA+0,24,T25-T26,310,4.1,"=IF(H33>15,0)",221.174019607843,,10.046555555555555,77.50641666666667,Good,Good,,Spining Mill,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50641666666667 10.046555555555555, 77.51025 10.04775)"
29,27,S,DA+0,24,T26-T27,324,4.15,"=IF(H34>15,0)",221.588235294118,,10.04775,77.51025,Good,Good,"Lt,22Kv",Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51025 10.04775, 77.51025833333334 10.047738888888889)"
30,28,T,DC+0,22,T27-T28,224,4.25,"=IF(H35>15,0)",220,"22°34'03"" LT",10.047738888888889,77.51025833333334,,,Lt,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51025833333334 10.047738888888889, 77.51252777777778 10.04961111111111)"
31,29,S,DA+0,24,T28-T29,326,4.57,"=IF(H36>15,0)",222.002450980392,,10.04961111111111,77.51252777777778,Good,Good,Nill,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51252777777778 10.04961111111111, 77.51477777777778 10.051416666666668)"
32,30,S,DA+0,24,T29-T30,325,4.6,"=IF(H37>15,0)",222.416666666667,,10.051416666666668,77.51477777777778,Good,Good,Lt,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51477777777778 10.051416666666668, 77.51680555555555 10.053111111111113)"
33,31,S,DA+0,24,T30-T31,294,3.9,"=IF(H38>15,0)",222.830882352941,,10.053111111111113,77.51680555555555,Good,Good,Lt,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51680555555555 10.053111111111113, 77.51897222222222 10.05488888888889)"
34,32,S,DA+0,24,T31-T32,311,4.1,"=IF(H39>15,0)",223.245098039216,,10.05488888888889,77.51897222222222,Good,Good,"Lt,33Kv",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51897222222222 10.05488888888889, 77.51988333333333 10.055627777777778)"
35,1 LILO MADURAPURI,T,DB+0,22,T32-1 LILO,124,5.21,"=IF(H40>15,0)",235,"2°40'03"" LT",10.055627777777778,77.51988333333333,,,,,,110KV Madurpuri LILO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51988333333333 10.055627777777778, 77.52122222222222 10.056722222222223)"
36,33,S,DA+0,24,1 LILO-T33,219,4.68,"=IF(H41>15,0)",223.65931372549,,10.056722222222223,77.52122222222222,Good,NO E/W ,Lt,Canal,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52122222222222 10.056722222222223, 77.52358333333333 10.058694444444445)"
37,34,S,DA+0,24,T33-T34,344,4.25,"=IF(H42>15,0)",224.073529411765,,10.058694444444445,77.52358333333333,Good,Good,Nill,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52358333333333 10.058694444444445, 77.52575 10.060416666666667)"
38,35,S,DA+0,24,T34-T35,309,3.9,"=IF(H43>15,0)",224.487745098039,,10.060416666666667,77.52575,Good,Good,Nill,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52575 10.060416666666667, 77.52758333333333 10.061944444444444)"
39,36,S,DA+0,24,T35-T36,268,3.5,"=IF(H44>15,0)",224.901960784314,,10.061944444444444,77.52758333333333,Good,Good,Nill,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52758333333333 10.061944444444444, 77.52986111111112 10.063805555555556)"
40,37,S,DA+0,24,T36-T37,326,3.21,"=IF(H45>15,0)",225.316176470588,,10.063805555555556,77.52986111111112,Good,Good,Nill,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.52986111111112 10.063805555555556, 77.53158333333333 10.065166666666668)"
41,38,S,DA+0,24,T37-T38,248,3.1,"=IF(H46>15,0)",225.730392156863,,10.065166666666668,77.53158333333333,Good,Good,Nill,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53158333333333 10.065166666666668, 77.53375 10.066944444444443)"
42,39,S,DA+0,24,T38-T39,313,2.95,"=IF(H47>15,0)",226.144607843137,,10.066944444444443,77.53375,Good,Good,Lt,Mutroad,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53375 10.066944444444443, 77.53611111111111 10.068861111111111)"
43,40,S,DA+0,24,T39-T40,336,2.78,"=IF(H48>15,0)",226.558823529412,,10.068861111111111,77.53611111111111,Good,Good,Lt,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53611111111111 10.068861111111111, 77.53794444444445 10.070388888888889)"
44,41,S,DA+0,24,T40-T41,269,3.1,"=IF(H49>15,0)",226.973039215686,,10.070388888888889,77.53794444444445,Good,Good,Lt,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.53794444444445 10.070388888888889, 77.54030555555555 10.072305555555555)"
45,42,S,DA+0,24,T41-T42,339,2.56,"=IF(H50>15,0)",227.387254901961,,10.072305555555555,77.54030555555555,Good,Good,Nill,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54030555555555 10.072305555555555, 77.54222222222222 10.073888888888888)"
46,43,S,DA+0,24,T42-T43,279,2.68,"=IF(H51>15,0)",227.801470588235,,10.073888888888888,77.54222222222222,Good,Good,Nill,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54222222222222 10.073888888888888, 77.54419444444444 10.0755)"
47,44,S,DA+0,24,T43-T44,283,2.96,"=IF(H52>15,0)",228.21568627451,,10.0755,77.54419444444444,Good,Good,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54419444444444 10.0755, 77.54636111111111 10.07725)"
48,45,S,DA+0,24,T44-T45,310,3.14,"=IF(H53>15,0)",228.629901960784,,10.07725,77.54636111111111,Good,Good,Lt,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54636111111111 10.07725, 77.54830555555556 10.078833333333334)"
49,46,S,DA+0,24,T45-T46,280,2.66,"=IF(H54>15,0)",229.044117647059,,10.078833333333334,77.54830555555556,Good,Good,Lt,"Nala,Mautroad",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54830555555556 10.078833333333334, 77.55038888888889 10.080555555555556)"
50,47,S,DA+0,24,T46-T47,301,2.95,"=IF(H55>15,0)",229.458333333333,,10.080555555555556,77.55038888888889,Good,Good,33Kv,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55038888888889 10.080555555555556, 77.55227777777777 10.082138888888888)"
51,48,S,DA+0,24,T47-T48,276,2.64,"=IF(H56>15,0)",229.872549019608,,10.082138888888888,77.55227777777777,Good,Good,Nill,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55227777777777 10.082138888888888, 77.55375 10.083333333333334)"
52,49,T,DB+0,22,T48-T49,215,2.56,"=IF(H57>15,0)",230.286764705882,"15°03'12"" RT",10.083333333333334,77.55375,Good,Good,Nill,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55375 10.083333333333334, 77.55569444444444 10.084194444444446)"
53,50,S,DA+0,24,T49-T50,235,2.48,"=IF(H58>15,0)",230.700980392157,,10.084194444444446,77.55569444444444,Good,Good,,Nala,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55569444444444 10.084194444444446, 77.5585 10.085500000000001)"
54,51,S,DA+0,24,T50-T51,345,3.25,"=IF(H59>15,0)",231.115196078431,,10.085500000000001,77.5585,Good,Good,,FENCE,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5585 10.085500000000001, 77.56030555555556 10.086388888888889)"
55,52,S,DA+0,24,T51-T52,226,3.65,"=IF(H60>15,0)",231.529411764706,,10.086388888888889,77.56030555555556,Good,Good,Nill,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56030555555556 10.086388888888889, 77.56313888888889 10.087583333333335)"
56,53,S,DA+0,24,T52-T53,341,3.14,"=IF(H61>15,0)",231.94362745098,,10.087583333333335,77.56313888888889,Good,Good,Nill,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56313888888889 10.087583333333335, 77.56563888888888 10.088722222222223)"
57,54,S,DA+0,24,T53-T54,306,2.68,"=IF(H62>15,0)",232.357843137255,,10.088722222222223,77.56563888888888,Good,Good,,Nala,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56563888888888 10.088722222222223, 77.56844444444444 10.089972222222222)"
58,55,S,DA+0,24,T54-T55,343,2.7,"=IF(H63>15,0)",232.772058823529,,10.089972222222222,77.56844444444444,Good,Good,110Kv,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56844444444444 10.089972222222222, 77.57111111111111 10.091194444444445)"
59,56 LILO VAIGAI,T,DB+0,22,T55-T56,326,2.89,"=IF(H64>15,0)",233.186274509804,,10.091194444444445,77.57111111111111,Good,Good,,"Road,Palt,110Kv-No;61-62,Our line passing above",Plain,LILO VAIGAI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57111111111111 10.091194444444445, 77.57374999999999 10.09238888888889)"
60,57,S,DA+0,24,T56-T57,322,3.52,"=IF(H65>15,0)",233.600490196078,,10.09238888888889,77.57374999999999,NO E/W,Good,,Fnc,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57374999999999 10.09238888888889, 77.5761111111111 10.093472222222223)"
61,58,S,DA+0,24,T57-T58,290,2.56,"=IF(H66>15,0)",234.014705882353,,10.093472222222223,77.5761111111111,Good,Good,Lt,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5761111111111 10.093472222222223, 77.57872222222223 10.09463888888889)"
62,59,S,DA+0,24,T58-T59,318,2.68,"=IF(H67>15,0)",234.428921568627,,10.09463888888889,77.57872222222223,Good,Good,Lt,Nala,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.57872222222223 10.09463888888889, 77.58141666666667 10.095833333333333)"
63,60,S,DA+0,24,T59-T60,327,2.96,"=IF(H68>15,0)",234.843137254902,,10.095833333333333,77.58141666666667,Good,Good,22KV,Mutroad,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58141666666667 10.095833333333333, 77.58361111111111 10.096861111111112)"
64,61,S,DA+0,24,T60-T61,270,3.14,"=IF(H69>15,0)",235.257352941177,,10.096861111111112,77.58361111111111,Good,Good,Lt,"Road,Fnc",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58361111111111 10.096861111111112, 77.58652777777777 10.098111111111113)"
65,62,S,DA+0,24,T61-T62,374,2.66,"=IF(H70>15,0)",235.671568627451,,10.098111111111113,77.58652777777777,Good,Good,33Kv,Road ,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58652777777777 10.098111111111113, 77.58938888888889 10.099388888888889)"
66,63,S,DA+0,24,T62-T63,347,2.95,"=IF(H71>15,0)",236.085784313726,,10.099388888888889,77.58938888888889,Good,Good,11Kv,Nill,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.58938888888889 10.099388888888889, 77.59197222222221 10.100472222222223)"
67,64,T,DB+0,22,T63-T64,312,2.64,"=IF(H72>15,0)",236.5,"18°41'13"" LT",10.100472222222223,77.59197222222221,Good,Good,River ,Nill,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59197222222221 10.100472222222223, 77.59427777777778 10.1025)"
68,65,S,DA+0,24,T64-T65,342,2.56,"=IF(H73>15,0)",236.914215686275,,10.1025,77.59427777777778,Good,Good,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59427777777778 10.1025, 77.59636111111111 10.104333333333333)"
69,66 LILO PERIYAKULAM,T,DC+0,22,T65-T66,310,2.48,"=IF(H74>15,0)",237.328431372549,"25°41'15"" RT",10.104333333333333,77.59636111111111,Good,Good,"11Kv,33Kv ","110Kv,Sempaty-Periyakulam LILO POINT",Plain,LILO PERIYAKULAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59636111111111 10.104333333333333, 77.59919444444444 10.10511111111111)"
70,67,S,DA+0,24,T66-T67,325,3.32,"=IF(H75>15,0)",237.742647058824,,10.10511111111111,77.59919444444444,NO E/W,Good,11Kv,Nill,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.59919444444444 10.10511111111111, 77.60202777777778 10.105888888888888)"
71,68,S,DA+0,24,T67-T68,327,3.22,"=IF(H76>15,0)",238.156862745098,,10.105888888888888,77.60202777777778,Good,Good,11Kv,Nill,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60202777777778 10.105888888888888, 77.60483333333333 10.10661111111111)"
72,69,S,DA+0,24,T68-T69,324,2.98,"=IF(H77>15,0)",238.571078431373,,10.10661111111111,77.60483333333333,Good,Good,11Kv,Nill,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60483333333333 10.10661111111111, 77.60769444444443 10.107416666666666)"
73,70,S,DA+0,24,T69-T70,328,3.35,"=IF(H78>15,0)",238.985294117647,,10.107416666666666,77.60769444444443,Good,Good,Nill,Nill,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.60769444444443 10.107416666666666, 77.61047222222221 10.108166666666666)"
74,71,S,DA+0,24,T70-T71,321,3.31,"=IF(H79>15,0)",239.399509803922,,10.108166666666666,77.61047222222221,Good,Good,Nill,Nill,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61047222222221 10.108166666666666, 77.61327777777777 10.108916666666666)"
75,72,S,DA+0,24,T71-T72,324,3.23,"=IF(H80>15,0)",239.813725490196,,10.108916666666666,77.61327777777777,Good,Good,11Kv,SH Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61327777777777 10.108916666666666, 77.61583333333333 10.10961111111111)"
76,73,T,DB+0,22,T72-T73,293,3.71,"=IF(H81>15,0)",240.227941176471,"13°05'41"" LT",10.10961111111111,77.61583333333333,Good,Good,33Kv,Nill,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61583333333333 10.10961111111111, 77.61852777777777 10.111055555555556)"
77,74,S,DA+0,24,T73-T74,340,3.42,"=IF(H82>15,0)",240.642156862745,,10.111055555555556,77.61852777777777,Good,Good,Nill,Road ,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.61852777777777 10.111055555555556, 77.62116666666665 10.112416666666666)"
78,75,S,DA+0,24,T74-T75,330,3.13,"=IF(H83>15,0)",241.05637254902,,10.112416666666666,77.62116666666665,Good,Good,"11Kv,LT",Well,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62116666666665 10.112416666666666, 77.62369444444444 10.113777777777777)"
79,76,S,DA+0,24,T75-T76,319,2.97,"=IF(H84>15,0)",241.470588235294,,10.113777777777777,77.62369444444444,Good,Good,Nill,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62369444444444 10.113777777777777, 77.62625 10.11511111111111)"
80,77,T,DA+0,24,T76-T77,322,3.28,"=IF(H85>15,0)",241.884803921569,"05°37'22"" RT",10.11511111111111,77.62625,Good,Good,22Kv,"Canal,Mutroad,Fnc",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62625 10.11511111111111, 77.62880555555554 10.116166666666667)"
81,78,S,DA+0,24,T77-T78,306,3.22,"=IF(H86>15,0)",242.299019607843,,10.116166666666667,77.62880555555554,Good,Good,Lt,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.62880555555554 10.116166666666667, 77.63133333333333 10.11713888888889)"
82,79,S,DA+0,24,T78-T79,304,2.98,"=IF(H87>15,0)",242.713235294118,,10.11713888888889,77.63133333333333,Good,Good,"22KV,Lt","Road,Nala",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63133333333333 10.11713888888889, 77.6341388888889 10.118277777777779)"
83,80,S,DA+0,24,T79-T80,334,3.35,"=IF(H88>15,0)",243.127450980392,,10.118277777777779,77.6341388888889,Good,Good,Lt,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6341388888889 10.118277777777779, 77.63672222222223 10.119333333333334)"
84,81,S,DA+0,24,T80-T81,310,3.31,"=IF(H89>15,0)",243.541666666667,,10.119333333333334,77.63672222222223,Good,Good,Nill,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63672222222223 10.119333333333334, 77.63944444444445 10.120416666666667)"
85,82,S,DA+0,24,T81-T82,326,3.23,"=IF(H90>15,0)",243.955882352941,,10.120416666666667,77.63944444444445,Good,Good,Lt,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.63944444444445 10.120416666666667, 77.64216666666667 10.121500000000001)"
86,83,S,DA+0,24,T82-T83,326,3.71,"=IF(H91>15,0)",244.370098039216,,10.121500000000001,77.64216666666667,Good,Good,"22KV,Lt",,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64216666666667 10.121500000000001, 77.64466666666668 10.122527777777778)"
87,84,S,DA+0,24,T83-T84,302,3.42,"=IF(H92>15,0)",244.78431372549,,10.122527777777778,77.64466666666668,Good,Good,,"Road,Well",Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64466666666668 10.122527777777778, 77.64722222222223 10.123527777777777)"
88,85,S,DA+0,24,T84-T85,305,3.13,"=IF(H93>15,0)",245.198529411765,,10.123527777777777,77.64722222222223,Good,Good,Lt,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64722222222223 10.123527777777777, 77.64980555555556 10.124583333333334)"
