,Tower No,Type,Supspension/ Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts, broken, etc)","Condition of Earht wire (Missing, Broken etc)",GROUND EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/ Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,T.NO-46,DA,S,26,47-46,259.3067681338071,7.21,121,,8.83387077,77.39586682,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39586682 8.83387077, 77.39796669 8.83261016)"
12,T.NO-45,DC,T,26,46-45,269.94073423623934,1.42,119,"28°28'50.21""",8.83261016,77.39796669,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39796669 8.83261016, 77.39891939 8.83099538)"
13,T.NO-44,DA,S,26,45-44,207.17142660125697,5.36,119,,8.83099538,77.39891939,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39891939 8.83099538, 77.39991733 8.8293532)"
14,T.NO-43,DC,T,26,44-43,212.3252222417299,2.38,123,"17°25'55.13""",8.8293532,77.39991733,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.39991733 8.8293532, 77.40152554 8.82794208)"
15,T.NO-42,DA,S,26,43-42,236.02754076590298,5.8,122,,8.82794208,77.40152554,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40152554 8.82794208, 77.40321479 8.826422)"
16,T.NO-41,DA,S,26,42-41,250.7149776140229,16.55,119,,8.826422,77.40321479,GOOD,GOOD,NO,"11KV,2nos LT",TAAR ROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40321479 8.826422, 77.40476857 8.8250293)"
17,T.NO-40,DC,T,26,41-40,230.20208513391012,3.18,117,"26°41'13.83""",8.8250293,77.40476857,GOOD,GOOD,YES,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40476857 8.8250293, 77.40575177 8.8225196)"
18,T.NO-39,DA,S,26,40-39,298.04194335697116,6.63,113,,8.8225196,77.40575177,GOOD,GOOD,YES,,2nos MUDROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40575177 8.8225196, 77.40678936 8.81999148)"
19,T.NO-38,DA,S,26,39-38,302.15393427853957,0.16,112,,8.81999148,77.40678936,GOOD,GOOD,YES,"11KV ,LT","TAAR ROAD,NALA",PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40678936 8.81999148, 77.40781814 8.8175086)"
20,T.NO-37,DA,S,26,38-37,297.1548417912789,4.33,110,,8.8175086,77.40781814,GOOD,GOOD,NO,,"POND, MUDROAD",PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40781814 8.8175086, 77.40872177 8.81534284)"
21,T.NO-36,DA,S,26,37-36,259.46483384073457,0.46,107,,8.81534284,77.40872177,GOOD,GOOD,YES,,NALA,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40872177 8.81534284, 77.40972357 8.81290533)"
22,T.NO-35,DB,T,24,36-35,291.38462553813645,3.06,110,"10°39'54.73""",8.81290533,77.40972357,GOOD,GOOD,YES,2nos LT,TAAR ROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.40972357 8.81290533, 77.41121691 8.81060926)"
23,T.NO-34,DA,S,26,35-34,302.59709185648165,0.9,104,,8.81060926,77.41121691,GOOD,MISSING,NO,LT,MUDROAD,CULTIVATION,EARTH WIRE FALL DOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41121691 8.81060926, 77.41270084 8.80826807)"
24,T.NO-33,DA,S,26,34-33,306.2498979591667,16.01,101,,8.80826807,77.41270084,GOOD,MISSING,NO,,,PLAINLAND,EARTH WIRE FALL DOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41270084 8.80826807, 77.41420305 8.80594483)"
25,T.NO-32,DA,S,26,33-32,305.6550343115585,5.4,96,,8.80594483,77.41420305,GOOD,MISSING,NO,,3nos MUDROAD,PLAINLAND,EARTH WIRE FALL DOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41420305 8.80594483, 77.41566861 8.80357663)"
26,T.NO-31,DA,S,26,32-31,307.7174028227848,0.2,97,,8.80357663,77.41566861,GOOD,MISSING,NO,,,PLAINLAND,EARTH WIRE FALL DOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41566861 8.80357663, 77.41716176 8.80126249)"
27,T.NO-30,DA,S,26,31-30,304.27126055544585,8.62,97,,8.80126249,77.41716176,GOOD,MISSING,NO,LT,MUDROAD,PLAINLAND,EARTH WIRE FALL DOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41716176 8.80126249, 77.41863673 8.79894846)"
28,T.NO-29,DB,T,24,30-29,303.18476215007905,0.94,101,"8°8'53.95""",8.79894846,77.41863673,GOOD,MISSING,NO,,MUDROAD,PLAINLAND,EARTH WIRE FALL DOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.41863673 8.79894846, 77.42038604 8.79691282)"
29,T.NO-28,DA,S,26,29-28,296.33089612796033,4.91,108,,8.79691282,77.42038604,GOOD,GOOD,NO,,2nos TAAR ROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42038604 8.79691282, 77.42220831 8.7949219)"
30,T.NO-27,DA,S,26,28-27,297.9345565724124,1.32,101,,8.7949219,77.42220831,GOOD,GOOD,NO,,MUDROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42220831 8.7949219, 77.42365159 8.79333106)"
31,T.NO-26,DA,S,26,27-26,237.11811402758752,1.16,99,,8.79333106,77.42365159,GOOD,GOOD,NO,,NALA,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42365159 8.79333106, 77.42527684 8.79178424)"
32,T.NO-25,DB,T,24,26-25,247.58836806279893,2.03,132,"14°21'13.14""",8.79178424,77.42527684,GOOD,GOOD,NO,"11KV ,LT",TAAR ROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42527684 8.79178424, 77.42695826 8.78909834)"
33,T.NO-24,DA,S,26,25-24,350.12140751459344,1.87,95,,8.78909834,77.42695826,GOOD,GOOD,YES,,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42695826 8.78909834, 77.4285603 8.78678348)"
34,T.NO-23,DB,T,24,24-23,310.9807067970616,5.06,88,"1°18'8.23""",8.78678348,77.4285603,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4285603 8.78678348, 77.42949674 8.78549413)"
35,T.NO-22,DA,S,26,23-22,176.0113632695344,4.24,86,,8.78549413,77.42949674,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.42949674 8.78549413, 77.43083749 8.78351533)"
36,T.NO-21,DA,S,26,22-21,264.0549185302179,3.17,86,,8.78351533,77.43083749,GOOD,GOOD,NO,"11KV ,LT",TAARROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43083749 8.78351533, 77.43196279 8.78193557)"
37,T.NO-20,DA,S,26,21-20,214.24518664371436,2.13,91,,8.78193557,77.43196279,GOOD,GOOD,NO,,MUDROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43196279 8.78193557, 77.43328588 8.78003823)"
38,T.NO-19,DA,S,26,20-19,255.51907952244974,1.9,91,,8.78003823,77.43328588,GOOD,GOOD,NO,,"TAARROAD, MUDROAD",PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43328588 8.78003823, 77.43460872 8.77810473)"
39,T.NO-18,DC,T,26,19-18,258.8010819142764,0.76,94,"20°30'35.24""",8.77810473,77.43460872,GOOD,GOOD,NO,11KV,MUDROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43460872 8.77810473, 77.4350689 8.77623103)"
40,T.NO-17,DD,T,26,18-17,213.43148783626094,1.43,88,"31°58'26.34""",8.77623103,77.4350689,GOOD,GOOD,NO,"2nos LT,11KV",TAARROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4350689 8.77623103, 77.43424415 8.77374204)"
41,T.NO-16,DD,T,28,17-16,289.99482754007875,0.32,88,"37°37'25.80""",8.77374204,77.43424415,GOOD,GOOD,NO,,"TAARROAD, NALA",PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43424415 8.77374204, 77.43519859 8.77104274)"
42,T.NO-15,DA,S,26,16-15,316.6275414426231,1.43,90,,8.77104274,77.43519859,GOOD,GOOD,NO,,MUDROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43519859 8.77104274, 77.43624299 8.76820731)"
43,T.NO-14,DD,T,28,15-14,334.1526597230673,2.13,85,"58°27'9.73""",8.76820731,77.43624299,GOOD,GOOD,NO,,MUDROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43624299 8.76820731, 77.43856555 8.76774045)"
44,T.NO-13,DA,S,26,14-13,260.83711392361323,3.36,81,,8.76774045,77.43856555,GOOD,GOOD,NO,,MUDROAD,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.43856555 8.76774045, 77.44116948 8.76723561)"
45,T.NO-12,DB,T,24,13-12,292.0359566902678,1.88,81,"11°29'21.73""",8.76723561,77.44116948,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44116948 8.76723561, 77.44272779 8.76659292)"
46,T.NO-11,DA,S,26,12-11,185.69868066305693,3.34,78,,8.76659292,77.44272779,GOOD,GOOD,NO,LT,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44272779 8.76659292, 77.44485725 8.76577483)"
47,T.NO-10,DA,S,26,11-10,251.28867861485523,15.99,84,,8.76577483,77.44485725,GOOD,GOOD,NO,LT,2nos MUD ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44485725 8.76577483, 77.44690489 8.76494821)"
48,T.NO-9,DB,T,26,10-9,243.26117651610582,1.69,80,"12°39'59.07""",8.76494821,77.44690489,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44690489 8.76494821, 77.44896678 8.76352503)"
49,T.NO-8,DA,S,26,9-8,276.2607463973121,4.9,76,,8.76352503,77.44896678,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44896678 8.76352503, 77.45097445 8.76214739)"
50,T.NO-7,DA,S,26,8-7,268.48649872945197,15.86,79,,8.76214739,77.45097445,GOOD,GOOD,NO,,NALA,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45097445 8.76214739, 77.45293686 8.76079714)"
51,T.NO-6,DA,S,26,7-6,262.6651861210389,5.36,75,,8.76079714,77.45293686,GOOD,GOOD,NO,,NALA,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45293686 8.76079714, 77.45493547 8.75942857)"
52,T.NO-5,DD,T,26,6-5,267.0973605260823,3.75,73,"46°19'33.17""",8.75942857,77.45493547,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45493547 8.75942857, 77.45523227 8.75759209)"
53,T.NO-4,DA,S,26,5-4,205.8275977608445,15.32,71,,8.75759209,77.45523227,GOOD,GOOD,NO,,TAAR ROAD,INSIDE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45523227 8.75759209, 77.4554944 8.75600887)"
54,T.NO-3,DC,T,26,4-3,177.55280904564702,3.73,69,"20°40'16.14""",8.75600887,77.4554944,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4554944 8.75600887, 77.45588963 8.75532851)"
55,T.NO-2,DB,T,24,3-2,86.95401083331349,3.25,69,"0°27'41.02""",8.75532851,77.45588963,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45588963 8.75532851, 77.45704813 8.75329664)"
56,T.NO-1,DC,T,26,2-1,258.48984506165806,,74,"26°9'54.18""",8.75329664,77.45704813,GOOD,GOOD,NO,,,PLAINLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45704813 8.75329664, 77.45709723 8.75247394)"
57,T.NO-56 KADAYAM 110KV LILO,DA,T,26,GANTRY-1,91.19758768739445,3.94,87,,8.75247394,77.45709723,GOOD,GOOD,NO,,,PLAINLAND,NEED 3WAY JUNCTION BOX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTAL,=SUM(G7:G62),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTES:(0˚-2˚ A-TYPE , 2˚-15˚ B-TYPE, 15˚-30˚C-TYPE,            30˚< D-TYPE)                                          ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
