SL.NO,TOWER NO,Joint Box,Tower Suspension/ Tension,DEVIATION OF ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER NO,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,11,2W,T,"23°02'35""RT",HC,21.94,T10-T11,242.5991415,2.52,41,8.116622433,77.4466915,GOOD,AVAILABLE,,,FOREST AREA,"Forest area,DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4466915 8.116622433, 77.44918361 8.118885391)"
12,12,,T,"46°18'28""RT",KC+3,27,T11-T12,371.7743966,2.74,34,8.118885391,77.44918361,GOOD,AVAILABLE,LT LINE,ROAD,PLAIN LAND,"Road, Lt Line,DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.44918361 8.118885391, 77.45200261 8.118690512)"
13,13,,T,"13°00'08""RT",HC,21.94,T12-T13,311.5880553,2.46,25,8.118690512,77.45200261,GOOD,AVAILABLE,LT LINE,CART TRACK,PLAIN LAND,"Lt line, cart track, house  crs,DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45200261 8.118690512, 77.45327532 8.118303468)"
14,14,,T,"17°03'10""LT",HC,21.94,T13-T14,146.7261853,2.59,22,8.118303468,77.45327532,GOOD,AVAILABLE,LT LINE -NOS,"MAIN ROAD, ROAD",PLAIN LAND," wood factory ,house, main road , 7Nos Lt Line,Road,DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45327532 8.118303468, 77.45512772 8.118306098)"
15,15,,T,"17°41'15""LT",HC,21.94,T14-T15,204.2587378,2.72,17,8.118306098,77.45512772,GOOD,AVAILABLE,,,WATER LOGGED Area," water logged Area,DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45512772 8.118306098, 77.45739855 8.119031286)"
16,16,,T,"29°08'03""LT",HC,21.94,T15-T16,262.942694,2.89,16,8.119031286,77.45739855,GOOD,AVAILABLE,LT LINE,ROAD,WATER LOGGED Area,"cut point water logged Area, Lt Line,Road,DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45739855 8.119031286, 77.45948128 8.121249427)"
17,17,,T,"36°13'01""LT",KC+3,27,T16-T17,336.1344455,2.49,8,8.121249427,77.45948128,GOOD,AVAILABLE,,,AGRI LAND,"Agri land ,DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45948128 8.121249427, 77.45984237 8.124002306)"
18,18,,S,,GC,23.62,T17-T18,307.2061609,1.53,8,8.124002306,77.45984237,GOOD,AVAILABLE,,,AGRI LAND,"Agri land,DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45984237 8.124002306, 77.46016793 8.12675118)"
19,19,,S,,GC+3,26.62,T18-T19,306.2825851,1.82,9,8.12675118,77.46016793,GOOD,AVAILABLE,11KV LINE,ROAD,AGRI LAND,"agri land, coconut gradan,  Road ,11kv line,DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46016793 8.12675118, 77.46047236 8.129694195)"
20,20,,S,,GC,23.62,T19-T20,327.3795822,1.71,8,8.129694195,77.46047236,GOOD,AVAILABLE,,,PLAIN LAND,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46047236 8.129694195, 77.46082139 8.132317238)"
21,21,2W,T,"12°46'42""LT",HC,21.94,T20-T21,292.7887394,1.38,9,8.132317238,77.46082139,GOOD,AVAILABLE,LT LINE,,"AGRI LAND
"," Agri land ,Road, Lt  Line, coconut gradan, banana gradan ,DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46082139 8.132317238, 77.4605193 8.135139409)"
22,22,,S,,GC,23.62,T21-T22,314.0526869,1.54,9,8.135139409,77.4605193,GOOD,AVAILABLE,,,AGRI LAND,"banana gradan,DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4605193 8.135139409, 77.4602712 8.137463382)"
23,23,,S,,GC,23.62,T22-T23,258.6051598,1.76,9,8.137463382,77.4602712,GOOD,AVAILABLE,,,AGRI LAND," agri land,DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4602712 8.137463382, 77.45994028 8.140603485)"
24,24,,S,,GC,23.62,T23-T24,349.3718882,1.84,10,8.140603485,77.45994028,GOOD,AVAILABLE,,,AGRI LAND," agri land,DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45994028 8.140603485, 77.45967507 8.143374491)"
25,25,,T,"09°49'35""LT",HC,21.94,T24-T25,308.0108237,2.85,8,8.143374491,77.45967507,GOOD,AVAILABLE,,,AGRI LAND,"agri land,DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45967507 8.143374491, 77.45917116 8.145263974)"
26,26,,S,,GC,23.62,T25-T26,216.3327822,1.36,11,8.145263974,77.45917116,GOOD,AVAILABLE,,,AGRI LAND," agri land,DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45917116 8.145263974, 77.458685 8.147183977)"
27,27,,S,,GC+3,26.62,T26-T27,219.1109951,1.84,12,8.147183977,77.458685,GOOD,AVAILABLE,11KV LINE,ROAD,AGRI LAND," agri land, Road , 11kv line,DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.458685 8.147183977, 77.45803423 8.149522828)"
28,28,,S,,GC,23.62,T27-T28,268.5622928,1.9,9,8.149522828,77.45803423,GOOD,AVAILABLE,,,AGRI LAND," agri land,DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45803423 8.149522828, 77.45744549 8.151781014)"
29,29,,S,,GC,23.62,T28-T29,258.167814,1.53,10,8.151781014,77.45744549,GOOD,AVAILABLE,,,AGRI LAND,"agri land,DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45744549 8.151781014, 77.45673504 8.154400607)"
30,30,,S,,GC,23.62,T29-T30,300.261804,1.49,13,8.154400607,77.45673504,GOOD,AVAILABLE,,,AGRI LAND," agri land,DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45673504 8.154400607, 77.45606683 8.156144678)"
31,31,,T,"63°52'20""RT",KC+6,30,T30-T31,206.5700346,2.78,11,8.156144678,77.45606683,GOOD,AVAILABLE,11KV LINE,RAILWAY,AGRI LAND," 11kv line, Railway ,DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45606683 8.156144678, 77.45728388 8.157230912)"
32,32,,T,"63°11'28""LT",KC+6,30,T31-T32,180.1495886,1.76,11,8.157230912,77.45728388,GOOD,AVAILABLE,33KV LINE,BYEPASS ROAD,AGRI LAND," DD wood factory, agri land ,33kv line, thiruvanathapuram Bypass Road,DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45728388 8.157230912, 77.45673202 8.159276975)"
33,33,,T,"14°15'36""LT",HC+3,24.94,T32-T33,234.4355581,2.74,12,8.159276975,77.45673202,GOOD,AVAILABLE,LT LINE,"ROAD, RIVER",AGRI LAND," River, Lt Line, Road , agri land,DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45673202 8.159276975, 77.45533895 8.16175018)"
34,34,,T,"60°11'55""RT",KC+6,30,T33-T34,313.8201973,1.37,10,8.16175018,77.45533895,GOOD,AVAILABLE,,River,WATER LOGGED ,"river ,DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45533895 8.16175018, 77.45615132 8.163102904)"
35,34A,,T,"13°08'07""LT",HC,24,T34-T34A,174.4358351,2.9,11,8.163102904,77.45615132,GOOD,AVAILABLE,,,PLAIN LAND,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45615132 8.163102904, 77.45673872 8.164930214)"
36,35,3W,T,"77°55'05""RT",KC+3 (LILO ),27,T34A-T35,212.3169585,2.82,11,8.164930214,77.45673872,GOOD,AVAILABLE,,,PLAIN LAND,DC LILO on Thengamputhur to Meenatchipuram,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45673872 8.164930214, 77.45712731 8.164891706)"
37,36,,T,"13°17'53""LT",PB,20.85,T35-T36,43.05511772,2.52,11,8.164891706,77.45712731,GOOD,AVAILABLE,,,AGRI LAND,sc line :  agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45712731 8.164891706, 77.45934114 8.165196324)"
38,37,,S,,PA,20.9,T36-T37,246.4010907,1.45,9,8.165196324,77.45934114,GOOD,AVAILABLE,,,AGRI LAND,SC LINE: Agriland ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.45934114 8.165196324, 77.46139236 8.165439553)"
39,38,,S,,PA,20.9,T37-T38,227.752833,1.86,10,8.165439553,77.46139236,GOOD,AVAILABLE,11KV LINE,,AGRI LAND,"SC LINE   Agri land,  1no 11kv line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46139236 8.165439553, 77.46371515 8.165727583)"
40,39,,S,,PA,20.9,T38-T39,258.0746632,1.58,12,8.165727583,77.46371515,GOOD,AVAILABLE,,,AGRI LAND,"SC LINE : , AGRi LAND ,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46371515 8.165727583, 77.46610399 8.166080987)"
41,40,,S,,PA+3,23.9,T39-T40,266.2690353,1.32,11,8.166080987,77.46610399,GOOD,AVAILABLE,11KV LINE-2NOS,RAOD NH66,PLAIN LAND,"SC LINE    ROAD NH 66 , 2nos 11kv line , Road ( suchindram - puthu giramam)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46610399 8.166080987, 77.46850189 8.166407505)"
42,41,2W,T,"03°50'20""LT",PB,20.85,T40-T41,266.8381995,2.33,10,8.166407505,77.46850189,GOOD,AVAILABLE,11KV LINE,,AGRI LAND,"SC LINE  agrei land , 1nos 11kvline",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.46850189 8.166407505, 77.47104931 8.166921864)"
43,42,,T,"77°44'39""RT",PC,21.65,T41-T42,286.5759045,2.53,10,8.166921864,77.47104931,GOOD,AVAILABLE,,ODAI (NALA),AGRI LAND,"SC LINE : ODAI(NALA), AGRi LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47104931 8.166921864, 77.47160554 8.165714493)"
44,43,,S,,PA,20.9,T42-T43,147.0028431,1.93,12,8.165714493,77.47160554,GOOD,AVAILABLE,11KV LINE,ODAI (NALA),AGRI LAND,"SC line: Odai (nala ),1no 11kv line , agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47160554 8.165714493, 77.47258187 8.163451399)"
45,44,,S,,PA,20.9,T43-T44,272.5749705,1.42,11,8.163451399,77.47258187,GOOD,AVAILABLE,11KV LINE,,AGRI LAND,"SCline   1nos 11kv ,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47258187 8.163451399, 77.47343816 8.161502591)"
46,45,2W,T,"64°20'11""LT",PC+3,24.65,T44-T45,235.4038855,2.58,12,8.161502591,77.47343816,GOOD,AVAILABLE,,ODAI (NALA),AGRI LAND,"SC LINE  Agri land , ODAI (NALA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47343816 8.161502591, 77.47565366 8.161404642)"
47,46,,S,,PA,20.9,T45-T46,244.5142595,1.7,10,8.161404642,77.47565366,GOOD,AVAILABLE,11KV LINE,ROAD,AGRI LAND,"SC LINE : agri land , 1no 11kvline , Road ( muthugur to suchindram )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47565366 8.161404642, 77.47683149 8.16136911)"
48,47,,S,,PA,20.9,T46-T47,129.9237562,1.82,11,8.16136911,77.47683149,GOOD,AVAILABLE,,,AGRI LAND,SC LINE  agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47683149 8.16136911, 77.47838449 8.161292085)"
49,48,,S,,PA,20.9,T47-T48,171.4407312,1.73,10,8.161292085,77.47838449,GOOD,AVAILABLE,,POND,WATER LOGGED,"SC LINE MANGO & coconut - garden , waterlogged area , pond ,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.47838449 8.161292085, 77.48053361 8.16126151)"
50,49,,T,"19°54'40""RT",PB+3,23.85,T48-T49,236.9797942,2.84,13,8.16126151,77.48053361,GOOD,AVAILABLE,LT LINE,"ROAD, ODAI (NALA)",AGRI LAND,"SC LINE :  2NOS Lt , nallur road , odai( nala), agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48053361 8.16126151, 77.48274609 8.160374019)"
51,50,,S,,PA,20.9,T49-T50,262.9672642,1.74,11,8.160374019,77.48274609,GOOD,AVAILABLE,,,AGRI LAND,sc line : agri Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48274609 8.160374019, 77.48520601 8.159393267)"
52,51,,T,"18°00'40""LT",PB+3,23.85,T50-T51,292.1303192,2.81,13,8.159393267,77.48520601,GOOD,AVAILABLE,Lt line,"road,pond,bund",PLAIN LAND,"sc line   1no LT Line , pond ,Odai  bund , pond, Road",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48520601 8.159393267, 77.48802468 8.159204032)"
53,52,2W,T,"73°27'10""RT",KC+3 ( LILO),27,T51-T52,311.4861206,2.93,14,8.159204032,77.48802468,GOOD,AVAILABLE,,ODAI (NALA),AGRI LAND,"DC LINE ,  odai( nala) , agri land (LILO on Thengamputhur to Nagercoil )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48802468 8.159204032, 77.48844579 8.157388296)"
54,53,,S,,PA,20.9,T52-T53,206.2152527,1.72,17,8.157388296,77.48844579,GOOD,AVAILABLE,,ODAI (NALA),AGRI LAND,"sc line , ODAI (NALA) , Coconut garden , agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48844579 8.157388296, 77.48900034 8.154887874)"
55,54,,T,"04°31'25""LT",PB,20.85,T53-T54,283.3598278,2.67,14,8.154887874,77.48900034,GOOD,AVAILABLE,,ODAI (NALA),AGRI LAND,"SC LINE :  Odai(nala0 , agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48900034 8.154887874, 77.48978958 8.152331331)"
56,55,,S,,PA,20.9,T54-T55,295.9758429,1.59,15,8.152331331,77.48978958,GOOD,AVAILABLE,,"ODAI (NALA), Road",AGRI LAND,"SC LINE  ODAI (NALA) , ROAD ( MAGILADI- suchindram ) agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48978958 8.152331331, 77.49054193 8.149930773)"
57,56,,T,"12°19'34""RT",PB,20.85,T55-T56,278.2855191,2.76,14,8.149930773,77.49054193,GOOD,AVAILABLE,,,AGRI LAND,SC line .agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49054193 8.149930773, 77.49072332 8.147642714)"
58,57,,S,,PA,20.9,T56-T57,253.9748572,1.84,11,8.147642714,77.49072332,GOOD,AVAILABLE,,,AGRI LAND,"SC line,.agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49072332 8.147642714, 77.49104619 8.144502668)"
59,58,,S,,PA,20.9,T57-T58,349.2820025,1.91,12,8.144502668,77.49104619,GOOD,AVAILABLE,,,AGRI LAND,"SC line,.agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49104619 8.144502668, 77.49120544 8.142481426)"
60,59,,S,,PA+3,23.9,T58-T59,224.3497342,1.75,13,8.142481426,77.49120544,GOOD,AVAILABLE,Lt line,ROAD,AGRI LAND,"SC line, Lt Line,Road,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49120544 8.142481426, 77.49136738 8.140319115)"
61,60,,T,"28°58'36""RT",PC+3,24.65,T59-T60,239.9369074,1.47,15,8.140319115,77.49136738,GOOD,AVAILABLE,LT LINE-2NOS,ROAD,PLAIN AREA,"SC line,Road, Lt Line- 2Nos,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49136738 8.140319115, 77.49030859 8.137982571)"
62,61,,S,,PA,20.9,T60-T61,283.6901641,1.88,12,8.137982571,77.49030859,GOOD,AVAILABLE,"LT LINE-3Nos,11KV LINE",HIGHWAY ROAD,PLAIN AREA,"SC line,lt line-3nos,11kv line.highway, Road,land highway center",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49030859 8.137982571, 77.48939462 8.135921488)"
63,62,,T,"07°19'39""RT",HC+3,24.94,T61-T62,249.3455323,2.43,14,8.135921488,77.48939462,GOOD,AVAILABLE,,ROAD,AGRI LAND,"dc tower.SC line,Road, agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48939462 8.135921488, 77.48855441 8.134568015)"
64,63,,T,"19°46'05""LT",HC+3,24.94,T62-T63,176.1091693,2.53,13,8.134568015,77.48855441,GOOD,AVAILABLE,11KV LINE,ROAD,AGRI LAND,"dc tower.SC line,11kv line,Road,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48855441 8.134568015, 77.48817924 8.13280495)"
65,64,,T,"33°34'32""LT",KC+3,27,T63-T64,199.4310572,2.78,14,8.13280495,77.48817924,GOOD,AVAILABLE,LT LINE,ROAD,AGRI LAND,"dc tower.SC line.Road, Lt line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48817924 8.13280495, 77.48884678 8.131125172)"
66,65,,T,"14°39'02""LT",HC,21.94,T64-T65,199.9186561,2.94,13,8.131125172,77.48884678,GOOD,AVAILABLE,LT LINE,CART TRACK,AGRI LAND,"dc tower., scline.lt line.cart track.agri lad",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.48884678 8.131125172, 77.49034312 8.129091888)"
67,66,2W,T,"61°22'52""LT",PC+3,24.65,T65-T66,279.0061472,2.48,13,8.129091888,77.49034312,GOOD,AVAILABLE,LT LINE,"ROAD, CANEL",AGRI LAND,"SC.line, Road, Lt Line,canel,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49034312 8.129091888, 77.49149345 8.129245532)"
68,67,,T,"40°53'11""RT",PC+3,24.65,T66-T67,127.9786616,2.36,13,8.129245532,77.49149345,GOOD,AVAILABLE,,"ROAD, POND",AGRI LAND,"SC line,Road,Pond,agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49149345 8.129245532, 77.4941837 8.127485709)"
69,68,,S,,PA,20.9,T67-T68,354.8502357,1.62,11,8.127485709,77.4941837,GOOD,AVAILABLE,LT LINE-2NOS,POND,AGRI LAND,"SC.line,lt line-2Nos,Pond, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4941837 8.127485709, 77.49591708 8.126355191)"
70,69,,T,"07°08'10""RT",PB,20.85,T68-T69,228.4331163,2.95,10,8.126355191,77.49591708,GOOD,AVAILABLE,,,AGRI LAND,"SC line, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49591708 8.126355191, 77.49733095 8.125153653)"
71,70,,S,,PA,20.9,T69-T70,204.8977694,1.51,20,8.125153653,77.49733095,GOOD,AVAILABLE,11KV LINE-2NOS,CART TRACK,AGRI LAND,"Sc line,.cart track.11kv line-2Nos,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.49733095 8.125153653, 77.4991012 8.123652719)"
72,71,,T,"20°08'14""LT",PB+3,23.85,T70-T71,256.2972558,2.9,21,8.123652719,77.4991012,GOOD,AVAILABLE,LT LINE,ROAD,AGRI LAND,"SC line,lt line,Road,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.4991012 8.123652719, 77.50119735 8.122885305)"
73,72,,S,,PA,20.9,T71-T72,246.2456052,1.38,15,8.122885305,77.50119735,GOOD,AVAILABLE,,ODAI (NALA),AGRI LAND,"SC line, odai(nala),agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50119735 8.122885305, 77.50341083 8.12206842)"
74,73,,S,,PA,20.9,T72-T73,260.2795581,1.52,14,8.12206842,77.50341083,GOOD,AVAILABLE,LT LINE,,AGRI LAND,"SC line, Lt line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50341083 8.12206842, 77.50597268 8.121122419)"
75,74,,S,,PA,20.9,T73-T74,301.2652219,1.7,14,8.121122419,77.50597268,GOOD,AVAILABLE,,,AGRI LAND,"SC.line, agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50597268 8.121122419, 77.50855632 8.120170107)"
76,75,,T,"10°14'12""RT",PB+3,23.85,T74-T75,303.7623252,2.64,16,8.120170107,77.50855632,GOOD,AVAILABLE,,ROAD,AGRI LAND,"Scline,.Road.agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.50855632 8.120170107, 77.5106756 8.118925723)"
77,76,2W,S,,PA,20.9,T75-T76,271.2441545,1.39,13,8.118925723,77.5106756,GOOD,AVAILABLE,,,AGRI LAND,SC line.agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5106756 8.118925723, 77.51254376 8.117827372)"
78,77,,T,"13°28'38""LT",PB+3,23.85,T76-T77,239.1844541,2.98,10,8.117827372,77.51254376,GOOD,AVAILABLE,,CART TRACK,PLAIN AREA,SC line.cart track.plain land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51254376 8.117827372, 77.51481526 8.117087157)"
79,78,2W,S,,PA,20.9,T77-T78,263.5341636,1.47,13,8.117087157,77.51481526,GOOD,AVAILABLE,,ODAI (NALA),AGRI LAND,"SC line, odai9(Nala),agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51481526 8.117087157, 77.51740259 8.116329004)"
80,79,,S,,PA,20.9,T78-T79,297.388413,1.72,19,8.116329004,77.51740259,GOOD,AVAILABLE,,,AGRI LAND,"SC line, agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51740259 8.116329004, 77.51902935 8.115845699)"
81,80,2W,T,"01°51'00""LT",PB,20.85,T79-T80,187.1890072,2.9,20,8.115845699,77.51902935,GOOD,AVAILABLE,,POND,water logged area,"sc line, pond land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.51902935 8.115845699, 77.52126362 8.115240898)"
