S.NO,TOWER NO,TOWER S/T,DEVIATION OF  ANGLE,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTANCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
=1+A147,310,S,,GCR,27,T309 - T310,353.9577935997647,2.81,92,9.04953006199845,77.7139099314808,AVAILABLE,,,AGRI LAND,"DC line,AGRI LAND, GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7139099314808 9.04953006199845, 77.715493440628 9.04765502162923)"
=1+A148,311,S,,GCR,27,T310 - T311,270.9609839995018,1.09,91,9.04765502162923,77.715493440628,AVAILABLE,,WELL,AGRI LAND,"DC line,WELL,AGRI LAND, GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.715493440628 9.04765502162923, 77.7173418179154 9.04558329428783)"
=1+A149,312,T,"00°00'00""",HCR,24,T311 - T312,306.48575004566675,1.56,92,9.04558329428783,77.7173418179154,AVAILABLE,,,AGRI LAND,"DC line,AGRI LAND, GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7173418179154 9.04558329428783, 77.7191948890686 9.04335825180095)"
=1+A150,313,S,,GCR,27,T312 - T313,319.70878024377475,2.43,90,9.04335825180095,77.7191948890686,AVAILABLE,,,AGRI LAND,"DC line,AGRI LAND, GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7191948890686 9.04335825180095, 77.7206100896 9.04169840088215)"
=1+A151,314,S,,GCR+3,30,T313 - T314,240.8193847387947,4.33,91,9.04169840088215,77.7206100896,AVAILABLE,LT LINE,ROAD,AGRI LAND,"DC line,LT LINE,ROAD CROSSING,AGRI LAND, GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7206100896 9.04169840088215, 77.722446732223 9.03966835936452)"
=1+A152,315,T,"2°35'51.9""RT",HCR,24,T314 - T315,302.18742953676,11.76,90,9.03966835936452,77.722446732223,AVAILABLE,,,PLAIN LAND,"DC line, PLAIN LAND, GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.722446732223 9.03966835936452, 77.7243350073695 9.03744162475543)"
=1+A153,316,S,,GCR,27,T315 - T316,322.33966135120534,2.76,89,9.03744162475543,77.7243350073695,AVAILABLE,,,AGRI LAND,"DC line,AGRI LAND, GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7243350073695 9.03744162475543, 77.7262517809868 9.03528672855161)"
=1+A154,317,S,,GCR,27,T316 - T317,318.371660927878,3.76,89,9.03528672855161,77.7262517809868,AVAILABLE,LT LINE,,AGRI LAND,"DC line,LT LINE,AGRI LAND, GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7262517809868 9.03528672855161, 77.7280317619443 9.03322817476696)"
=1+A155,318,S,,GCR,27,T317 - T318,300.44412359875776,4.21,87,9.03322817476696,77.7280317619443,AVAILABLE,LT LINE,,AGRI LAND,"DC line,LT LINE,AGRI LAND, FOOTING DEMAGE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7280317619443 9.03322817476696, 77.729923389852 9.03101000947419)"
=1+A156,319,T,"00°00'00""",HCR,24,T318 - T319,321.8575720050919,2.88,87,9.03101000947419,77.729923389852,AVAILABLE,230KV DC LINE,,AGRI LAND,"DC line,230 KV DC LINE CROSSING IN OUR LINE BOTTOM,AGRI LAND, GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.729923389852 9.03101000947419, 77.7318415045738 9.02881997589487)"
=1+A157,320,T,"00°00'00""",HCR,24,T319 - T320,321.39655239123715,2.11,87,9.02881997589487,77.7318415045738,AVAILABLE,"230KV DC LINE, LT LINE",,AGRI LAND,"DC line,LT LINE,230 KV DC LINE CROSSING IN OUR LINE BOTTOM,( NO EARTH LINE DIRECTLY Earth wire in Diemend Shape ),AGRI LAND,GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7318415045738 9.02881997589487, 77.7337116748094 9.0266266177748)"
=1+A158,321,S,,GCR,27,T320 - T321,318.23857918391576,2.11,86,9.0266266177748,77.7337116748094,AVAILABLE,,,AGRI LAND,"DC line,AGRI LAND, GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7337116748094 9.0266266177748, 77.7354634925723 9.02454847811944)"
=1+A159,322,T,"23°34'0.9""RT",HCR+3,27,T321 - T322,300.0964271047583,3.22,85,9.02454847811944,77.7354634925723,AVAILABLE,LT LINE-2NOS,ROAD,AGRI LAND,"DC line, LT LINE-2NOS,ROAD CROSSING,AGRI LAND,GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7354634925723 9.02454847811944, 77.7364150062203 9.02175674553651)"
=1+A160,323,S,,GCR,27,T322 - T323,326.24735349872753,5.65,84,9.02175674553651,77.7364150062203,AVAILABLE,11KV LINE,,AGRI LAND,"Dc line,Agri land, Good, 11kv line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7364150062203 9.02175674553651, 77.7370972931385 9.01906433062503)"
=1+A161,324,S,,GCR,27,T323 - T324,307.31078480424793,6.32,85,9.01906433062503,77.7370972931385,AVAILABLE,,,AGRI LAND,"Dc line,Good ,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7370972931385 9.01906433062503, 77.738133 9.016225)"
=1+A162,325,S,,GCR,27,T324 - T325,341.81360137512706,3.45,83,9.016225,77.738133,AVAILABLE,11KV LINE,NALA,AGRI LAND,"Dc line, nala ,Good ,11 kv  line, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.738133 9.016225, 77.7388464286923 9.01337910027509)"
=1+A163,326,S,,GCR,27,T325 - T326,316.2146898960197,7.89,83,9.01337910027509,77.7388464286923,AVAILABLE,11KV LINE-2NOS,,AGRI LAND,"Dc line, 11 kv line-2Nos, Good, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7388464286923 9.01337910027509, 77.7396732196211 9.01067768215539)"
=1+A164,327,S,,GCR+3,30,T326 - T327,312.53050960185664,4.89,84,9.01067768215539,77.7396732196211,AVAILABLE,33KV LINE,,AGRI LAND,"Dc line,33kv line, Good, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7396732196211 9.01067768215539, 77.7403967455029 9.00793319550333)"
=1+A165,328,S,,GCR,27,T327 - T328,314.02366160846697,4.78,84,9.00793319550333,77.7403967455029,AVAILABLE,,,AGRI LAND,"Dc line, Good, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7403967455029 9.00793319550333, 77.741361670196 9.00512676415802)"
=1+A166,329,S,,GCR,27,T328 - T329,328.2657777731409,6.87,85,9.00512676415802,77.741361670196,AVAILABLE,11KV LINE,,AGRI LAND,"Dc line,11kv  line,Good ,Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.741361670196 9.00512676415802, 77.7421351522207 9.00248820211085)"
=1+A167,330,S,,GCR,27,T329 - T330,304.1894630735365,5.87,82,9.00248820211085,77.7421351522207,AVAILABLE,,,PLAIN LAND,"Dc Line,plain land, Good",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7421351522207 9.00248820211085, 77.7430008351802 8.99957211829774)"
=1+A168,331,S,,GCR,27,T330 - T331,336.5205899079434,6.89,84,8.99957211829774,77.7430008351802,AVAILABLE,400KV LINE,,PLAIN LAND,"Dc line,400KV Line, plain land, Good",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7430008351802 8.99957211829774, 77.7436995506286 8.99701597235208)"
=1+A169,332,T,"11°34'3.2""LT",HCR,24,T331 - T332,293.1802930639376,5.63,84,8.99701597235208,77.7436995506286,AVAILABLE,11KV LINE,,AGRI LAND,"Dc line, Agri land, Good, 11 kv Line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7436995506286 8.99701597235208, 77.7451747655868 8.99473665247986)"
=1+A170,333,S,,GCR,27,T332 - T333,299.99360751350207,2.79,81,8.99473665247986,77.7451747655868,AVAILABLE,,,PLAIN LAND,"Dc line, Good, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7451747655868 8.99473665247986, 77.7461966872215 8.99215662918715)"
=1+A171,334,S,,GCR,27,T333 - T334,306.9058839791091,5.87,80,8.99215662918715,77.7461966872215,AVAILABLE,,,PLAIN LAND,"Dc line,Good, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7461966872215 8.99215662918715, 77.7474881708622 8.99009319339908)"
=1+A172,335,S,,GCR,27,T334 - T335,268.99256043989834,4.65,79,8.99009319339908,77.7474881708622,AVAILABLE,,,PLAIN LAND,"Dc line, Good, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7474881708622 8.99009319339908, 77.7486965060234 8.98765123060885)"
=1+A173,336,S,,GCR,27,T335 - T336,301.2181980375663,5.65,77,8.98765123060885,77.7486965060234,AVAILABLE,,,PLAIN LAND,"Dc Line, Road ,Good, plain land ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7486965060234 8.98765123060885, 77.7500188350677 8.98525693866054)"
=1+A174,337,S,,GCR,27,T336 - T337,302.3267220276617,3.45,77,8.98525693866054,77.7500188350677,AVAILABLE,11KV LINE,,PLAIN LAND,"Dc line, Good, plain land, 11 kv Line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7500188350677 8.98525693866054, 77.7512858435511 8.98289309797781)"
=1+A175,338,S,,GCR,27,T337 - T338,296.4670250618613,4.76,79,8.98289309797781,77.7512858435511,AVAILABLE,,NALA,AGRI LAND,"Dc line, Good , Agri land, Nala",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7512858435511 8.98289309797781, 77.7525944262743 8.98050241742127)"
=1+A176,339,S,,GCR,27,T338 - T339,301.25336781016546,3.57,79,8.98050241742127,77.7525944262743,AVAILABLE,,,AGRI LAND,"Dc line, Good, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7525944262743 8.98050241742127, 77.7538061141967 8.97838062968767)"
=1+A177,340,S,,GCR,27,T339 - T340,270.0582943922281,4.64,77,8.97838062968767,77.7538061141967,AVAILABLE,,,AGRI LAND,"Dc line, Good, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7538061141967 8.97838062968767, 77.7550372481346 8.9760333026818)"
=1+A178,341,S,,GCR,27,T340 - T341,293.0108171808665,6.98,78,8.9760333026818,77.7550372481346,AVAILABLE,"33KV LINE, 11KV LINE",,AGRI LAND,"Dc line,33kv Line,11kv Line, Good, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7550372481346 8.9760333026818, 77.7562147378921 8.97361773897023)"
=1+A179,342,S,,GCR,27,T341 - T342,297.1075950728315,5.89,75,8.97361773897023,77.7562147378921,AVAILABLE,11KV LINE,NALA,AGRI LAND,"Dc line, 11kv line, Nala, Good, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7562147378921 8.97361773897023, 77.7575970813632 8.97117003523527)"
=1+A180,343,T,"28°4'20.9""RT",HCR+3,27,T342 - T343,310.7063899728548,3.67,74,8.97117003523527,77.7575970813632,AVAILABLE,11KV LINE,ROAD,PLAIN LAND,"Dc line, 11kv line, Rood , Good, plain land ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7575970813632 8.97117003523527, 77.7576621249318 8.968323246604)"
=1+A181,344,S,,GCR,27,T343 - T344,315.17193301439556,4.1,71,8.968323246604,77.7576621249318,AVAILABLE,,,PLAIN LAND,"Dc line, Good, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7576621249318 8.968323246604, 77.7576088160276 8.96524527203119)"
=1+A182,345,S,,GCR,27,T344 - T345,340.7290583924302,4.67,67,8.96524527203119,77.7576088160276,AVAILABLE,,,AGRI LAND,"Dc line, Good , Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7576088160276 8.96524527203119, 77.7575823292136 8.96238651437323)"
=1+A183,346,S,,GCR,27,T345 - T346,316.4294624746601,4.65,64,8.96238651437323,77.7575823292136,AVAILABLE,,,PLAIN LAND,"Dc line, Good,  plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7575823292136 8.96238651437323, 77.7577083930373 8.9594833553884)"
=1+A184,347,S,,GCR,27,T346 - T347,321.6294914105975,2.96,65,8.9594833553884,77.7577083930373,AVAILABLE,,,AGRI LAND,"dc line, Lt line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7577083930373 8.9594833553884, 77.7576114982366 8.95661958457796)"
=1+A185,348,T (LILO ),"00°00'00""",KCR,24,T347 - T348,317.14926056508364,1.56,66,8.95661958457796,77.7576114982366,AVAILABLE,LT LINE-2NOS,ROAD -2NOS,AGRI LAND,"dc line, Road-2Nos,Lt line- 2Nos,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7576114982366 8.95661958457796, 77.7576111629605 8.95370445666946)"
=1+A186,349,S,,GCR,27,T348 - T349,322.6548000649721,3.69,61,8.95370445666946,77.7576111629605,AVAILABLE,,,AGRI LAND,"dc line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7576111629605 8.95370445666946, 77.7576279267668 8.95101584150272)"
=1+A187,350,S,,GCR,27,T349 - T350,297.58890158403557,3.21,62,8.95101584150272,77.7576279267668,AVAILABLE,,,AGRI LAND,"dc line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7576279267668 8.95101584150272, 77.7576540783047 8.94805628845385)"
=1+A188,351,S,,GCR,27,T350 - T351,327.5843966141471,3.94,61,8.94805628845385,77.7576540783047,AVAILABLE,LT LINE,,AGRI LAND,"dc line, Lt line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7576540783047 8.94805628845385, 77.7576366439461 8.94524409460481)"
=1+A189,352,S,,GCR,27,T351 - T352,311.26727399133273,2.34,59,8.94524409460481,77.7576366439461,AVAILABLE,LT LINE,,AGRI LAND,"dc line, Lt line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7576366439461 8.94524409460481, 77.7576322853565 8.9424858647642)"
=1+A190,353,S,,GCR,27,T352 - T353,305.2893478406854,2.19,58,8.9424858647642,77.7576322853565,AVAILABLE,230KV LINE,,AGRI LAND,"dc line, 230kv crossing,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7576322853565 8.9424858647642, 77.7576698362827 8.93995316341489)"
=1+A191,354,S,,GCR+3,30,T353 - T354,280.356251455189,1.54,58,8.93995316341489,77.7576698362827,AVAILABLE,,ROAD,AGRI LAND,"dc line , Road,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7576698362827 8.93995316341489, 77.7575823292136 8.93715084315074)"
=1+A192,355,S,,GCR,27,T354 - T355,310.3180872991055,3.56,56,8.93715084315074,77.7575823292136,AVAILABLE,,,AGRI LAND,"dc line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7575823292136 8.93715084315074, 77.7576456964016 8.93423324085985)"
=1+A193,356,S,,GCR,27,T355 - T356,323.0034876127218,4.21,58,8.93423324085985,77.7576456964016,AVAILABLE,230KV LINE,,AGRI LAND,"dc line, 230 crossing,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7576456964016 8.93423324085985, 77.757662795484 8.93152990863889)"
=1+A194,357,T,"00°00'00""",HCR,24,T356 - T357,299.21836591365206,2.33,58,8.93152990863889,77.757662795484,AVAILABLE,,,AGRI LAND,"dc line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.757662795484 8.93152990863889, 77.7576577663421 8.92858178972182)"
=1+A195,358,S,,GCR,27,T357 - T358,326.3064504372924,3.45,58,8.92858178972182,77.7576577663421,AVAILABLE,400KV LINE,,AGRI LAND,"dc line, 400 kv crossing,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7576577663421 8.92858178972182, 77.7576349675655 8.92589431396387)"
=1+A196,359,S,,GCR,27,T358 - T359,297.46713652778027,2.97,54,8.92589431396387,77.7576349675655,AVAILABLE,LT LINE,,AGRI LAND,"dc line, Lt line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7576349675655 8.92589431396387, 77.7576265856623 8.92295442995981)"
=1+A197,360,S,,GCR,27,T359 - T360,325.39549432651165,1.96,58,8.92295442995981,77.7576265856623,AVAILABLE,LT LINE,,AGRI LAND,"dc line, Lt line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7576265856623 8.92295442995981, 77.7576202154159 8.92008639726873)"
=1+A198,361,S,,GCR,27,T360 - T361,317.4423927958871,3.65,58,8.92008639726873,77.7576202154159,AVAILABLE,,,AGRI LAND,"dc line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7576202154159 8.92008639726873, 77.7576708421111 8.91709115210057)"
=1+A199,362,T,"00°00'00""",HCR,24,T361 - T362,331.5686869187321,2.44,59,8.91709115210057,77.7576708421111,AVAILABLE,230KV SC LINE,,AGRI LAND,"dc line, 230kv sc line crosing,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7576708421111 8.91709115210057, 77.7576410025358 8.91415550314489)"
=1+A200,363,S,,GCR,27,T362 - T363,324.9421354056664,1.09,59,8.91415550314489,77.7576410025358,AVAILABLE,,,AGRI LAND,"dc line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7576410025358 8.91415550314489, 77.757630944252 8.91125725949382)"
=1+A201,364,S,,GCR,27,T363 - T364,320.7865817408678,3.87,59,8.91125725949382,77.757630944252,AVAILABLE,,,AGRI LAND,"dc line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.757630944252 8.91125725949382, 77.7576674893498 8.90849645402086)"
=1+A202,365,T,"00°00'00""",HCR,24,T364 - T365,305.59998597679737,2.43,57,8.90849645402086,77.7576674893498,AVAILABLE,230KV DC LINE,,AGRI LAND,"dc line,230kv dc line crossing, earth wire is dimand shape, Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7576674893498 8.90849645402086, 77.7576899528503 8.90536994499671)"
=1+A203,366,S,,GCR,27,T365- T366,346.0588928101672,1.65,55,8.90536994499671,77.7576899528503,AVAILABLE,"230KV LINE, 11KV LINE",,AGRI LAND,"dc line, 230kv line,11kv line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7576899528503 8.90536994499671, 77.7576889470219 8.90271376594019)"
=1+A204,367,T,"39°43'0.7""LT",KCR,24,T366 - T367,293.9923651831656,1.89,55,8.90271376594019,77.7576889470219,AVAILABLE,,,AGRI LAND,"dc line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7576889470219 8.90271376594019, 77.7595121785998 8.90054747019902)"
=1+A205,368,T,"2°45'39.7""LT",HCR,24,T367 - T368,312.67060333993516,2.05,56,8.90054747019902,77.7595121785998,AVAILABLE,,,AGRI LAND,"dc line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7595121785998 8.90054747019902, 77.7614323049783 8.89850305823337)"
=1+A206,369,S,,GCR,27,T368 - T369,309.63110551270836,2.92,56,8.89850305823337,77.7614323049783,AVAILABLE,,,AGRI LAND,"dc line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7614323049783 8.89850305823337, 77.7631338313222 8.89671932265027)"
=1+A207,370,S,,GCR,27,T369 - T370,272.13052054483614,2.88,56,8.89671932265027,77.7631338313222,AVAILABLE,LT LINE,,AGRI LAND,"dc line, Lt line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7631338313222 8.89671932265027, 77.7652336657047 8.89437908813076)"
=1+A208,371,T,"00°00'00""",HCR,24,T370- T371,347.1529988751131,1.93,56,8.89437908813076,77.7652336657047,AVAILABLE,"230KV BRIDGE TOWER, LT LINE, 11KV LINE",,AGRI LAND,"dc line, Lt line, 230kv bridge tower,11kvline,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7652336657047 8.89437908813076, 77.7664500474929 8.89310246981648)"
=1+A209,372,S,,GCR,27,T371- T372,194.65878119679786,1.22,55,8.89310246981648,77.7664500474929,AVAILABLE,11KV LINE-2NOS,,AGRI LAND,"dc line, 11kv line-2nos,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7664500474929 8.89310246981648, 77.7674139663577 8.89211601909301)"
=1+A210,373,S,,GCR+6,33,T372- T373,152.2450719727251,3.97,55,8.89211601909301,77.7674139663577,AVAILABLE,LT LINE,NH CROSSING,AGRI LAND,"dc line ,Road, Lt line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7674139663577 8.89211601909301, 77.768778540194 8.89061215693333)"
=1+A211,374,S,,GCR+6,33,T373- T374,224.20311101543547,3.36,55,8.89061215693333,77.768778540194,AVAILABLE,11KV LINE,,AGRI LAND,"dc line ,11kv line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.768778540194 8.89061215693333, 77.7700240910053 8.88936368165227)"
=1+A212,375,T,"55°39'59.7""RT",KCR,24,T374- T375,194.65922996358586,2.05,56,8.88936368165227,77.7700240910053,AVAILABLE,"11KV LINE-2NOS, 33KV LINE",,AGRI LAND,"dc line ,11kv line-2nos, 33kv  line,Agri Land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7700240910053 8.88936368165227, 77.7698953449726 8.88876842675018)"
=1+A213,dp,Dp,,DP,9,T375- DP,67.3918627283191,1.99,56,8.88876842675018,77.7698953449726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7698953449726 8.88876842675018, 77.769920155406 8.88849680204388)"
,Gantry ,GAN,,,,DP -Gantry,30.189068750123734,,56,8.88849680204388,77.769920155406,,,,,Suryuliyar Feeder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,=SUM(H8:H215)/1000,KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
