S.NO,TOWER NO,TOWER S/T,DEVIATION OF  ANGLE,TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER ,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTANCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING DETAILS,,CONDITION OF AREA (Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
=1+A37,202,T,"42°56'57.4""RT",MA,21.95,T201 - T202,160.71951945247412,3.33,131,9.28850158768504,77.5479884818196,AVAILABLE,"66KV  LINE, LT LINE",,AGRI LAND,"DC Line,LT line,66KV  LINE CROSSING IN OUR LINE TOP, TEMPLE, FENCEING,AGRI LAND,GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5479884818196 9.28850158768504, 77.5491699948906 9.28591674336176)"
=1+A38,203,S,,LA,24.2,T202 - T203,314.1626952217363,2.11,130,9.28591674336176,77.5491699948906,AVAILABLE,"LT LINE, 11KV LINE","WELL, NALA",AGRI LAND,"DC Line,LT Line,11 KV Line,WELL,NALA,AGRI LAND, GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5491699948906 9.28591674336176, 77.5503883883357 9.28315154764903)"
=1+A39,204,S,,LA,24.2,T203 - T204,334.04400455624784,1.66,131,9.28315154764903,77.5503883883357,AVAILABLE,LT LINE,,AGRI LAND,"DC Line,LT Line,AGRI LAND,GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5503883883357 9.28315154764903, 77.5515065342187 9.28047169913641)"
=1+A40,205,S,,LA,24.2,T204 - T205,321.03423833601573,8.96,133,9.28047169913641,77.5515065342187,AVAILABLE,,,PLAIN LAND,"DC line, PLAIN LAND,GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5515065342187 9.28047169913641, 77.5526015460491 9.27801650447415)"
=1+A41,206,S,,LA,24.2,T205 - T206,297.18137188591635,7.88,132,9.27801650447415,77.5526015460491,AVAILABLE,,,PLAIN LAND,"DC line, PLAIN LAND,GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5526015460491 9.27801650447415, 77.5539034232497 9.27503848249155)"
=1+A42,207,S,,LA,24.2,T206 - T207,359.3035068309739,7.02,133,9.27503848249155,77.5539034232497,AVAILABLE,,"WELL, NALA",PLAIN LAND,"DC line,WELL,NALA,PLAIN LAND,GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5539034232497 9.27503848249155, 77.5548998638987 9.27274505744378)"
=1+A43,208,S,,LA,24.2,T207 - T208,276.4378837424379,11.25,132,9.27274505744378,77.5548998638987,AVAILABLE,,,PLAIN LAND,"DC line,PLAIN LAND,GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5548998638987 9.27274505744378, 77.5560418143868 9.27011840390933)"
=1+A44,209,S,,LA,24.2,T208 - T209,316.6351345461004,1.98,131,9.27011840390933,77.5560418143868,AVAILABLE,,,AGRI LAND,"DC line,AGRI LAND,GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5560418143868 9.27011840390933, 77.557128444314 9.26767835818657)"
=1+A45,210,S,,LA,24.2,T209 - T210,295.277464700548,8.33,130,9.26767835818657,77.557128444314,AVAILABLE,,ROAD,PLAIN LAND,"DC line,ROAD CROSSING,PLAIN LAND,GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.557128444314 9.26767835818657, 77.5581848993897 9.265125127014)"
=1+A46,211,S,,LA,24.2,T210 - T211,305.4978039216916,2.76,130,9.265125127014,77.5581848993897,AVAILABLE,,,AGRI LAND,"DC line,AGRI LAND,GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5581848993897 9.265125127014, 77.5593965873122 9.26249841647706)"
=1+A47,212,S,,LA,24.2,T211 - T212,319.76026548030205,6.55,130,9.26249841647706,77.5593965873122,AVAILABLE,LT LINE,,PLAIN LAND,"DC line, LT LINE,PLAIN LAND,GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5593965873122 9.26249841647706, 77.5604101270437 9.26003846340408)"
=1+A48,213,S,,LA,24.2,T212 - T213,294.1590457218046,2.11,131,9.26003846340408,77.5604101270437,AVAILABLE,LT LINE,,AGRI LAND,"DC line,LT LINE,AGRI LAND,GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5604101270437 9.26003846340408, 77.5610665977001 9.25883826213129)"
=1+A49,213a,T (LILO ),"5°33'53.6""RT",KCR+6,30,T213 - T213A,151.1649699136979,1.08,131,9.25883826213129,77.5610665977001,NOT AVAILABLE,LT LINE,,AGRI LAND,"DC line,(LILO ON KARIVALAM VANTHA NALLUR ) ,LT LINE,T.213 TO T213A  EARTH WIRE IS  NOT AVAILABLE,AGRI LAND,GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5610665977001 9.25883826213129, 77.5614632293582 9.25763176948646)"
=1+A50,214,T,"31°6'19.8""LT",MA,21.95,T213A - T214,140.45897582569702,2.17,131,9.25763176948646,77.5614632293582,AVAILABLE,"110KV LINE, 11KV LINE",,AGRI LAND,"DC line,110KV LINE CROSSING IN OUR LINE BOTTOM,11 KVLINE,AGRI LAND,GOOD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5614632293582 9.25763176948646, 77.5628331676125 9.25645670917515)"
