S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken, etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain / Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
43,40,,S,A+0,26,39-40,325.6497373,0.8,FALSE,111.318657,,9.771680894,78.45382101,GOOD,AVAILABLE,33KV,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45382101097243 9.77168089359316, 78.45284200468537 9.769102955426122)"
44,41,,S,A+0,26,40-41,304.8689632,2.07,FALSE,106.307999,,9.769102955,78.452842,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45284200468537 9.769102955426122, 78.45197003530147 9.766701959237933)"
45,42,2W,T,B+0,28,41-42,282.431933,0.54,FALSE,103.380524,"15°46'48"" R",9.766701959,78.45197004,GOOD,AVAILABLE,,SUMAL RIVER CROSSING,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45197003530147 9.766701959237933, 78.45174104170772 9.763560924854895)"
46,43,,S,A+0,26,42-43,348.5228047,4.02,FALSE,103.476685,,9.763560925,78.45174104,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45174104170772 9.763560924854895, 78.45152596207315 9.761166885677797)"
47,44,,S,A+0,26,43-44,265.9958522,1.06,FALSE,102.673714,,9.761166886,78.45152596,GOOD,AVAILABLE,,ROAD ,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45152596207315 9.761166885677797, 78.45132001871309 9.758466907038388)"
48,45,,S,A+0,26,44-45,299.6579462,0.72,FALSE,100.750053,,9.758466907,78.45132002,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45132001871309 9.758466907038388, 78.45110602872597 9.755906906179591)"
49,46,,S,A+0,26,45-46,284.2849638,0.2,FALSE,101.457397,,9.755906906,78.45110603,GOOD,AVAILABLE,,VILLAGE ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45110602872597 9.755906906179591, 78.45088298628346 9.753213884518487)"
50,47,,T,C+0,28,46-47,299.0381217,7.96,FALSE,101.561523,"56°33'36"" L",9.753213885,78.45088299,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.45088298628346 9.753213884518487, 78.4522019625624 9.750838956152691)"
51,48,,S,A+0,26,47-48,300.0794064,5.31,FALSE,97.61451,,9.750838956,78.45220196,GOOD,AVAILABLE,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4522019625624 9.750838956152691, 78.4535650276519 9.748383896796609)"
52,49,,S,A+0,26,48-49,310.1824479,1.53,FALSE,95.516579,,9.748383897,78.45356503,GOOD,AVAILABLE,LT,VILLAGE ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.4535650276519 9.748383896796609, 78.45481200338277 9.746098906247683)"
