S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length (m),Footing Resistance of Tower ( Ohms),,Ground Elevation(m),"Deviation Angle 
(Degrees)",Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
143,DP 1,,T,DB+0,22,54-55,68,NIL,FALSE,253.9121094,4°21'27''RT,10.50637758,77.87935789,Good,Good,110KV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8793578874319 10.5063775833696, 77.8794252779334 10.5061952769756)"
144,DP 2,,T,DB+0,22,55-56,26,NIL,FALSE,255.8347168,14°28'21''RT,10.50619528,77.87942528,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8794252779334 10.5061952769756, 77.8793744836002 10.5067059863358)"
145,53,2W,T,DB+0,22,56-57,62,3.86,FALSE,252.2297363,0°23'54''RT,10.50670599,77.87937448,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8793744836002 10.5067059863358, 77.8792209271341 10.5083683691918)"
146,54,,T,DB+0,22,57-58,190,4.23,FALSE,253.9121094,12°51'51''LT,10.50836837,77.87922093,Good,Good,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8792209271341 10.5083683691918, 77.8794355038553 10.5104187503457)"
147,55,,T,DC+0,22,58-59,234,3.24,FALSE,253.9121094,15°35'45''RT,10.51041875,77.8794355,Good,Good,22KV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8794355038553 10.5104187503457, 77.8802891168743 10.5125623382627)"
148,56,,S,DA+0,24,59-60,260,4.32,FALSE,257.0362549,,10.51256234,77.88028912,Good,Good,"LT,22KV",NH ROAD,,OTTANCHATRAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8802891168743 10.5125623382627, 77.8810802008956 10.5144978035241)"
149,57,,S,DA+0,24,60-61,236,6.1,FALSE,260.8814697,,10.5144978,77.8810802,Good,Good,22KV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8810802008956 10.5144978035241, 77.881517233327 10.5156332161277)"
150,58,,T,DB+0,22,61-62,139,5.12,FALSE,256.7958984,12°2'35''RT,10.51563322,77.88151723,Good,Good,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.881517233327 10.5156332161277, 77.882685419172 10.517420489341)"
151,59,,T,DC+0,22,62-63,241,2.13,FALSE,262.8040771,25°51'33''LT,10.51742049,77.88268542,Good,Good,"22KV,LT",THAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.882685419172 10.517420489341, 77.8829822223633 10.5197999440133)"
152,60,,S,DA+0,24,63-64,271,3.21,FALSE,255.1136475,,10.51979994,77.88298222,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8829822223633 10.5197999440133, 77.883258992806 10.5221892055124)"
153,61,,S,DA+0,24,64-65,272,3.88,FALSE,255.8347168,,10.52218921,77.88325899,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.883258992806 10.5221892055124, 77.8835811931639 10.5248188599944)"
154,62,,S,DA+0,24,65-66,299,4.36,FALSE,259.4395752,,10.52481886,77.88358119,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8835811931639 10.5248188599944, 77.8837297204881 10.5262972600758)"
155,63,,T,DC+0,22,66-67,170,3.55,FALSE,257.2766113,29°1'16''RT,10.52629726,77.88372972,Good,Good,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8837297204881 10.5262972600758, 77.8853512834757 10.5286147724837)"
156,64,,S,DA+0,24,67-68,317,1.8,FALSE,254.873291,,10.52861477,77.88535128,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8853512834757 10.5286147724837, 77.8866856824606 10.5305693484842)"
157,65,,S,DA+0,24,68-69,266,1.96,FALSE,257.9975586,,10.53056935,77.88668568,Good,Good,22KV,THAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8866856824606 10.5305693484842, 77.8880944289267 10.5326323863118)"
158,66,,T,DD+0,24,69-70,281,1.3,FALSE,259.1992188,51°57'26''RT,10.53263239,77.88809443,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8880944289267 10.5326323863118, 77.8877288103103 10.5338945332914)"
159,67,,S,DA+0,24,70-71,150,2.21,FALSE,258.4782715,,10.53389453,77.88772881,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8877288103103 10.5338945332914, 77.8872635308653 10.5353889428079)"
160,68,2W,T,DC+0,22,71-72,178,3.12,FALSE,258.9588623,33°7'34''LT,10.53538894,77.88726353,Good,Good,22KV,THAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8872635308653 10.5353889428079, 77.8881805110722 10.5377839040011)"
161,69,,S,DA+0,24,72-73,289,4.8,FALSE,248.144165,,10.5377839,77.88818051,Good,Good,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8881805110722 10.5377839040011, 77.889057258144 10.5400399770587)"
162,70,,S,DA+0,24,73-74,273,5.2,FALSE,255.3540039,,10.54003998,77.88905726,Good,Good,LT,MUD ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.889057258144 10.5400399770587, 77.8900042455643 10.542535688728)"
163,71,,S,DA+0,24,74-75,301,2.99,FALSE,251.508667,,10.54253569,77.89000425,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8900042455643 10.542535688728, 77.8908739518374 10.5448002275079)"
164,72,,S,DA+0,24,75-76,274,2.18,FALSE,260.6411133,,10.54480023,77.89087395,Good,Good,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8908739518374 10.5448002275079, 77.8916171751916 10.5467897560447)"
165,73,,S,DA+0,24,76-77,240,2.65,FALSE,260.4008789,,10.54678976,77.89161718,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8916171751916 10.5467897560447, 77.8924505040049 10.5488734133541)"
166,74,,T,DB+0,22,77-78,253,3.96,FALSE,264.0057373,4°33'40''LT,10.54887341,77.8924505,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8924505040049 10.5488734133541, 77.89320663549 10.5513160675764)"
167,75,,S,DA+0,24,78-79,288,7.62,FALSE,262.5637207,,10.55131607,77.89320664,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.89320663549 10.5513160675764, 77.8940092865377 10.5537798441946)"
168,76,,S,DA+0,24,79-80,292,2.18,FALSE,263.28479,,10.55377984,77.89400929,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8940092865377 10.5537798441946, 77.8947279509156 10.5560454726219)"
169,77,,S,DA+0,24,80-81,268,2.68,FALSE,263.28479,,10.55604547,77.89472795,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8947279509156 10.5560454726219, 77.8954740241169 10.5583697743713)"
170,78,2W,T,DB+0,22,81-82,276,1.76,FALSE,261.8427734,5°58'6''LT,10.55836977,77.89547402,Good,Good,"22KV,LT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8954740241169 10.5583697743713, 77.8959665447473 10.5607328843325)"
