S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
12,TN - 48,,T,DC,26,TN - 51 : TN - 52,150.837546,6.8,104,0°52'3''RT,8.201407017,77.39138938,GOOD,AVAILABLE,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3913893848657 8.20140701718628, 77.3895424325019 8.20153643377125)"
13,TN - 49,,T,DC,26,TN - 52 : TN - 53,206.1091254,2.6,78,2°9'11''LT,8.201536434,77.38954243,GOOD,AVAILABLE,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3895424325019 8.20153643377125, 77.3867300525307 8.20184002630412)"
14,TN - 50,,T,DC,26,TN - 53 : TN - 54,313.8477929,3.5,106,22°48'34''LT,8.201840026,77.38673005,GOOD,AVAILABLE,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3867300525307 8.20184002630412, 77.3844961915165 8.20307677611708)"
15,TN - 51,,T,DC,26,TN - 54 : TN - 55,283.724282,3.8,94,16°34'50''LT,8.203076776,77.38449619,GOOD,AVAILABLE,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3844961915165 8.20307677611708, 77.3831671569496 8.20443162694573)"
16,TN - 52,,S,DC,28,TN - 55 : TN - 56,211.6145222,4.6,82,,8.204431627,77.38316716,GOOD,AVAILABLE,,,HILLY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3831671569496 8.20443162694573, 77.3818522877991 8.20576082915067)"
17,TN - 53,,S,DC,28,TN - 56 : TN - 57,208.4947388,4.7,73,,8.205760829,77.38185229,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3818522877991 8.20576082915067, 77.3803197406232 8.20731575600802)"
18,TN - 54,,S,DC,28,TN - 57 : TN - 58,243.1270353,5.6,68,,8.207315756,77.38031974,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3803197406232 8.20731575600802, 77.3786576930433 8.2090042065829)"
19,TN - 55,,S,DC,28,TN - 58 : TN - 59,263.6698736,3.8,75,,8.209004207,77.37865769,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3786576930433 8.2090042065829, 77.3769150115549 8.21082375012338)"
20,TN - 56,,S,DC,28,TN - 59 : TN - 60,280.2748452,4.9,60,,8.21082375,77.37691501,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3769150115549 8.21082375012338, 77.37548799254 8.21232117712497)"
21,TN - 57,,S,DC,28,TN - 60 : TN - 61,230.4670984,5.3,58,,8.212321177,77.37548799,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.37548799254 8.21232117712497, 77.3737037368118 8.21417952887713)"
22,TN - 58,,S,DC,28,TN - 61 : TN - 62,286.5437488,4.9,64,,8.214179529,77.37370374,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3737037368118 8.21417952887713, 77.3719217441976 8.21603201329708)"
23,TN - 59,,S,DC,28,TN - 62 : TN - 63,285.9013192,6.8,75,,8.216032013,77.37192174,GOOD,AVAILABLE,,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3719217441976 8.21603201329708, 77.3704057093709 8.21764997206628)"
24,TN - 60,2W,T,DC,26,TN - 63 : TN - 64,246.9014382,2.6,85,7°22'8''LT,8.217649972,77.37040571,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3704057093709 8.21764997206628, 77.3695447202771 8.21884514763951)"
25,TN - 61,,S,DC,28,TN - 64 : TN - 65,164.7745667,3.5,71,,8.218845148,77.36954472,GOOD,AVAILABLE,"11KV, LT","ROAD, CANAL",AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3695447202771 8.21884514763951, 77.3687360342592 8.21997829712927)"
26,TN - 62,,T,DC,26,TN - 65 : TN - 66,155.8385411,3.5,68,10°17'38''RT,8.219978297,77.36873603,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3687360342592 8.21997829712927, 77.3667043447494 8.22195349261164)"
27,TN - 63,,S,DC,28,TN - 66 : TN - 67,314.9210357,4.6,85,,8.221953493,77.36670434,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3667043447494 8.22195349261164, 77.3649620823562 8.22356197983026)"
28,TN - 64,,S,DC,28,TN - 67 : TN - 68,263.8357602,4.7,75,,8.22356198,77.36496208,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3649620823562 8.22356197983026, 77.3628134652972 8.22558662854135)"
29,TN - 65,,S,DC,28,TN - 68 : T/OFF - 69,328.0045702,5.6,62,,8.225586629,77.36281347,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3628134652972 8.22558662854135, 77.3608486633747 8.2274283003062)"
30,TN - 66,,S,DC,28,T/OFF - 69 : TN - 70,299.3719563,3.8,61,,8.2274283,77.36084866,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3608486633747 8.2274283003062, 77.3586609028279 8.22946996428072)"
31,TN - 67,,S,DC,28,TN - 70 : TN - 71,332.4341933,4.9,62,,8.229469964,77.3586609,GOOD,AVAILABLE,11KV,"ROAD, POND",AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3586609028279 8.22946996428072, 77.3568318039178 8.23120418004691)"
32,TN - 68,,S,DC,28,TN - 71 : TN - 72,280.332603,5.3,59,,8.23120418,77.3568318,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3568318039178 8.23120418004691, 77.3551189620047 8.23286555707454)"
33,T/OFF - 69,3W,T,DC,26,TN - 72 : TN - 73,265.5098787,4.9,57,0°32'53''RT,8.232865557,77.35511896,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3551189620047 8.23286555707454, 77.3531704209744 8.23471971787512)"
34,TN - 70,,S,DC,28,TN - 73 : TN - 74,299.0174048,6.8,61,,8.234719718,77.35317042,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3531704209744 8.23471971787512, 77.3513254802674 8.23650137521326)"
35,TN - 71,,S,DC,28,TN - 74 : TN - 75,285.225231,2.6,60,,8.236501375,77.35132548,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3513254802674 8.23650137521326, 77.3495449963957 8.23821413330733)"
36,TN - 72,,S,DC,28,TN - 75 : TN - 76,274.8173403,3.5,62,,8.238214133,77.349545,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3495449963957 8.23821413330733, 77.3477264586836 8.23996796272695)"
37,TN - 73,,S,DC,28,TN - 76 : TN - 77,280.9906177,3.8,64,,8.239967963,77.34772646,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3477264586836 8.23996796272695, 77.3458927497267 8.2417163439095)"
38,TN - 74,,S,DC,28,TN - 77 : TN - 78,281.7763701,4.6,63,,8.241716344,77.34589275,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3458927497267 8.2417163439095, 77.3444724362343 8.24308753944933)"
39,TN - 75,,S,DC,28,TN - 78 : TN - 79,220.0050215,4.7,67,,8.243087539,77.34447244,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3444724362343 8.24308753944933, 77.3426885996013 8.24480524286627)"
40,TN - 76,,S,DC,28,TN - 79 : TN - 80,275.4596827,5.6,68,,8.244805243,77.3426886,GOOD,AVAILABLE,"11KV, LT",ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3426885996013 8.24480524286627, 77.3410638514906 8.2463719882071)"
41,TN - 77,,T,DC,26,TN - 80 : TN - 81,251.2425449,6.8,64,47°1'18''LT,8.246371988,77.34106385,GOOD,AVAILABLE,"11KV, LT",ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3410638514906 8.2463719882071, 77.3387137334793 8.24624801985919)"
42,TN - 78,,S,DC,28,TN - 81 : TN - 82,261.3991021,2.6,84,,8.24624802,77.33871373,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3387137334793 8.24624801985919, 77.336410805583 8.24603796936571)"
43,TN - 79,,S,DC,28,TN - 82 : TN - 83,256.8962052,3.5,75,,8.246037969,77.33641081,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.336410805583 8.24603796936571, 77.3345110472291 8.24588600546121)"
44,TN - 80,,S,DC,28,TN - 83 : TN - 84,212.0698722,3.5,62,,8.245886005,77.33451105,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3345110472291 8.24588600546121, 77.3324028309434 8.24573848396539)"
45,TN - 81,2W,T,DC,26,TN - 84 : TN - 85,234.9449499,4.6,61,2°31'2''LT,8.245738484,77.33240283,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3324028309434 8.24573848396539, 77.3305866401642 8.24569137766957)"
46,TN - 82,,S,DC,28,TN - 85 : TN - 86,202.2522974,4.7,58,,8.245691378,77.33058664,GOOD,AVAILABLE,11KV,ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3305866401642 8.24569137766957, 77.3282671999186 8.24566455557942)"
47,TN - 83,,S,DC,28,TN - 86 : TN - 87,257.6705773,5.6,57,,8.245664556,77.3282672,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3282671999186 8.24566455557942, 77.3256450053304 8.24557000771164)"
48,TN - 84,,T,DC,26,TN - 87 : TN - 88,291.2123421,3.8,54,45°37'58''RT,8.245570008,77.32564501,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3256450053304 8.24557000771164, 77.3238418903201 8.24721084907651)"
49,TN - 85,,T,DC,26,TN - 88 : TN - 89,271.1796696,4.9,63,22°40'9''LT,8.247210849,77.32384189,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3238418903201 8.24721084907651, 77.3226778116077 8.24970396235585)"
50,TN - 86,,S,DC,28,TN - 89 : TN - 90,306.224399,5.3,62,,8.249703962,77.32267781,GOOD,AVAILABLE,11KV,"ROAD, CANAL",AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3226778116077 8.24970396235585, 77.3214306682348 8.25234585441649)"
51,TN - 87,,S,DC,28,TN - 90 : TN - 91,325.0135733,4.9,58,,8.252345854,77.32143067,GOOD,AVAILABLE,"11KV, LT",ROAD,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3214306682348 8.25234585441649, 77.3202014621347 8.25484902597963)"
52,TN - 88,,S,DC,28,TN - 91 : TN - 92,310.3188375,6.8,54,,8.254849026,77.32020146,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3202014621347 8.25484902597963, 77.3191283270716 8.25722035020589)"
53,TN - 89,,T,DC,26,TN - 92 : TN - 93,289.7974322,2.6,60,26°38'17''RT,8.25722035,77.31912833,GOOD,AVAILABLE,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3191283270716 8.25722035020589, 77.3174266330897 8.25859900563955)"
54,TN - 90,,S,DC,28,TN - 93 : TN - 94,243.7545735,3.5,63,,8.258599006,77.31742663,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3174266330897 8.25859900563955, 77.3165020253509 8.2594268862158)"
55,TN - 91,,T,DC,26,TN - 94 : GANTRY ,139.0236503,3.8,75,6°47'14''RT,8.259426886,77.31650203,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3165020253509 8.2594268862158, 77.3159654997289 8.25980331748724)"
56,TN - 92,,T,DC,26,GANTRY  : ,74.32922707,4.6,84,58°0'41''LT,8.259803317,77.3159655,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3159654997289 8.25980331748724, 77.313967756927 8.25895800255239)"
57,TN - 93,,T,DC,26, : ,241.2257604,4.7,95,29°30'12''RT,8.258958003,77.31396776,GOOD,AVAILABLE,"11KV, LT -2","CANAL, ROAD",PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.313967756927 8.25895800255239, 77.3125199507921 8.25909898616373)"
58,TN - 94,,T,DC,26, : ,162.3335216,5.6,96,78°58'18''LT,8.259098986,77.31251995,GOOD,AVAILABLE,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.3125199507921 8.25909898616373, 77.3124844953417 8.25946946628391)"
59,GANTRY ,2W,GANTRY,GANTRY,15, : ,43.17643149,3.8,96,,8.259469466,77.3124845,GOOD,NO E/W,11KV -2,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
