SL.NO,TOWER NO,Joint Box,Tower Suspension/ Tension,DIVIATION OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
27,27,,DP,"75°15'98""RT",DP,8,T26-T27,51.35845933,38.84,31,8.920253664,78.06117319,AVAILABLE,230KV BRIDGE TOWER,,AGRI LAND,"Sc line,230kv bridge tower,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0611731857061 8.92025366391239, 78.0611715093255 8.92016357178909)"
28,27a,,DP,"80°22'05""LT",DP,8,T27-T27a,9.974494323,38.9,31,8.920163572,78.06117151,AVAILABLE,230KV BRIDGE TOWER,,AGRI LAND,"Sc line,230kv bridge tower,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0611715093255 8.92016357178909, 78.0616100504994 8.9202318033257)"
29,28,,DP,"87°90'80""RT",DP,8,T27a-T28,48.86177903,36.53,32,8.920231803,78.06161005,AVAILABLE,,,AGRI LAND,"Sc line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0616100504994 8.9202318033257, 78.0615999922156 8.92031659589709)"
30,28A,,DP,"80°69'99""RT",DP,8,T28-T28a,9.451510408,38.49,32,8.920316596,78.06159999,AVAILABLE,,,AGRI LAND,"Sc line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0615999922156 8.92031659589709, 78.0619567260146 8.92030003484953)"
31,29,,T,"18°08'04""RT",PB,20.85,T28a-T29,39.31161819,39.78,32,8.920300035,78.06195673,AVAILABLE,LT LINE,,AGRI LAND,"Sc line,lt line, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0619567260146 8.92030003484953, 78.0640682950615 8.92087867740555)"
32,30,,S,,PA,20.9,T29-T30,241.1062935,48.76,31,8.920878677,78.0640683,AVAILABLE,33KV LINE-2NOS,,AGRI LAND,"Sc line,33kv line - 2nos,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0640682950615 8.92087867740555, 78.0661798641085 8.92152521911918)"
33,31,,S,,PA,20.9,T30-T31,243.2099695,39.74,30,8.921525219,78.06617986,AVAILABLE,,,AGRI LAND,"Sc line, Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0661798641085 8.92152521911918, 78.0683182552456 8.92215023043498)"
34,32,,T,"10°73'27""LT",PB,20.85,T31-T32,245.3493351,38.37,28,8.92215023,78.06831826,AVAILABLE,,NALA,AGRI LAND,"Sc line,Nala,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0683182552456 8.92215023043498, 78.0707101151347 8.92238539604774)"
35,33,,S,,PA,20.9,T32-T33,264.5774094,40.9,28,8.922385396,78.07071012,AVAILABLE,,,PLAIN LAND,"Sc line,plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0707101151347 8.92238539604774, 78.0729950219392 8.92251490267963)"
36,34,,T,"08°22'18""RT",PB,20.85,T33-T34,251.9264039,39.82,27,8.922514903,78.07299502,AVAILABLE,,,AGRI LAND,"Sc line,agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0729950219392 8.92251490267963, 78.0743082985282 8.92278020896107)"
37,35,3W,T(Tapping),"91°18'58""RT",PC ( TAPPING),21.65,T34-T35,147.5167941,35.52,26,8.922780209,78.0743083,AVAILABLE,,,AGRI LAND,"Sc line -tapping, agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0743082985282 8.92278020896107, 78.074 8.924087)"
37,35A,,T,,PB,23.85,T35-T35A,140,35.52,26,8.924087,78.074,AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.074 8.924087, 78.07342518 8.926686581)"
38,36,,T,"01°21'98""LT",PB+3,23.85,T35-T36,305,38.45,28,8.926686581,78.07342518,AVAILABLE,400KV LINE,ROAD,PLAIN LAND," sc line, road, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07342518 8.926686581, 78.07294976 8.92859835)"
39,37,,S,,PA,20.9,T36-T37,218.0049601,68.86,29,8.92859835,78.07294976,AVAILABLE,,,PLAIN LAND," sc line, road Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07294976 8.92859835, 78.07233788 8.931061908)"
40,38,,S,,PA,20.9,T37-T38,280.9072731,38.58,30,8.931061908,78.07233788,AVAILABLE,,,PLAIN LAND," sc line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07233788 8.931061908, 78.07168845 8.933541677)"
41,39,,S,,PA,20.9,T38-T39,283.6623852,40.32,30,8.933541677,78.07168845,AVAILABLE,,,PLAIN LAND," sc line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07168845 8.933541677, 78.0710806 8.93600222)"
42,40,,S,,PA,20.9,T39-T40,280.4766615,39.33,32,8.93600222,78.0710806,AVAILABLE,,,PLAIN LAND," sc line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0710806 8.93600222, 78.07050157 8.938459766)"
43,41,,S,,PA,20.9,T40-T41,279.4142268,43.53,33,8.938459766,78.07050157,AVAILABLE,33KV LINE,,PLAIN LAND," sc line,33Kv line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.07050157 8.938459766, 78.06987528 8.940943791)"
44,42,,S,,PA,20.9,T41-T42,283.489474,34.93,33,8.940943791,78.06987528,AVAILABLE,33KV LINE,,PLAIN LAND," sc line,33Kv line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06987528 8.940943791, 78.06926373 8.943408589)"
45,43,,S,,PA,20.9,T42-T43,281.0318145,38.42,32,8.943408589,78.06926373,AVAILABLE,,,PLAIN LAND," sc line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06926373 8.943408589, 78.06875613 8.945949215)"
46,44,,S,,PA,20.9,T43-T44,286.7405118,39.58,35,8.945949215,78.06875613,AVAILABLE,,,PLAIN LAND," sc line,Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06875613 8.945949215, 78.06805708 8.948371918)"
47,45,,S,,PA,20.9,T44-T45,279.0114278,37.7,35,8.948371918,78.06805708,AVAILABLE,,,PLAIN LAND," sc line, Plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.06805708 8.948371918, 78.06764234 8.949984174)"
