SL.NO,TOWER NO,Joint Box,Tower Suspension/ Tension,DEVIATION OF ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER NO,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
10,10,,T,"02°41'00""LT",PB,20.85,T9-T10,240.3550425,2.38,71,8.235152398,77.56317112,GOOD,AVAILABLE,,Odai(Nala),Agri land," fencing, Odai(Nala)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56317112 8.235152398, 77.56240502 8.236942906)"
11,11,,T,"02°58'21""RT",PB,20.85,T10-T11,215.3891997,2.73,68,8.236942906,77.56240502,GOOD,AVAILABLE,,,Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56240502 8.236942906, 77.56162752 8.239057914)"
12,12,,T,"04°50'37""LT",PB+3,23.85,T11-T12,249.2509226,2.62,68,8.239057914,77.56162752,GOOD,AVAILABLE,11KV LINE-4NOS,,Agri land,"11kv Line -4Nos,11kv transfromer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56162752 8.239057914, 77.56075043 8.240935345)"
13,13,2W,T,"86°43'13""LT",PC,21.65,T12-T13,229.156729,2.43,75,8.240935345,77.56075043,GOOD,AVAILABLE,11KV LINE,Odai(Nala),Agri land,"11kv Line,  lilo Odai(Nala)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.56075043 8.240935345, 77.55862713 8.240094566)"
14,14,,T,"31°57'25""RT",PC,21.65,T13-T14,251.8924366,2.41,73,8.240094566,77.55862713,GOOD,AVAILABLE,"11KV LINE, LT LINE","POND, CART TRACK",Agri land," pond, cart track, 11kv Line, lt Line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55862713 8.240094566, 77.55641565 8.240494125)"
15,15,,T,"00°28'0""LT",PB,20.85,T14-T15,247.7741532,2.51,74,8.240494125,77.55641565,GOOD,AVAILABLE,LT LINE,,Agri land,lt line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55641565 8.240494125, 77.55413913 8.240886371)"
16,16,,T,"13°36'46""RT",PB,20.85,T15-T16,254.6926768,2.6,75,8.240886371,77.55413913,GOOD,AVAILABLE,LT LINE,Odai(Nala),Agri land,"Odai(Nala), lt Line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55413913 8.240886371, 77.55144182 8.242050095)"
17,17,,T,0°00'00,PB,20.85,T16-T17,324.0400317,2.31,79,8.242050095,77.55144182,GOOD,AVAILABLE,"11KV LINE, LT LINE",Odai(Nala),Agri land,"Odai(Nala), mango gradan,11kv line, lt Line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.55144182 8.242050095, 77.54903454 8.243089055)"
18,18,,T,"11°05'45""LT",PB,20.85,T17-T18,289.2128849,2.49,78,8.243089055,77.54903454,GOOD,AVAILABLE,,,Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54903454 8.243089055, 77.54693136 8.243546996)"
19,19,,T,"03°40'05""RT",PB,20.85,T18-T19,237.3278761,2.68,81,8.243546996,77.54693136,GOOD,AVAILABLE,11KV LINE,Odai(Nala),Agri land,"compound wall, Odai(Nala), 11kv Line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.54693136 8.243546996, 77.5447502 8.244169931)"
20,20,,T,"82°25'55""LT",PC,21.65,T19-T20,250.1362649,2.57,83,8.244169931,77.5447502,GOOD,AVAILABLE,11KVLINE-4NOS,,Agri land," 11kv  line -4 Nos,transformer - 2nos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5447502 8.244169931, 77.54466734 8.243980685)"
GANTRY,KANNANALLUR,2W,,,,,T20-Kannaallur Gantry,22.84731932,,80,8.243980685,77.54466734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
