S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
31,58,S,DA,26,57-58,288.07582650431146,4.6,87.177124,,9.48303102515637,78.0590340401977,GOOD,Available,LT -2NO,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0590340401977 9.48303102515637, 78.0616119783371 9.48307201266288)"
32,59,S,DA,26,58-59,283.3669838655611,2.59,86.006493,,9.48307201266288,78.0616119783371,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0616119783371 9.48307201266288, 78.0642660241574 9.48310000821948)"
33,60,S,DA,26,59-60,291.7111028081083,1.74,84.6798249999999,,9.48310000821948,78.0642660241574,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0642660241574 9.48310000821948, 78.0671240016818 9.48309296742081)"
34,61,S,DA,26,60-61,314.108084927683,2.17,84.989784,,9.48309296742081,78.0671240016818,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0671240016818 9.48309296742081, 78.0697369761765 9.48310503736138)"
35,62,T,DC,26,61-62,287.1823843709373,5.03,83.970421,"0°39'36"" L",9.48310503736138,78.0697369761765,GOOD,Available,400 KV,,AGRI,UP LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0697369761765 9.48310503736138, 78.0725360289216 9.48314996436238)"
36,63,S,DA,26,62-63,307.66967613912453,4.26,84.6605679999999,,9.48314996436238,78.0725360289216,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0725360289216 9.48314996436238, 78.0753489956259 9.48314300738275)"
37,64,S,DA,26,63-64,309.1588703339091,1.82,85.08493,,9.48314300738275,78.0753489956259,GOOD,Available,,CANAL,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0753489956259 9.48314300738275, 78.0778880417346 9.48317896574735)"
38,65,S,DA,26,64-65,279.0805110487981,3.53,85.557777,,9.48317896574735,78.0778880417346,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0778880417346 9.48317896574735, 78.0794309824705 9.48317997157573)"
39,66,S,DA,26,65-66,169.5755685326294,2.91,82.573143,,9.48317997157573,78.0794309824705,GOOD,Available,LT,"ROAD,POND",Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0794309824705 9.48317997157573, 78.081411961466 9.48327099904418)"
40,67,T,DC,26,66-67,217.95044803940107,3.67,82.8915789999999,"12°31'0"" L",9.48327099904418,78.081411961466,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.081411961466 9.48327099904418, 78.0830730032175 9.48371800594031)"
