S.No,Tower No.,Joint box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
52,83,,S,DA,26,82-83,300.8233226,3.08,FALSE,110.280075,,9.860722222,78.32638889,GOOD,Available,LT,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.32638888888889 9.860722222222222, 78.32897222222222 9.86)"
53,84,,S,DA,26,83-84,294.3592382,2.77,FALSE,102.879547,,9.86,78.32897222,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.32897222222222 9.86, 78.33149999999999 9.859361111111111)"
54,85,2W,T,DC,26,84-85,286.4749754,2.43,FALSE,109.368683,"1°32'0"" R",9.859361111,78.3315,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.33149999999999 9.859361111111111, 78.33391666666667 9.858666666666666)"
55,86,,S,DA,26,85-86,276.3465392,1.85,FALSE,107.682121,,9.858666667,78.33391667,GOOD,Available,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.33391666666667 9.858666666666666, 78.33663888888888 9.857999999999999)"
56,87,,S,DA,26,86-87,307.0295059,3.52,FALSE,99.236183,,9.858,78.33663889,GOOD,Available,LT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.33663888888888 9.857999999999999, 78.33911111111111 9.857305555555556)"
57,88,,S,DA,26,87-88,284.4638476,2.26,FALSE,103.434418,,9.857305556,78.33911111,GOOD,Available,"LT,HT-2NO",ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.33911111111111 9.857305555555556, 78.34172222222222 9.856555555555556)"
58,89,,S,DA,26,88-89,296.5854902,3.85,FALSE,105.22094,,9.856555556,78.34172222,GOOD,Available,HT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.34172222222222 9.856555555555556, 78.34430555555555 9.85586111111111)"
59,90,,T,DC,26,89-90,295.1360212,2.77,FALSE,107.372742,"26°31'36"" L",9.855861111,78.34430556,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.34430555555555 9.85586111111111, 78.34605555555555 9.856222222222222)"
60,LILO :91 ,3W,T,DC,26,90-91,195.4564019,3.26,FALSE,110.763382,"0°8'13"" L",9.856222222,78.34605556,GOOD,Available,,POND,Water Logged,LILO at Arasanur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.34605555555555 9.856222222222222, 78.34788888888889 9.85661111111111)"
61,92,,S,DA,26,91-92,204.9932132,1.96,FALSE,106.640427,,9.856611111,78.34788889,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.34788888888889 9.85661111111111, 78.35024999999999 9.857083333333334)"
62,93,,S,DA,26,92-93,262.9550916,1.35,FALSE,107.693893,,9.857083333,78.35025,GOOD,Available,,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.35024999999999 9.857083333333334, 78.35241666666666 9.857527777777777)"
63,94,,S,DA,26,93-94,243.7434315,0.99,FALSE,108.264618,,9.857527778,78.35241667,GOOD,Available,,,Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.35241666666666 9.857527777777777, 78.35488888888888 9.857999999999999)"
64,95,,S,DA,26,94-95,275.7634664,1.34,FALSE,105.184158,,9.858,78.35488889,GOOD,Available,LT,Forest Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.35488888888888 9.857999999999999, 78.35747222222221 9.8585)"
65,96,,S,DA,26,95-96,290.0641687,1.97,FALSE,102.656273,,9.8585,78.35747222,GOOD,Available,,Forest Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.35747222222221 9.8585, 78.35997222222221 9.858972222222222)"
66,97,,T,DC,26,96-97,280.2354824,2.34,FALSE,103.483147,"0°22'22"" L",9.858972222,78.35997222,GOOD,Available,LT,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.35997222222221 9.858972222222222, 78.36261111111111 9.859499999999999)"
67,98,,S,DA,26,97-98,293.6984635,2.08,FALSE,103.703598,,9.8595,78.36261111,GOOD,Available,HT,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.36261111111111 9.859499999999999, 78.36508333333333 9.86)"
68,99,,S,DA,26,98-99,278.9913382,1.23,FALSE,99.78701,,9.86,78.36508333,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.36508333333333 9.86, 78.36749999999999 9.860444444444443)"
69,100,,S,DA,26,99-100,268.5362132,1.05,FALSE,99.782692,,9.860444444,78.3675,GOOD,Available,LT,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.36749999999999 9.860444444444443, 78.36997222222222 9.860972222222221)"
70,101,,S,DA,26,100-101,278.670469,5.1,FALSE,100.383949,,9.860972222,78.36997222,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.36997222222222 9.860972222222221, 78.37249999999999 9.861444444444444)"
71,102,,S,DA,26,101-102,282.948002,5.29,FALSE,99.212906,,9.861444444,78.3725,GOOD,Available,LT,Village Road,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.37249999999999 9.861444444444444, 78.37491666666666 9.861944444444443)"
72,103,,T,DC,26,102-103,269.6860796,5.19,FALSE,100.918098,"28°36'49"" R",9.861944444,78.37491667,GOOD,Available,HT,ROAD,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.37491666666666 9.861944444444443, 78.3758611111111 9.861666666666666)"
73,LILO :104/19,3W,T,DC,26,103-104/19,109.3145447,0.53,FALSE,100.058998,"5°56'20"" L",9.861666667,78.37586111,GOOD,Available,,,PLAIN, LILO to Sugar Factory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.3758611111111 9.861666666666666, 78.37741666666666 9.86136111111111)"
74,105,,T,DC,26,104/19-105,171.2681146,0.36,FALSE,96.769608,"4°18'18"" R",9.861361111,78.37741667,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.37741666666666 9.86136111111111, 78.37952777777777 9.860777777777777)"
75,106,,S,DA,26,105-106,242.6531304,0.78,FALSE,101.58876,,9.860777778,78.37952778,GOOD,Available,,POND,Water Logged,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.37952777777777 9.860777777777777, 78.38169444444443 9.860222222222221)"
76,107,,S,DA,26,106-107,245.9021639,0.93,FALSE,100.242149,,9.860222222,78.38169444,GOOD,Available,,,PLAIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.38169444444443 9.860222222222221, 78.38422222222223 9.859527777777778)"
