S.No,Tower No.,Joint Box,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length (m),Footing Resistance of Tower ( Ohms),,Ground Elevation (m),Deviation Angle (Degrees),Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
46,24,,T,DD+0,24,25-24,194,3.68,FALSE,232.5228271,34°3'3''LT,10.67150074,77.92106465,Good,Good,2-LT,THAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9210646450519 10.6715007405728, 77.9192125797271 10.6728504784405)"
47,23,,T,DB+0,22,24-23,258,1.56,FALSE,224.8323975,5°21'15''RT,10.67285048,77.91921258,Good,Good,22KV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9192125797271 10.6728504784405, 77.9177594091743 10.6741327419877)"
48,22,,T,DB+0,22,23-22,220,6.28,FALSE,219.5450439,11°1'60''LT,10.67413274,77.91775941,Good,Good,LT,THAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9177594091743 10.6741327419877, 77.9159180726855 10.6752142589539)"
49,21,,T,DB+0,22,22-21,241,1.36,FALSE,221.2275391,8°20'55''RT,10.67521426,77.91591807,Good,Good,"22KV, LT",CAR TRACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9159180726855 10.6752142589539, 77.9140854533761 10.6766847800463)"
50,20,,S,DA+0,24,21-20,265,1.69,FALSE,216.6611328,,10.67668478,77.91408545,Good,Good,LT,CAR TRACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9140854533761 10.6766847800463, 77.9123260080814 10.6782848853617)"
51,19,,S,DA+0,24,20-19,268,1.58,FALSE,221.4677734,,10.67828489,77.91232601,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9123260080814 10.6782848853617, 77.9101898800581 10.6801817938685)"
52,18,,T,DB+0,22,19-18,321,4.58,0,223.8710938,14°54'51''RT,10.68018179,77.91018988,Good,Good,LT,THAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9101898800581 10.6801817938685, 77.9090363625437 10.681927409023)"
53,17,,S,DA+0,24,18-17,238,6.58,0,230.8405762,,10.68192741,77.90903636,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9090363625437 10.681927409023, 77.9076384287327 10.6839165184646)"
54,16,,S,DA+0,24,17-16,275,4.47,FALSE,224.592041,,10.68391652,77.90763843,Good,Good,LT,CAR TRACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9076384287327 10.6839165184646, 77.9064327757805 10.6856199726462)"
55,15,2W,T,DB+0,22,16-15,237,6.89,FALSE,216.180542,13°48'40''LT,10.68561997,77.90643278,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9064327757805 10.6856199726462, 77.9060394968837 10.685960445553)"
56,14,,DP,DC+0,22,15-14,64,NIL,FALSE,224.8323975,16°22'48''LT,10.68596045,77.9060395,Good,Good,,400 KV MDU-PGLR (T.NO 326 & 237) ,,Our Line Under Crossing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9060394968837 10.685960445553, 77.9058027081191 10.686068739742)"
57,13,,DP,DB+0,22,14-13,35,NIL,FALSE,215.6998291,8°33'11''RT,10.68606874,77.90580271,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9058027081191 10.686068739742, 77.9054148774594 10.6863213703036)"
58,12,,T,DB+0,22,13-Dec,57,8.98,FALSE,215.6998291,9°26'24''RT,10.68632137,77.90541488,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9054148774594 10.6863213703036, 77.9044822230935 10.6871758215129)"
59,11,,S,DA+0,24,12-Nov,146,2.36,FALSE,222.6694336,,10.68717582,77.90448222,Good,Good,,THAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9044822230935 10.6871758215129, 77.9029168188571 10.6886538024991)"
60,10,,S,DA+0,24,11-Oct,244,1.36,FALSE,216.6611328,,10.6886538,77.90291682,Good,Good,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9029168188571 10.6886538024991, 77.9011283721774 10.6903260760009)"
61,9,,T,DB+0,22,10-Sep,276,2.65,FALSE,214.9788818,14°48'11''LT,10.69032608,77.90112837,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9011283721774 10.6903260760009, 77.8995379898697 10.6911832932382)"
62,8,,S,DA+0,24,09-Aug,205,2.98,FALSE,210.8933105,,10.69118329,77.89953799,Good,Good,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8995379898697 10.6911832932382, 77.8974991757422 10.6922892015427)"
63,7,,T,DB+0,22,08-Jul,261,1.16,FALSE,202.722168,1°0'43''RT,10.6922892,77.89749918,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8974991757422 10.6922892015427, 77.8955870959907 10.6933702155947)"
64,6,,S,DA+0,24,07-Jun,248,5.36,FALSE,210.6529541,,10.69337022,77.8955871,Good,Good,"LT,22KV",THAR ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8955870959907 10.6933702155947, 77.8933143429458 10.6942462082952)"
65,5,,S,DA+0,24,06-May,273,2.88,FALSE,206.5675049,,10.69424621,77.89331434,Good,Good,22KV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8933143429458 10.6942462082952, 77.8911172784864 10.6950882542878)"
66,4,,S,DA+0,24,05-Apr,264,2.44,FALSE,214.4981689,,10.69508825,77.89111728,Good,Good,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8911172784864 10.6950882542878, 77.8890359681099 10.695908088237)"
67,3,,T,DB+0,22,04-Mar,252,5.65,FALSE,215.6998291,4°39'31''RT,10.69590809,77.88903597,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8890359681099 10.695908088237, 77.8872375469654 10.6967900320887)"
68,2,,S,DA+0,24,03-Feb,226,2.37,FALSE,214.4981689,,10.69679003,77.88723755,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8872375469654 10.6967900320887, 77.8853111341595 10.6977318227291)"
69,231/1 LILO,3W,T,DD+0,24,2-1 LILO,242,1.98,FALSE,213.5369873,92°2'40''LT,10.69773182,77.88531113,Good,Good,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8853111341595 10.6977318227291, 77.8862145356833 10.6997143942862)"
70,230,,T,B+0,22,1 LILO-230,248,1.92,FALSE,207.2884521,2°8'20''RT,10.69971439,77.88621454,Good,Good,LT,,,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8862145356833 10.6997143942862, 77.8871831484138 10.7016443274915)"
71,229,,S,A+0,24,230-229,246,4.56,FALSE,199.3575439,,10.70164433,77.88718315,PEAK DAMAGED,Good,,,,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8871831484138 10.7016443274915, 77.8882330656051 10.7037708163261)"
72,228,,S,A+0,24,229-228,269,3.82,FALSE,201.2801514,,10.70377082,77.88823307,Good,Good,LT,THAR ROAD,,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8882330656051 10.7037708163261, 77.8891717549413 10.7056503742933)"
73,227,,S,A+0,24,228-227,239,3.42,FALSE,207.5288086,,10.70565037,77.88917175,Good,Good,"22KV,2-LT",,,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8891717549413 10.7056503742933, 77.8901193290948 10.7076516374945)"
74,226,,T,B+0,22,227-226,252,3.08,FALSE,206.8077393,10°19'57''RT,10.70765164,77.89011933,Good,Good,LT,MUD ROAD,,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8901193290948 10.7076516374945, 77.8915303386747 10.7096134219318)"
75,225,,S,A+0,24,226-225,274,2.68,FALSE,205.8465576,,10.70961342,77.89153034,Good,Good,,MUD ROAD,,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8915303386747 10.7096134219318, 77.8928661625832 10.7115678302943)"
76,224,,S,A+0,24,225-224,268,3.26,FALSE,204.404541,,10.71156783,77.89286616,Good,Good,2-LT,THAR ROAD,,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8928661625832 10.7115678302943, 77.8942081052809 10.713538583368)"
77,223,,S,A+0,24,224-223,270,0.14,0,204.404541,,10.71353858,77.89420811,Good,Good,"22KV,2-LT",MUD ROAD,,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8942081052809 10.713538583368, 77.8951769694685 10.7149031572043)"
78,222,,T,B+0,22,223-222,192,1.16,FALSE,205.8465576,1°2'52''LT,10.71490316,77.89517697,Good,Good,,MUD ROAD,,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8951769694685 10.7149031572043, 77.8962635155767 10.7164945453405)"
79,221,,S,A+0,24,222-221,220,1.61,FALSE,193.8300781,,10.71649455,77.89626352,Good,Good,"22KV,3-LT",THAR ROAD,,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8962635155767 10.7164945453405, 77.8975310269743 10.7182891946285)"
80,220,,T,D+0,24,221-220,249,5.4,FALSE,166.4326172,45°25'5''RT,10.71828919,77.89753103,Good,Good,4-LT,THAR ROAD,,S/C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8975310269743 10.7182891946285, 77.8974541649222 10.7187362853437)"
81,Pallapatty Gantry,2W,BAY,GANTRY,12,220-Pallapatty Gantry,57,NIL,,195.5123291,,10.71873629,77.89745416,Good,NO E/W,,,,PALLAPPATTY SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,TOTAL KM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,RNPM Jursdication,,,16202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,TRY Jursdication,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
