S.No,Tower No.,Joint box,Tower Suspension / Tension,Tower Model,Tower Type,Tower Height (m),Span Between Tower No.,Span Length (m),Footing Resistance of Tower ( Ohms),,Ground Elevation(m),"Deviation Angle
Degrees",Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
28,59,,S,PA,A+0,24,58-59,200,6.1,FALSE,347.1590576,,10.26499378,78.09490381,Good,Good,LT,CAR TRACK,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0949038080871 10.2649937756359, 78.0954497214406 10.2648716513067)"
29,LILO AMBIKA MILL,,T,,DB+0,22,59-LILO AMBIKA MILL,70,7.1,FALSE,344.0349121,6°1'44''RT,10.26487165,78.09544972,Good,Good,2-22KV,MUD ROAD,AGRI,D/C AMBIKA MILL PVT LTD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0954497214406 10.2648716513067, 78.0969410296529 10.2643700782209)"
30,60,,S,PA,A+0,24,LILO AMBIKA MILL-60,181,6.88,FALSE,345.2364502,,10.26437008,78.09694103,Good,Good,,,AGRI,WATER LOGGED AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0969410296529 10.2643700782209, 78.0991279520094 10.2635970991104)"
31,61,,S,PA,A+0,24,60-61,263,3.1,FALSE,346.197876,,10.2635971,78.09912795,Good,Good,,,Plain,WATER LOGGED AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.0991279520094 10.2635970991104, 78.1005681306123 10.2630994655191)"
32,62,,S,PA,A+0,24,61-62,176,2.18,0,335.8637695,,10.26309947,78.10056813,Good,Good,,THAR ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1005681306123 10.2630994655191, 78.1023674737662 10.2625164203345)"
33,63,,S,PA,A+0,24,62-63,216,1.9,FALSE,345.2364502,,10.26251642,78.10236747,Good,Good,,ODAI,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1023674737662 10.2625164203345, 78.1042523123323 10.2619086485356)"
34,64,,T,PB,C+0,22,63-64,226,1.61,FALSE,349.3221436,22°7'54''LT,10.26190865,78.10425231,Good,Good,LT,,Plain,WATER LOGGED AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1042523123323 10.2619086485356, 78.1065748538821 10.2620734367519)"
35,65,,T,,B+0,22,64-65,263,,FALSE,350.2834473,11°32'6''RT,10.26207344,78.10657485,Good,Good,,,Plain,WATER LOGGED AREA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1065748538821 10.2620734367519, 78.106830921024 10.2620403282344)"
36,KURUMBAPATTY GANTRY,2W,T,,BAY,12,65-KURUMBAPATTY GANTRY,37,NIL,,352.6867676,0°9'20''RT,10.26204033,78.10683092,Good,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,TOTAL KM,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
