SL.NO,TOWER NO,Joint Box,Tower Suspension/ Tension,DIVATIONN OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),FOOTING RESIDENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
10,10,,T,"29°50'12""LT",HC,21.94,T9-T10,268.3043494,2.4,69,9.41537662,77.98455488,GOOD,AVAILABLE,,ODAI(NALA),AGRI LAND,"DC line, ODAI(nala),AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9845548793673 9.41537661981043, 77.9843815416097 9.41794164932237)"
11,11,,S,,GC,23.62,T10-T11,285.196822,1.62,70,9.417941649,77.98438154,GOOD,AVAILABLE,LT LINE,,AGRI LAND,"DC line,LT line,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9843815416097 9.41794164932237, 77.9841917753219 9.42025164799422)"
12,12,,T,"9°13'1""RT",HC,21.94,T11-T12,255.991125,2.74,69,9.420251648,77.98419178,GOOD,AVAILABLE,LT LINE-2NOS,,AGRI LAND,"DC line,2nos LT line,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9841917753219 9.42025164799422, 77.9844382032752 9.42273329172169)"
13,13,,S,,GC,23.62,T12-T13,276.1388533,1.46,69,9.422733292,77.9844382,GOOD,AVAILABLE,LT LINE,,AGRI LAND,"DC line,LT line,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9844382032752 9.42273329172169, 77.984633333981 9.42536342431231)"
14,14,,S,,GC,23.62,T13-T14,291.8907575,1.59,69,9.425363424,77.98463333,GOOD,AVAILABLE,,,AGRI LAND,"DC line,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.984633333981 9.42536342431231, 77.9847949370741 9.42763996781636)"
15,15,,S,,GC,23.62,T14-T15,252.6547465,1.78,81,9.427639968,77.98479494,GOOD,AVAILABLE,11KV LINE,,AGRI LAND,"DC line,11 KV line,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9847949370741 9.42763996781636, 77.9850584641099 9.43011328979127)"
16,16,,T,"3°39'29""RT",HC,21.94,T15-T16,275.3417045,2.48,85,9.43011329,77.98505846,GOOD,AVAILABLE,,,AGRI LAND,"DC line,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9850584641099 9.43011328979127, 77.9853749647736 9.43247347994453)"
17,17,2W,T,"1°35'13""RT",HC,21.94,T16-T17,263.5964215,2.98,83,9.43247348,77.98537496,GOOD,AVAILABLE,,,AGRI LAND,"DC line,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9853749647736 9.43247347994453, 77.9857451096177 9.43488987986734)"
18,18,,S,,GC,23.62,T17-T18,270.5836359,1.84,83,9.43488988,77.98574511,GOOD,AVAILABLE,,,AGRI LAND,"DC line,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9857451096177 9.43488987986734, 77.9861467704177 9.43721994013052)"
19,19,,T,"6°51'33""LT",HC,21.94,T18-T19,261.7113343,2.97,89,9.43721994,77.98614677,GOOD,AVAILABLE,,,AGRI LAND,"DC line,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9861467704177 9.43721994013052, 77.986208461225 9.43933335235452)"
20,20,,S,,GC,23.62,T19-T20,234.0677919,1.38,89,9.439333352,77.98620846,GOOD,AVAILABLE,,,AGRI LAND,"DC line,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.986208461225 9.43933335235452, 77.9863251373171 9.44160484262261)"
21,21,,T,"1°38'9""RT",HC,21.94,T20-T21,251.7973437,2.58,88,9.441604843,77.98632514,GOOD,AVAILABLE,LT LINE,,AGRI LAND,"DC line,LT line,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9863251373171 9.44160484262261, 77.9864850640297 9.44390509160362)"
22,22,,T,"13°55'20""LT",HC,21.94,T21-T22,255.2569146,2.76,88,9.443905092,77.98648506,GOOD,AVAILABLE,"LT LINE,11KV LINE",,AGRI LAND,"DC line,LT line,11 KV line,2 FENCing,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9864850640297 9.44390509160362, 77.9862248897552 9.44568508681492)"
23,23,,S,,GC,23.62,T22-T23,199.1254974,1.84,86,9.445685087,77.98622489,GOOD,AVAILABLE,,,AGRI LAND,"DC line,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9862248897552 9.44568508681492, 77.9857451096177 9.44808320405463)"
24,24,,T,"23°29'58""RT",HC,21.94,T23-T24,270.6766168,2.98,85,9.448083204,77.98574511,GOOD,AVAILABLE,11KV LINE,,AGRI LAND,"DC line,11 KV line,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9857451096177 9.44808320405463, 77.9862815514206 9.45030006684985)"
25,25,,S,,GC,23.62,T24-T25,252.4063188,1.36,91,9.450300067,77.98628155,GOOD,AVAILABLE,LT LINE,,AGRI LAND,"DC line,LT line,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9862815514206 9.45030006684985, 77.986758314073 9.45224175308779)"
26,26,,S,,GC,23.62,T25-T26,221.2550044,1.84,91,9.452241753,77.98675831,GOOD,AVAILABLE,11KV LINE,,AGRI LAND,"DC line,11 KV line,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.986758314073 9.45224175308779, 77.9872699454426 9.45437657005835)"
27,27,,T,"16°54'25""LT",HC,21.94,T26-T27,242.9387361,2.9,92,9.45437657,77.98726995,GOOD,AVAILABLE,11KV LINE,,AGRI LAND,"DC line,11 KV line,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9872699454426 9.45437657005835, 77.9871217533946 9.45670319128497)"
28,28,,S,,GC,23.62,T27-T28,258.1156162,1.53,92,9.456703191,77.98712175,GOOD,AVAILABLE,,,AGRI LAND,"DC line,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9871217533946 9.45670319128497, 77.987011782825 9.45871660715876)"
29,29,2W,T,"9°41'19""RT",HC,21.94,T28-T29,223.2003744,2.49,89,9.458716607,77.98701178,GOOD,AVAILABLE,11 KV LINE,,AGRI LAND,"DC line,11 KV line,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.987011782825 9.45871660715876, 77.9872749745845 9.4610031824418)"
30,30,,S,,GC,23.62,T29-T30,254.7888566,1.78,89,9.461003182,77.98727497,GOOD,AVAILABLE,11 KV LINE,,AGRI LAND,"DC line,11 KV line,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9872749745845 9.4610031824418, 77.9875317960977 9.46330826246831)"
31,31,,S,,GC,23.62,T30-T31,256.7458424,1.76,85,9.463308262,77.9875318,GOOD,AVAILABLE,,,AGRI LAND,"DC line,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9875317960977 9.46330826246831, 77.987791635096 9.46560671281383)"
32,32,,S,,GC,23.62,T31-T32,256.0530142,1.74,82,9.465606713,77.98779164,GOOD,AVAILABLE,,,AGRI LAND,"DC line,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.987791635096 9.46560671281383, 77.9880182817578 9.46775500588523)"
33,33,,T,"46°38'12""LT",KC,24,T32-T33,239.1331225,1.37,85,9.467755006,77.98801828,GOOD,AVAILABLE,,,AGRI LAND,"DC line,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9880182817578 9.46775500588523, 77.9863834753632 9.46978158531223)"
34,34,,S,,GC+3,26.62,T33-T34,287.4452785,2.69,84,9.469781585,77.98638348,GOOD,AVAILABLE,,"ODAI(NALA), POND",WAATER LOGGED AREA,"DC line,ODAI(nala),POND, water logged  AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9863834753632 9.46978158531223, 77.9846283048391 9.47171985448196)"
35,35 (LILO),3W,T(LILO),"62°18'42""LT",KC+3,27,T34-T35,288.5522135,2.82,84,9.471719854,77.9846283,GOOD,AVAILABLE,,POND,WAATER LOGGED AREA,"DC line,LILO,POND ,water loggedAREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9846283048391 9.47171985448196, 77.9833800718188 9.47158492669744)"
36,36,,S,,GC+3,26.62,T35-T36,138.0089679,2.53,81,9.471584927,77.98338007,GOOD,NOT AVAILABLE,,POND,WAATER LOGGED AREA,"DC line,T35 TO T36 EARTH WIRE IS NOT AVAILABLE,POND, Water logged  AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9833800718188 9.47158492669744, 77.9807816818356 9.47090003509137)"
37,37,,S,,GC,23.62,T36-T37,295.4920366,1.45,80,9.470900035,77.98078168,GOOD,AVAILABLE,,,AGRI LAND,"DC line,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9807816818356 9.47090003509137, 77.9783334955573 9.47031832260633)"
38,38,,T,"17°34'11""RT",HC,21.94,T37-T38,276.6881099,2.86,79,9.470318323,77.9783335,GOOD,AVAILABLE,,,WAATER LOGGED AREA,"DC line,POND,water logged AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9783334955573 9.47031832260633, 77.9758849740028 9.47053989598286)"
39,39,,S,,GC,23.62,T38-T39,270.2415389,1.58,81,9.470539896,77.97588497,GOOD,AVAILABLE,,,AGRI LAND,"DC line,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9758849740028 9.47053989598286, 77.9731283336877 9.47068838313579)"
40,40,,S,,GC,23.62,T39-T40,303.4371105,1.32,81,9.470688383,77.97312833,GOOD,AVAILABLE,,,AGRI LAND,"DC line,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9731283336877 9.47068838313579, 77.9706848412752 9.47090003509137)"
41,41,,S,,GC,23.62,T40-T41,269.5918084,1.38,81,9.470900035,77.97068484,GOOD,AVAILABLE,,,AGRI LAND,"DC line,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9706848412752 9.47090003509137, 77.9679298773408 9.47128828380831)"
42,42,,S,,GC,23.62,T41-T42,305.8403962,1.56,79,9.471288284,77.96792988,GOOD,AVAILABLE,,,AGRI LAND,"DC line,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9679298773408 9.47128828380831, 77.9652848839759 9.47138848762225)"
43,43,,S,,GC,23.62,T42-T43,290.9285524,1.93,82,9.471388488,77.96528488,GOOD,AVAILABLE,,,AGRI LAND,"DC line,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9652848839759 9.47138848762225, 77.9629101231694 9.47159848561935)"
44,44,,S,,GC,23.62,T43-T44,262.049823,1.42,82,9.471598486,77.96291012,GOOD,AVAILABLE,,,AGRI LAND,"DC line,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9629101231694 9.47159848561935, 77.9600334540009 9.47188487638166)"
45,45,,T,"4°40'35""RT",HC,21.94,T44-T45,317.7627072,2.58,81,9.471884876,77.96003345,GOOD,AVAILABLE,11KV LINE,,AGRI LAND,"DC line,11 KV LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9600334540009 9.47188487638166, 77.9571698606014 9.47232339110456)"
46,46,,S,,GC,23.62,T45-T46,318.4633293,1.7,81,9.472323391,77.95716986,GOOD,AVAILABLE,,,AGRI LAND,"DC line,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9571698606014 9.47232339110456, 77.9547065868973 9.4727916686519)"
47,47,,S,,GC,23.62,T46-T47,275.6587105,1.82,81,9.472791669,77.95470659,GOOD,AVAILABLE,,,AGRI LAND,"DC line,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9547065868973 9.4727916686519, 77.9516384750604 9.47329500016233)"
48,48,2W,T,"0°31'2""LT",HC,21.94,T47-T48,341.7895298,2.73,75,9.473295,77.95163848,GOOD,AVAILABLE,LT LINE,,AGRI LAND,"DC line,LT LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9516384750604 9.47329500016233, 77.9490032047033 9.47367828562056)"
49,49,,S,,GC,23.62,T48-T49,292.7350009,1.84,75,9.473678286,77.9490032,GOOD,AVAILABLE,,,AGRI LAND,"DC line,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9490032047033 9.47367828562056, 77.9459488391876 9.47416772630845)"
50,50,,S,,GC,23.62,T49-T50,340.0483491,1.74,75,9.474167726,77.94594884,GOOD,AVAILABLE,"LT LINE,11KV LINE",,AGRI LAND,"DC line,LT LINE,11 KV LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9459488391876 9.47416772630845, 77.9433766007423 9.47457349856595)"
51,51,,S,,GC,23.62,T50-T51,286.259254,1.87,79,9.474573499,77.9433766,GOOD,AVAILABLE,,,AGRI LAND,"DC line,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9433766007423 9.47457349856595, 77.9407011 9.475031191)"
52,52,,T,"6°7'36""RT",HC,21.94,T51-T52,298.3940367,2.93,81,9.475031191,77.9407011,GOOD,AVAILABLE,,,AGRI LAND,"DC Line, agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9407011 9.475031191, 77.93974791 9.475288477)"
53,53,,T,"0°57'23""LT",HC,21.94,T52-T53,108.5667961,2.74,81,9.475288477,77.93974791,GOOD,AVAILABLE,,RAILWAY CROSSING,PLAIN LAND,"DC Line,railway crossing, PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93974791 9.475288477, 77.9360659 9.474323487)"
54,54,,S,,GC,23.62,T53-T54,418.5454352,1.67,81,9.474323487,77.9360659,GOOD,AVAILABLE,"LT LINE, 11KV LINE",,AGRI LAND,"DC Line,agri land lt LINE, 11kv LINE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.9360659 9.474323487, 77.93839473 9.475629761)"
55,55,,T,"43°53'29""LT",KC+3,27,T54-T55,293.9821699,2.59,83,9.475629761,77.93839473,GOOD,AVAILABLE,,NH44 HIGHWAY,PLAIN LAND,"DC Line, NH44 HIGHWAY. Plain land ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93839473 9.475629761, 77.93379139 9.473048956)"
56,56,,S,,GC,23.62,T55-T56,581.038137,1.47,84,9.473048956,77.93379139,GOOD,AVAILABLE,,,PLAIN LAND,"DC Line, plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93379139 9.473048956, 77.93180991 9.47191001)"
57,57,,T,"34°58'35""LT",KC,24,T56-T57,251.6477578,2.88,84,9.47191001,77.93180991,GOOD,AVAILABLE,,,PLAIN LAND,"DC Line,pond ,3noslt line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93180991 9.47191001, 77.93073166 9.469659885)"
58,58,,S,,GC,23.62,T57-T58,275.8466305,2.43,84,9.469659885,77.93073166,GOOD,AVAILABLE,,cart track,PLAIN LAND,"DC Line, plain land ,cart track",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.93073166 9.469659885, 77.92975534 9.467609163)"
59,59,,S,,GC,23.62,T58-T59,251.1030085,1.43,86,9.467609163,77.92975534,GOOD,AVAILABLE,,,AGRI LAND,"DC Line, agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92975534 9.467609163, 77.92869419 9.465390428)"
60,60,,T,"1°28'6""LT",HC,21.94,T59-T60,271.9018604,2.75,86,9.465390428,77.92869419,GOOD,AVAILABLE,11KV LINE,,AGRI LAND,"DC Line, agri land  ,11kv line",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92869419 9.465390428, 77.92781208 9.463415414)"
61,61,,T,"6°44'30""RT",HC,21.94,T60-T61,239.1698358,2.97,87,9.463415414,77.92781208,GOOD,AVAILABLE,LT LINE,cart track,PLAIN LAND,"DC Line,plain land ,lt line, cart track",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92781208 9.463415414, 77.92751435 9.462916698)"
62,62,,T,"79°14'6""RT",KC+3,27,T61-T62,64.17811845,2.47,87,9.462916698,77.92751435,GOOD,AVAILABLE,LT LINE,ROAD,PLAIN LAND,"DC Line, ramco cement factory compound wall , lt  line,road , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92751435 9.462916698, 77.92697489 9.463110496)"
63,63,,T,"68°27'37""LT",KC+3,27,T62-T63,63.05449989,2.68,88,9.463110496,77.92697489,GOOD,AVAILABLE,,ROAD,PLAIN LAND,"DC Line, ramco cement factory compound wall , road , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92697489 9.463110496, 77.92653333 9.462613764)"
64,64,,T,"59°46'10""RT",KC,24,T63-T64,73.34261141,2.95,88,9.462613764,77.92653333,GOOD,AVAILABLE,11KV LINE,,,"DC Line,11kvline, ramco cemet factory land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92653333 9.462613764, 77.92566698 9.462784081)"
65,65,,T,"55°50'1""RT",KC+3,27,T64-T65,97.07069097,2.62,88,9.462784081,77.92566698,GOOD,AVAILABLE,,ROAD,PLAIN LAND,"DC Line, ramco cement factory land, road , plain land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.92566698 9.462784081, 77.9254856 9.463209048)"
,Gantry (Thulukarpatti),2W,,,,,T65-Gantry (Thulukarpatti),51.09417957,,87,9.463209048,77.9254856,GOOD,AVAILABLE,,,,pay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
