S. No ,Tower No,Joint Box,Type,Supspension/ Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts, broken, etc)","Condition of Earht wire (Missing, Broken etc)",GROUND EARTH AVAILABLE,Crossing Objects,,Condition of Area (Plain/Hilly/ Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,T.NO-10 110KV PARAPATTI SS,3W,DD,T,28,09-Oct,279.7230773,3.93,104,"94°31'4.27""",9.43557537,77.81780809,GOOD,GOOD,YES,"33KV,LT","NALA,MUD ROAD, TAAR ROAD",INSIDE SS,NEED 3WAY JUNCTION BOX. TOWER TO GANTRY NO EARTH WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81780809 9.43557537, 77.8170831 9.43593352)"
13,T.NO-11,,DD,T,28,10-Nov,89,3.47,106,"99°26'11.54""",9.43593352,77.8170831,GOOD,GOOD,NO,,,INSIDE SS,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8170831 9.43593352, 77.81771799 9.43680477)"
14,T.NO-12,,DC,T,26,11-Dec,119.0378091,2.84,105,"15°7'23.32""",9.43680477,77.81771799,GOOD,GOOD,NO,33KV,TAARROAD,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81771799 9.43680477, 77.81865696 9.43926365)"
15,T.NO-13,,DA,S,29,Dec-13,291.0841803,3.41,105,,9.43926365,77.81865696,GOOD,GOOD,NO,2nos LT,2nos TAAR ROAD,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81865696 9.43926365, 77.81961458 9.44177658)"
16,T.NO-14,,DA,S,29,13-14,297.4054472,3.04,108,,9.44177658,77.81961458,GOOD,GOOD,NO,NALA,11KV,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81961458 9.44177658, 77.82046134 9.4440826)"
17,T.NO-15,,DA,S,29,14-15,271.6928413,4.11,114,,9.4440826,77.82046134,GOOD,GOOD,NO,11KV,MUDRAOAD,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82046134 9.4440826, 77.8214187 9.44655938)"
18,T.NO-16,,DA,S,29,15-16,293.6562616,3.61,111,,9.44655938,77.8214187,GOOD,GOOD,NO,,MUDRAOAD,PLAIN LAND,BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8214187 9.44655938, 77.82222948 9.44891085)"
19,T.NO-17,,DA,S,29,16-17,275.1181564,4.36,113,,9.44891085,77.82222948,GOOD,GOOD,NO,11KV,TAARROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82222948 9.44891085, 77.82306889 9.45142471)"
20,T.NO-18,,DA,S,26,17-18,293.1569545,3.89,119,,9.45142471,77.82306889,GOOD,GOOD,NO,LT,TAARROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82306889 9.45142471, 77.8237967 9.45364132)"
21,T.NO-19,2W,DB,T,24,18-19,258.069758,3.14,117,"2°14'46.38""",9.45364132,77.8237967,GOOD,GOOD,NO,33KV,"TAARROAD, MUDROAD",PLAIN LAND,ONE FEEDER CONNECT TO 33KV POLE FROM THIS TOWER .OUR FEEDER AND EARTH WIRE CONTINUE TO OUR T.NO-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8237967 9.45364132, 77.8244805 9.45603897)"
22,T.NO-20,,SA,S,26,19-20,275.8350957,5.85,115,,9.45603897,77.8244805,GOOD,GOOD,NO,2nos LT,TAARROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8244805 9.45603897, 77.82513725 9.45846393)"
23,T.NO-21,,SA,S,29,20-21,277.95863,4.31,117,,9.45846393,77.82513725,GOOD,GOOD,NO,2nos LT,MUDROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82513725 9.45846393, 77.82575747 9.46087112)"
24,T.NO-22,,SA,S,26,21-22,275.0363612,4.449,114,,9.46087112,77.82575747,GOOD,GOOD,NO,,MUDROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82575747 9.46087112, 77.82644176 9.46332296)"
25,T.NO-23,,SB,T,24,22-23,281.625638,3.22,110,"14°48'27.92""",9.46332296,77.82644176,GOOD,GOOD,NO,,MUDROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82644176 9.46332296, 77.82647051 9.46572587)"
26,T.NO-24,,SA,S,26,23-24,266.0018797,3.69,107,,9.46572587,77.82647051,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82647051 9.46572587, 77.82660024 9.46823638)"
27,T.NO-25,,SA,S,26,24-25,278.2588723,4.1,105,,9.46823638,77.82660024,GOOD,GOOD,NO,LT,TAARROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82660024 9.46823638, 77.82664801 9.47073852)"
28,T.NO-26,,SA,S,26,25-26,277.016245,5.33,105,,9.47073852,77.82664801,GOOD,GOOD,NO,,MUDROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82664801 9.47073852, 77.82665961 9.47326805)"
29,T.NO-27,,SA,S,26,26-27,280.0017857,4.86,106,,9.47326805,77.82665961,GOOD,GOOD,NO,"11KV,33KV",MUDROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82665961 9.47326805, 77.82678004 9.47575153)"
30,T.NO-28,,SA,S,26,27-28,275.2199121,3.64,100,,9.47575153,77.82678004,GOOD,GOOD,NO,,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82678004 9.47575153, 77.82685697 9.47847929)"
31,T.NO-29,,SB,T,24,28-29,302.0595968,4.1,100,"13°18'20.32""",9.47847929,77.82685697,GOOD,GOOD,NO,,POND,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82685697 9.47847929, 77.82634912 9.48091364)"
32,T.NO-30,,SA,S,26,29-30,275.1817581,2.64,96,,9.48091364,77.82634912,GOOD,GOOD,NO,11KV,TAAR ROAD,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82634912 9.48091364, 77.82584105 9.48332088)"
33,T.NO-31,,SA,S,26,30-31,272.2498852,6.09,98,,9.48332088,77.82584105,GOOD,GOOD,YES,11KV,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82584105 9.48332088, 77.82535125 9.48573702)"
34,T.NO-32,,SC,T,35,31-32,272.8094573,4.63,97,"21°15'57.42""",9.48573702,77.82535125,GOOD,GOOD,YES,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82535125 9.48573702, 77.82454252 9.48699029)"
35,T.NO-33,2W,SC,T,35,32-33,164.7543626,3.17,100,"24°27'47.06""",9.48699029,77.82454252,GOOD,GOOD,YES,,NON ELECTRICAL RAILWAY CROSSING,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82454252 9.48699029, 77.82233372 9.48840845)"
36,T.NO-34,,SA,S,26,33-34,289.0691959,2.61,107,,9.48840845,77.82233372,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82233372 9.48840845, 77.82004338 9.48987243)"
37,T.NO-35,,SA,S,26,34-35,299.347624,3.46,103,,9.48987243,77.82004338,GOOD,GOOD,NO,LT,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.82004338 9.48987243, 77.8177164 9.49130959)"
38,T.NO-36,,SA,S,26,35-36,301.1610865,4.73,98,,9.49130959,77.8177164,GOOD,GOOD,NO,3nos LT,,PLAIN LAND,INSIDE POND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8177164 9.49130959, 77.81538104 9.49283715)"
39,T.NO-37,,SA,S,26,36-37,307.332068,3.6,100,,9.49283715,77.81538104,GOOD,GOOD,NO,2nos LT,"MUDROAD,TAAR ROAD",PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81538104 9.49283715, 77.81315381 9.49423735)"
40,T.NO-38,,SD,T,28,37-38,289.6981187,4.12,99,"46°51'40.43""",9.49423735,77.81315381,GOOD,GOOD,NO,NALA,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.81315381 9.49423735, 77.8105639 9.49357156)"
41,T.NO-39,,SA,S,26,38-39,293.9931972,3.23,100,,9.49357156,77.8105639,GOOD,GOOD,NO,33KV,MUDROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8105639 9.49357156, 77.80802844 9.49288724)"
42,T.NO-40,,SA,S,26,39-40,288.7351728,2.67,97,,9.49288724,77.80802844,GOOD,GOOD,NO,33KV,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80802844 9.49288724, 77.80547546 9.49228435)"
43,T.NO-41,,SA,S,26,40-41,288.37649,2.21,103,,9.49228435,77.80547546,GOOD,GOOD,NO,LT,"TAAR ROAD,NALA",PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80547546 9.49228435, 77.8029858 9.49163576)"
44,T.NO-42,,SA,S,26,41-42,282.8515512,2.39,104,,9.49163576,77.8029858,GOOD,GOOD,NO,LT,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.8029858 9.49163576, 77.80056932 9.49103174)"
45,T.NO-43,,SD,T,28,42-43,273.8357172,3.36,105,"45°55'18.05""",9.49103174,77.80056932,GOOD,GOOD,NO,LT,CANAL,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.80056932 9.49103174, 77.79933257 9.48890045)"
46,T.NO-44,,SD,T,28,43-44,272.2590678,2.83,104,"54°16'37.47""",9.48890045,77.79933257,GOOD,GOOD,NO,,POND,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79933257 9.48890045, 77.79650009 9.48861593)"
47,T.NO-45,,SA,S,26,44-45,312.8530006,1.74,104,,9.48861593,77.79650009,GOOD,GOOD,NO,LT,NALA,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79650009 9.48861593, 77.79389509 9.48832957)"
48,T.NO-46,,SA,S,26,45-46,288.0138886,2.66,106,,9.48832957,77.79389509,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79389509 9.48832957, 77.79239226 9.48816991)"
49,T.NO-1 LILO 110KV THIRUTHANGAL ,3W,SB,T,24,46-1,166.0903369,2.79,105,"2°27'2.07""",9.48816991,77.79239226,GOOD,GOOD,NO,,,CULTIVATION,NEED 3WAY JUNCTION BOX . 2EARTH WIRE ON THIS TOWER 1.CONNECT TO THIRUTHANGAL T.NO-2 2.CONTINUE TO OUR T.NO-47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79239226 9.48816991, 77.79125414 9.48809768)"
50,T.NO-47,,SC,T,26,Jan-47,125.3235812,5.62,99,"19°55'52.33""",9.48809768,77.79125414,GOOD,GOOD,NO,,MUDROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.79125414 9.48809768, 77.78865754 9.4888502)"
51,T.NO-48,,SA,S,26,47-48,297.2490538,4.1,101,,9.4888502,77.78865754,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.78865754 9.4888502, 77.78607047 9.48965683)"
52,T.NO-49,,SA,S,26,48-49,297.983221,4.6,105,,9.48965683,77.78607047,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.78607047 9.48965683, 77.78342827 9.49040064)"
53,T.NO-50,,SA,S,26,49-50,301.7962889,3.15,110,,9.49040064,77.78342827,GOOD,GOOD,NO,11KV,MUDROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.78342827 9.49040064, 77.78083199 9.49119828)"
54,T.NO-51,,SA,S,26,50-51,298.6502972,4.12,107,,9.49119828,77.78083199,GOOD,GOOD,NO,11KV,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.78083199 9.49119828, 77.77822637 9.49196887)"
55,T.NO-52,2W,SC,T,26,51-52,298.7607739,2.79,111,"23°37'28.22""",9.49196887,77.77822637,GOOD,GOOD,NO,11KV,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77822637 9.49196887, 77.77623772 9.49363802)"
56,T.NO-53,,SA,S,26,52-53,286.1625412,2.28,111,,9.49363802,77.77623772,GOOD,GOOD,NO,LT,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77623772 9.49363802, 77.77427619 9.49528888)"
57,T.NO-54,,SA,S,26,53-54,282.577423,6.62,113,,9.49528888,77.77427619,GOOD,GOOD,NO,,NALA,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77427619 9.49528888, 77.77233336 9.49700283)"
58,T.NO-55,,SA,S,26,54-55,285.6028711,3.54,109,,9.49700283,77.77233336,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77233336 9.49700283, 77.77027249 9.49875385)"
59,T.NO-56,,SA,S,26,55-56,298.0738164,3.71,110,,9.49875385,77.77027249,GOOD,GOOD,NO,,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.77027249 9.49875385, 77.76825638 9.50041416)"
60,T.NO-57,,SA,S,26,56-57,287.8419705,2.86,108,,9.50041416,77.76825638,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76825638 9.50041416, 77.76627744 9.50217355)"
61,T.NO-58,,SA,S,26,57-58,291.9075196,3.07,112,,9.50217355,77.76627744,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76627744 9.50217355, 77.76428924 9.50391494)"
62,T.NO-59,,SA,S,26,58-59,291.3434399,3.43,113,,9.50391494,77.76428924,GOOD,GOOD,NO,LT,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76428924 9.50391494, 77.76199349 9.50589366)"
63,T.NO-60,2W,SC,T,26,59-60,334.0733452,2.68,14,"18°42'38.00""",9.50589366,77.76199349,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76199349 9.50589366, 77.76071827 9.50802693)"
64,T.NO-61,,SA,S,26,60-61,274.5705738,2.97,110,,9.50802693,77.76071827,GOOD,GOOD,NO,"LT,400KV DC LINE CROSSING OUR LINE,11KV",,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.76071827 9.50802693, 77.75947033 9.51015999)"
65,T.NO-62,,SA,S,26,61-62,273.0311338,3.11,112,,9.51015999,77.75947033,GOOD,GOOD,NO,LT,MUDROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75947033 9.51015999, 77.75820469 9.51235643)"
66,T.NO-63,,SA,S,26,62-63,280.0803456,3.26,109,,9.51235643,77.75820469,GOOD,GOOD,NO,LT,,CULTIVATION,HEAVY BUSHES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75820469 9.51235643, 77.75691181 9.51456212)"
67,T.NO-64,,SA,S,26,63-64,282.4623869,1.68,113,,9.51456212,77.75691181,GOOD,GOOD,NO,,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75691181 9.51456212, 77.75567301 9.51670413)"
68,T.NO-65,,SA,S,26,64-65,273.3861738,2.71,117,,9.51670413,77.75567301,GOOD,GOOD,NO,,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75567301 9.51670413, 77.75437966 9.51885562)"
69,T.NO-66,,SA,S,26,65-66,277.3175076,3.44,117,,9.51885562,77.75437966,GOOD,GOOD,NO,2nos LT,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75437966 9.51885562, 77.75315882 9.52097039)"
70,T.NO-67,,SB,T,24,66-67,269.786953,3.1,122,"0°14'40.87""",9.52097039,77.75315882,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75315882 9.52097039, 77.751857 9.52320325)"
71,T.NO-68,,SA,S,26,67-68,285.5538478,2.51,121,,9.52320325,77.751857,GOOD,GOOD,NO,LT,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.751857 9.52320325, 77.75056369 9.52536377)"
72,T.NO-69,,SA,S,26,68-69,278.1726083,3.36,122,,9.52536377,77.75056369,GOOD,GOOD,NO,230KV CROSSING ABOVE OUR LINE,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.75056369 9.52536377, 77.74929773 9.5275331)"
73,T.NO-70,,SA,S,26,69-70,277.4923422,4.06,124,,9.5275331,77.74929773,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.74929773 9.5275331, 77.74800461 9.52972072)"
74,T.NO-71,,SA,S,26,70-71,280.7436553,3.29,123,,9.52972072,77.74800461,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.74800461 9.52972072, 77.74670201 9.53186324)"
75,T.NO-72,,SA,S,26,71-72,276.9855592,3.53,121,,9.53186324,77.74670201,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.74670201 9.53186324, 77.74539954 9.53402382)"
76,T.NO-73,,SA,S,26,72-73,278.6915858,4.36,118,,9.53402382,77.74539954,GOOD,GOOD,NO,,"TAAR ROAD,NALA",PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.74539954 9.53402382, 77.7441154 9.53620233)"
77,T.NO-74,2W,SB,T,24,73-74,279.3725112,3.78,118,"17°47'50.56""",9.53620233,77.7441154,GOOD,GOOD,NO,2nos LT,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.7441154 9.53620233, 77.74219943 9.53790697)"
78,T.NO-75,,SA,S,26,74-75,282.6888749,3.4,119,,9.53790697,77.74219943,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.74219943 9.53790697, 77.74022846 9.53956686)"
79,T.NO-76,,SA,S,26,75-76,283.9859151,4.1,119,,9.53956686,77.74022846,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.74022846 9.53956686, 77.73830342 9.54128059)"
80,T.NO-77,,SA,S,26,76-77,284.1003344,3.96,117,,9.54128059,77.73830342,GOOD,GOOD,NO,,NALA,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.73830342 9.54128059, 77.73635979 9.54294929)"
81,T.NO-78,,SA,S,26,77-78,282.3366785,2.43,120,,9.54294929,77.73635979,GOOD,GOOD,NO,LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.73635979 9.54294929, 77.73446165 9.54461762)"
82,T.NO-79,,SA,S,26,78-79,278.548021,3.1,120,,9.54461762,77.73446165,GOOD,GOOD,NO,3nos LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.73446165 9.54461762, 77.73263544 9.54617696)"
83,T.NO-80,,SB,T,24,79-80,264.6601594,2.89,118,"8°7'12.90""",9.54617696,77.73263544,GOOD,GOOD,NO,,TAAR ROAD,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.73263544 9.54617696, 77.73037132 9.54761325)"
84,T.NO-81,,SA,S,26,80-81,295.2100947,3.15,121,,9.54761325,77.73037132,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.73037132 9.54761325, 77.72811593 9.54900428)"
85,T.NO-82,,SA,S,26,81-82,291.7276127,3.8,123,,9.54900428,77.72811593,GOOD,GOOD,NO,,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72811593 9.54900428, 77.72577909 9.55045918)"
86,T.NO-83,,SA,S,26,82-83,303.0594001,2.67,122,,9.55045918,77.72577909,GOOD,GOOD,NO,2nosLT,TAAR ROAD,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72577909 9.55045918, 77.72327081 9.55210516)"
87,T.NO-84,2W,SC,T,26,83-84,330.3467875,3.11,120,"17°16'13.24""",9.55210516,77.72327081,GOOD,GOOD,NO,2nos LT,,CULTIVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72327081 9.55210516, 77.72190046 9.55376932)"
88,T.NO-85,,SA,S,26,84-85,237.892833,3.46,118,,9.55376932,77.72190046,GOOD,GOOD,NO,"LT,11KV","MUDROAD,TAAR ROAD",PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72190046 9.55376932, 77.72020487 9.55574321)"
89,T.NO-86,,SA,S,26,85-86,287.1114766,3.18,117,,9.55574321,77.72020487,GOOD,GOOD,NO,LT,,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.72020487 9.55574321, 77.71862637 9.55756259)"
90,T.NO-87,,SA,S,26,86-87,265.7536453,2.1,135,,9.55756259,77.71862637,GOOD,GOOD,NO,11KV CUM LT,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71862637 9.55756259, 77.71686796 9.55965443)"
91,T.NO-88,,SA,S,26,87-88,301.5377257,2.71,130,,9.55965443,77.71686796,GOOD,GOOD,NO,,,WATER LOGGED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71686796 9.55965443, 77.71510007 9.56170116)"
92,T.NO-89,,SC,T,26,88-89,298.397386,3.38,131,"28°30'1.46""",9.56170116,77.71510007,GOOD,GOOD,NO,LT,CANAL,PLAIN LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.71510007 9.56170116, 77.7126406 9.56263294)"
