S. No ,Tower No,Supspension/Tenion,Tower type,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
56,52,S,DA+0,26,51-52,260,2.57,290.690429999999,,10.0149,77.5899,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5899 10.0149, 77.5923 10.0148)"
57,53,S,DA+0,26,52-53,260,2.39,290.682678,,10.0148,77.5923,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5923 10.0148, 77.5946 10.0148)"
58,54,S,DA+0,26,53-54,261,10.72,293.233642999999,,10.0148,77.5946,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5946 10.0148, 77.597 10.0147)"
59,55,S,DA+0,26,54-55,262,4.52,292.255463,,10.0147,77.597,GOOD,AVAILABLE,400KV Crossing,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.597 10.0147, 77.5994 10.0145)"
,LILO ANDIPATTY,T,DA+0,26,55-LILO ANDIPATTY,136,,291.096190999999,10°28'15''LT,10.0145,77.5994,,,,,,LILO AT ANDIPPATTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5994 10.0145, 77.5994 10.0146)"
60,56,T,DA+0,26,LILO ANDIPATTY-56,125,3.1,290.475036999999,5°32'56''RT,10.0146,77.5994,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.5994 10.0146, 77.6018 10.0145)"
61,57,S,DA+0,26,56-57,262,0.58,292.135468,,10.0145,77.6018,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6018 10.0145, 77.6041 10.0145)"
62,58,S,DA+0,26,57-58,258,6.27,290.134705,,10.0145,77.6041,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6041 10.0145, 77.6066 10.0144)"
63,59,S,DA+0,26,58-59,268,1.54,290.581299,,10.0144,77.6066,GOOD,AVAILABLE,,Antipatti - Periyakulam Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6066 10.0144, 77.6089 10.0143)"
64,60,S,DA+0,26,59-60,253,2.78,290.038299999999,,10.0143,77.6089,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6089 10.0143, 77.6118 10.0142)"
65,61,S,DA+0,26,60-61,327,0.52,286.836486999999,,10.0142,77.6118,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6118 10.0142, 77.6146 10.0141)"
66,62,S,DA+0,26,61-62,309,0.74,286.646056999999,,10.0141,77.6146,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6146 10.0141, 77.6175 10.0141)"
67,63,S,DA+0,26,62-63,309,3.03,285.473082999999,,10.0141,77.6175,GOOD,AVAILABLE,,SH highway,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6175 10.0141, 77.6203 10.014)"
68,64,S,DA+0,26,63-64,318,2.7,286.559356999999,,10.014,77.6203,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6203 10.014, 77.6229 10.0139)"
69,65,S,DA+0,26,64-65,275,3.92,285.985718,,10.0139,77.6229,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6229 10.0139, 77.626 10.0138)"
70,66,S,DA+0,26,65-66,348,8.37,292.163635,,10.0138,77.626,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.626 10.0138, 77.6287 10.0137)"
71,67,T,DC+0,28,66-67,292,0.76,291.727630999999,12°8'13''LT,10.0137,77.6287,GOOD,AVAILABLE,,ROAD,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6287 10.0137, 77.6316 10.0136)"
72,68,S,DA+0,26,67-68,322,0.2,288.217865,,10.0136,77.6316,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6316 10.0136, 77.6345 10.0135)"
73,69,S,DA+0,26,68-69,323,1.7,286.276062,,10.0135,77.6345,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6345 10.0135, 77.6371 10.0134)"
74,70,S,DA+0,26,69-70,284,0.81,289.664917,,10.0134,77.6371,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6371 10.0134, 77.6395 10.0134)"
75,71,S,DA+0,26,70-71,260,6.98,287.951324,,10.0134,77.6395,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6395 10.0134, 77.6429 10.0133)"
76,72,S,DA+0,26,71-72,372,1.44,286.252625,,10.0133,77.6429,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6429 10.0133, 77.6458 10.0132)"
77,73,S,DA+0,26,72-73,322,2.49,291.207214,,10.0132,77.6458,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6458 10.0132, 77.6484 10.0131)"
78,74,S,DA+0,26,73-74,290,0.57,294.951171999999,,10.0131,77.6484,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6484 10.0131, 77.6514 10.013)"
79,75,S,DA+0,26,74-75,321,3.23,294.110565,,10.013,77.6514,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6514 10.013, 77.6543 10.0129)"
80,76,S,DA+0,26,75-76,323,6.47,297.760468,,10.0129,77.6543,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6543 10.0129, 77.6571 10.0128)"
81,77,S,DA+0,26,76-77,305,2.64,299.960663,,10.0128,77.6571,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6571 10.0128, 77.6598 10.0127)"
82,78,S,DA+0,26,77-78,305,7.6,297.458496,,10.0127,77.6598,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6598 10.0127, 77.6626 10.0127)"
83,79,S,DA+0,26,78-79,305,3.92,295.994719999999,,10.0127,77.6626,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6626 10.0127, 77.6654 10.0126)"
84,80,S,DA+0,26,79-80,310,0.49,298.671021,,10.0126,77.6654,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6654 10.0126, 77.6681 10.0125)"
85,81,S,DA+0,26,80-81,296,1.72,301.9216,,10.0125,77.6681,GOOD,AVAILABLE,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6681 10.0125, 77.671 10.0124)"
