S.No,Tower No.,Tower Suspension / Tension,Tower Type,Tower Height (m),Span Between Tower No.,Span Length,Footing Resistance of Tower ( Ohms),,Ground Elevation,Deviation Angle,Latitude,Longitude,"Condition of  tower  (Missing  Parts, Broken,etc)","Condition of Earth wire ( Missing,  Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/ Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,10,T,DB,25,9-10,299.3265122270898,3.61,"=IF(H16>15,0)",54.7267879999999,"34°53'24""L",9.495861111111111,78.54566666666666,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54566666666666 9.495861111111111, 78.54563888888889 9.496277777777777)"
12,11,T,H-POLE,12,10-11,44.5126459238942,NIL,"=IF(H17>15,0)",54.1276129999999,,9.496277777777777,78.54563888888889,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54563888888889 9.496277777777777, 78.54558333333333 9.4965)"
13,11A,T,H-POLE,12,"=B17&""-""&B18",26.587966442406145,NIL,"=IF(H18>15,0)",54.472385,,9.4965,78.54558333333333,GOOD,Available,220kV KKDI -TTPP,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54558333333333 9.4965, 78.5455 9.49686111111111)"
14,12,T,DB,25,"=B18&""-""&B19",40.112053384948375,5.32,"=IF(H19>15,0)",54.7377049999999,"26°33'36""L",9.49686111111111,78.5455,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5455 9.49686111111111, 78.54602777777778 9.499083333333333)"
15,13,S,DA,26,"=B19&""-""&B20",254.3237954620345,1.81,"=IF(H20>15,0)",53.8339349999999,,9.499083333333333,78.54602777777778,GOOD,NO E/W,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54602777777778 9.499083333333333, 78.54658333333333 9.501527777777778)"
16,14,S,DA,26,"=B20&""-""&B21",277.54252675930843,2.34,"=IF(H21>15,0)",53.8526919999999,,9.501527777777778,78.54658333333333,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54658333333333 9.501527777777778, 78.54708333333333 9.50375)"
17,15,S,DA,26,"=B21&""-""&B22",252.2955402119431,6.01,"=IF(H22>15,0)",53.999561,,9.50375,78.54708333333333,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54708333333333 9.50375, 78.5475 9.505638888888889)"
18,16,S,DA,26,"=B22&""-""&B23",211.39493622320913,5.46,"=IF(H23>15,0)",52.41481,,9.505638888888889,78.5475,GOOD,NO E/W,11KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5475 9.505638888888889, 78.54808333333334 9.508166666666666)"
19,17,S,DA,26,"=B23&""-""&B24",286.97263797424154,3.83,"=IF(H24>15,0)",52.126015,,9.508166666666666,78.54808333333334,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54808333333334 9.508166666666666, 78.54847222222222 9.50986111111111)"
20,18,T,DB,25,"=B24&""-""&B25",193.83713623002376,2.95,"=IF(H25>15,0)",51.996319,"0°4'12""L",9.50986111111111,78.54847222222222,GOOD,NO E/W,"11KV,LT",Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54847222222222 9.50986111111111, 78.54908333333333 9.512638888888889)"
21,19,S,DA,26,"=B25&""-""&B26",313.8491196531572,3.15,"=IF(H26>15,0)",52.608322,,9.512638888888889,78.54908333333333,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54908333333333 9.512638888888889, 78.54966666666667 9.515)"
22,20,S,DA,26,"=B26&""-""&B27",269.195399380725,4.1,"=IF(H27>15,0)",52.693542,,9.515,78.54966666666667,GOOD,Available,,,Agri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54966666666667 9.515, 78.55022222222222 9.517333333333335)"
23,21,S,DA,26,"=B27&""-""&B28",266.79114247241273,4.9,"=IF(H28>15,0)",52.946575,,9.517333333333335,78.55022222222222,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55022222222222 9.517333333333335, 78.55075 9.519555555555556)"
24,22,T,DB,25,"=B28&""-""&B29",252.61637982857425,2.21,"=IF(H29>15,0)",54.03656,"27°30'0""R",9.519555555555556,78.55075,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55075 9.519555555555556, 78.55008333333333 9.522194444444445)"
25,23,S,DA,26,"=B29&""-""&B30",301.1411713914358,1.91,"=IF(H30>15,0)",54.059704,,9.522194444444445,78.55008333333333,GOOD,Available,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55008333333333 9.522194444444445, 78.54941666666666 9.524777777777778)"
26,24,T,DB,25,"=B30&""-""&B31",292.9296982333912,1.37,"=IF(H31>15,0)",53.487797,"13°52'48""R",9.524777777777778,78.54941666666666,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54941666666666 9.524777777777778, 78.5483611111111 9.526694444444445)"
27,25,S,DA,26,"=B31&""-""&B32",242.8723977234496,1.72,"=IF(H32>15,0)",53.5201759999999,,9.526694444444445,78.5483611111111,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.5483611111111 9.526694444444445, 78.54775 9.527833333333334)"
28,26,S,DA,26,"=B32&""-""&B33",142.18173448029896,1.49,"=IF(H33>15,0)",53.922916,,9.527833333333334,78.54775,GOOD,NO E/W,11 KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54775 9.527833333333334, 78.54669444444444 9.529694444444445)"
29,27,T,DC,26,"=B33&""-""&B34",237.91708266780785,1.76,"=IF(H34>15,0)",53.3011399999999,"47°49'12""L",9.529694444444445,78.54669444444444,GOOD,NO E/W,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54669444444444 9.529694444444445, 78.54758333333334 9.532305555555556)"
30,28,S,DA+3,29,27-28,306.2871639769576,2.29,"=IF(H35>15,0)",53.3219339999999,,9.532305555555556,78.54758333333334,GOOD,Available,11 KV,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54758333333334 9.532305555555556, 78.54844444444444 9.534777777777778)"
31,29,T,DB,25,28-29,289.6288211127489,1.1,"=IF(H36>15,0)",54.052086,"19°35'60""L",9.534777777777778,78.54844444444444,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54844444444444 9.534777777777778, 78.54944444444445 9.536)"
32,30,S,DA,26,29-30,173.9961205773566,3.19,"=IF(H37>15,0)",54.087006,,9.536,78.54944444444445,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.54944444444445 9.536, 78.55077777777778 9.537583333333334)"
33,31,S,DA,26,30-31,226.36173714325554,0.92,"=IF(H38>15,0)",54.205795,,9.537583333333334,78.55077777777778,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55077777777778 9.537583333333334, 78.55216666666666 9.53925)"
34,32,S,DA,26,31-32,239.83499515692856,1.45,"=IF(H39>15,0)",53.5752409999999,,9.53925,78.55216666666666,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55216666666666 9.53925, 78.55366666666666 9.541138888888888)"
35,33,T,DC,26,32-33,267.57070978974974,2.92,"=IF(H40>15,0)",51.78743,"16°58'48""R",9.541138888888888,78.55366666666666,GOOD,Available,LT,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55366666666666 9.541138888888888, 78.55466666666666 9.543694444444444)"
36,34,T,DB,25,33-34,300.83257517158046,3.15,"=IF(H41>15,0)",50.7186969999999,,9.543694444444444,78.55466666666666,GOOD,Available,,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55466666666666 9.543694444444444, 78.55613888888888 9.546)"
37,35,T,DC,26,34-35,303.8978274967595,5.03,"=IF(H42>15,0)",50.604084,"13°15'0""L",9.546,78.55613888888888,GOOD,Available,LT,Village Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55613888888888 9.546, 78.55825 9.548055555555555)"
38,36,T,DC+3,29,35-36,323.60743416249636,2.72,"=IF(H43>15,0)",50.20665,"27°46'12""L",9.548055555555555,78.55825,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.55825 9.548055555555555, 78.56080555555555 9.548805555555555)"
39,37,S,DA,26,36-37,293.0126925213945,4.91,"=IF(H44>15,0)",49.757133,,9.548805555555555,78.56080555555555,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56080555555555 9.548805555555555, 78.56333333333333 9.549555555555555)"
40,38,T,DC,26,37-38,289.3387578675643,1.42,"=IF(H45>15,0)",48.5035019999999,"20°28'12""R",9.549555555555555,78.56333333333333,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56333333333333 9.549555555555555, 78.56477777777778 9.550611111111111)"
41,39,S,DA,26,38-39,198.2996706672262,1.03,"=IF(H46>15,0)",48.965488,,9.550611111111111,78.56477777777778,GOOD,Available,,Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56477777777778 9.550611111111111, 78.56622222222222 9.551694444444445)"
42,40,T,DB,25,39-40,197.49275698681654,3.48,"=IF(H47>15,0)",47.817337,"20°31'48""L",9.551694444444445,78.56622222222222,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56622222222222 9.551694444444445, 78.56830555555555 9.552277777777778)"
43,41,S,DA,26,40-41,236.95559234531373,6.1,"=IF(H48>15,0)",48.0527919999999,,9.552277777777778,78.56830555555555,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.56830555555555 9.552277777777778, 78.57052777777777 9.552972222222223)"
44,42,S,DA+3,29,41-42,257.04326861583934,1.09,"=IF(H49>15,0)",50.793911,,9.552972222222223,78.57052777777777,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.57052777777777 9.552972222222223, 78.57302777777777 9.55375)"
45,43,T,DC+6,32,42-43,287.38248836349896,3.61,"=IF(H50>15,0)",46.2507779999999,"32°40'48""R",9.55375,78.57302777777777,GOOD,Available,,,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.57302777777777 9.55375, 78.57386111111111 9.554777777777778)"
46,44,T,DC+6,32,43-44,145.81692006027123,1.12,"=IF(H51>15,0)",47.690018,"3°13'48""R",9.554777777777778,78.57386111111111,GOOD,Available,"33 KV,11KV",RailWay Road,Plain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.57386111111111 9.554777777777778, 78.57397222222222 9.55488888888889)"
47,Gantry ( Paramakudi SS ),Gantry,H-POLE,12,44-GANTRY,18.424762800524846,,,49.6136279999999,,9.55488888888889,78.57397222222222,GOOD,NO E/W,,,SS,Rail Pole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,=SUM(G7:G52),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note : 1. Shut down will be required in where earth wiers are missing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
