SL.NO,TOWER NO,Tower Suspension/ Tension,DEVIATION OF ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER NO,SPAN LENGTH (Mtrs),EARTH FOOTING RESISTENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water Logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
22,22,S,,GCR,23.62,T21-T22,142.73160772927915,1.82,76,8.302617807,77.25272857,GOOD,AVAILABLE,,Odai(Nala),"Hills arae, Agri Land","DC KINE   1NO Odai( NALA) , PAYANAM ROAD , ROCK LAND & AGRILAND )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25272857 8.302617807, 77.25391176 8.301955926)"
23,23,T,"24°08'07""RT",KCR,24,T22-T23,149.54343325269937,2.84,80,8.301955926,77.25391176,GOOD,AVAILABLE,,,Plain Area,DC line Plain Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25391176 8.301955926, 77.25613296 8.300748278)"
24,24,S,,GCR,23.62,T23-T24,278.8682250669149,1.67,64,8.300748278,77.25613296,GOOD,AVAILABLE,,,Agri land,"DC LINE :  Rubber garden , Agri land",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25613296 8.300748278, 77.25708716 8.300285783)"
25,25,S,,GCR,23.62,T24-T25,116.9420797233402,1.45,61,8.300285783,77.25708716,GOOD,AVAILABLE,,,Agri land,DC LINE   Agri land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25708716 8.300285783, 77.25924063 8.299182967)"
26,26,S,,GCR+3,26.62,T25-T26,266.84348164793835,1.47,51,8.299182967,77.25924063,GOOD,AVAILABLE,"Lt line, 11KV Line","Road, Street Road",Agri Lannd,"DC LINE : Street Road ,  LT Line , ROAD ( KALLUPANI TO IDAIPURHUKADI ),11KVLINE ,  HOUSE , AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.25924063 8.299182967, 77.26134517 8.298126265)"
27,27,S,,GCR,23.62,T26-T27,259.72319808023127,1.94,51,8.298126265,77.26134517,GOOD,AVAILABLE,Lt Line,Road,Agri land,"DC LINE  STREET ROAD ,  LT LINE, AGRI LAND ,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26134517 8.298126265, 77.26377826 8.296968041)"
28,28,S,,GCR,23.62,T27-T28,297.1783988818019,1.41,68,8.296968041,77.26377826,GOOD,AVAILABLE,"LT Line, 11KV Line-2Nos",Odai(Nala),Agri land,"DC LINE :   LT LINE , 2NOS 11KVLINE ,ODAI( NALA) , STREET ROAD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26377826 8.296968041, 77.26451754 8.296703273)"
29,29,T,"03°07'25""RT",HCR+3,24.94,T28-T29,86.57710839477613,2.87,67,8.296703273,77.26451754,GOOD,AVAILABLE,,Well,Agri land,"DC LINE : WELL , AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.26451754 8.296703273, 77.2652974 8.29626268)"
30,30,T,,KCR+3,27,T29-T30,98.8036663135682,2.94,76,8.29626268,77.2652974,GOOD,AVAILABLE,"11KV Line, LT Line",Road,Agri land,"Dc line :  11kv Line ,  LTline , Road , ( Aathur  to Puthupanai ),TAPPING TOWER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,=SUM(H7:H36)/1000,Km,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
