SL.NO,TOWER NO,Joint Box,Tower Suspension/ Tension,DIVATIONN OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),FOOTING RESIDENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
25,23,,S,,GC,23.62,T22-T23,233.7267187,1.85,,9.499806828,78.20956673,GOOD,AVAILABLE,LT LINE,,AGRI LAND,"DC LINE,LT LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2095667347312 9.49980682779626, 78.2112518325448 9.50140664520474)"
26,24,,T,"20°9'52""LT",HC+3,24.94,T23-T24,256.2145123,2.49,,9.501406645,78.21125183,GOOD,AVAILABLE,,POND,WATER LOGGED AREA,"DC LINE,POND, WATER LOGGED AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2112518325448 9.50140664520474, 78.2123300805687 9.50355173796283)"
27,25,,S,,GC,23.62,T24-T25,265.3580277,1.97,,9.503551738,78.21233008,GOOD,AVAILABLE,LT LINE,,AGRI LAND,"DC LINE,LT LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2123300805687 9.50355173796283, 78.2134284451603 9.50588662324631)"
28,26,,S,,GC,23.62,T25-T26,285.2375807,1.8,,9.505886623,78.21342845,GOOD,AVAILABLE,LT LINE,,AGRI LAND,"DC LINE,LT LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2134284451603 9.50588662324631, 78.2146367803216 9.50810509671183)"
29,27,,S,,GC,23.62,T26-T27,279.1575017,1.61,,9.508105097,78.21463678,GOOD,AVAILABLE,"11KV LINE, LT LINE",,AGRI LAND,"DC LINE,11 KV LINE,LT LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2146367803216 9.50810509671183, 78.2157934829592 9.51031330508104)"
30,28,,S,,GC+3,26.62,T27-T28,275.4952614,1.74,,9.510313305,78.21579348,GOOD,AVAILABLE,11KV LINE,POND,WATER LOGGED AREA,"DC LINE,11 KV LINE,POND, WATER LOGGED AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2157934829592 9.51031330508104, 78.2169951125979 9.51266996815654)"
31,29,,T,"26°44'20""RT",HC,21.94,T28-T29,292.368525,2.89,,9.512669968,78.21699511,GOOD,AVAILABLE,,,AGRI LAND,"DC LINE,AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2169951125979 9.51266996815654, 78.2189249619841 9.51411662784703)"
32,30,,S,,GC+3,26.62,T29-T30,265.7216121,1.56,,9.514116628,78.21892496,GOOD,AVAILABLE,,POND,WATER LOGGED AREA,"DC LINE,POND ,WATER LOGGED AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2189249619841 9.51411662784703, 78.2203733548522 9.51508844905654)"
33,31,,S,,GC,23.62,T30-T31,192.0937766,1.27,,9.515088449,78.22037335,GOOD,AVAILABLE,,,WATER LOGGED AREA,"DC LINE,POND, WATER LOGGED  AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2203733548522 9.51508844905654, 78.2220051437616 9.51633835454618)"
34,32,,T,"29°8'47""LT",HC,21.94,T31-T32,226.472024,2.97,,9.516338355,78.22200514,GOOD,AVAILABLE,11KV LINE,,PLAIN AREA,"DC LINE,11 KV,PLAIN AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.2220051437616 9.51633835454618, 78.222928494215 9.51835505749628)"
35,33,,T,"6°51'31""RT",HC,21.94,T32-T33,245.2000596,2.74,,9.518355057,78.22292849,GOOD,AVAILABLE,,,PLAIN AREA,"DC LINE,PLAIN AREA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.222928494215 9.51835505749628, 78.2230082899331 9.51848533761866)"
,,2W,Gantry (Muthuramalingapuram 230kv S/s),,,,T33-Gantry (Muthuramalingapuram 230kv S/s),16.87606263,,,9.518485338,78.22300829,GOOD,AVAILABLE,,,,MUTHURAMALINGAPURAM SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,0,KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
