SL.NO,TOWER NO,Tower Suspension/ Tension,DIVATIONN OF  ANGLE ('),TOWER TYPE,TOWER HEIGHT (Mtrs),SPAN BETWEEN TOWER LENGTH (Mtrs),SPAN LENGTH (Mtrs),FOOTING RESIDENCE OF TOWER (OHMS),GROUND ELEVATION,Latitude,Longitude,"CONDITION OF TOWER (Missing parts, broken etc)",CONDITION OF EARTH WIRE (Missing Broken etc;),CROSSING OBJECTS,,CONDITION OF AREA ( Plain/Hills/Forest/Water logged),REMARKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
11,11,T,"4°37'20""LT",HC,21.94,T10-T11,32.57199659215082,2.52,96,9.491238187,78.11580006,GOOD,AVAILABLE,,,AGRI LAND,DC LINE   AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11580006 9.491238187, 78.11515638181791 9.49170775787742)"
12,8,T,"5°55'28""LT",HC,21.94,T11-T8,89.44627690953057,2.74,96,9.49170775787742,78.11515638181791,GOOD,AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11515638181791 9.49170775787742, 78.11532329965642 9.491475885136811)"
13,9A,DP,,DP,8,T8-T9A,31.549473846491587,2.49,96,9.491475885136811,78.11532329965642,GOOD,AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11532329965642 9.491475885136811, 78.11553793229238 9.491294455357327)"
14,10A,DP,,DP,8,T9A-T10A,30.98023240716139,2.59,96,9.491294455357327,78.11553793229238,GOOD,AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11553793229238 9.491294455357327, 78.11580006 9.491238187)"
15,11,T,"4°37'20""LT",HC,21.94,T10A-T11,30.177232361476527,2.72,96,9.491238187,78.11580006,GOOD,AVAILABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11580006 9.491238187, 78.11703857 9.490436271)"
16,12,T,"5°55'28""LT",HC,21.94,T11-T12,162.4996794704918,2.88,96,9.490436271,78.11703857,GOOD,AVAILABLE,,,AGRI LAND,DC LINE   AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11703857 9.490436271, 78.11876994 9.489553335)"
1.53,13,T,"6°43'18""RT",HC,21.94,T12-T13,213.90850037341832,2.49,96,9.489553335,78.11876994,GOOD,AVAILABLE,,,AGRI LAND,DC LINE   AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.11876994 9.489553335, 78.12077522 9.488814577)"
18,14,S,,GC,23.62,T13-T14,235.06119266481383,1.52,98,9.488814577,78.12077522,GOOD,AVAILABLE,,,AGRI LAND,DC LINE   AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12077522 9.488814577, 78.12300313 9.488124098)"
19,15,S,,GC,23.62,T14-T15,256.4967610009713,1.64,98,9.488124098,78.12300313,GOOD,AVAILABLE,,,AGRI LAND,DC LINE   AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12300313 9.488124098, 78.12467616 9.487364834)"
20,16,T,"1°1'29""LT",HC+3,24.94,T15-T16,202.16289111751507,2.87,99,9.487364834,78.12467616,GOOD,AVAILABLE,,ROAD,PLAIN LAND,"DC LINE  ROAD , PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12467616 9.487364834, 78.1269718 9.486588042)"
21,17,S,,GC+3,26.62,T16-T17,266.53762527085456,1.38,99,9.486588042,78.1269718,GOOD,AVAILABLE,,ROAD,PLAIN LAND,"DC LINE ROAD, PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.1269718 9.486588042, 78.12932845 9.485758338)"
22,18,S,,GC,23.62,T17-T18,274.79620614921964,1.52,99,9.485758338,78.12932845,GOOD,AVAILABLE,,,AGRI LAND,DC LINE   AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.12932845 9.485758338, 78.13146986 9.484983857)"
23,19,T,"46°42'25""LT",KC,24,T18-T19,250.46670151935226,2.75,97,9.484983857,78.13146986,GOOD,AVAILABLE,,CART TRACK,AGRI LAND,"DC LINE CART TRACK, AGRI LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13146986 9.484983857, 78.13383825 9.486195512)"
24,20,T,"26°5'46""LT",HC,21.62,T19-T20,292.8072970129333,2.65,96,9.486195512,78.13383825,GOOD,AVAILABLE,,,AGRI LAND,DC LINE AGRI LAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13383825 9.486195512, 78.13523334 9.48805763)"
25,21,T,"28°43'28""RT",HC+3,24.62,T19-T21,256.8943379678898,2.82,93,9.48805763,78.13523334,GOOD,AVAILABLE,,"POND, ODAI(NALA)",PLAIN LAND,"DC LINE POND,  ODAI (NALA)   PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13523334 9.48805763, 78.13725203 9.488976615)"
26,22,T,"48°47'15""RT",KC+3,27,T21-T22,244.06022499582676,2.49,90,9.488976615,78.13725203,GOOD,AVAILABLE,,"POND, ODAI(NALA)",PLAIN LAND,"DC LINE ODAI(  NALA)   POND,  PLAIN LAND",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13725203 9.488976615, 78.13963551 9.487915433)"
27,23,T,"32°21'17""RT",KC+3,27,T22-T23,287.07062629950406,2.97,90,9.487915433,78.13963551,GOOD,AVAILABLE,LT LINE,"POND, ODAI(NALA)",AGRI LAND,"DC LINE   LT LINE,ODAI(NALA),   POND, AGRI LAND  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(78.13963551 9.487915433, 78.13989044 9.48750884)"
,Gantry (Savasapuram),,,,,T23-Gantry (Savasapuram),50.77103108072103,,90,9.48750884,78.13989044,GOOD,AVAILABLE,,,,SAVASPURAM SS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,=SUM(H7:H34)/1000,KM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
